ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,914,1019,1101,1192,1301,1415,1544,1692,1862,2050,2247,2453,2708,2948,3226,3486,3738,4015
AGO,66000,74315,82468,90625,98670,106730,114590,122718,130373,137978,145497,153113,161704,171508,182250,194100,206621,218547
ARG,47475,53431,58767,63729,68380,72703,76582,79635,82262,84727,87240,88620,89951,91114,92349,93452,94279,94632
ARM,182,392,759,1054,1280,1514,1710,1903,2106,2288,2450,2601,2734,2882,3018,3160,3306,3457
AZE,397,640,986,1445,2025,2733,3552,4450,5383,6302,7159,7935,8589,9129,9569,9887,10152,10355
BHS,4637,4952,5221,5440,5618,5753,5853,5926,5985,6097,6226,6359,6504,6630,6745,6848,6890,6909
BGD,1540,1903,2289,2697,3126,3574,3868,4170,4481,4797,5122,5450,5783,6120,6476,6845,7243,7648
BRB,639,741,840,934,1017,1089,1143,1180,1220,1273,1317,1354,1383,1405,1429,1448,1472,1491
BLR,1043,1531,2176,3017,4074,5462,7193,9192,11416,13670,15847,17724,19388,20711,21693,22322,22745,23075
BLZ,980,1230,1485,1736,1974,2186,2368,2511,2626,2724,2772,2805,2831,2852,2839,2830,2837,2844
BEN,29772,35830,41424,46432,50439,53663,56015,57265,57829,57938,57852,58008,58345,59010,59701,60564,61639,62457
BTN,95,112,131,155,185,220,260,303,356,410,474,539,617,680,776,848,934,1022
BOL,8313,9779,11365,13089,14872,16355,17501,18221,18593,18521,18143,17554,16979,16381,15886,15528,15242,14931
BWA,170266,203034,231936,255096,271843,282449,287697,288843,287746,286940,288893,292900,298018,303028,308560,314378,320689,326819
BFA,205275,201553,193626,182404,169194,155109,141455,128884,117462,107920,100670,95929,92775,91130,90755,91686,92837,93830
BDI,139916,143776,141027,132871,123272,113109,103276,94669,87435,81478,77261,74588,73019,72469,71900,71846,72336,72496
KHM,67521,83140,92492,98784,101964,102808,101592,99060,95513,91323,86991,83027,79979,77681,75697,74044,72448,71057
CMR,200605,252714,304140,351347,391633,423998,448743,466983,478517,486686,493313,500046,505047,511739,519190,527164,535743,541899
CPV,1185,1227,1240,1232,1201,1152,1086,1012,939,869,801,756,729,713,706,705,705,703
TCD,111799,123890,135032,145301,153863,161017,166763,171113,174397,176162,175763,175282,174273,173227,174280,178093,179996,179043
CHL,25713,28336,30095,31398,32095,32737,32718,32560,32493,32502,32627,33041,33539,34326,35197,36366,37561,38548
CHN,,,,,,,,,,,,,,,,,,771000
COL,70690,95515,114465,126270,132546,135554,136696,136839,136790,136272,135878,135606,136469,136366,135683,135926,137804,140031
COG,74531,76720,78251,78511,78535,77999,76705,74684,72517,70459,68342,66671,65207,63886,63199,62640,61923,61218
CRI,2497,2850,3225,3618,4021,4442,4950,5477,5997,6492,6960,7407,7828,8238,8604,8918,9205,9446
CIV,378609,438978,494216,535551,563214,575809,573402,559331,535339,506141,475697,449450,425613,405039,391626,385685,389496,387372
CUB,2544,2579,2610,2639,2668,2698,2747,2887,3075,3266,3454,3636,3813,3987,4161,4341,4528,4722
COD,285615,300176,314555,328444,341925,354291,365785,375665,383604,389355,392967,395758,397133,395217,394581,394280,393530,393184
DJI,2255,3187,4294,5564,6902,8096,9184,9945,10405,10530,10348,9969,9457,8883,8276,7635,7020,6491
DOM,45404,49884,53581,56630,58840,60263,60878,60581,59570,57772,55532,53162,50810,48718,46866,45123,43712,42192
ECU,28807,31349,33222,35124,36682,38098,39231,39980,40571,41020,41795,42642,43778,45079,46577,48364,50105,51441
