ISO,1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,,,,,,,,,,55.9,,,,,
ARM,,,,28.6,,,,,59,,,,,60.9,,,
AZE,,,,,,,,,,16.5,,,,,,,
BEN,,,,,41.4,,,,,68.9,,,,,60,,
BOL,,,,,,,22,,,,,25.1,,,,,
BFA,,,,,,,39.4,,,,,,,72.5,,,
BDI,,,,,,,,,,,,,,77.8,,,
KHM,,,,58.5,,,,,79.2,,,,,74.9,,,
CMR,,,,,,,,53,,,,,,,49,,
TCD,,,,,,,,19.3,,,,,,,,,
COL,,,,,,,,,,,,,,67.8,,,
COM,,,,,,,,,,,,,,,,58.5,
COG,,,,,,,,,60.2,,,,55.8,,68.5,,
CIV,,,,,,,,,51.3,,,,,,42.6,,
COD,,,,,,,,,,,43.1,,,,,,
DOM,74.8,,,,,76.9,,,,,76.3,,,,,,80.9
EGY,,,,,,,,,19.4,,,,,,,,
ERI,,,,,,40.5,,,,,,,,,,,
ETH,,,,,,,,,28,,,,,,37.8,,
GAB,,,,,,,,,,,,,,,,59.3,
GHA,,,,,,,64.9,,,,,64.6,,,,,
GIN,,,,,,,,,65.3,,,,,,,57.3,
GUY,,,,,,,,,,,,,68.2,,,,
HTI,,,,31.1,,,,,79.3,,,,,,,79.5,
HND,,,,,,,,,63.2,,,,,,63.7,,
IND,,,,,,,,,23.5,,,,,,,,
IDN,,,,,,11.6,,,,,,,,,,,
JOR,,,,,,26.3,,,,,45.7,,,,,,
KEN,,,,,,,55,,,,,68,,,,,
KGZ,,,,,,,,,,,,,,,,54.6,
LSO,,,,,,,,68.2,,,,,78.8,,,,
LBR,,,,,,,,,,,37,,,,,,61.7
MDG,,,,,,,42.9,,,,,61.5,,,,,
MWI,,,,55.1,,,,46.9,,,,,,65.6,,,
MLI,,,,,24.4,,,,,48.8,,,,,,42.7,
MAR,,,,,,,18.1,,,,,,,,,,
MOZ,,,,,,,38,,,,,,54.5,,46.1,,
NAM,,,,59.5,,,,,,79.2,,,,,,,
NPL,,,,,28.7,,,,,52.1,,,,,69.3,,
NIC,,,,,36.6,,,,,,,,,,,,
NER,,,,,,,,,,49.1,,,,,,44.4,
NGA,,,,,,,35.9,,,,,43.1,,,,,47.4
PAK,,,,,,,,,,,,,,,,12.1,
PER,,,,,,,,25.7,,,42.8,,50.2,51.1,52.4,54.6,
PHL,,,,,,,43.3,,,,,48.1,,,,,41.2
MDA,,,,,,,,,67.1,,,,,,,,
RWA,,,,52.7,,,,,71.9,,,,,77.6,,,
STP,,,,,,,,,,,,67.2,,,,,
SEN,,,,,,,,,66.8,,,,,58.5,,,
SLE,,,,,,,,,,,,28.6,,,,,58.4
ZAF,,69.2,,,,,,,,,,,,,,,
SWZ,,,,,,,,,,85.3,,,,,,,
TJK,,,,,,,,,,,,,,,,31.4,
TZA,50.9,,50.8,,,,60.4,72.6,,,58.2,,,69.2,,,
TLS,,,,,,,,,,,,,22.1,,,,
TKM,,,,17.4,,,,,,,,,,,,,
UGA,,,,58.8,,,,59.3,,64.9,,,,,72.1,,
UKR,,,,,,,,,,,81.3,,,,,,
VNM,,,,,,,,,76.7,,,,,,,,
ZMB,,,,,59.5,,,,,,69.4,,,,,,
ZWE,,,59.3,,,,,,62.1,,,,,75.3,,,
# Series: HIVPRERU,,,,,,,,,,,,,,,,,
"# Name: Knowledge of HIV prevention methods, rural",,,,,,,,,,,,,,,,,
"# Definition: The percent of respondents who, in response to a prompted question, say that people can protect themselves from contracting HIV by using condoms or having sex only with one faithful, uninfected partner, by urban / rural breakdown",,,,,,,,,,,,,,,,,
# Source: DHS Household Surveys,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,
