ISO,1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,,,,,,,,,,80.9,,,,,
ARM,,,,53.6,,,,,71.6,,,,,73.8,,,
AZE,,,,,,,,,,31.6,,,,,,,
BEN,,,,,43.2,,,,,77.8,,,,,69.7,,
BOL,,,,,,,61.4,,,,,62.6,,,,,
BFA,,,,,,,65.2,,,,,,,78.7,,,
BDI,,,,,,,,,,,,,,87.1,,,
KHM,,,,73.2,,,,,85.6,,,,,73.2,,,
CMR,,,,,,,,69.4,,,,,,,70.2,,
TCD,,,,,,,,36.2,,,,,,,,,
COL,,,,,,,,,,,,,,68.6,,,
COM,,,,,,,,,,,,,,,,65.2,
COG,,,,,,,,,68.8,,,,59,,71.9,,
CIV,,,,,,,,,59.5,,,,,,57.8,,
COD,,,,,,,,,,,56,,,,,,
DOM,80.6,,,,,79.7,,,,,76.5,,,,,,80.2
EGY,,,,,,,,,30.3,,,,,,,,
ERI,,,,,,65.9,,,,,,,,,,,
ETH,,,,,,,,,65.5,,,,,,60.6,,
GAB,,,,,,,,,,,,,,,,76,
GHA,,,,,,,73.2,,,,,72.8,,,,,
GIN,,,,,,,,,72.3,,,,,,,72.3,
GUY,,,,,,,,,,,,,85.2,,,,
HTI,,,,60.4,,,,,82.3,,,,,,,82.9,
HND,,,,,,,,,67.3,,,,,,70.8,,
IND,,,,,,,,,50.5,,,,,,,,
IDN,,,,,,28.3,,,,,,,,,,,
JOR,,,,,,30.6,,,,,50.9,,,,,,
KEN,,,,,,,66.3,,,,,79.4,,,,,
KGZ,,,,,,,,,,,,,,,,65.6,
LSO,,,,,,,,79.5,,,,,84.2,,,,
LBR,,,,,,,,,,,54.2,,,,,,72
MDG,,,,,,,67.3,,,,,81.3,,,,,
MWI,,,,60,,,,45,,,,,,70.1,,,
MLI,,,,,46.3,,,,,61.1,,,,,,64.1,
MAR,,,,,,,44.8,,,,,,,,,,
MOZ,,,,,,,57.6,,,,,,64.9,,62.1,,
NAM,,,,72.4,,,,,,81.2,,,,,,,
NPL,,,,,56.3,,,,,71,,,,,81.5,,
NIC,,,,,61,,,,,,,,,,,,
NER,,,,,,,,,,69.7,,,,,,64.5,
NGA,,,,,,,54.5,,,,,56.9,,,,,64.1
PAK,,,,,,,,,,,,,,,,34.3,
PER,,,,,,,,44.8,,,75.1,,74.9,71.9,73.6,73.1,
PHL,,,,,,,45.7,,,,,56.6,,,,,36.6
MDA,,,,,,,,,79.3,,,,,,,,
RWA,,,,60.7,,,,,76.4,,,,,84.9,,,
STP,,,,,,,,,,,,68.7,,,,,
SEN,,,,,,,,,78.3,,,,,75.4,,,
SLE,,,,,,,,,,,,54.6,,,,,72
ZAF,,82.4,,,,,,,,,,,,,,,
SWZ,,,,,,,,,,90.7,,,,,,,
TJK,,,,,,,,,,,,,,,,37.1,
TZA,72.3,,68.6,,,,67.3,79.7,,,70.5,,,76,,,
TLS,,,,,,,,,,,,,39.6,,,,
TKM,,,,32,,,,,,,,,,,,,
UGA,,,,81.2,,,,75.8,,73.9,,,,,82.1,,
UKR,,,,,,,,,,,86.8,,,,,,
VNM,,,,,,,,,86.4,,,,,,,,
ZMB,,,,,76.5,,,,,,68.2,,,,,,
ZWE,,,74.1,,,,,,70.1,,,,,80.4,,,
# Series: HIVPREUR,,,,,,,,,,,,,,,,,
"# Name: Knowledge of HIV prevention methods, urban",,,,,,,,,,,,,,,,,
"# Definition: The percent of respondents who, in response to a prompted question, say that people can protect themselves from contracting HIV by using condoms or having sex only with one faithful, uninfected partner, by urban / rural breakdown",,,,,,,,,,,,,,,,,
# Source: DHS Household Surveys,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,
