ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,,,,,,,,,,,,,,,,,,0.1
AGO,,,,,,,,,,,,,,,,,,1.2
ARG,,,,,,,,,,,,,,,,,,0.1
ARM,,,,,,,,,,,,,,,,,,0.1
AZE,,,,,,,,,,,,,,,,,,0.1
BHS,,,,,,,,,,,,,,,,,,1.8
BGD,,,,,,,,,,,,,,,,,,0.1
BRB,,,,,,,,,,,,,,,,,,0.2
BLR,,,,,,,,,,,,,,,,,,0.2
BLZ,,,,,,,,,,,,,,,,,,0.6
BEN,,,,,,,,,,,,,,,,,,0.4
BTN,,,,,,,,,,,,,,,,,,0.1
BOL,,,,,,,,,,,,,,,,,,0.1
BWA,,,,,,,,,,,,,,,,,,6.7
BFA,,,,,,,,,,,,,,,,,,0.5
BDI,,,,,,,,,,,,,,,,,,0.6
KHM,,,,,,,,,,,,,,,,,,0.2
CMR,,,,,,,,,,,,,,,,,,1.8
CPV,,,,,,,,,,,,,,,,,,0.1
TCD,,,,,,,,,,,,,,,,,,1.1
CHL,,,,,,,,,,,,,,,,,,0.1
COL,,,,,,,,,,,,,,,,,,0.2
COG,,,,,,,,,,,,,,,,,,1.3
CRI,,,,,,,,,,,,,,,,,,0.2
CIV,,,,,,,,,,,,,,,,,,1.2
CUB,,,,,,,,,,,,,,,,,,0.1
COD,,,,,,,,,,,,,,,,,,0.8
DJI,,,,,,,,,,,,,,,,,,0.3
DOM,,,,,,,,,,,,,,,,,,0.2
ECU,,,,,,,,,,,,,,,,,,0.2
EGY,,,,,,,,,,,,,,,,,,0.1
SLV,,,,,,,,,,,,,,,,,,0.2
GNQ,,,,,,,,,,,,,,,,,,3.1
ERI,,,,,,,,,,,,,,,,,,0.2
ETH,,,,,,,,,,,,,,,,,,0.5
FJI,,,,,,,,,,,,,,,,,,0.1
GAB,,,,,,,,,,,,,,,,,,1.6
GMB,,,,,,,,,,,,,,,,,,0.5
GEO,,,,,,,,,,,,,,,,,,0.1
GHA,,,,,,,,,,,,,,,,,,0.5
GTM,,,,,,,,,,,,,,,,,,0.2
GIN,,,,,,,,,,,,,,,,,,0.8
GNB,,,,,,,,,,,,,,,,,,1.7
GUY,,,,,,,,,,,,,,,,,,0.8
HTI,,,,,,,,,,,,,,,,,,0.9
HND,,,,,,,,,,,,,,,,,,0.2
IND,,,,,,,,,,,,,,,,,,0.1
IDN,,,,,,,,,,,,,,,,,,0.5
IRN,,,,,,,,,,,,,,,,,,0.1
JAM,,,,,,,,,,,,,,,,,,0.5
KEN,,,,,,,,,,,,,,,,,,3.6
KGZ,,,,,,,,,,,,,,,,,,0.1
LAO,,,,,,,,,,,,,,,,,,0.2
LSO,,,,,,,,,,,,,,,,,,10.7
LBR,,,,,,,,,,,,,,,,,,0.1
MDG,,,,,,,,,,,,,,,,,,0.3
MWI,,,,,,,,,,,,,,,,,,4.5
MYS,,,,,,,,,,,,,,,,,,0.1
MDV,,,,,,,,,,,,,,,,,,0.1
MLI,,,,,,,,,,,,,,,,,,0.3
MRT,,,,,,,,,,,,,,,,,,0.2
MUS,,,,,,,,,,,,,,,,,,0.3
MEX,,,,,,,,,,,,,,,,,,0.1
MAR,,,,,,,,,,,,,,,,,,0.1
MOZ,,,,,,,,,,,,,,,,,,6.6
MMR,,,,,,,,,,,,,,,,,,0.1
NAM,,,,,,,,,,,,,,,,,,4.1
NPL,,,,,,,,,,,,,,,,,,0.1
NIC,,,,,,,,,,,,,,,,,,0.2
NER,,,,,,,,,,,,,,,,,,0.1
NGA,,,,,,,,,,,,,,,,,,1.3
PAK,,,,,,,,,,,,,,,,,,0.1
PAN,,,,,,,,,,,,,,,,,,0.3
PNG,,,,,,,,,,,,,,,,,,0.1
PRY,,,,,,,,,,,,,,,,,,0.3
PER,,,,,,,,,,,,,,,,,,0.2
PHL,,,,,,,,,,,,,,,,,,0.1
MDA,,,,,,,,,,,,,,,,,,0.2
RWA,,,,,,,,,,,,,,,,,,1.3
STP,,,,,,,,,,,,,,,,,,0.4
SEN,,,,,,,,,,,,,,,,,,0.3
SLE,,,,,,,,,,,,,,,,,,1
SOM,,,,,,,,,,,,,,,,,,0.2
ZAF,,,,,,,,,,,,,,,,,,13.9
SSD,,,,,,,,,,,,,,,,,,1.2
LKA,,,,,,,,,,,,,,,,,,0.1
SUR,,,,,,,,,,,,,,,,,,0.7
SWZ,,,,,,,,,,,,,,,,,,20
TJK,,,,,,,,,,,,,,,,,,0.1
TZA,,,,,,,,,,,,,,,,,,3.6
THA,,,,,,,,,,,,,,,,,,0.3
TGO,,,,,,,,,,,,,,,,,,0.9
TTO,,,,,,,,,,,,,,,,,,0.9
TUN,,,,,,,,,,,,,,,,,,0.1
UGA,,,,,,,,,,,,,,,,,,4
UKR,,,,,,,,,,,,,,,,,,0.5
URY,,,,,,,,,,,,,,,,,,0.2
UZB,,,,,,,,,,,,,,,,,,0.1
VEN,,,,,,,,,,,,,,,,,,0.3
VNM,,,,,,,,,,,,,,,,,,0.1
YEM,,,,,,,,,,,,,,,,,,0.1
ZMB,,,,,,,,,,,,,,,,,,4.6
ZWE,,,,,,,,,,,,,,,,,,6.3
AME,,,,,,,,,,,,,,,,,,0.376923
LIA,,,,,,,,,,,,,,,,,,1.29697
LMA,,,,,,,,,,,,,,,,,,1.28108
ASE,,,,,,,,,,,,,,,,,,0.1
AEE,,,,,,,,,,,,,,,,,,2.6
LCM,,,,,,,,,,,,,,,,,,0.2
LIM,,,,,,,,,,,,,,,,,,0.5
LMM,,,,,,,,,,,,,,,,,,0.2
SAM,,,,,,,,,,,,,,,,,,0.1
SSM,,,,,,,,,,,,,,,,,,1.1
LCE,,,,,,,,,,,,,,,,,,0.124693
LIW,,,,,,,,,,,,,,,,,,1.20956
LMW,,,,,,,,,,,,,,,,,,0.305271
SAE,,,,,,,,,,,,,,,,,,0.1
SSE,,,,,,,,,,,,,,,,,,2.41944
WLD,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5
# Series: HIVYFEIN,,,,,,,,,,,,,,,,,,
"# Name: HIV prevalence among youth (15-24), female",,,,,,,,,,,,,,,,,,
# Definition: The prevalence of HIV among the population 15–24 years of age is the number of individuals aged 15–24 living with HIV expressed as a percentage of the total population aged 15-24.,,,,,,,,,,,,,,,,,,
# Source: UNAIDS Spectrum estimates,,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,
