ISO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,,,8.7,,,,12.1,,,
ARM,,14.3,,,,,14.8,,,,,5.7,,
AZE,,,,,,,,31.3,,,,,,
BGD,,,,,,,,,21.5,,,,22.4,
BLZ,,,,,,,,3.8,,,,,,
BEN,,,39.4,,,,,34,,,,,,
BOL,,,,,6.4,,,,,5.2,,,,
BIH,,,,,,,,1.4,,,,,,
BFA,,,,,52,,,54.7,,,,30.8,,
BDI,,,,,,,,,,,,31,,
KHM,,,,,,,26.8,,,,,23.4,,
CMR,,,,,,26.6,,,,,,,20.7,
COL,,,,,,,,,,,,0.4,,
CIV,,,,,,,,,,,,,,34.3
COD,,,,,,,,,47.1,,,,,
DOM,,,,1.1,,,,,0.7,,,,,
EGY,,,,,,,37.4,,,14.8,,,,
ERI,,,,44.6,,,,,,,,,,
ETH,,61.3,,,,,58.7,,,,,,45.4,
GAB,,,,,,,,,,,,,,26.1
GMB,,,,,,,,37.4,,,,,,
GEO,,,,,,,2.4,,,,,,,
GHA,,,,,29.5,,,,,21.3,,,,
GIN,,,,,,,57.7,,,,,,,
GNB,,,,,,,,36.7,,,,,,
GUY,,,,,,,,,9.6,,6.7,,,
HTI,,10.5,,,,,,8.7,,,,,,2.8
HND,,,,,,,,5.9,,,,,,4.8
IND,,,,,,,,30.3,,,,,,
IDN,,,,,5.3,,,,6.8,,,,,5.7
JOR,,,,4.2,,,,,16.3,,,,,
KAZ,,,,,,,,4.3,,,,,,
KEN,,,,,45.9,,,,,,30.9,,,
KGZ,,,,,,,,25.6,,,,,,
LSO,,,,,,36.2,,,,,27.4,,,
LBR,,,,,,,,,42.7,,,,,
MKD,,,,,,,11.4,,,,,,,
MDG,,,,,,3.3,,,,,6,,,
MWI,,18.6,,,,11.8,,,,,,5.5,,
MDV,,,,,,,,,,,17,,,
MLI,,,61.7,,,,,49.1,,,,,,
MNG,,,,,,,10.5,,,,,,,
MNE,,,,,,,,3.1,,,,,,
MAR,,,,,,50.8,,,,,,,,
MOZ,,,,,33.2,,,,,,,,12.3,
NAM,,,,,,,,,15.5,,,,,
NPL,,,8.7,,,,,8.2,,,,,,
NIC,,,5.9,,,,,,,,,,,
NER,,,,,,,,47.2,,,,,,
NGA,,,,,43.5,,,,,27.6,,,,
PER,,,,,,,,1,,1,1.2,1,0.6,0.8
PHL,,,,,5.1,,,,,2.9,,,,
MDA,,,,,,,5.1,,,,,,,
RWA,,11.7,,,,,7.3,,,,,32.7,,
STP,,,,,,,,,,,7,,,
SEN,,,,,,,48.6,,,,,,44.5,
SRB,,,,,,,,1.9,,,,,,
SLE,,,,,,,71.3,,,53.5,,,,
SOM,,,,,,,,51.9,,,,,,
SWZ,,,,,,,,,17.1,,,,,
TJK,,,,,,,68,,,,,,,
TZA,,,,,,,45.9,,,,,38.7,,
TLS,,,,,,,,,,,,63.9,,
TGO,,,,,,,,22.2,,,,,,
TTO,,,,,,,,1.4,,,,,,
TKM,,33.8,,,,,,,,,,,,
UGA,,,36.9,,,,,39.9,,,,,28.5,
UKR,,,,,,,0.8,,0.9,,,,,
VNM,,,,,,,,37.2,,,,,,
ZMB,,,,52.1,,,,,43.1,,,,,
ZWE,31.7,,,,,,,26,,,,,15.6,
ASE,,,,,,,,19.25,,,,,,
SAM,,,,,,,,8.2,,,,,,
SAE,,,,,,,,22.7494,,,,,,
# Series: HJBWSAWH,,,,,,,,,,,,,,
# Name: Women who believe a husband is justified in beating his wife when she argues with him (%),,,,,,,,,,,,,,
# Definition: Survey question; Percent of women ages 15-49 who believe a husband/partner is justified in hitting or beating his wife/partner when she argues with him.,,,,,,,,,,,,,,
# Source: Compiled by World Bank from DHS Household Surveys,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,
