ISO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,,,17,,,,18.6,,,
ARM,,19.9,,,,,10.3,,,,,3.1,,
AZE,,,,,,,,42.5,,,,,,
BGD,,,,,,,,,17.9,,,,17.3,
BLZ,,,,,,,,3,,,,,,
BEN,,,44,,,,,36.7,,,,,,
BOL,,,,,9,,,,,5.9,,,,
BIH,,,,,,,,1.3,,,,,,
BFA,,,,,53.3,,,47.9,,,,30.3,,
BDI,,,,,,,,,,,,48.8,,
KHM,,,,,,,34.8,,,,,29.8,,
CMR,,,,,,33.6,,,,,,,26.5,
COL,,,,,,,,,,,,0.3,,
COG,,,,,,,51.5,,,,,,,
CIV,,,,,,,,,,,,,,26.6
COD,,,,,,,,,53.3,,,,,
DOM,,,,3.2,,,,,1.2,,,,,
EGY,,,,,,,40.4,,,31.5,,,,
ERI,,,,51.7,,,,,,,,,,
ETH,,56.2,,,,,64.2,,,,,,43.2,
GAB,,,,,,,,,,,,,,19
GMB,,,,,,,,57,,,,,,
GEO,,,,,,,1.8,,,,,,,
GHA,,,,,34,,,,,22.3,,,,
GIN,,,,,,,72.4,,,,,,,
GNB,,,,,,,,24.7,,,,,,
GUY,,,,,,,,,9.7,,5.8,,,
HTI,,29.4,,,,,,22.4,,,,,,10.8
HND,,,,,,,,6,,,,,,4.3
IND,,,,,,,,29,,,,,,
IDN,,,,,18.2,,,,23.7,,,,,24
JOR,,,,24.1,,,,,34.9,,,,,
KAZ,,,,,,,,2.5,,,,,,
KEN,,,,,39.4,,,,,,30.7,,,
KGZ,,,,,,,,20.5,,,,,,
LSO,,,,,,24.4,,,,,14.2,,,
LBR,,,,,,,,,41.9,,,,,
MKD,,,,,,,12.2,,,,,,,
MDG,,,,,,14.4,,,,,19.2,,,
MWI,,16.6,,,,13.9,,,,,,5.4,,
MDV,,,,,,,,,,,13,,,
MLI,,,74.9,,,,,60.3,,,,,,
MNG,,,,,,,4.8,,,,,,,
MNE,,,,,,,,4.4,,,,,,
MAR,,,,,,49.5,,,,,,,,
MOZ,,,,,36.8,,,,,,,,8.6,
NAM,,,,,,,,,18.9,,,,,
NPL,,,12.2,,,,,8.8,,,,,,
NIC,,,7.8,,,,,,,,,,,
NER,,,,,,,,56.5,,,,,,
NGA,,,,,52.8,,,,,32.2,,,,
PER,,,,,,,,1.7,,1.6,1.8,1.5,1.1,1.1
PHL,,,,,8.8,,,,,5.1,,,,
MDA,,,,,,,7.3,,,,,,,
RWA,,36.6,,,,,26.3,,,,,35.8,,
STP,,,,,,,,,,,10.2,,,
SEN,,,,,,,49.7,,,,,,39.9,
SRB,,,,,,,,2,,,,,,
SLE,,,,,,,73.4,,,49.7,,,,
SOM,,,,,,,,53,,,,,,
SWZ,,,,,,,,,9.2,,,,,
TJK,,,,,,,62.4,,,,,,,
TZA,,,,,,,42.8,,,,,36.8,,
TLS,,,,,,,,,,,,72.2,,
TGO,,,,,,,,35.2,,,,,,
TTO,,,,,,,,1,,,,,,
TKM,,40.3,,,,,,,,,,,,
UGA,,,56.3,,,,,52.2,,,,,37.7,
UKR,,,,,,,0.7,,0.4,,,,,
VNM,,,,,,,,38.7,,,,,,
ZMB,,,,78.8,,,,,42.3,,,,,
ZWE,27.8,,,,,,,33,,,,,22.3,
ASE,,,,,,,,18.9,,,,,,
SAM,,,,,,,,8.8,,,,,,
SAE,,,,,,,,21.7897,,,,,,
# Series: HJBWSGOW,,,,,,,,,,,,,,
# Name: Women who believe a husband is justified in beating his wife when she goes out without telling him (%),,,,,,,,,,,,,,
# Definition: Survey question; Percent of women ages 15-49 who believe a husband/partner is justified in hitting or beating his wife/partner when she goes out without telling him.,,,,,,,,,,,,,,
# Source: Compiled by World Bank from DHS Household Surveys,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,
