ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ALB,,,,,,,,,,,73.7,,,100,,,
ARM,,,,,,89.3,,,,,69.5,,,,,91.4,
AZE,,,,,,,,,,,,28.7,,,,,
BGD,,68.1,,,67.8,,,,,80.8,,89.1,91.2,,,,
BLR,,,,,,,,,,,98.9,,,,,,
BLZ,,,,,,,,,,,,73.9,,,,,
BEN,,68.2,,,,,71.4,,,,,68.5,,,,,
BOL,,,,50.3,,,,,73.7,,,,,84.8,,,
BIH,,,,,,,,,,,,92.4,,,,,
BRA,,79.9,,,,,,,,,,,,,,,
BFA,,,,41.6,,,,,56.9,,,80.1,,,,,
BDI,,,,,,,,,,,62,,,,,,
KHM,,,,,,47,,,,,75,,,,,85.1,
CMR,,,,48.8,,,,,,66.3,,76.3,,,,,
CAF,,,,,,,,,,,,39.7,,,,,
TCD,,18.4,,,,,,,,20.7,,,,,,,
COL,75.5,,,,,78.7,,,,,79.9,,,,,89.9,
COM,,69.2,,,,,,,,,,,,,,,
COG,,,,,,,,,,,69.7,,,,,,
CIV,,,,61.5,,,,,,,,78.2,,,,,
CUB,,,,,,,,,,,,91.9,,,,,
COD,,,,,,,,,,,,,46.2,,,,
DJI,,,,,,,,,,,,59.8,,,,,
DOM,,60.3,,,53.8,,,60.6,,,,,73,,,,
EGY,83,,,,,94.4,,,,,94.3,,,98.4,,,
ETH,,,,,,19.4,,,,,30.4,,,,,,39.3
GAB,,,,,,32.8,,,,,,,,,,,
GMB,,,,,,,,,,,88.8,,,,,,
GEO,,,,,,,,,,,62,,,,,,
GHA,,,,72.4,,,,,77.7,,,85.1,,89.3,,,
GTM,59.4,,,67.5,,,,,,,,,,,,,
GIN,,,,,47.7,,,,,,50.4,,,,,,
GNB,,,,,,,,,,,,64.6,,,,,
GUY,,,,,,,,,,,,82.4,,,85.1,,
HTI,,,,,,43.1,,,,,54.7,,,,,,
HND,,,,,,,,,,,93,,,,,,
IND,,,,54.1,,,,,,,53.1,,,,,,
IDN,,,66.1,,,,,58.9,,,,,68.1,,,,
IRQ,,,,,,,,,,,,58.8,,,,,
JAM,,,,,,,,,,,78.1,,,,,,
JOR,,,96.2,,,,,98.3,,,,,98.2,,,,
KAZ,62.2,,,,88,,,,,,,96.6,,,,,
KEN,,,,78.1,,,,,73.8,,,,,90,,,
KGZ,,,80.7,,,,,,,,49.3,,,,,,
LAO,,,,,,,,,,,,42,,,,,
LSO,,,,,,,,,,84.7,,,,,84.1,,
LBR,,,,,,,,,,,,,52,,,,
MKD,,,,,,,,,,,82.8,,,,,,
MDG,,,48.6,,,,,,67.7,,,,,73.2,,,
MWI,,,,,,84.9,,,,82.1,,86.2,,,,93.6,
MDV,,,,,,,,,,,,,,,97.9,,
MLI,37,,,,,,38,,,,,64.8,,,,,
MRT,,,,,,,,,,,,,57.1,,,,
MNG,,,,,,,,,,,90.9,,,,,,
MNE,,,,,,,,,,,84.2,,,,,,
MAR,,,,,,,,,94.9,,,,,,,,
MOZ,,,56,,,,,,71,,,,,70.5,,,
NAM,,,,,,80.7,,,,,,82.5,,,,,
NPL,,52.2,,,,,70.2,,,,,87,,,,,91.3
NIC,,,79,,,,83.6,,,,,,,,,,
NER,,,,24.8,,,,,,,,40.7,,,,,
NGA,,,,,28,,,,24.1,,,,30.4,35.6,,,
PAK,,,,,,,,,,,,55.4,,,,,
PER,,78.8,,,,82.7,,,,80.4,,,,,,,
PHL,,,,81.9,,,,,80.3,,,,,84.3,,,
MDA,,,,,,,,,,,57.3,,,,,,
RWA,,,,,,87.1,,,,,89.3,,,,,96.8,
STP,,,,,,,,,,,,,,87,,,
SEN,,,,,,,,,,,78.9,,,,,80.8,
SRB,,,,,,,,,,,85.4,,,,,,
SLE,,,,,,,,,,,63.5,,,60.2,,,
SOM,,,,,,,,,,,,12.2,,,,,
ZAF,,,,78.3,,,,,,,,,,,,,
SUR,,,,,,,,,,,,87.3,,,,,
SWZ,,,,,,,,,,,,89.9,,,,,
SYR,,,,,,,,,,,,75.9,,,,,
TJK,,,,,,,,,,,80.3,,,,,,
TZA,,85,,,78.3,,,,,86,,,,,,87.9,
THA,,,,,,,,,,,94.3,,,,,,
TLS,,,,,,,,,,,,,,,64.1,,
TGO,,,,41,,,,,,,,62.6,,,,,
TTO,,,,,,,,,,,,72.1,,,,,
TUR,,,,57.3,,,,,62.6,,,,,,,,
UGA,59.5,,,,,47.9,,,,,,65.4,,,,,
UZB,,90.2,,,,,,,,,,92.8,,,,,
VUT,,,,,,,,,,,,,62.8,,,,
VNM,,,69.2,,,,,72.7,,,,79.5,,,,,
YEM,,,,,,,,,,,,52.5,,,,,
ZMB,,86.7,,,,,81.7,,,,,,79.8,,,,
ZWE,,,,,81.9,,,,,,64.3,,,,84.4,75.4,
ASE,,,,54.1,,,,,,,53.1,,,,,,
SAM,,,,54.1,,,,,,,53.1,,,,,,
SAE,,,,40.4912,,,,,,,39.6156,,,,,,
# Series: IDTPFEIN,,,,,,,,,,,,,,,,,
"# Name: DTP3 immunization, female",,,,,,,,,,,,,,,,,
"# Definition: The percentage of one-year-olds who have received three doses of the combined diphtheria, tetanus toxoid and pertussis (DTP3) vaccine in a given year.",,,,,,,,,,,,,,,,,
# Source: WHO; aggregates MICS and DHS,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,
