ISO,1990,2000,2010,2012
AFG,113.6,88.4,70.1,66.8
ALB,33.5,23,14.6,13.6
DZA,37.8,26.3,16.2,15.1
AND,6,3.7,2.6,2.4
AGO,116.1,111.1,96.1,91.4
ATG,17.5,12.6,8.7,8.2
ARG,21.5,16,11.8,11.3
ARM,37.7,23.5,14.3,13
AUS,6.6,4.6,3.7,3.6
AUT,7.1,4.1,3.1,3
AZE,67.9,55.1,31.2,28.6
BHS,18.1,13.2,13.3,12.8
BHR,19.2,10.6,8.4,8
BGD,92.7,59.9,34.6,30.3
BRB,14.1,14.6,16.2,15.4
BLR,11.4,9.6,4,3.4
BEL,7.1,4.2,3.1,3
BLZ,31.3,18.7,14.6,14
BEN,101.2,84.6,57.6,53.9
BTN,84.9,54.6,34.3,32
BOL,77.8,52.4,31.6,29.3
BIH,14.4,7.8,5.8,5.2
BWA,33.8,49.4,39.2,36.6
BRA,45.9,25.4,12.7,11.2
BRN,8.4,6.9,6.2,6.1
BGR,16,15.8,10,9.4
BFA,94.2,89.1,64.2,60.1
BDI,88.9,82.2,63.4,59.6
KHM,76.6,73.3,32.7,29.7
CMR,75.9,83.8,58.7,55.1
CAN,6.1,4.8,4.5,4.3
CPV,42.6,27.3,17.7,16.6
CAF,104.2,100.1,87.6,83.4
TCD,104.9,96.8,85.3,81.9
CHL,14.4,8.3,7.1,7.1
CHN,39.9,28.3,12.7,11.2
COL,25.3,18.5,14,13.2
COM,80.2,65.3,55.4,52.5
COG,58.6,68.4,59.7,56.7
COK,18.5,13.1,8.6,8.1
CRI,12.6,10,8,7.7
CIV,94.7,89.9,72.2,68.8
HRV,9.8,6.4,4.1,3.7
CUB,8.9,5.7,4.1,3.8
CYP,8.9,5.1,2.6,2.3
CZE,11,4.9,3,2.7
PRK,29.7,40,21.9,20.1
COD,105.1,104,96.2,91.9
DNK,6.5,4.1,3,2.7
DJI,85.7,78.8,63.9,60.5
DMA,13,12.5,10.9,10.5
DOM,42.1,29.2,21.6,20.4
ECU,38.3,24.4,18.2,17.1
EGY,60.9,34.4,18.7,17
SLV,41,23.3,13,12
GNQ,114.4,91.2,69.9,65.9
ERI,82.9,52.1,34.9,32.8
EST,14.3,7.8,3.1,2.6
ETH,108.2,79.7,44.7,40.6
FJI,22.5,18.1,16.9,16.7
FIN,4.9,3.2,2.3,2.1
FRA,6.3,3.9,3.1,3
GAB,53.4,49.7,40.1,37.4
GMB,72.8,56.6,45.7,44.3
GEO,26.3,25.8,16.5,15.3
DEU,6,3.9,3.1,3.1
GHA,73,59.9,45.8,43.5
GRC,10.3,6.3,3.7,3.8
GRD,16.8,12.3,10.9,10.5
GTM,54,35.8,25.1,23.5
GIN,133.1,95.7,63.9,59.5
GNB,110.5,94.6,76.2,72.2
GUY,40,32,26.3,24.9
HTI,91.2,68.1,66.1,50.8
HND,40.7,27.2,18.3,17
HUN,15,8.8,5.1,4.9
ISL,4.6,2.8,1.7,1.6
IND,86,66.8,47.9,44.3
IDN,55,36.5,24.2,22.5
IRN,42.2,27,15.5,14.2
IRQ,38,32.5,26.7,25.4
IRL,6.9,5.4,3.2,3
ISR,9,5.2,3.3,3.1
ITA,7.5,4.3,3.1,2.9
JAM,21.7,17.2,13.3,12.6
JPN,4.2,3,2.2,2.1
JOR,28.6,21.9,16.3,15.4
KAZ,39.4,32.3,16.4,14
KEN,58.9,63,47.2,44.4
KIR,62.2,48.5,43.4,41.7
KWT,12.8,10.2,8.9,8.7
KGZ,52,37.6,23.5,20.6
LAO,102.8,77.6,52.9,48.9
LVA,14.5,13,7.5,6.9
LBN,25.9,16.3,8.3,7.6
LSO,62,72.6,69.7,67.3
LBR,153.2,110.9,55.4,50.8
LBY,32.8,21.6,12.7,11.6
LTU,11.9,8.6,5,4
LUX,6.4,3.5,1.8,1.6
MKD,31.3,13.1,8,6
MDG,90.3,64.2,39.7,37.1
MWI,135,96.1,48.1,41.8
MYS,12.7,7.8,6.5,6.5
MDV,62.3,32.2,10,8
MLI,120.1,107.8,76.6,73.1
MLT,8.9,6,5.4,5.3
MHL,34,29.2,27.3,26.7
MRT,72.4,65.8,58.7,57.1
MUS,17,14,11.3,11.4
MEX,33.3,19.2,13.2,12.5
FSM,38.8,37.7,29.4,27.8
MCO,5.7,3.9,3,2.8
MNG,61.6,39,19.9,18.2
MNE,14.2,11.6,6,5.2
MAR,57.5,37.9,25.4,23.6
MOZ,147.7,106.5,66.5,58.8
MMR,68,52,38.6,36.3
NAM,44.6,43.2,27.6,25
NRU,40.5,30.3,27.8,26.8
NPL,92.8,56.6,33.4,30.8
NLD,5.9,4.5,3.3,3.1
NZL,8,5.4,4.4,4.2
NIC,45.4,28.9,19.4,18.2
NER,129.3,94.9,62.2,58.1
NGA,115.9,104.1,75.6,71.1
NIU,10.6,17.4,19.6,18.7
NOR,6.2,3.5,2.2,2
OMN,28.6,13.1,9.2,8.9
PAK,99.8,82.2,67,64.2
PLW,26.9,19.6,13.8,13
PAN,23.3,19.3,14.9,14
PNG,59.3,53,45.8,43.7
PRY,32.9,24.3,17.8,16.7
PER,51,27.3,13.9,12.6
PHL,35.6,26.3,21.4,20.3
POL,13.3,7.3,4.6,3.9
PRT,10.3,5.1,2.8,2.7
QAT,16,9.8,6.4,5.9
KOR,6,5,3.3,3
MDA,23.4,22.2,14.2,13.3
ROU,27.5,20.3,10.4,9.5
RUS,18.6,16.9,8.8,7.8
RWA,86.2,101.6,39.9,35.2
KNA,20.4,12.1,6.7,6.3
LCA,16.1,13.3,13.7,13.1
VCT,18.7,17.4,19.5,19.1
WSM,22.8,16.5,14,13.8
SMR,8.6,4.5,2.8,2.6
STP,60.3,51.4,35.8,33.9
SAU,33.8,17,7.8,6.8
SEN,64.9,63.4,42.4,40.4
SRB,22.6,9.6,5.8,5.1
SYC,13,10.9,10.7,10.3
SLE,141.7,132,113.2,108.2
SGP,5.5,2.8,2,2
SVK,13.5,9,6.1,5.6
SVN,7.7,4.1,2.5,2.3
SLB,27.9,25.4,24.1,22.9
SOM,99.3,96.2,88.7,84.2
ZAF,41.6,45.8,30.9,29.3
SSD,137.7,100.3,65,60.9
ESP,8.3,5,3.7,3.5
LKA,16.4,13.3,8,7.5
SDN,71.9,60.4,46,43.6
SUR,38.2,25.3,17.2,16.2
SWZ,48.3,72.3,55.5,50.5
SWE,5.2,3,2.2,2.1
CHE,5.9,4.2,3.5,3.4
SYR,27.7,17.7,11.6,11
TJK,73.9,65.2,46.2,43.5
TZA,95.7,76.2,38.4,34.8
THA,26.4,16.2,10.4,9.8
TLS,119.4,76.6,46.8,43.3
TGO,80.4,68.8,58.3,55.6
TON,17.1,13.7,10.4,9.8
TTO,26.2,22,17.4,16.4
TUN,36.9,22.3,13.6,12.5
TUR,50.9,27.5,12.2,11
TKM,61.4,54,40,37.6
TUV,40,30.2,23.2,21.8
UGA,99.1,81,45.9,40.6
UKR,14.2,13.3,8.9,8.1
ARE,12.6,8.5,6.7,6.4
GBR,6.8,5,3.9,3.6
USA,8.3,6.4,5.7,5.5
URY,17.9,12.3,6.9,5.6
UZB,52,44,31.3,29.3
VUT,25.6,18.5,14.5,13.7
VEN,21.3,15.7,11.9,11.4
VNM,31.5,21.1,16.1,15.8
YEM,80.5,63.7,44.5,41.8
ZMB,106.4,92.4,57.7,51.6
ZWE,43.8,53.6,52.2,49
AAE,35.7687,27.925,20.1469,19.025
ACE,18.6471,13.5549,8.48824,7.77255
GEA,44.6918,35.7026,25.5392,23.8758
HIA,12.8839,8.74821,6.275,5.88393
AME,31.2394,21.6515,16.3121,15.0121
LIA,97.0861,80.4167,56.6528,52.6167
LMA,58.1348,47.6196,34.913,32.8543
ANE,34.77,24.04,16.475,15.44
ASA,7.2,5.6,5.1,4.9
ASE,81.0625,56.75,38.1625,35.4875
AEE,87.1958,76.6854,56.1188,52.6833
UMA,31.775,24.1232,17.1018,16.0161
EAM,27.9,21.1,16.9,16.7
ECM,11.4,7.3,4,3.7
GEM,33.3,23.3,15.5,14
HIM,8.6,5.2,3.7,3.6
LCM,25.3,18.7,13.9,13.1
LIM,94.2,81,55.4,50.8
LMM,57.5,39,29.4,27.8
MEM,28.6,17.7,11.6,11
NAN,6.1,4.8,4.5,4.3
SAM,86,56.6,34.3,30.8
SSM,88.9,79.7,55.5,51.6
UMM,28.6,19.3,13.6,12.6
EAE,,26.9672,14.5794,13.295
ECE,,13.0042,7.87337,7.26255
GLE,,38.9796,27.0806,25.3084
HWW,,6.88338,4.78064,4.4828
LCE,,22.8254,14.5343,13.2661
LIW,,74.3884,50.6708,46.8651
LMW,,59.0086,43.2309,40.4561
MEE,,29.5978,18.3153,16.9673
NAE,,6.24302,5.58076,5.38001
SAE,,67.1618,48.3346,44.8528
SSE,,84.3362,60.0901,56.3734
UMW,,26.8826,14.1136,12.8176
# Series: IGMEFEIN,,,,
"# Name: Infant mortality rate, female",,,,
"# Definition: Number of deaths under one year of age occurring among the live births in a given geographical area during a given year, per 1,000 live births occurring among the population of the given geographical area during the same year.",,,,
# Source: UN Inter-agency Group for Child Mortality Estimation (IGME),,,,
# Data from the No Ceilings project: http://noceilings.org,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,
