ISO,2010
DZA,71.9
AUS,93.1
AZE,66.8
CHL,87.7
COL,90
ECU,91.2
EGY,97.8
EST,75.7
DEU,73.2
GHA,96.7
IRQ,77.3
JOR,71.8
KAZ,85.8
KWT,82
KGZ,87.2
LBN,60.9
LBY,82.8
MYS,100
MEX,88.9
NLD,82.5
NGA,94.7
PAK,90.3
PER,88.6
PHL,89.9
POL,83.2
ROU,88.9
RWA,95.1
SGP,92.3
TUN,78.5
UKR,80.7
YEM,89.8
ZWE,93.6
# Series: IHEFLMRV,
"# Name: Percentage of respondents believing that honest elections are either rather important or very important, % male",
# Definition: Percentage of males that see it as rather or very important to have honest elections.,
# Source: World Values Survey,
# Data from the No Ceilings project: http://noceilings.org,
"# For more about the data, please visit http://noceilings.org/data",
