ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ALB,,,,,,,,,,,70.5,,,89.4,,,
ARM,,,,,,71,,,,,71.8,,,,,86.5,
AZE,,,,,,,,,,,,48.4,,,,,
BGD,,71.9,,,73.2,,,,,75.6,,89.8,82.1,,,,
BLR,,,,,,,,,,,92.5,,,,,,
BLZ,,,,,,,,,,,,80.4,,,,,
BEN,,63.4,,,,,69.1,,,,,60.3,,,,,
BOL,,,,53.1,,,,,64.6,,,,,72.6,,,
BIH,,,,,,,,,,,,82.7,,,,,
BRA,,87.1,,,,,,,,,,,,,,,
BFA,,,,47.4,,,,,53.5,,,75.8,,,,,
BDI,,,,,,,,,,,79.7,,,,,,
KHM,,,,,,56.9,,,,,78.1,,,,,80.5,
CMR,,,,55.4,,,,,,64.5,,90,,,,,
CAF,,,,,,,,,,,,62.5,,,,,
TCD,,25.2,,,,,,,,22.6,,,,,,,
COL,86.3,,,,,73.3,,,,,82.6,,,,,81.6,
COM,,63,,,,,,,,,,,,,,,
COG,,,,,,,,,,,63.7,,,,,,
CIV,,,,64.5,,,,,,,,88.5,,,,,
CUB,,,,,,,,,,,,83.8,,,,,
COD,,,,,,,,,,,,,61.9,,,,
DJI,,,,,,,,,,,,71.4,,,,,
DOM,,76.9,,,78.7,,,88.4,,,,,69.2,,,,
EGY,89.7,,,,,96.6,,,,,96.5,,,97.8,,,
ETH,,,,,,27.4,,,,,36.4,,,,,,55.7
GAB,,,,,,55.1,,,,,,,,,,,
GMB,,,,,,,,,,,91.2,,,,,,
GEO,,,,,,,,,,,61.4,,,,,,
GHA,,,,72.7,,,,,83.2,,,85.9,,88.5,,,
GTM,75.9,,,81.8,,,,,,,,,,,,,
GIN,,,,,52.1,,,,,,51.6,,,,,,
GNB,,,,,,,,,,,,76.8,,,,,
GUY,,,,,,,,,,,,91.8,,,68.6,,
HTI,,,,,,54.2,,,,,54.3,,,,,,
HND,,,,,,,,,,,85.9,,,,,,
IND,,,,51.6,,,,,,,61.4,,,,,,
IDN,,,68.7,,,,,72.6,,,,,75.1,,,,
IRQ,,,,,,,,,,,,70,,,,,
JAM,,,,,,,,,,,81.4,,,,,,
JOR,,,90,,,,,94.7,,,,,93.1,,,,
KAZ,72.8,,,,78.8,,,,,,,98.8,,,,,
KEN,,,,79.4,,,,,72.9,,,,,84.1,,,
KGZ,,,83.5,,,,,,,,85,,,,,,
LAO,,,,,,,,,,,,42.2,,,,,
LSO,,,,,,,,,,85.5,,,,,77.9,,
LBR,,,,,,,,,,,,,61.3,,,,
MKD,,,,,,,,,,,65.5,,,,,,
MDG,,,47.4,,,,,,51.6,,,,,69.1,,,
MWI,,,,,,83.2,,,,78.8,,85.7,,,,91.7,
MDV,,,,,,,,,,,,,,,94.9,,
MLI,54.9,,,,,,49.4,,,,,71.3,,,,,
MRT,,,,,,,,,,,,,78.6,,,,
MNG,,,,,,,,,,,87.1,,,,,,
MNE,,,,,,,,,,,70.9,,,,,,
MAR,,,,,,,,,88.3,,,,,,,,
MOZ,,,57.8,,,,,,77.4,,,,,75.1,,,
NAM,,,,,,79.1,,,,,,82.8,,,,,
NPL,,59.1,,,,,72.9,,,,,87.1,,,,,89.7
NIC,,,85.5,,,,78.2,,,,,,,,,,
NER,,,,35.5,,,,,,,,46.6,,,,,
NGA,,,,,40.1,,,,33.8,,,,44.3,41.5,,,
PAK,,,,,,,,,,,,63.1,,,,,
PER,,84.8,,,,70.8,,,,69.1,,,,,,,
PHL,,,,78.8,,,,,78.3,,,,,85,,,
MDA,,,,,,,,,,,56,,,,,,
RWA,,,,,,85.5,,,,,84.9,,,,,95.1,
STP,,,,,,,,,,,,,,86.3,,,
SEN,,,,,,,,,,,73.2,,,,,82.1,
SRB,,,,,,,,,,,73,,,,,,
SLE,,,,,,,,,,,77.8,,,58.8,,,
SOM,,,,,,,,,,,,30,,,,,
ZAF,,,,83.8,,,,,,,,,,,,,
SUR,,,,,,,,,,,,61.2,,,,,
SWZ,,,,,,,,,,,,91.5,,,,,
SYR,,,,,,,,,,,,80.2,,,,,
TJK,,,,,,,,,,,84.2,,,,,,
TZA,,80.7,,,79.8,,,,,79.8,,,,,,86.4,
THA,,,,,,,,,,,96.7,,,,,,
TLS,,,,,,,,,,,,,,,69,,
TGO,,,,45.1,,,,,,,,60.9,,,,,
TTO,,,,,,,,,,,,79.5,,,,,
TUR,,,,78.9,,,,,80,,,,,,,,
UGA,60.4,,,,,56.2,,,,,,67.1,,,,,
UZB,,90.7,,,,,,,,,,93,,,,,
VUT,,,,,,,,,,,,,53.4,,,,
VNM,,,76.2,,,,,84.2,,,,84.7,,,,,
YEM,,,,,,,,,,,,65.7,,,,,
ZMB,,86.2,,,,,82.7,,,,,,84.9,,,,
ZWE,,,,,77.4,,,,,,63.3,,,,90.1,78.1,
ASE,,,,51.6,,,,,,,61.4,,,,,,
SAM,,,,51.6,,,,,,,61.4,,,,,,
SAE,,,,38.6201,,,,,,,45.8079,,,,,,
# Series: IMCVMAIN,,,,,,,,,,,,,,,,,
"# Name: MCV immunization, male",,,,,,,,,,,,,,,,,
# Definition: The percentage of children aged 12-23 months who have received at least one dose of measles-containing vaccine in a given year.,,,,,,,,,,,,,,,,,
# Source: WHO; aggregates MICS and DHS,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,
