ISO,2000,2003,2004,2005,2006,2007,2010
AUS,,4,,,,,
CRI,,7,,,,,
CIV,,,,2.8,,,
CZE,,5,,,,,
COD,,,,,,4.2,
DNK,,2,,,,,
ITA,,,,,3.5,,
MAR,,,,,,,8.7
MOZ,,,9,,,,
POL,,,2,,,,
SWE,7,,,,,,
CHE,,1,,,,,
USA,0.3,,,,,,
ASA,0.3,,,,,,
NAN,0.3,,,,,,
NAE,0.270566,,,,,,
# Series: IPNPTWCP,,,,,,,
"# Name: Intimate partner and/or non-partner violence, sexual, % women who experienced in the last 12 months",,,,,,,
# Definition: Country-specific data on % of women who are victims of intimate partner and/or non-partner sexual violence in the last 12 months.,,,,,,,
"# Source: UN Women - from DHS, WHO Multi-country study, International Violence Against Women Surveys",,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,
