ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ALB,,,,,,,,,,,57.6,,,100,,,
ARM,,,,,,92.5,,,,,72,,,,,94.1,
AZE,,,,,,,,,,,,21.1,,,,,
BGD,,59.8,,,67.6,,,,,82,,95.6,91,,,,
BLR,,,,,,,,,,,97.7,,,,,,
BLZ,,,,,,,,,,,,36.6,,,,,
BEN,,66.7,,,,,69.4,,,,,64.8,,,,,
BOL,,,,40.8,,,,,70.3,,,,,85.4,,,
BIH,,,,,,,,,,,,91.6,,,,,
BRA,,80.7,,,,,,,,,,,,,,,
BFA,,,,42.7,,,,,58.8,,,81,,,,,
BDI,,,,,,,,,,,74.4,,,,,,
KHM,,,,,,50.7,,,,,74.2,,,,,85.4,
CMR,,,,47.6,,,,,,69.7,,70.5,,,,,
CAF,,,,,,,,,,,,48.9,,,,,
TCD,,17.6,,,,,,,,35.9,,,,,,,
COL,72.9,,,,,72.2,,,,,67.4,,,,,81.3,
COM,,66.3,,,,,,,,,,,,,,,
COG,,,,,,,,,,,68.1,,,,,,
CIV,,,,60.4,,,,,,,,79.8,,,,,
CUB,,,,,,,,,,,,59.5,,,,,
COD,,,,,,,,,,,,,48.2,,,,
DJI,,,,,,,,,,,,46.8,,,,,
DOM,,52,,,27.2,,,47.6,,,,,70.6,,,,
EGY,84.5,,,,,95.5,,,,,89.4,,,95.6,,,
ETH,,,,,,33.5,,,,,44.4,,,,,,47.4
GAB,,,,,,26.8,,,,,,,,,,,
GMB,,,,,,,,,,,89.8,,,,,,
GEO,,,,,,,,,,,35.8,,,,,,
GHA,,,,71.7,,,,,78.3,,,83.7,,86.9,,,
GTM,58.1,,,64.7,,,,,,,,,,,,,
GIN,,,,,44,,,,,,50,,,,,,
GNB,,,,,,,,,,,,65.5,,,,,
GUY,,,,,,,,,,,,78.9,,,72.5,,
HTI,,,,,,45.1,,,,,53.6,,,,,,
HND,,,,,,,,,,,87.4,,,,,,
IND,,,,59.4,,,,,,,77.4,,,,,,
IDN,,,75.6,,,,,66.2,,,,,74.9,,,,
IRQ,,,,,,,,,,,,62.5,,,,,
JAM,,,,,,,,,,,76.5,,,,,,
JOR,,,95.5,,,,,98.2,,,,,98.7,,,,
KAZ,59,,,,84.1,,,,,,,95.8,,,,,
KEN,,,,72.9,,,,,68.5,,,,,75.9,,,
KGZ,,,83.7,,,,,,,,30.5,,,,,,
LAO,,,,,,,,,,,,43.1,,,,,
LSO,,,,,,,,,,80.8,,,,,77,,
LBR,,,,,,,,,,,,,51.8,,,,
MKD,,,,,,,,,,,77.3,,,,,,
MDG,,,47.9,,,,,,70.1,,,,,70.1,,,
MWI,,,,,,81,,,,78.8,,81.3,,,,85.7,
MDV,,,,,,,,,,,,,,,97.1,,
MLI,38.1,,,,,,40.2,,,,,58.8,,,,,
MRT,,,,,,,,,,,,,47.5,,,,
MNG,,,,,,,,,,,86.6,,,,,,
MNE,,,,,,,,,,,86.2,,,,,,
MAR,,,,,,,,,95.5,,,,,,,,
MOZ,,,53.3,,,,,,70,,,,,72.3,,,
NAM,,,,,,77.3,,,,,,78.8,,,,,
NPL,,49.8,,,,,90.9,,,,,89.8,,,,,92
NIC,,,82.3,,,,81.4,,,,,,,,,,
NER,,,,24,,,,,,,,57.3,,,,,
NGA,,,,,26.5,,,,33,,,,29.4,39,,,
PAK,,,,,,,,,,,,81.7,,,,,
PER,,73.1,,,,74.7,,,,74.2,,,,,,,
PHL,,,,83,,,,,80.3,,,,,83.6,,,
MDA,,,,,,,,,,,59,,,,,,
RWA,,,,,,88,,,,,85.9,,,,,93.8,
STP,,,,,,,,,,,,,,85.5,,,
SEN,,,,,,,,,,,73.5,,,,,72.4,
SRB,,,,,,,,,,,88.1,,,,,,
SLE,,,,,,,,,,,62.6,,,50.2,,,
SOM,,,,,,,,,,,,38.5,,,,,
ZAF,,,,72.7,,,,,,,,,,,,,
SUR,,,,,,,,,,,,88.7,,,,,
SWZ,,,,,,,,,,,,86.9,,,,,
SYR,,,,,,,,,,,,74.6,,,,,
TJK,,,,,,,,,,,31.6,,,,,,
TZA,,77.9,,,79.4,,,,,84.3,,,,,,86.2,
THA,,,,,,,,,,,92.6,,,,,,
TLS,,,,,,,,,,,,,,,53.8,,
TGO,,,,45.2,,,,,,,,70.7,,,,,
TTO,,,,,,,,,,,,85.8,,,,,
TUR,,,,62.2,,,,,64.5,,,,,,,,
UGA,58.1,,,,,56.5,,,,,,61.1,,,,,
UZB,,92.5,,,,,,,,,,88.2,,,,,
VUT,,,,,,,,,,,,,60.5,,,,
VNM,,,63.7,,,,,76.2,,,,75.2,,,,,
YEM,,,,,,,,,,,,62.9,,,,,
ZMB,,85.2,,,,,80.9,,,,,,77.3,,,,
ZWE,,,,,67.2,,,,,,66.3,,,,83.2,75.6,
ASE,,,,59.4,,,,,,,77.4,,,,,,
SAM,,,,59.4,,,,,,,77.4,,,,,,
SAE,,,,44.458,,,,,,,57.7448,,,,,,
# Series: IPOLFEIN,,,,,,,,,,,,,,,,,
"# Name: Pol3 immunization, female",,,,,,,,,,,,,,,,,
# Definition: The percentage of one-year-olds who have received three doses of polio vaccine in a given year.,,,,,,,,,,,,,,,,,
# Source: WHO; aggregates MICS and DHS,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,
