ISO,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010
ALB,,1.5,,,,,,,,
AUS,,,1,,,,,,,
AZE,,,,,,2,,,,
BGD,,,,,,,11,,,
BOL,,,,,,,,6.4,,
KHM,,,,,1.7,,,,,
CRI,,,3,,,,,,,
CZE,,,2,,,,,,,
DOM,,,,,,,3.6,,,
ECU,,,,4,,,,,,
EGY,,,,,3.9,,,,,
SLV,,,,,,,,3.3,,
FIN,,,,,2,,,,,
FRA,,0.9,,,,,,,,
GEO,,,,,0.3,,,,,
GHA,,,,,,,,5.2,,
GTM,,3.5,,,,,,,,
HTI,,,,,,9.8,,,,
HND,,,,,,4.4,,,,
IND,,,,,,7.2,,,,
IRL,,,0.7,,,,,,,
ITA,,,,,,1,,,,
JOR,,,,,,,5.6,,,
KEN,,,13.6,,,,,,,
KIR,,,,,,,,33.7,,
LBR,,,,,,,9.6,,,
MWI,,,,10.8,,,,,,
MDV,,,,,,2,,,,
MOZ,,,,6,,,,,,
NIC,,,,,,4.4,,,,
NGA,,,,,,,,3.2,,
NOR,,,,,,,,1,,
PRY,,,,2.6,,,,,,
PER,,,,,,,,,2.8,
PHL,,,,,,,,4.9,,
KOR,,,,,,,9.5,,,
MDA,,,,,2.5,,,,,
WSM,11.5,,,,,,,,,
STP,,,,,,,,,8.3,
TLS,,,,,,,,,,2
TUR,,,,,,,,,7,
UGA,,,,,,24.8,,,,
UKR,,,,,,,2.2,,,
GBR,,,,,0.2,,,,,
USA,0.2,,,,,,,,,
VNM,,,,,,,,,4.2,
ZMB,,,,,,,16,,,
ZWE,,,,,,12.7,,,,
ASA,0.2,,,,,,,,,
ASE,,,,,,4.6,,,,
NAN,0.2,,,,,,,,,
SAM,,,,,,2,,,,
NAE,0.180377,,,,,,,,,
SAE,,,,,,5.37268,,,,
# Series: IPVSTWCP,,,,,,,,,,
"# Name: Intimate partner violence, sexual, % women who experienced in the last 12 months",,,,,,,,,,
# Definition: Country-specific data on % of women who are victims of intimate partner and/or non-partner physical and/or sexual violence in a lifetime.,,,,,,,,,,
"# Source: UN Women - from DHS, WHO Multi-country study, International Violence Against Women Surveys",,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,
