ISO,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,,,,,,,,,,,,,100,,,,,
ARM,,,,,,,99.7,,,,,99.8,,,,,100,,,
AZE,,,,,,,,,,,,,99.2,,,,,,,
BGD,,,,100,,,100,,,,100,,,100,,,,,,
BEN,,,95.5,,,,,98.8,,,,,98.7,,,,,,92.9,
BOL,,,,,99.8,,,,,99.9,,,,,99.8,,,,,
BRA,,,100,,,,,,,,,,,,,,,,,
BFA,,,,,,95.6,,,,98.5,,,,,,,99.6,,,
BDI,,,,,,,,,,,,,,,,,99.7,,,
KHM,,,,,,,99.1,,,,,99.9,,,,,100,,,
CMR,,,,,97.6,,,,,,99.4,,,,,,,99.7,,
TCD,,,,77.4,,,,,,,82.7,,,,,,,,,
COL,100,100,,,,,100,,,,,100,,,,,100,,,
COM,,,99.1,,,,,,,,,,,,,,,,99.6,
COG,,,,,,,,,,,,99.5,,,,,,,,
CIV,,,,,98.9,,,,,,,,,,,,,,98.5,
COD,,,,,,,,,,,,,,98,,,,,,99.5
DOM,,,100,,,100,,,99.9,,,,,99.8,,,,,,100
EGY,,100,,,,,100,,,,,100,,,100,,,,,
ERI,,97.3,,,,,,,99.3,,,,,,,,,,,
ETH,,,,,,,97.1,,,,,95.8,,,,,,99.6,,
GAB,,,,,,,97.1,,,,,,,,,,,,99.5,
GHA,,,,,98.8,,,,,99.9,,,,,99.6,,,,,
GTM,,99,,,,99.9,,,,,,,,,,,,,,
GIN,,,,,,94.7,,,,,,97.3,,,,,,,97.7,
GUY,,,,,,,,,,,,,,,,99.6,,,,
HTI,,,,,,,100,,,,,,100,,,,,,100,
HND,,,,,,,,,,,,100,,,,,,100,,
IND,,,,,,99.9,,,,,,,99.8,,,,,,,
IDN,,,,99.6,,,,,,99.8,,,,99.9,,,,,99.8,
JOR,99.9,,,100,,,,,100,,,,,100,,99.6,,,99.9,
KAZ,,100,,,,99.9,,,,,,,,,,,,,,
KEN,,,,,98.6,,,,,99.2,,,,,98.6,,,,,
KGZ,,,,100,,,,,,,,,,,,,,,99.8,
LSO,,,,,,,,,,,99.9,,,,,99.6,,,,
LBR,,,,,,,,,,,,,,98.8,,,,,,99
MDG,,,,98.8,,,,,,,99.2,,,,99.8,,,,,
MWI,,,,,,,99.6,,,,99.8,,,,,,99.9,,,
MDV,,,,,,,,,,,,,,,,99.7,,,,
MLI,,,91,,,,,94.8,,,,,92.8,,,,,,97,
MRT,,,,,,,93.3,,,,,,,,,,,,,
MAR,,,,,,,,,,100,,,,,,,,,,
MOZ,,,,91.1,,,,,,99.7,,,,,,,,99.6,,
NAM,,,,,,,99.3,,,,,,99.9,,,,,,,
NPL,,,99.7,,,,,99.6,,,,,100,,,,,100,,
NIC,,,,,99.7,,,100,,,,,,,,,,,,
NER,,,,,97.1,,,,,,,,89.2,,,,,,97.1,
NGA,81.7,,,,,,,,,97.7,,,,,96.2,,,,,99.1
PAK,,,,,,,,,,,,,99.2,,,,,,99.8,
PRY,99.6,,,,,,,,,,,,,,,,,,,
PER,,,99.9,,,,100,,,,100,,,100,,100,100,100,,
PHL,,,,,99.9,,,,,99.8,,,,,99.8,,,,,100
MDA,,,,,,,,,,,,99.9,,,,,,,,
RWA,,,,,,,98.5,,,,,98.8,,,98.6,,100,,,
STP,,,,,,,,,,,,,,,100,,,,,
SEN,,,,96.4,,,,,,,,99,,,,,98.9,,,
SLE,,,,,,,,,,,,,,,89.4,,,,,98.5
ZAF,,,,,99.9,,,,,,,,,,,,,,,
SWZ,,,,,,,,,,,,,99.9,,,,,,,
TJK,,,,,,,,,,,,,,,,,,,96.6,
TZA,,,98,,,99.8,,,,,99.8,,,,,,100,,,
TLS,,,,,,,,,,,,,,,,92.5,,,,
TGO,,,,,99.3,,,,,,,,,,,,,,,
TUR,,,,,100,,,,,,,,,,,,,,,
TKM,,,,,,,99.8,,,,,,,,,,,,,
UGA,,98.8,,,,,99.9,,,,,,99.9,,,,,99.9,,
UKR,,,,,,,,,,,,,,99.9,,,,,,
UZB,,,99.7,,,,,,,,,,,,,,,,,
VNM,,,,99.6,,,,,99.9,,,,,,,,,,,
YEM,,,,97.7,,,,,,,,,,,,,,,,
ZMB,,,99.6,,,,,,100,,,,,100,,,,,,
ZWE,,,,,,99.5,,,,,,99.8,,,,,99.6,,,
# Series: KNCOFEHQ,,,,,,,,,,,,,,,,,,,,
"# Name: Knowledge of contraceptive methods, female, highest income quintile",,,,,,,,,,,,,,,,,,,,
"# Definition: Knowledge of contraceptive methods, any method, by household wealth index",,,,,,,,,,,,,,,,,,,,
# Source: DHS Household Surveys,,,,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,,,
