ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,53.8,,67.5,184.8,85.851,,,114,77,125,34,
ATG,,,,,,,0.09,,,,,,,,,,,
ARG,33.47,78.7,71.3,70.6,67.6,61.4,58.8,52.9,91.7,87,78.8,69.3,60.811,51.14,50.981,54.365,52.203,38.233
AUS,45.8,44.5,45.6,36.9,43.9,42.9,22.7,24.4,22.3,21.7,19.6,19.1,16.7,14.7,15.631,16.613,15,
AUT,84.5,85.7,76.8,69.5,69.7,66.8,63.6,62.4,53.3,26.5,33.1,36.7,53.1,50.7,47.7,46.1,44,41.2
AZE,,,,,,,,,370.3,337.3,308,,,,,,,
BHS,0.59,0.675,0.15,0.285,0.255,,0.125,0.505,0.105,0.37,,,,0.225,,,0.325,
BHR,,,,,,,,0.466,0.494,0.042,0.599,0.647,0.685,0.767,0.877,0.918,,
BGD,,16110,,,,14206,,,4728,,6780,,,,,,,
BRB,0,0.2,0,0,0,0.1,0.1,0,0,0.1,,,,,,,,
BLR,,,,,,,,,,,,,,,1.888,,,
BEL,82.2,81.7,78,65.6,88.5,72.9,67.2,64.6,56.5,58.7,62.8,55.3,48,43.4,43.9,36.8,37.9,28.1
BLZ,0.81,0.78,0.9,1.085,0.85,,,,,,1.45,,,,,,,
BEN,,,,,,,,,250.42,,,,,,,,,
BTN,,,,,,,,,,,,62.1,,,93.579,75.4,52.8,5.322
BOL,82.98,125.77,114.98,,613.3,589,706.5,646.1,647.548,647.548,700.055,790.32,720.1,779.57,732.198,,,
BIH,,,,,,,,,,,,31,26,33,41,35,31,27
BWA,,,,,,,,,,,,11.2,,,,,,
BRA,3039.4,2678.01,,,,1361.51,3046,3184,3101,3210,3313,3063,2969,2651.01,2504.91,,,
BGR,,,,,,32.2,25.7,30.5,36.5,41.5,31.3,26.6,25,23.6,23.3,21.1,18,16
BFA,,,,,,,,,2016.75,,,1670.23,,,,,,
BDI,,,,136.814,,,,,,,,,,,,,,
KHM,,,,,,1613.72,1719.97,,,,,,,2162.56,,,,
CMR,,467.1,,,,,775,,,,,,,,,,,
CAN,42.6,44.3,45.5,42.6,30,28.8,22.1,21.6,21.5,19.4,15.7,18,17.6,15.3,13.6,11.3,12,
CPV,,,,,,9.62,,,,,,,,,,,,
CHL,,65.2,72.8,69.7,66,68,63.2,63.9,63.7,69.6,66.8,68.5,67.2,66.3,65.026,62.677,63.951,
COL,38.9,37.6,44,39.2,62.2,324.713,533.56,590.69,565.9,575.596,602.056,620.306,414.032,402.491,519.294,551.479,558.186,698.128
COG,,,,,,,,,,,28.401,,,,,,,
COK,,,,,,,,,,,,0.034,,,,,0.047,
CRI,17.4,13,15.5,16.4,17.7,13.9,19.2,,20.6,19.8,21.5,21.1,19.4,19.1,16.955,8.993,13.046,13.473
CIV,,,,,,,,1171.23,,,,,,,,,,
HRV,,87,84,71.2,61.8,58,50.5,51.3,45.1,36.9,28.3,25.9,26.7,26.8,28.5,32.9,37.4,30.1
CYP,,,,,5.3,8.1,8.2,8.5,9.5,9.1,7.2,5.6,4.6,5.1,6.1,5.2,4.4,4.3
CZE,18,17,13.8,17,20.2,20.3,23.9,24.5,26,22.4,25.7,26.4,22.7,21.9,20.7,21.9,20.4,21.1
DNK,26.4,21.5,26.2,29.9,23.9,23.1,18.6,18.6,16.2,19.2,17.8,15.7,10.5,7,6.8,6.1,4.8,4.9
DMA,,,0.37,,0.21,,0.19,,,,,,,,,,,
DOM,29.8,20.2,21.8,27.3,25.4,25.3,24.3,19.9,20.6,23.5,54.9,44.3,41.6,76.327,36.201,41.448,,
ECU,139.4,119.6,101.2,132.2,123.7,354.017,570.698,,355.723,543.716,437.956,560.429,505.332,452.535,492.955,422.289,405.223,268.517
EGY,866.3,,904.2,697.1,690.3,844.1,544,645.1,892.8,1215.6,1180.5,1267.2,1572.8,,1521.1,1369.1,,
SLV,62.1,72.3,54.9,90.7,76.1,66.2,98,79.8,86,71.1,98,98.6,76.062,74.124,24.753,76.853,83.023,85.373
EST,5.7,6,5.6,3.4,2.8,,,,,,,,,,,,,
ETH,,,,,6852.2,,,,,,9979.6,,,,,,,
FJI,,,,,,,,21.569,,18.122,19.3,,26.779,26.228,,,,
FIN,13.2,13.7,8.4,5.1,8.4,6.9,6.8,5.7,4.7,3.7,5.1,5.8,5.4,5.2,4.9,5.8,4.2,4.9
FRA,367.8,334.9,315.6,286,282.1,240.7,216.7,212.6,228.9,209.1,178.4,170.3,126.1,122,125.5,105.8,102.1,86.8
GAB,,,,,,,,,,,9.898,,,,,,,
GEO,,,,335.5,340.4,327.2,366.2,328.6,332.1,322.5,323.1,,,282.6,280.6,265.6,,
DEU,400,292.1,265.5,280.6,239,225.5,343.7,310.5,273.6,305.1,317.9,293,305.3,263.9,179.9,157.9,161.4,144.2
GHA,,,,,,,,,,,,,,,,764.2,,
GRC,344.3,339.7,334.1,311.7,274.3,261.5,226.8,220.6,223.9,188.9,188.7,188.8,185.2,174.4,172.9,162,140.7,118.8
GRD,,0.09,,0.243,,,,,,,,,,,,,,
GTM,,,,185.74,,225.814,,433.264,478.711,360.226,,,,,,,,
HND,33.76,68.9,77.4,78.2,118.5,,85.2,83.4,81.9,73.1,66.7,101.8,109.3,101.168,131.55,143.424,,
HUN,26.6,25.6,27.9,18.4,18.3,17.1,16.4,17.2,12.6,11,11.9,14.2,12.2,8,8.3,7.8,11.2,10.1
IND,,,,,,35777.3,,,,,47692.6,,,,,32615.5,,
IDN,,,,,,,12986,11974,13835,12754,12200,11411,12346,,12890.9,,,
IRN,,367,,,,,,,,,,,1261,1004,,,,
IRL,8.9,7.4,9.8,11.9,11.5,12.9,10.4,8.6,10.2,7.1,7.5,7.5,8.6,7.6,7.8,6.4,5.6,6.6
ISR,10.1,9.2,8.1,7.8,7.9,7.8,7.8,7,7.3,6.3,6.3,5.6,4.7,4.4,4.42,3.78,3.1,
ITA,539.2,515.1,492.8,482.3,432.8,447.9,488.1,482.6,495.6,327.7,249.8,248.3,240.6,233,204.2,210,207.5,188.3
JAM,16.2,14.6,12.7,13.8,11.6,11.6,13.3,10.8,9.8,10.6,11.5,10.4,10.8,10.8,,,6.9,6.925
JPN,3270,3150,3080,3010,2910,2780,2650,2470,2380,2320,2260,2020,1940,1820,1660,1550,1410,
KAZ,,,,,,,40.1,42.7,38.9,45.6,31,41,41,34.6,34.264,35.541,33.63,16.091
KEN,,,,,2687.56,,,,,,,,,,,,,
KWT,,,,,,,,,,,0.098,,,,,,3.349,
KGZ,,,,,,,,126.8,149.8,185.2,184.9,169.9,,,,,,
LAO,420.558,,,,,,,,,,895.076,,,,,,,
LVA,,23.1,36,29.9,28.9,21.9,22.8,19.2,21.7,21.8,9.9,7.9,9.1,6.4,6.7,7,4.9,3.4
LBN,,,,,,,,,,10.4,,,16.3,,,,,
LBR,,,,,,,,,,,,,275,,,106.723,,
LTU,,,,29.2,32.1,25.6,25.4,30.5,33.4,29.8,28,25.5,18,14.7,15.5,13.5,9.9,10.3
LUX,1.9,1.1,0.9,0.9,1,0.9,0.8,1,,0.6,,,,,0.9,0.7,0.6,0.7
MKD,,,,23.772,33.6,34.69,52.694,41.974,39.401,24.204,35.51,37.2,34.5,39,38.4,40.5,38.1,35.8
MDG,,,,,,,,,2057.7,,3451,,,,,,,
MYS,340.5,399,361.2,346.5,350.9,366.1,338.8,327.6,339.7,346.2,304.5,329.8,334.9,307.5,312,315.3,322.1,394.5
MDV,2.194,,,,,0.97,,,,,,9.292,,,,,,
MLI,,,,,,,,,,100.1,,950.751,711.373,,,,,
MHL,,,,,0,,,,,,,,,,,,,
MUS,5.6,,,,,2.6,,,,7.5,7.6,8,7.8,7.8,8.8,9.35,7.725,8.75
MEX,1792.2,1782,2170.6,1857.8,1794.5,1637.9,1554.5,1682.7,1542.8,1683.1,1626.9,1618.9,1614.3,1602,1453.6,1613.36,1574.4,
MNG,,,,,,138.5,,,131.161,,,,157.228,148.141,156.743,163.83,167.789,
MNE,,,,,,,,,,,1.9,,2.394,2.6,1.3,1.6,0.7,1.9
MAR,,,,1476.85,1518.48,,,1252.4,1326.6,1496.2,1488.4,1491.04,1416.15,1329.55,,,,
MOZ,,,,,,,,,2453.38,,,,,,,,,
NAM,,,32.9,,,8.475,39.738,,,9.862,,,,1.696,,8.714,5.326,21.842
NPL,,,,,,,553.2,,,,,,,,,,,
NLD,67.7,59.8,62.7,55.5,53,53.7,47.6,38.9,33.7,30.8,34.9,36,35.2,30.1,29.3,41.1,38.8,33.4
NZL,11.7,14.1,10.4,10.9,10.4,10.3,10.2,9.1,8.3,7.9,8.7,12.5,15.4,12.8,14,14,14,
NIC,8.46,9.16,10.24,16.23,16.22,73.179,,,90.094,76.273,91.468,73.485,67.032,73.486,,211.676,,
NER,,,,,,,,,,,25.783,,,,,,,
NOR,14.7,12.5,8.6,12.3,5.7,5.2,7.3,5.3,5.1,3,3.2,5,3.9,3.6,3.9,3,1.6,2.1
PAK,2355,2434,2520,3213,3290,2586,2631,2668,2735,3752,3824,5416,5901,6516,,,,
PAN,8.3,7.9,8.7,8.9,6.7,5.6,10.7,11.6,15,14.494,23.854,21.786,18.482,22.1,40.346,37.166,31.364,45.491
PRY,,38.74,59.259,75.42,72.64,,94.841,99.478,89.349,113.32,97.676,104.089,94.509,118.897,113.514,100.747,,
PER,96.91,253.6,351.9,353.2,343.9,327.3,390.9,113.6,123.9,1588.2,1500.3,1528.69,1367.78,1308.91,1348.21,1298.33,1301.49,1232.74
PHL,,,,1856,2019,1726,1992,2155,2029,1931,2170,2195,2219,2279,,,,
POL,516,534,471.7,429.7,350.8,434.5,456.6,451.2,436.2,442.5,443.3,406.7,408.2,415.3,410.6,398.1,374.2,344.5
PRT,51,39.7,39.3,65.6,60.8,75.3,83.6,65.7,50.1,50.1,48.6,41.7,35.1,28.2,26.3,27.9,17.8,16.6
QAT,,,0,,,,,,,0,,,,,,,,
KOR,1761,1745,1713,1819,1688,1688,1629,1582,1519,1386,1329,1306,1249,1230,1164.2,1082.9,1084,
MDA,,,,,60.2,67.8,81.4,79.3,23.6,10.1,9.6,26.9,21.1,21.6,19.8,19.7,25.6,19.1
ROU,1216.8,1267.2,1457.1,1483.4,1605.7,1601.6,1577.4,1067.8,1078.3,945.5,878.2,844.5,843.6,797.9,795.7,823.7,804.9,807.8
RUS,50,37,24,19,45,33,18,23,32,24,30,23,37,36,,,,
RWA,,491.4,,,,,,,,,,,,,,,,
KNA,,,,,,,0.061,,,,,,,,,,,
LCA,0.7,0.53,0.535,0.265,0.44,0.41,,,,,,,,,,,,
VCT,,,,,,,,,,,,,,0.167,,,,
WSM,,,,,,,5.428,,,,,,,0.484,,,,
