ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,471.7,,416.6,454.8,496.195,,,363,397,278,168,
ATG,,,,,,,0.082,,,,,,,,,,,
ARG,25.42,44,49.8,39.2,44.6,33.9,30,36.4,56.6,40.4,38.8,42.7,35.286,22.773,24.192,28.217,25.196,21.404
AUS,31.4,30.8,26.9,24.9,26.9,29.3,18,17.3,14.7,14.8,12.9,12.5,12.1,10.3,12.303,14.012,11,
AUT,40.6,44.4,33.7,32,33.4,33.6,31.6,31.3,26.4,10,21.3,21.5,43.1,45.1,39.9,42.1,42.9,41.2
AZE,,,,,,,,,338,371.2,338.8,,,,,,,
BHS,0.145,0.225,0.155,0.065,0.065,,0.035,0.065,0.175,0.025,,,,0.06,,,0.17,
BHR,,,,,,,,1.276,1.371,0.2,1.701,1.884,1.989,2.153,2.311,2.324,,
BGD,,5785,,,,3269,,,3412,,3488,,,,,,,
BRB,0,0.1,0,0,0,0.1,0,0,0,0,,,,,,,,
BLR,,,,,,,,,,,,,,,1.982,,,
BEL,14.2,15.3,11.5,10.9,9.8,13,12.7,10.1,11.7,12.3,9.3,10.3,8.6,10.5,11.6,7.2,12.1,10
BLZ,1.615,1.84,2.185,1.9,1.78,,,,,,2.424,,,,,,,
BEN,,,,,,,,,182.126,,,,,,,,,
BTN,,,,,,,,,,,,57.8,,,68.338,57.8,41.5,5.532
BOL,48.33,65.45,60.45,,323.2,298.7,425.7,393,341.667,341.667,380.347,420.396,386.6,410.827,348.497,,,
BIH,,,,,,,,,,,,16,11,15,17,13,12,11
BWA,,,,,,,,,,,,6,,,,,,
BRA,2077.29,2027.91,,,,1247.03,2579,2621,2564,2673,2606,2339,2342,1936.46,1794.08,,,
BGR,,,,,,17.4,17,17.2,21.7,22.4,14.7,13.1,12.9,10.4,10,11,12.2,8.5
BFA,,,,,,,,,857.368,,,760.673,,,,,,
BDI,,,,41.984,,,,,,,,,,,,,,
KHM,,,,,,674.867,952.073,,,,,,,859.18,,,,
CMR,,206.1,,,,,280,,,,,,,,,,,
CAN,14.2,13.4,18.9,16.8,15.2,13.1,10.4,10.9,12.2,10.2,10,10.3,7.7,10,7.6,5.9,9,
CPV,,,,,,4.993,,,,,,,,,,,,
CHL,,71.6,54.8,59.4,60.1,57.4,46.7,52.3,50.8,59.2,53.1,54.7,39.7,44.3,44.056,41.973,38.093,
COL,12.1,11.9,24.4,13.9,30.5,312.71,529.755,415.899,383.553,409.862,367.902,352.366,347.89,310.091,382.576,416.22,400.307,457.979
COG,,,,,,,,,,,18.885,,,,,,,
COK,,,,,,,,,,,,0.053,,,,,0.076,
CRI,26.3,23.4,22.4,26.4,20.8,19.9,25.8,,22.7,19.5,19.1,19.9,15.7,11.3,14.51,14.174,11.854,14.674
CIV,,,,,,,,535.427,,,,,,,,,,
HRV,,34.6,35.3,24.5,22.6,18.4,19.7,21,17.4,13.7,9.5,9.5,9.9,8.8,8.2,9.2,9.4,10.4
CYP,,,,,0.8,1.2,2,1.6,2,2.1,2.4,2.2,1.9,2,2.9,3,3.1,2.6
CZE,8,5,4.8,4.4,5.8,5.4,6.9,4,8.6,8.7,9.2,6,7.1,9.5,8.8,7.6,5.5,7
DNK,4.1,4.3,3.9,3.8,3.6,2.5,4.7,4.1,3.4,4.3,4,3.7,5.9,4.6,4,1.7,2.2,2
DMA,,,0.11,,0.23,,0.18,,,,,,,,,,,
DOM,71.9,43,76,43.4,39.6,41.2,28.1,28.9,32.2,40.2,60.2,71.9,66.9,57.686,38.75,42.706,,
ECU,62.1,69.4,46.1,77.7,59.5,248.509,381.464,,233.731,335.055,277.272,370.794,301.29,253.988,280.432,236.927,195.067,315.491
EGY,1126.8,,1128.8,1268,1213.1,1137.9,1088.1,1218.7,1313.1,1399,1329.4,1417,1483.1,,1516.8,1225.7,,
SLV,109.4,130.7,112.9,137.4,106.8,107.5,148.3,123,112.2,102.1,126.8,117.6,68.873,83.957,59.18,90.672,101.3,112.74
EST,3.1,3.3,3.7,2,1.7,,,,,,,,,,,,,
ETH,,,,,4845.3,,,,,,5826.5,,,,,,,
FJI,,,,,,,,17.647,,25.168,27.5,,23.153,22.342,,,,
FIN,17.3,17.6,13.2,7.3,10.4,8.9,8.6,6.8,5.2,6.3,7.6,7.6,8.5,7.8,8.4,7.8,7.4,7.5
FRA,80.7,78.7,67.9,58.9,58.4,52.6,45.7,54.2,72,70.9,61.7,62.8,43.9,38.6,35.7,38.1,33.5,36.7
GAB,,,,,,,,,,,4.734,,,,,,,
GEO,,,,208.4,190.2,215,224.3,191.5,190.3,174.4,174.1,,,168,161.3,137,,
DEU,87.2,67.1,76.8,77.1,64.1,65.2,89.7,88.6,81.8,95.9,101.5,88.5,90.5,85.5,64.3,62.4,73.4,71.9
GHA,,,,,,,,,,,,,,,,442.735,,
