ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,525.6,,484.1,639.6,582.047,,,477,473,404,202,
ATG,,,,,,,0.172,,,,,,,,,,,
ARG,58.88,122.7,121.1,109.7,112.2,95.3,88.9,89.3,148.4,127.5,117.6,112,96.098,73.914,75.173,82.582,77.399,59.637
ARM,,,,,,,,,,,,,0.7,,,,,
AUS,77.1,75.2,72.5,61.8,70.9,72.1,40.7,41.7,37,36.5,32.5,31.6,28.9,25,27.934,30.625,26,
AUT,125.1,130,110.4,101.5,103.1,100.4,95.2,93.7,79.7,36.5,54.4,58.2,96.3,95.8,87.7,88.2,87,82.4
AZE,,,,,,,,,708.3,708.5,646.8,,,,,,,
BHS,0.735,0.9,0.31,0.35,0.32,,0.16,0.57,0.28,0.395,,,,0.285,,,0.495,
BHR,,,,,,,,1.742,1.865,0.242,2.3,2.531,2.674,2.921,3.189,3.242,,
BGD,,21896,,,,17475,,,8140,,10268,,,,,,,
BRB,0,0.3,0,0,0.1,0.2,0.1,0.1,0,0.1,,,,,,,,
BLR,,,,,,,,,,,,,,,3.87,,,
BEL,96.5,97,89.5,76.6,98.3,85.9,79.9,74.7,68.2,71,72.1,65.6,56.6,53.9,55.4,44,50,38.1
BLZ,2.425,2.62,3.085,2.985,2.63,,,,,,3.871,,,,,,,
BEN,,,,,,,,,432.546,,,,,,,,,
BTN,,,,,,,,,,,,119.6,,,161.937,133.2,94.3,10.854
BOL,131.31,190.22,175.43,,936.5,888,1132.2,1039.1,989.215,989.215,1080.4,1210.72,1106.7,1190.4,1080.69,,,
BIH,,,,,,,,,,,,47,37,48,58,48,43,38
BWA,,,,,,,,,,,,17.1,,,,,,
BRA,5116.69,4705.92,,,,2608.53,5625,5805,5665,5883,5920,5402,5311,4587.48,4299,,,
BGR,,,,,,49.6,42.7,47.7,58.2,63.9,46.1,39.8,37.9,34,33.3,32.2,30.2,24.5
BFA,,,,,,,,,2874.12,,,2430.9,,,,,,
BDI,,,,178.798,,,,,,1026.7,,,,,,,,
KHM,,,,,,2288.59,2672.04,,,2998.07,,,,3021.74,,,,
CMR,,673.2,,,,,1055,,,,,,,,,,,
CAN,56.7,57.7,64.4,59.3,44.8,41.9,32.5,32.5,33.8,29.6,25.6,28.3,25.3,25.3,21.2,17.1,21,
CPV,,,,,,14.613,,,,,,,,,,,,
CHL,,136.8,127.6,129.1,126.1,125.4,109.9,116.2,114.5,128.8,119.9,122.1,106.9,110.5,109.082,104.65,102.044,
COL,51,49.6,68.4,53.1,92.7,637.423,1063.31,1006.59,949.454,985.457,969.958,972.673,761.921,712.582,901.87,967.7,958.493,1156.11
COG,,,,,,,,,,,47.286,,,,,,,
COK,,,,,,,,,,,,0.087,,,,,0.123,
CRI,43.7,36.4,37.9,42.8,38.6,33.8,45,49.2,43.3,39.3,40.7,40.9,35.1,30.4,31.465,23.167,24.9,28.147
CIV,,,,,,,,1706.65,,,,,,,,,,
HRV,,121.6,119.2,95.8,84.4,76.4,70.2,72.3,62.5,50.6,37.8,35.4,36.6,35.6,36.7,42.2,46.8,40.5
CYP,,,,,6.1,9.3,10.2,10.1,11.4,11.3,9.6,7.8,6.5,7.1,9.1,8.2,7.5,6.9
CZE,26,22,18.6,21.4,26.1,25.8,30.8,28.4,34.6,31.1,35,32.5,29.8,31.5,29.5,29.5,25.9,28.1
DNK,30.5,25.8,30.1,33.7,27.5,25.6,23.3,22.7,19.6,23.5,21.9,19.4,16.5,11.6,10.8,7.8,7,6.9
DMA,,,0.48,,0.44,,0.38,,,,,,,,,,,
DOM,101.7,63,97.8,70.7,65,66.5,52.4,48.9,52.8,63.7,115.1,116.2,108.5,134.013,74.951,84.154,,
ECU,201.5,189.1,147.4,209.9,183.2,602.526,952.163,,589.454,878.772,715.228,931.222,806.622,706.522,773.387,659.216,600.29,584.008
EGY,1993.1,,2033,1965.1,1903.4,1982,1632.1,1863.8,2205.9,2614.6,2509.9,2684.2,3055.9,,3037.9,2594.8,,
SLV,171.5,202.9,167.8,228,182.9,173.7,246.3,202.8,198.2,173.2,224.8,216.2,144.935,158.081,83.933,167.525,184.323,198.113
EST,8.9,9.3,9.3,5.4,4.5,,,,,,,,1.4,,,,1.5,1.9
ETH,,,,,11697.5,,,,,,15806.1,,,,,,,
FJI,,,,,,,,39.216,,43.29,46.9,,49.932,48.57,,,,
FIN,30.5,31.2,21.7,12.4,18.8,15.8,15.4,12.5,9.9,10,12.8,13.4,13.9,12.9,13.3,13.6,11.7,12.4
FRA,448.5,413.5,383.5,344.9,340.5,293.3,262.4,266.9,300.9,280,240.1,233.1,170,160.6,161.2,143.9,135.5,123.5
GAB,,,,,,,,,,,14.633,,,,,,,
GEO,,,,543.9,530.7,542.2,590.5,520.1,522.4,496.9,497.1,501.9,483.6,450.6,442,402.6,,
DEU,487.2,359.2,342.3,357.7,303.1,290.8,433.3,399.1,355.5,401.1,419.3,381.5,395.8,349.3,244.3,220.3,234.7,216
GHA,,,,,,,,,,,,,,,,1206.94,,
GRC,471.6,464,459.4,453.2,405.6,394.1,346.3,333.3,341.9,274.9,278.3,293.7,287.2,268.9,263.7,248.1,222.1,186.6
GRD,,0.31,,0.39,,,,,,,,,,,,,,
GTM,,,,440.28,,618.2,,1087.57,1005.48,846.96,,,,,,,,
HND,155.35,253.7,248.2,244.3,298.8,,282.1,289.4,283.6,297.1,277.5,310.8,332.5,320.403,388.094,423.394,,
HUN,40.1,38.8,42.5,28.8,29,26.3,26.4,24.2,19.8,15.5,17.3,20,17.7,13.8,15.5,12.3,16.3,15.9
ISL,1.4,,,,,,,,,,,,,,,,,
IND,,,,,,65830.3,,,,,82543.3,,,,,63196.9,,
IDN,,,15813.8,17128,16258.2,18085.5,17587,16085,18870,17292,16938,16174,17279,17375,18194.2,18764.7,17986.4,
IRN,,797,,,,,,,,,,,2186,1826,,,,
IRL,16.9,14.1,17.4,19.9,20.4,21.5,18,15.8,17.7,13.5,14.1,11.9,14.8,14.7,15.1,13.2,10.6,13.4
ISR,11.9,11.4,10.7,10.3,10.1,10.1,10.7,9.2,10.3,8.6,8.7,7.3,5.7,5.8,5.6,5.9,4.74,
ITA,905.1,868,859,876.3,796.1,822.7,901.5,885,896.5,575,420.8,424.8,421.4,402.7,362.6,369.3,361.1,331.9
JAM,27.2,23.5,20,20.9,20.3,18.8,19.7,14.7,14,13.7,13.9,13.6,14.3,13.5,,,10.867,10.85
JPN,3970,3820,3760,3670,3560,3400,3250,3050,2960,2900,2820,2470,2360,2240,2020,1890,1740,
KAZ,,,,,,,70.4,68.1,68.3,84,71,84,76,60.6,65.08,67.309,66.437,38.98
KEN,,,,,4168.14,,,,,,,,,,,,,
KWT,,,,,,,,,,,0.294,,,,,,7.643,
KGZ,,,,,,,,195.5,252.1,294.8,306,276.4,,,,,,
LAO,725.1,,,,,,,,,,1260.67,,,,,,,
LVA,,42,62.8,53.8,55.5,38.6,45.1,39.5,41.1,38.2,22.5,16.4,17.9,14.4,14.2,13,9.6,8.1
LBN,,,,,,,,,,36.1,,,49.6,,,,,
LBR,,,,,,,,,,,,,475,,,174.305,,
LTU,,,,55.2,61.3,42.8,47.2,51.7,55.9,44.4,43.5,35.5,26.7,22.1,24.7,23,17.9,17.7
LUX,2.1,1.3,1.1,1,1.3,1,1,1,,0.6,0.5,,,,1.4,0.9,1,1.1
MKD,,,,44.831,56.087,59.789,86.239,68.698,62.361,44.6,56.84,62.2,59.7,62.6,64.3,64.1,61.7,55.3
MDG,,,,,,,,,3286.7,,5004.8,,,,,,,
MYS,506.9,562.6,516.1,517.4,543.9,524.8,478.5,453.9,476.3,501.7,453.2,512.2,520.1,486,481.7,500.2,509.9,603.1
MDV,4.205,,,,,1.71,,,,,,14.825,,,,,,
MLI,,,,,,,,,,355.3,,1714.2,1084.71,,,,,
MHL,,,,,0.1,,,,,,,,,,,,,
MUS,10.3,,,,,4,,,,10,10.5,10.3,10.9,10.7,11.1,12.725,9.875,11.925
