ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,51.34,51.92,52.45,52.92,53.35,53.75,54.15,54.55,54.97,55.42,55.9,56.4,56.91,57.41,57.91,58.38,58.84
ALB,69.34,69.62,69.98,70.39,70.83,71.28,71.7,72.1,72.44,72.74,72.99,73.19,73.38,73.57,73.76,73.96,74.17
DZA,66.32,66.56,66.79,67.01,67.21,67.4,67.58,67.76,67.94,68.12,68.3,68.48,68.65,68.81,68.95,69.08,69.2
AGO,40.39,40.93,41.57,42.29,43.06,43.86,44.64,45.38,46.06,46.66,47.19,47.65,48.07,48.46,48.85,49.24,49.63
ATG,69.85,70.07,70.3,70.53,70.75,70.97,71.19,71.41,71.63,71.84,72.06,72.26,72.46,72.64,72.82,72.99,73.16
ARG,69.13,69.34,69.54,69.74,69.94,70.13,70.32,70.51,70.7,70.89,71.08,71.27,71.46,71.66,71.85,72.05,72.24
ARM,65.37,65.85,66.39,66.95,67.49,68,68.46,68.89,69.29,69.65,69.97,70.24,70.47,70.66,70.82,70.95,71.06
AUS,75,75.2,75.7,75.9,76.2,76.6,77,77.4,77.8,78.1,78.5,78.7,79,79.2,79.3,79.5,79.7
AUT,73.54,73.93,74.29,74.5,74.8,75.1,75.6,75.8,75.9,76.4,76.6,77.1,77.3,77.6,77.4,77.7,78.3
AZE,60.51,61.13,61.84,62.54,63.2,63.79,64.32,64.82,65.31,65.78,66.21,66.58,66.9,67.14,67.32,67.44,67.52
BHS,68.01,68.17,68.37,68.6,68.88,69.19,69.51,69.83,70.14,70.42,70.67,70.9,71.1,71.29,71.46,71.63,71.79
BHR,72.6,72.84,73.07,73.29,73.51,73.72,73.93,74.13,74.33,74.53,74.73,74.91,75.08,75.24,75.39,75.52,75.64
BGD,62.73,63.23,63.71,64.19,64.65,65.09,65.5,65.9,66.27,66.63,66.97,67.32,67.67,68.03,68.4,68.78,69.16
