ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,13.2,13.1,12.9,12.7,12.6,11.3,11.3,11.4,11.5,11.6,11.7,11.9,12.1,12.4,12.7,13,13.1,13.2
ALB,51.4,50.4,51.5,50.1,48.8,47.7,46.6,46.1,42.9,39.8,36.9,34.3,31.9,29.7,27.9,28.5,29.1,29.7
DZA,14.4,15.2,14.4,13.6,12.9,12.3,11.7,11.2,10.8,10.4,10,9.6,9.3,9,8.7,9.3,9.4,9.6
AGO,54.3,53.8,53.5,53.3,53.2,53.2,53.2,52.4,52.4,51.9,50.8,49.9,48.9,48.4,49,49.6,49.7,49.8
ARG,41.2,39.5,38.1,36.8,35.5,34.3,34.7,34.9,35.1,37.2,35.6,37.4,36.3,35.3,34.3,31.6,31.5,31.5
ARM,46.7,46.9,47.1,47.3,47.5,47.6,47.5,44.9,42.4,39.9,37.6,35.5,33.6,31.8,28.4,28.9,29.4,29.8
AUS,69.8,69.5,67.7,68,68.4,68.9,69.2,68.3,69,69.1,69.6,69.5,69.8,69.6,67.8,67.3,67.6,66.7
AUT,56.5,55.5,54.8,53.8,51.9,50.6,49.7,50.1,49.7,53.3,54.9,55.3,56.9,57.1,57,54.1,54.8,55.1
AZE,47.6,47.3,47.3,47.2,47.1,45.5,44,42.6,41.2,39.9,38.6,37.4,36.2,35.1,37.6,41.3,41.6,41.8
BHS,52.2,52.4,52.3,52.1,51.5,51.1,51.1,51.2,51.6,51.9,52.2,52.4,52.6,52.7,52.9,53.1,53.6,54.1
BHR,24.8,25.1,25.2,25.4,25.6,25.9,26.2,27.2,28.3,29.5,29.9,30.4,31,31.6,31.9,32,31.9,31.5
BGD,56.2,55.3,54.4,53.6,52.7,51.9,51.8,51.7,51.5,51.4,51.3,51.2,51.1,51,50.9,50.8,50.7,50.7
BRB,59.6,61.2,58,58,57.7,57.1,56.2,54.4,52.8,50.8,51.1,51.3,51.4,51.5,51.8,52,52.2,52.5
BLR,46.4,45.1,43.7,42.2,40.9,39.6,38.4,37.4,36.4,35.6,34.8,34.1,33.5,32.9,32.3,33.1,33.7,34.1
BEL,31.3,29.9,29.7,29.8,30.4,32.8,29.7,32,30.9,32.4,32.2,32.1,31.8,30.9,29.9,29.5,29.4,27.5
BLZ,34.7,34.4,34.7,35.1,35.4,35.9,36.4,37,37.6,38.2,38.8,39.5,40.3,40.8,41.5,42,42,42
BEN,56,56.3,56.6,56.9,57.3,57.6,57.9,58.2,58.1,58.1,58,57.9,57.8,57.7,57.6,57.6,57.5,57.5
BTN,36,36.9,38.1,39.6,41.4,43.3,45.3,47.4,49.2,50.7,51.6,52,52,51.6,51,51,51,50.9
BOL,44.8,45.7,46.5,46.5,46.5,46.4,46.6,46.8,47,47.2,47.4,47.5,48.2,48.2,48.6,48.8,49,49.2
BIH,25.1,24.8,24.6,24.4,24.4,24.4,24.3,24.3,24.3,24.2,24.2,26.4,25.6,25.3,24,25.3,25.4,25.6
BWA,56.3,56.3,56.3,56.4,56.5,56.6,56.8,56.9,57.1,57.3,57.5,57.5,57.5,57.5,57.4,57.3,57.2,57.1
BRA,52,50.3,50.9,51.1,52.1,51.6,51.2,52.9,52.9,54.5,56.1,55.1,55,54.7,54.5,54.8,54.8,54.7
BRN,38.9,39.9,41.1,42.4,43.5,44.2,44.5,43.6,42.6,41.6,40.8,40.4,40.2,40.3,40.4,40.5,40.8,41.1
BGR,41.2,38.1,35,32,28.9,25.9,33.3,30,27,27.5,26.5,28.8,28.5,28.8,27.6,26.8,24.8,24.9
BFA,73.9,73.8,73.7,73.6,73.6,73.5,73.4,73.3,73.2,73.2,73.1,73,72.9,72.8,72.7,72.6,72.4,72.2
BDI,77.6,76.2,74.6,73.1,73,72.7,72.4,71.9,71.4,70.8,70.3,69.8,69.3,68.9,68.6,68.3,68.1,68
KHM,74.7,73.6,72.9,72.5,72,71.7,72.8,74,75.2,76.5,76.3,75.9,75.5,74.9,74.2,73.7,73.4,73.3
CMR,43.3,43.8,43.8,43.8,43.8,43.8,43.9,43.9,43.9,44,44,44.1,44.2,44.2,44.3,44.3,44.4,44.4
CAN,61.3,60.4,59.2,60.1,61.6,62.9,63.2,65.2,66.3,65.9,65.7,66.3,66.6,67.1,65.3,64.6,64.3,63.4
CPV,46.8,46.7,46.6,46.5,46.4,46.4,46.3,46.3,46.3,46.3,46.3,46.3,46.2,46.2,46.3,46.3,46.6,46.9
CAF,57.6,57.5,57.5,57.5,57.4,57.4,57.4,57.4,57.4,57.4,57.3,57.3,57.3,57.3,57.2,57.2,57.1,57
TCD,56.9,56.9,56.8,56.8,56.7,56.7,56.6,56.6,56.5,56.5,56.4,56.4,56.3,56.3,56.2,56.1,56.1,56.1
CHL,27.5,26.5,27.3,25.8,24.6,24,22.4,21.6,22.5,23.6,24.3,24,24.9,26.8,26.4,30.9,32.1,31.3
CHN,75.6,74.4,73,71.3,69.5,67.7,65.4,63.3,61.2,59.4,57.9,56.7,55.7,54.9,54,52.8,53.4,53.7
COL,30.8,32.7,34.8,36.9,39.1,41.3,43.5,45.7,47.8,44.7,43.2,39.4,36.6,37.7,38.2,38.4,38.7,39
COM,23.9,23.9,23.9,23.9,24,24,24.1,24.2,24.3,24.5,24.6,24.6,24.7,24.7,24.7,24.7,24.6,24.6
COG,44.7,44.7,44.8,44.8,44.8,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.8,44.7,44.6
CRI,35.5,31.5,33.8,37.6,37.1,35.2,37.6,36.7,35.7,33.6,37.3,37.7,39.1,37.6,36.5,36.5,36.6,36.7
CIV,39.5,39.9,40.3,40.7,40.6,40.6,40.6,40.7,40.7,40.8,40.8,40.8,40.8,40.7,40.6,40.5,40.5,40.5
HRV,39.9,39.7,39.6,39.5,39.5,39.4,39.4,36.1,34.6,35.2,33.5,32.8,30.9,29.3,28,27.8,25.1,24.5
CUB,29.9,29.7,29.1,28.2,27.3,26.4,25.7,25.2,24.8,24.5,25.8,27.4,31.5,31.8,35.9,36.2,36.5,36.6
CYP,39.9,40.6,38.1,37.8,38.1,41.3,43.7,40.9,42.6,40.9,40.8,40,39.7,40.7,40.4,41,36.7,36.1
CZE,41.7,40.2,39.6,41.6,41.9,41,38.8,36,34.4,31.6,28.6,28.8,26.6,25.9,26,25.1,24,25.8
PRK,76.8,76.4,75.7,75.6,74.9,74,73.6,72.9,72.3,71,70.3,69.1,67.5,66.5,66.4,65.4,65.1,64.8
COD,51,51,51,51,50.9,50.9,50.9,50.9,50.9,50.8,50.8,50.4,50,49.7,49.3,49,48.8,48.6
DNK,69.4,71,70.3,71.7,70,68.6,64.9,66.5,63.5,66.1,66.4,69.4,69.2,71.5,69.9,67.3,67,63.9
DJI,41.4,41.3,41.3,41.3,41.3,41.2,41.1,40.8,40.6,40.3,40.2,40.2,40.2,40.3,40.5,40.6,40.7,40.8
DOM,39.7,39.4,39,38.7,38.5,38.3,38.7,39.2,39.6,40.2,40.7,41.2,41.7,41.7,41.7,41.4,41.6,41.8
ECU,39.4,39.8,40,40.4,41.6,41.9,54.5,49.9,45.6,47.1,44.1,45.5,42.2,41.2,40,40.5,40.7,41
EGY,19.5,18.8,18.1,17.4,20.6,18.9,17.4,21.4,21.6,21.9,22.2,20.5,19.2,19.5,19.8,19.9,20,20
SLV,32.7,30.6,30.1,35.3,33.5,32.6,31.7,30.8,33,31.3,32.1,32.9,30.6,32.9,32.7,33.7,33.8,34
GNQ,65.1,65,64.9,64.7,64.6,64.4,64.2,64,63.9,63.7,63.7,63.6,63.7,63.7,63.8,63.8,63.9,63.9
ERI,75.3,75.2,75.1,75,74.8,74.6,74.5,74.3,74.2,74.1,74.1,74.1,74.2,74.3,74.3,74.4,74.4,74.3
EST,41.3,38.8,36.4,34.9,31.2,30.5,32.3,24.9,27.9,29.7,29.9,30.9,32.8,38.1,34.9,34.2,36.2,36.9
ETH,73.7,73.7,73.7,73.7,73.7,74.1,74.6,75,75.5,75.9,76.3,76,75.6,75.2,74.7,74.3,74.2,74.2
FJI,30.6,31.3,31.2,31.1,31.1,31.1,31.2,31.3,31.5,31.6,31.7,31.6,31.3,31.1,31.2,31.3,31.4,31.5
FIN,39.4,39.3,43.3,44.9,48.9,51,50.9,50.7,50,48.8,49.9,50.4,53.3,53.4,51.3,49.6,50.6,52.2
FRA,34.7,33.7,32.4,31.8,31.9,31.7,31.1,31.5,32.7,32.9,34.4,34.5,35.5,35.3,36.6,35.6,35,34.3
GAB,29.9,29.1,28.4,27.7,27,26.3,25.7,25,24.4,23.9,23.3,23.4,23.4,23.4,23.5,23.5,23.7,23.8
GMB,64.9,64.8,64.8,64.8,64.7,64.7,64.7,64.7,64.7,64.7,64.6,64.6,64.5,64.4,64.3,64.2,64,63.8
GEO,30.6,31.2,31.5,31.6,31.6,28.1,27.2,24.8,29.5,23.8,24.4,24,23.3,23.3,23.9,23.6,24.1,24.6
DEU,50,47.9,47.4,47.3,48.6,48.4,48.1,46.7,44.8,45.3,47.2,48.3,49.7,50.1,49.5,48.8,49.6,47.8
GHA,54.2,54.3,54.3,54.3,54.3,54.3,52,49.6,47.1,44.5,41.9,39.3,39.1,38.9,38.8,38.6,38.5,38.3
GRC,33.5,35,33.6,37.2,38.3,36.4,33.9,33.6,31.7,33.8,30.7,29.7,29,27.5,28.7,27.8,27.5,28.2
GTM,34.6,34.7,34.8,34.8,34.9,34.9,35,35,35,35.1,38.3,41.6,41.6,41.8,42.2,42.4,42.6,42.8
GIN,50.2,50.1,50,49.9,49.8,50,50.1,50.2,50.1,50.3,50.4,50.6,50.9,50.9,51.4,51.6,51.8,51.9
GNB,48.4,47.8,47.4,50.5,49.9,49.6,50,51.1,52,52.3,52.5,52.8,53.1,53.2,53.4,53.5,53.6,53.8
GUY,33.5,32.8,32.1,31.6,31,30.7,30.4,30.3,30.3,30.3,30.4,30.4,30.3,30.5,30.6,30.9,31,31
HTI,35.5,34.4,33.3,32.3,31.3,30.5,30.9,31.4,31.9,32.4,32.9,33,33,33,33,33.1,33.1,33.1
HND,29.3,34.6,34.8,36.1,39,37.3,33.6,30,30.8,31.6,30.6,30.1,30.2,30.4,30.6,30.8,31,31.2
HUN,32.7,30.6,30.8,34.3,34.3,32.9,30.6,30,27.6,24.5,23.7,23.1,21.5,21.1,21.4,22.1,22,23.7
ISL,59.8,59.9,62.1,68.1,70.5,73.3,69.9,62.4,68.8,68.7,75.4,78.1,76.7,76,72,71.7,71,74
IND,29,28.5,27.9,27.4,26.9,26.4,26.7,27,27.3,27.6,27.9,26,24.2,22.5,20.9,19.4,19.4,19.4
IDN,42.8,43,41.7,39.1,43.4,43.6,43.9,44.1,44.1,44,43.9,43.2,42.6,41.9,41.1,40.5,40.4,40.4
IRN,10.9,10.6,11.1,11.7,12.3,13,13.7,14.5,15.3,16.3,17.2,15.8,14.5,12.5,12.7,12.8,13,13.1
IRQ,8.2,8.2,8.2,8.2,8.2,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.2,8.2
IRL,41.6,40.5,42.2,45.2,47.1,46.8,44.9,44.5,45.5,44.8,49.9,50.4,51.5,49.3,45.9,41.7,40,39.6
ISR,34.8,34.4,33.8,33.1,34,35.6,35,33.1,34.2,34.6,35,35.2,34.5,33.8,34.6,34.1,32.5,48.8
ITA,34,34.2,33.9,33,33.6,33.8,32.4,30.9,30,31.8,28.6,26.9,25.6,25.9,24,23.4,22.8,23.8
JAM,52.1,50.2,48.3,46.4,44.3,42.4,40.6,38.9,37.3,37.1,37.1,37,36.8,36.6,32.1,30.3,32.4,31
JPN,47.3,47.5,47.5,47.5,46.4,46.3,46.3,44.9,44.6,44.3,45,45.2,44.7,44.8,44.9,44,43.3,42.7
JOR,8.6,8.6,8.6,8.5,8.5,8.5,9.3,9.2,9.4,8.5,9.3,10.1,11.7,11.1,11.6,11,10.2,9.9
KAZ,48.9,48.9,48.9,48.9,48.8,48.7,48.5,48.2,47.5,46.3,45.2,44.5,44,43.6,43.9,44.1,44.4,44.5
KEN,48.1,46.7,45.3,44,42.7,41.4,40.2,39.1,38,36.9,36,36,36,36,36,35.9,35.9,35.8
KWT,24.3,25,25.9,26.6,27,27.2,27.1,26.9,26.5,25.4,24.3,23.8,23.5,23.2,24.2,24.2,24.3,24.3
KGZ,45.3,44.8,44.1,43.4,42.7,42,41.3,40.7,38.4,36.2,36.1,36.1,36.4,36.6,36.8,37,37.1,37.2
LAO,81.4,80.6,79.7,78.9,78,77.1,76.3,75.4,74.6,73.7,72.9,72.1,71.3,70.5,69.8,69.1,68.8,68.5
LVA,43.2,40.7,39.5,39.6,34.6,31.8,31.1,34.6,33.3,30.8,31.3,33.7,36.7,36.5,36.1,37.3,33.8,36
LBN,17.4,17.4,17.7,17.7,17.8,17.9,17.8,17.9,17.9,17.8,17.6,17.5,17.4,17.4,17.5,17.7,18,18.3
LSO,59.8,59.6,59.5,59.3,59.1,56.5,54,51.5,49.1,46.7,44.4,42.1,39.9,37.8,37.7,37.6,37.4,37.3
LBR,34.6,34.5,34.5,34.5,34.5,34.5,34.6,34.6,34.7,34.7,34.8,34.8,34.8,34.8,34.8,34.8,34.7,34.7
LBY,17.8,18.6,19.5,20.4,21.2,22,22.6,23.1,23.6,23.9,24.1,24.2,24.3,24.3,24.2,24.1,24.1,24.2
LTU,39,37.5,35.7,34.4,37.3,32.7,27.9,28.1,29.4,19.5,20.8,23.3,23,26.3,27.2,26.9,25.8,27.5
LUX,39.8,38.3,35.1,33.3,31.6,30.5,31.6,30.9,29.2,26.5,25.4,25,22.5,27.5,29.7,22.7,23.5,24.9
MKD,37.5,37.3,35.4,33.6,31.8,30.8,29.7,28.7,29.6,26.5,27,29.1,27.4,27.9,26,23.9,24,26.3
MDG,73.5,73.7,73.9,74.2,74.3,74.3,74.2,74,73.7,73.4,73.2,74.4,75.7,76.9,78.1,79.2,78.9,78.5
MWI,58.2,58,58,58,59.9,61.7,63.4,65,66.6,68.3,69.9,67.5,65,66,65.7,65.5,65.4,65.2
