ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,63.8,63.8,63.8,63.8,63.9,62,62,62.1,62.1,62.1,62.1,62,61.8,61.7,61.5,61.3,61.2,61
ALB,63.4,62.3,63.3,61.9,60.6,59.4,58.1,57.4,54.1,50.9,48,45.4,43.2,41.2,39.4,40.3,40.9,41.4
DZA,63.3,64.8,63.3,61.7,60.2,58.8,57.5,56.3,55.1,54,52.9,51.8,50.6,49.5,48.4,47.1,47.2,47.3
AGO,54.4,54.6,54.7,54.8,54.9,54.9,54.9,55.2,55.2,55.3,55.6,55.9,56.1,56.3,56.2,56.1,56,55.9
ARG,63.1,61.1,59.2,57.4,55.6,53.7,52.5,51.1,49.6,56.1,56,55.8,54.3,52.8,51.4,51.2,51,50.8
ARM,64.1,63.9,63.7,63.3,63.1,62.8,62.4,58.2,54.2,50.5,47.2,44.3,41.8,39.7,38,42.1,42.7,43.2
AUS,73.9,74.1,73,72.3,72.4,72.3,72.4,71.7,71.4,71.2,72.1,72.2,72.1,72.2,70.8,69.9,69.1,68.3
AUT,64.4,63.3,62.2,60.5,61.2,60.4,59.4,59.8,60.2,61.7,63.7,64.1,65.1,64.7,64,63.5,64.7,64.3
AZE,52.3,52,51.6,51.1,50.6,48.4,46.5,44.8,43.3,41.8,40.3,38.9,37.4,36.1,32.8,25.2,26.1,26.9
BHS,65.3,63.2,60.4,56.9,56.6,56.5,56.6,56.9,57.3,57.8,58.2,58.6,58.8,59.1,59.4,59.8,60.2,60.6
BHR,59,58.3,57.4,56.7,56.3,56.5,57.1,56.4,55.4,54.1,54.5,54.8,55.2,55.4,55.4,55.2,54.9,54.3
BGD,75.9,75.2,74.5,73.8,73.1,72.4,71.9,71.4,70.9,70.4,69.9,69.4,68.8,68.3,67.8,67.3,67,66.7
BRB,67.3,64.6,64.7,64.9,64.7,63.9,62.6,62.5,58.7,61.4,60.8,60.1,59.4,59.4,60.4,60.6,60.7,60.9
BLR,51.1,50.5,49.9,49.2,48.6,47.4,46.3,45.4,44.5,43.8,43.2,42.7,42.4,42.1,41.7,42.6,43.3,43.8
BEL,35.7,35.6,35,36.2,35.9,38.8,36.9,38.4,37.8,37.2,37.5,37.6,36.4,36.1,34.8,34.9,33.7,34.6
BLZ,71.5,76.8,75.2,73.7,72.2,70.7,69.3,68,66.7,65.4,64.1,64,64.5,64.5,65.2,65.2,65,64.8
BEN,73.9,71.8,69.7,67.5,65.2,62.8,60.4,58,57.8,57.7,57.5,57.3,57.1,56.9,56.7,56.5,56.3,56.2
BTN,50.5,50.7,50.8,51,51.1,51.3,51.5,51.7,51.7,51.5,50.9,50,48.8,47.3,45.8,45.8,45.9,45.9
BOL,61.9,61.6,61.3,61.1,61,60.8,60.8,60.7,60.7,60.7,60.7,60.3,60.1,59.7,59.5,59.2,59.2,59.2
BIH,35.5,37.5,37.9,38.1,38.2,38.2,38.2,38.3,38.3,38.3,38.3,39.5,40.3,39.3,39.7,38.9,39,39.2
BWA,63.1,62.9,62.7,62.6,62.5,62.4,62.3,62.3,62.3,62.3,62.2,62.2,62.1,62,61.8,61.7,61.5,61.4
BRA,78.9,75.6,76.3,75.7,75.2,74,72.9,73.2,72.8,74,75.1,73.5,72.9,72.6,72,71.5,71.4,71.1
BRN,54,54,54.1,54.4,54.4,54,53.3,52.2,50.9,49.9,49.2,48.9,48.9,49.2,49.4,49.6,50,50.4
BGR,40.5,39.5,38.4,37.4,36.3,35,38,35.9,34,35.4,33.9,34.9,35.7,39.1,38,36.3,33.8,34.8
BFA,83.4,83.3,83.1,83,82.9,82.8,82.6,82.5,82.4,82.3,82.1,82,81.8,81.7,81.5,81.4,81.1,80.9
BDI,72.5,71.2,69.9,68.6,68.4,68.1,67.6,66.9,66.2,65.3,64.5,63.8,63,62.4,61.8,61.4,61.4,61.4
KHM,69.7,67.5,66.4,66,64.4,63.1,67.3,71.6,75.7,79.4,78.4,77,75.3,73.4,72.9,72.5,72.4,72.3
CMR,52.2,51.7,51.6,51.5,51.5,51.4,51.3,51.3,51.3,51.2,51.2,51.2,51.2,51.1,51.1,51.1,51.1,51
CAN,64.9,64.1,63.7,63.5,65.3,65.9,66,67.7,68.2,67.6,66,66.3,67.5,68.2,65.8,64.5,64.7,63.4
CPV,77.2,76.7,76.2,75.7,75.2,74.8,74.5,74.3,74.1,73.9,73.7,73.4,73.2,73,72.7,72.5,72.4,72.4
CAF,70.4,70.2,70.1,70,69.9,69.8,69.7,69.7,69.6,69.5,69.4,69.3,69.1,68.9,68.6,68.3,68.2,68
TCD,56.8,56.8,56.8,56.8,56.8,56.8,56.8,56.8,56.8,56.8,56.8,56.8,56.8,56.7,56.7,56.7,56.7,56.7
CHL,51.8,49.5,47.4,45.9,45,42,40.7,40,38.9,38.9,39,40,40.7,42.5,40.4,45,45.1,43.4
CHN,75.5,74.5,73.3,71.8,70.1,68.5,66.5,64.7,63,61.5,60.5,59.7,59.2,58.9,58.4,57.5,58.1,58.5
COL,61.9,62.2,62.7,63.2,63.6,64.1,64.5,64.9,65.3,60.8,61.1,55.3,53,53.1,53,52.5,52.5,52.5
COM,56.1,55.8,55.5,55.3,55.1,55,55,55.1,55.3,55.3,55.4,55.3,55.1,54.9,54.6,54.2,53.9,53.5
COG,45.8,45.5,45.3,45.1,45,44.9,44.9,44.9,44.9,44.8,44.8,44.8,44.9,45,45,45,45,44.9
CRI,71.6,68.2,69.5,71.2,68.6,67.3,65.8,65.6,65.4,62.9,61.8,62.3,64.4,60.4,58.5,58.2,58.1,57.8
CIV,66,64.8,63.5,62.2,62.1,62,62,62.1,62.1,62.2,62.2,62.1,62,61.9,61.7,61.6,61.4,61.3
HRV,47.1,46.6,46.2,45.9,45.5,45.2,44.9,45.7,43.7,44.4,43.3,40.2,40.6,40.9,40.3,39.4,36.3,33.6
CUB,53.8,52.9,51.4,49.6,47.7,45.8,44.2,42.7,41.6,40.7,40.3,40.1,42.6,44.7,46.4,46.9,47.3,47.4
CYP,47,47.4,44.5,44,44.2,45.3,45.5,44.1,45.1,47.7,47.8,47.3,45.3,44.5,42.9,40.8,40.5,41.9
CZE,58.3,56.8,55.2,55.1,54,51.8,49.1,45.6,42.6,40,38.5,37.4,36.4,35.5,37,36,35.5,36.4
PRK,75.4,74.7,73.6,73.2,71.9,70.6,70,69.3,68.6,67.2,66.3,64.9,63.1,61.9,61.7,60.6,60.4,60.4
COD,41.7,41.8,41.8,41.8,41.7,41.7,41.6,41.5,41.4,41.3,41.1,41.2,41.3,41.4,41.6,41.7,41.8,41.9
DNK,77.2,77,78.2,72.3,77.6,75.4,70,71.7,68,70,70.3,70.7,72,72.7,71.6,67.5,67,64
DJI,50.5,50.3,50.3,50.3,50.2,50,49.7,49.2,48.7,48.2,47.9,47.8,47.8,47.9,48,48.1,48.3,48.5
DOM,69.1,67.9,66.4,65.2,63.9,63,63.4,63.8,64.2,64.5,64.6,64.7,64.7,63.7,63.1,61.5,61.3,61.2
ECU,67.3,67,66.7,66.4,66.6,66.3,73.1,70.5,67.3,67.7,67.1,70,64.7,63.2,60.9,60.9,60.9,60.9
EGY,46,44.9,43.9,43,47.4,43.5,39.5,40.9,44.9,48.8,52.6,46.9,47.1,47.4,47.6,47.7,47.8,47.7
SLV,70.8,67.7,65.7,67.2,65.6,63.8,61.9,59.9,63.6,62.2,62.9,63.7,63.9,64.4,64.9,64.7,64.5,64.4
GNQ,90.5,90.5,90.2,89.9,89.6,89.3,89,88.7,88.5,88.2,88.1,88,88,88,88,88,88,88
ERI,84.1,83.9,83.7,83.3,82.9,82.5,82,81.5,81.1,80.7,80.5,80.4,80.4,80.4,80.5,80.5,80.4,80.3
EST,54.4,52.9,51.4,46.6,43.6,41.9,39.4,36.3,45.4,43.5,40.2,42,45.5,46.6,46.2,42.5,43.4,44.5
ETH,83.9,83.9,83.9,83.8,83.8,83.5,83.4,83.2,83,82.8,82.6,82.1,81.6,80.9,80.2,79.6,79.4,79.2
FJI,59.3,57.6,56.7,56,55.3,54.7,54.2,53.7,53.3,52.8,52.2,51.3,50.3,50,50.1,50.1,50.1,50.2
FIN,51.9,52.1,52.5,53.2,55.4,56.5,56.5,55,54.1,53.8,53.8,56.6,56.8,56.8,52.2,51.4,53.3,53.4
FRA,39.3,39.7,38.6,37.7,39.8,38.9,38.5,39.8,39.9,40.1,42.1,42.5,42.6,42.9,43.5,43.1,41.9,41.2
GAB,35.8,34.9,34,33.2,32.3,31.5,30.7,29.9,29.1,28.3,27.6,27.5,27.5,27.4,27.4,27.3,27.4,27.4
GMB,67.4,67.1,66.9,66.7,66.6,66.4,66.4,66.3,66.2,66.2,66,65.8,65.5,65.2,64.8,64.4,64.3,64.2
GEO,40.8,41.5,41.9,41.9,41.9,43.8,43.8,39.7,43.6,37.6,40.3,40,39.3,39.5,40.4,40.1,40.7,41.2
DEU,57.2,56.8,55.9,56.4,55.9,55.3,54.5,52.3,50,51.2,53.9,54.6,55.6,56.3,55.7,54.8,54.9,52.8
GHA,46.5,47.9,49.2,50.6,52,53.4,51.2,48.9,46.5,44,41.6,39.1,39,38.8,38.7,38.6,38.6,38.7
GRC,43.5,42.9,41.8,45.5,44,43.8,40.4,40.6,39.2,40.8,37.6,37.1,35.7,35,35,34.5,33.6,32.5
GTM,79,78.9,78.6,78.1,77.9,77.7,77.8,77.6,77.7,77.7,79.1,80.4,79.6,79.4,79.8,79.7,79.7,79.7
GIN,56.6,56.6,56.6,56.6,56.7,56.7,56.7,56.7,56.8,56.8,56.8,56.8,56.8,56.9,56.8,56.8,56.9,56.9
GNB,58.9,59,58.6,57.5,56.9,56.6,56.5,56.5,56.7,57,57.1,57.1,57,56.8,56.7,56.7,56.7,56.8
GUY,69.9,69.3,68.9,68.7,68.3,68,67.6,67.1,66.7,66.2,65.8,65.2,64.5,64,63.3,62.6,62.1,61.6
HTI,44.1,42.6,41.2,39.8,38.5,37.4,37.7,38.1,38.5,38.9,39.2,39.3,39.3,39.3,39.3,39.6,39.4,39.3
HND,78.1,80.8,81.1,80.8,80.6,79.4,77.9,75,74.2,73.4,71,68.2,67.8,67.5,67.2,66.9,66.7,66.6
HUN,45.5,44.4,43.3,44.1,44.1,42.6,40.3,36.9,35.1,31.7,30.3,30,29.2,28.7,27.8,27.9,27.3,28.2
ISL,64.1,60.7,59.9,64.7,66.9,70.3,70.2,65,70.5,66.7,70.7,73.5,76.3,73.1,66.5,67,67.3,69
IND,67,66.5,66,65.5,65,64.5,64.6,64.6,64.7,64.7,64.8,62.8,60.7,58.7,56.6,54.6,54.5,54.4
IDN,59.5,62.8,62.5,55,67.3,66.6,65.6,64.6,64.4,64.2,64,63.1,62.3,61.5,61.8,60.8,60.6,60.4
IRN,53.2,51.4,51.4,51.6,51.8,52.1,52.6,53.1,53.7,54.2,54.8,52.6,50.5,47.6,48,48.4,48.6,48.6
IRQ,55.1,54.6,54.1,53.6,53,52.4,51.8,51.1,50.4,49.7,49.7,49.4,49.3,48.8,48.6,48.6,48.5,48.4
IRL,48.6,47.2,49.4,52.7,54.7,56.1,54.8,52.8,53.3,53.1,56.6,58.8,57.8,54.1,48.4,43.4,41.8,40.9
ISR,35.1,34,33.9,33.3,32.9,32.9,32.3,30.5,29.8,30.3,31.1,30.9,31.3,30.8,29.5,29.2,28.1,50.6
ITA,44.6,43.9,43.1,43.9,42.6,42.4,40.5,39.8,39.2,41.5,38.9,37.9,36.4,36.3,34.3,33.3,31.6,32.9
JAM,64,62.2,60.3,58.4,56.9,55.6,54.3,53,51.9,49.9,49,48.3,47.6,47,42.9,40,41.8,40.2
JPN,47.9,48.7,49.2,48.5,47.4,47.1,46.4,46.1,45.4,44.1,44.2,44.6,45,44.4,42.9,42.4,42,42.1
JOR,47.5,47.5,47.1,46.8,46.3,46.1,46.9,45.1,45.2,45.4,45.9,44.5,43.8,43.6,44.1,41.7,40.2,38.8
KAZ,56.8,56.5,56.2,55.9,55.5,55.2,54.9,54.5,54,53,51.8,50.8,50,49.2,49.5,49.7,50.1,50.3
KEN,52.9,51.8,50.8,49.7,48.7,47.7,46.8,45.9,45.1,44.3,43.6,43.7,43.8,43.9,43.9,43.8,43.7,43.6
KWT,41.7,43.5,44.9,45.8,46.3,46.5,46.3,45.8,45.1,44.1,43.2,43,43,43.1,44,44,43.8,43.4
KGZ,54.2,54.4,54.5,54.5,54.5,54.6,54.7,54.7,54.4,54.2,55.6,57.1,57.4,57.8,58.1,58.3,58.6,58.7
LAO,66.3,65.8,65.3,64.7,64.2,63.6,63,62.4,61.8,61.2,60.7,60.2,59.8,59.4,59.1,58.8,58.7,58.7
LVA,57.5,57.1,51.8,50,49.4,44.7,43.9,43.4,46.8,43,44,47.8,48.9,48.7,46.5,42.4,41.5,44.1
LBN,43.4,43.2,43.7,43.5,43.8,43.8,43.5,43.4,43.2,42.5,42.2,41.9,41.5,41.1,40.9,40.7,41.1,41.5
LSO,73.1,72.6,72.1,71.5,70.9,68.9,66.9,64.9,62.9,60.8,58.8,56.8,54.9,53,52.8,52.6,52.4,52.2
