ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,647.1,667.2,677.1,682,689.2,687.6,711.2,742.3,779.1,819.2,860.5,903,947.9,997.1,1053,1117.4,1167.4,1221.5
ALB,599.6,597.4,604.6,603.2,601.7,600.1,597.4,596.2,586.7,577.8,569.8,562.7,556.4,551.2,547.7,552.5,557.4,563.4
DZA,1003.3,1072.5,1106.7,1144.9,1187.6,1235.1,1287.5,1344.9,1407.3,1474.7,1547.5,1626.1,1710.6,1801,1896.5,1961,2024.5,2085.7
AGO,2240.7,2282.9,2330.3,2380.6,2444.9,2516.6,2595.7,2645.5,2736.7,2805.2,2841.5,2883.8,2918.7,2985.8,3123.2,3265.7,3386.2,3511.6
ARG,5261.7,5369.4,5482.3,5600.5,5723.5,5850.5,6035.3,6220,6404,7091.7,7181.3,7259.7,7359,7459.4,7560.9,7373.8,7486.2,7598.2
ARM,721.7,716.1,714.7,715.8,718,718.8,717.3,701.1,683.2,663.9,643.3,621.8,599.6,578.1,593,600.7,603.7,608.9
AUS,3874.2,3929.4,3979.3,4051,4117,4244.5,4338.7,4412.3,4527.3,4578.9,4766.3,4907.1,5058.6,5202.7,5314.4,5398.5,5506.3,5559.9
AUT,1659.8,1649.4,1660.4,1661.8,1672.8,1679.6,1706.6,1755.8,1788.8,1796.1,1838.8,1884.2,1921.5,1955.7,1993.6,1995.9,2013.5,2039.3
AZE,1505.5,1533.5,1562.8,1593.6,1626.2,1679.2,1734,1789.8,1846.1,1902.3,1958.4,2015.1,2072.7,2131,2193.4,2239.2,2285.1,2327.8
BHS,66.8,67.6,68.1,68.5,70.3,72.4,74.7,77.3,80.1,83,85.9,88.9,91.8,94.7,97.6,100,102.2,104.4
BHR,49.1,51.9,54.8,57.9,61.2,64.9,68.8,71.3,74.6,79.3,86.4,95.7,106.6,118.3,128.8,137.2,142.1,144.4
BGD,20135.7,20463.2,20795.2,21127.3,21453.4,21769.6,22479.7,23195.2,23914.2,24635.1,25357.1,26077.9,26798.4,27524,28262.5,29018.9,29744.9,30483.6
BRB,66.1,67,66.1,66.6,66.9,67.6,68.4,67.8,69.2,70.7,71.6,72.5,73.3,74,74.7,75.3,75.8,76.2
BLR,2413.7,2386.7,2363.1,2341,2318.2,2312.6,2304.1,2293.2,2280,2265.1,2248.8,2231.3,2212.4,2191.5,2167.9,2173.2,2173.5,2170.4
BEL,1735.9,1744.4,1768.6,1798.6,1874.9,1902.2,1830.8,1895.8,1924.7,1982.5,2047.3,2071.1,2126.2,2160,2177.6,2225.5,2202.7,2212
BLZ,21.2,22.2,23.6,25.1,26.7,28.4,30.2,32,33.9,35.9,38,40,42.2,44.4,46.6,48.9,50.7,52.6
BEN,1017.4,1063.2,1108.6,1154.8,1203.4,1255.7,1312.2,1372.4,1424.7,1479.3,1535.4,1592.4,1650.8,1710.4,1772,1835.6,1897.2,1960.1
BTN,63.7,65.5,68.8,73.5,79.3,85.9,93.1,101,109,116.7,123.7,129.9,135.5,140.4,144.9,149.6,154.2,158.8
BOL,1273.5,1359.7,1447.4,1482.9,1519,1555.6,1601.5,1648.6,1696.8,1745.7,1795.3,1850.5,1917.1,1973.3,2036.7,2099.5,2151.9,2205.4
BIH,515.5,508.1,509,518.2,528.5,535.5,537.3,534.8,529.8,523.3,517.6,512,513.9,530.2,536.6,557.2,559.9,563.8
BWA,321.7,334.3,346.9,359.4,371.6,383.2,394.3,404.8,414.8,424.1,432.9,440.2,446.9,453.2,459.2,465,470.3,475.4
BRA,30275.1,29841.5,31212.4,32176.5,33867.8,34500.4,35109.6,36786.4,37762.6,39164.4,40742.1,41288.7,41700.8,42434.2,43330.6,44412.3,45106.1,45789.4
BRN,47,50.1,53.4,57,60.4,63.6,66.4,67.8,69.1,70.2,71.5,72.7,74.1,75.4,76.7,78,79.1,80.2
BGR,1790.7,1741.8,1693.1,1645.9,1595.9,1542.2,1626.4,1607.2,1551.3,1573,1529.2,1593.7,1624.4,1638.6,1602.1,1575.6,1551.5,1559.5
BFA,2156.9,2215.7,2279.2,2344.4,2411.9,2484.3,2556.3,2631.7,2707.7,2788.4,2871,2957.1,3047.6,3140.4,3237.7,3336.8,3437.1,3541
BDI,1441.3,1441.1,1436.6,1433.2,1448.7,1477.6,1521.7,1579.3,1647.1,1720.5,1795.8,1872.6,1951.4,2030.8,2109.1,2185.5,2259,2329.1
KHM,2352,2441.5,2543.4,2655.8,2788.7,2916.2,3015.8,3109.2,3199.4,3288.2,3434.8,3581.5,3728.3,3875,3967.1,4055.4,4139.1,4218.9
CMR,2286,2386.6,2463.1,2542.1,2623.7,2707.4,2793.1,2881.4,2972.3,3066.8,3165.5,3268,3374.4,3485.1,3600.3,3719,3834.2,3953.3
CAN,6753.5,6828.9,6950.3,7107.1,7258.8,7406.6,7539.5,7785.8,8022.9,8143.4,8210.1,8373,8591.8,8749.8,8844.9,8944,9019,9102.7
CPV,52,54,56.1,58.2,60.3,62.6,65,67.6,70.1,72.7,75,77.1,79,80.9,82.8,84.9,86.9,89.1
CAF,678.8,700,715.8,731.3,746.7,762.1,777.7,793.1,813,828.8,845.8,864.3,885,908.5,933.2,958.5,982.4,1007.3
TCD,1183.4,1218.2,1254.9,1293.8,1335.5,1380.5,1429,1480.8,1534.9,1590.2,1645.6,1701,1756.6,1813.2,1871.6,1932.5,1996.3,2062.7
CHL,1798.5,1813.5,1895.1,1946.5,1990.3,2021.4,2013.5,2044.7,2163.2,2293.3,2394.6,2486.7,2595.9,2778.8,2853.3,3184.3,3363.7,3426.5
CHN,310384,313908,317310,320726,324345,328291,330689,333161,335542,337674,339485,341043,342394,343441,344035,344072,347644,350638
COL,4412.9,4828.4,5266.1,5724.7,6202.1,6695.8,7203.5,7723.2,8252.7,8082.8,8155.2,8102.8,8141,8374.4,9100.8,9426.3,9638.6,9849.2
COM,38.3,40,41.7,43.5,45.4,47.3,49.2,51.1,53.1,55.1,57.2,59.3,61.5,63.7,66,68.4,70.5,72.7
COG,493.1,512.6,533.7,554.6,576.3,596,615.5,634.1,653.6,674,695.9,717.8,741.8,767,792.2,816.3,838.7,860.1
CRI,403,396.3,447.5,490.4,502,494,579.2,593.5,607.8,603.5,676.3,694.3,729,744.3,771.3,797.4,817.9,837.8
