ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,4422.8,4602.9,4716.4,4793,4878.1,4952.4,5127.4,5340.9,5577.2,5812.3,6029.8,6225.3,6407.8,6589.3,6787.5,7015.2,7252.1,7514.7
ALB,1453.9,1443.9,1450.9,1443.8,1437.6,1432.6,1427.3,1426.6,1408.1,1390.9,1375,1360.4,1347.2,1336.4,1328.9,1341.3,1354.6,1370.4
DZA,7826.5,8187.8,8414,8646,8882.5,9122.7,9366,9612,9859.6,10107.7,10355.6,10603.3,10850.1,11094.1,11333.1,11642.7,11925.8,12196.3
AGO,4558.4,4675.1,4793,4914.3,5051.1,5202.6,5370,5527.6,5721.3,5904.5,6066.8,6234.7,6399.2,6592.8,6848.8,7114.9,7366,7627
ARG,14331.5,14531.7,14736.7,14947.3,15162.6,15381.2,15657.5,15930.2,16198.8,17445.8,17696.5,17926.4,18068.1,18207.9,18345.9,18340.4,18592.7,18844.2
ARM,1503.3,1483.3,1472.2,1468.9,1470.6,1474.3,1478.9,1464.6,1450.9,1436.8,1422.1,1407,1392,1378.2,1394.5,1450.5,1464.5,1479.4
AUS,9071.9,9171.6,9249.5,9371.1,9482.1,9679.4,9824.5,9965,10138.8,10280.1,10617.8,10891.7,11202.3,11489.2,11698.7,11909,12102.1,12198.8
AUT,3865.5,3839.5,3845.2,3839,3855.1,3861.5,3890.3,3962.1,4016.9,3999.8,4075.4,4156.3,4248.5,4289.4,4328.2,4335.5,4369,4408.8
AZE,3270.4,3323.6,3378.8,3437.4,3500.8,3585.3,3677.4,3774.4,3873.5,3971.9,4068.1,4162.7,4256.3,4348,4474.2,4535,4644.2,4747.7
BHS,142.9,142.9,142,140.5,144.1,148.4,153.3,159,165.1,171.4,177.7,184,190.1,196.2,202,207,211.7,216.1
BHR,257,264.1,271.3,279.4,289.8,303.5,320,335.5,355.6,383,424.4,477.7,540.8,606.3,664.1,707.1,732.2,741.8
BGD,53019.8,54206,55416.4,56632.6,57830.4,58992.2,60549.6,62091,63602,65065.3,66471.8,67810.6,69092.6,70357.2,71658.2,73033.2,74500.9,76038
BRB,140.9,140.2,140.9,142.3,143.8,145.4,147.2,146.7,148.7,151.7,153.4,155,156.5,158.1,159.8,161.2,162.4,163.5
BLR,4974.6,4917.4,4864.4,4812.7,4758.2,4739.7,4716.8,4690.1,4660.1,4627.7,4593.6,4558.4,4521.4,4481,4435.2,4450.4,4454.1,4450.3
BEL,4202,4209.4,4228.3,4262.3,4372.1,4418.4,4314.9,4403.1,4431.5,4523.4,4635.8,4662,4756.8,4803,4822.5,4906.5,4848.3,4868.8
BLZ,71.1,75.1,78,81.2,84.5,87.9,91.3,94.7,98.3,102,105.9,110.3,115.1,119.9,125.1,130.2,134.7,139.4
BEN,2383.5,2458.7,2527.9,2595,2666,2745.2,2833.4,2929.1,3043.8,3163,3283.9,3406,3530,3655.9,3784.3,3915.1,4044.9,4176.5
BTN,181.9,184.9,190.7,199.4,210.5,223.7,238.9,255.9,273.5,290.5,305.7,318.8,330,339.6,348.2,359.8,371.3,382.5
BOL,3092.7,3226.9,3362,3442.9,3523.8,3603.9,3699.9,3797.7,3897.4,3999.2,4103.1,4212.7,4333.7,4447,4568.1,4690.2,4803.5,4919.2
BIH,1260.1,1286.4,1303,1333.3,1365.2,1387.3,1396.6,1396.2,1389.3,1379.6,1371.5,1366,1395.9,1420.1,1413.8,1435.5,1442.5,1451.7
BWA,684.6,710.5,736.4,762,786.9,810.9,833.8,855.7,876.4,896.2,914.9,931.6,947.2,962.2,976.7,990.8,1004.4,1017.8
BRA,75605.4,75222.4,77880.3,79726,82460,83779.4,85024.2,87741.1,89486,92053,94671.5,95790.2,96694.4,98397.3,99962,101784,103260,104714
BRN,131.1,136,141.1,146.3,151.5,156.3,160.7,164.2,167.5,170.8,174,177.4,180.8,184.2,187.6,190.7,193.9,196.8
BGR,3751.3,3671.1,3593.7,3520.6,3444,3361.3,3470.9,3428.6,3357.2,3396.5,3333,3445,3519.8,3583.8,3505.4,3415.5,3337.6,3343.7
BFA,4446.7,4574.8,4709.7,4849.5,4994.6,5147.3,5303.6,5466.4,5633.9,5809.3,5990.9,6179.9,6377,6581,6793.5,7012.7,7234.3,7463.8
BDI,2752.6,2756.7,2757.2,2762.6,2804.6,2870.5,2963,3079.1,3213.2,3356.9,3503.9,3653.4,3806.3,3959.8,4110.9,4257.3,4400.4,4535.7
KHM,4632.3,4800.1,5030.1,5282.3,5493.4,5684.3,5926.7,6161.6,6395,6629.2,6892.1,7153.9,7414.9,7674.3,7880,8075.8,8259.2,8432.5
CMR,5148.9,5316.7,5480,5648.8,5822.7,6001.3,6184.6,6373.1,6567.7,6769.5,6979.7,7198.1,7425,7660.4,7904.1,8155.5,8404.9,8662
CAN,15023.7,15162,15394.8,15649.1,15944.3,16199,16437.5,16897.5,17309.7,17537,17692.8,17941.5,18344.2,18683.7,18797.5,18985.3,19152.6,19323.6
CPV,139.4,144.1,148.8,153.7,158.8,164.4,170.5,177,183.6,190,196,201.4,206.4,211.1,215.9,221,226.3,231.9
CAF,1463.4,1502.2,1536.9,1571.1,1604.5,1637.1,1669,1699.9,1734,1766.5,1802.1,1841.1,1884,1930.8,1980,2030.7,2081.3,2133.7
TCD,2603,2680.9,2762.9,2850.1,2943.9,3045.1,3154.4,3271.4,3393.9,3518.9,3644.3,3769.6,3895.5,4023.4,4155.5,4293.3,4437.4,4587.5
CHL,5640.6,5693.3,5829,5952.5,6055.3,6103.1,6140.2,6215.4,6394.7,6595,6783.9,6987.1,7181.2,7474.2,7582.2,8053,8340.8,8453.2
CHN,695422,703208,710639,718032,725813,734256,740861,747743,754586,761059,766979,772436,777470,781844,785239,787445,796034,803498
COL,13611.5,14305.9,15027.8,15774.5,16542,17326.4,18125.1,18935.9,19756.8,19611.1,19898.3,19714.5,19897.7,20463.9,21649.4,22207.1,22663.3,23114.6
COM,143.1,148,153,158.2,163.5,168.9,174.3,179.7,185.3,190.9,196.5,202.3,208.1,214.1,220.2,226.5,232.6,238.9
COG,1049.1,1085.5,1124,1163.1,1202.3,1239.8,1275.8,1310.6,1345.8,1383.4,1425,1470.7,1520.9,1573.6,1626,1676,1722.5,1766.8
CRI,1366.4,1370,1468.3,1554.9,1591.8,1604.7,1725.5,1770.3,1814.3,1833.2,1945.5,1993.3,2071.8,2103,2142.2,2198,2249.4,2299.3
CIV,5414.3,5588.9,5758.9,5918.3,6075.2,6214.4,6333.8,6436.3,6529.5,6624.2,6728.6,6845,6972.7,7113.4,7268,7436.9,7617.3,7814
HRV,2121,2093.1,2064.2,2036,2010.5,1988.9,1959.6,1931.5,1934.3,1978.1,1970,1947.9,1954.8,1949.8,1937.9,1915.3,1893.8,1879.8
CUB,4625.9,4654.1,4673.8,4687.2,4697.6,4707.6,4718.3,4729.3,4740.5,4750.9,4817.8,4880.4,5007.1,5084,5247.4,5278,5306.2,5331.6
CYP,361.4,376.1,385,392.4,402.4,445.1,466.9,479.8,500.5,515.6,523.9,537.4,551.1,560.5,571,584.1,586.7,593.5
CZE,5165.2,5165.6,5175.2,5192.2,5210.6,5177.3,5162.5,5159.1,5141.5,5134.1,5174.6,5200.6,5208.7,5225,5276.5,5283.5,5296.5,5351.2
PRK,12984.8,13134.9,13275.7,13434.6,13567.4,13688.8,13818.6,13935.6,14049,14143.8,14258.5,14362,14454.8,14568.6,14711,14819.5,14951,15080
COD,16270.5,16679.6,17051,17384.9,17749.4,18176.1,18652.9,19171.9,19733,20323.3,20933.9,21574.6,22239.8,22929.7,23644.9,24386.3,25145.8,25930.4
DNK,2824.2,2832.6,2853.8,2843.7,2877.9,2862.1,2851.7,2876,2868.3,2903,2899.7,2934.2,2936.2,2966.9,2955.4,2931.3,2932.8,2916
DJI,179.1,184.3,189.6,195.2,201.1,207.3,213.8,220.6,227.6,234.8,242.3,249.9,257.7,265.6,273.5,281.1,288,294.7
DOM,3216.6,3285.9,3354.4,3424.4,3494.9,3567,3662.6,3757.5,3853.5,3950.1,4046.4,4143.3,4240.7,4320.4,4404.1,4472.8,4553,4632.1
ECU,4623.6,4784.1,4940.3,5105.3,5305.3,5478.2,6016,6062,6100.4,6435.5,6487.3,6750.6,6702.6,6740.8,6851.3,7044.5,7214.4,7385.8
EGY,17713.4,17926.1,18130.5,18335,19363.6,19701.5,19960.1,20220.4,21195.8,22175.6,23127,23143.5,24171.6,24771.7,25370.7,25969.7,26575.9,27179
SLV,2136.1,2115.2,2134.3,2219.9,2224.9,2225.6,2226.7,2228,2308.2,2285.6,2337.5,2391.8,2443.7,2503.2,2555.9,2613.1,2659.3,2708
GNQ,223.8,229.4,235.7,242.6,250.3,258.8,268.2,278.3,288.9,299.7,310.6,321.4,332.3,343.3,354.4,365.9,377.5,389.5
ERI,1408.7,1433.6,1478.4,1544,1625,1724.5,1824.5,1938.8,2061.5,2180.3,2291.7,2395.5,2490.4,2585.4,2673.6,2765.2,2859.3,2955.8
EST,700.1,692.4,686.9,677.1,661.6,654.7,655.5,642.9,662.2,664.1,659.8,680.7,680.3,685.3,679.9,674.3,681.1,672.4
ETH,24661.2,25357,26106.8,26911.4,27680.7,28743.1,29840.8,30975.3,32151.9,33375.6,34650.9,35729.8,36854,38033,39278.7,40599.1,42045,43570.3
FJI,289.8,296.5,297.8,298.9,300.3,302.5,305.7,309.5,313.7,317.5,320.6,322.8,324.3,328.1,332.2,335.7,339,342
FIN,2514.8,2524.1,2511.7,2533.5,2582.1,2612.9,2630.8,2636.8,2625.9,2622,2643,2683.5,2710.7,2740.3,2712.3,2700.5,2713.5,2715.8
FRA,25698.6,26014.6,25977.6,26136,26400.2,26547.3,26596.3,26914,27511.1,27690,27987.2,28127,28362.3,28569.3,28857.9,28993.6,29065.2,29326.3
GAB,388.5,397.7,407.3,417.4,427.8,438.3,448.9,459.6,470.5,481.9,493.8,508.8,524.4,540.6,557.2,574,591.1,608.3
GMB,440.6,453.7,467.6,482.5,497.6,513.3,529.5,547.4,564.6,582.5,601.1,620.2,639.9,660.3,681.8,704.2,727,750.7
GEO,2551.6,2518.5,2489.9,2468.9,2450.5,2357,2434.1,2347.5,2388.1,2335.4,2324.9,2319.4,2314.4,2317,2323.9,2321.9,2323,2321.9
DEU,40447.4,40676.3,40902.9,41194.5,41055.5,40980.3,41093.4,41052.8,40866.1,41427.1,41917.5,42286.9,42550.4,42556.3,42636.6,42652.1,43033.9,42991.4
GHA,6973.3,7214.5,7457.6,7705.3,7962.7,8233.1,8370.7,8506.6,8640.6,8773.3,8905.3,9038.9,9322.7,9613.7,9907,10199.3,10486.3,10771.6
GRC,4532.1,4651,4684.7,4810.2,4873.6,4897.2,4840.4,4899.4,4954.6,5018.4,5024.9,5062.2,5061.2,5068.6,5112.8,5129.2,5073.3,5052.9
GTM,3494,3579.8,3666.4,3755.5,3851.4,3952.6,4062,4173.4,4294.4,4421.3,4688.9,4959.6,5111.9,5280.4,5465.3,5653.6,5841.6,6037.6
GIN,3113.3,3210.3,3286.9,3348,3403.8,3467.4,3532,3596.8,3663.1,3744.5,3835.2,3939.5,4058.1,4179.8,4321.1,4461.1,4597.2,4737.3
GNB,436.7,445.5,457,482.7,495.3,508,523.1,540.7,557.1,572.1,587,603.3,620.6,637.7,655.6,674.1,692.7,712.2
GUY,283.1,284,285.4,287.5,289.2,290.5,290.9,290.9,290.7,290.5,290.9,291.6,292.7,294.6,297.1,300.5,304.2,308.5
HTI,2927.8,2981.2,3036.8,3094.3,3153.1,3213,3298,3385.7,3475.6,3566.8,3658.8,3747,3834.3,3924.5,4015.9,4117.1,4213.2,4312.7
HND,1895.3,2043.1,2112.4,2211.1,2348,2367.9,2376.1,2357.3,2411.8,2466.7,2545.9,2627.3,2713.6,2803.9,2898.7,2994.8,3090,3187.4
HUN,4178.6,4138.2,4073.5,4070.2,4156.9,4183.5,4159.6,4166,4232.9,4228.5,4276,4310,4299.9,4271.5,4273.7,4320.8,4345.8,4415.9
ISL,153.9,153.2,154.5,159.1,162.9,165.8,168,168.2,170.1,169.5,174.6,180,183,184.6,183.8,187.4,188.4,191.1
IND,370086,377028,384048,391132,398262,405422,416834,428445,440239,452194,464292,465097,465720,466186,466521,466748,475716,484653
IDN,86280.2,89287.8,89403.5,90651.7,95972.1,97709.1,99251.3,100620,102548,104437,106316,107912,109456,110951,112907,114490,116408,118376
IRN,15321.7,15676.5,16378.5,17174.2,18062.3,19037.1,20105.9,21259.4,22453.8,23630.7,24748,24803.4,24756.7,23950.9,24528.7,25098.7,25626.9,26134.3
IRQ,4668.8,4851.6,5039.2,5229.8,5421.4,5612.5,5803.5,5994.2,6182.6,6366.2,6580.3,6775.9,6975.4,7166.8,7386.3,7641.8,7921.6,8230.3
IRL,1468.4,1513.6,1550,1622.3,1694.8,1756.9,1799.4,1851.9,1900.8,1956.1,2052.2,2112,2160.4,2170.5,2154.4,2140.8,2145.8,2160
ISR,2042.3,2090.9,2142.8,2204.2,2275.1,2342.8,2393.9,2428.4,2489.6,2561.6,2632.3,2721.2,2831.5,2924.7,3013.2,3094.4,3146.6,3527
ITA,22830.3,22922.5,22931.1,23058.5,23218.3,23311.7,23502.5,23866.2,24243.2,24747.1,24678,24872.1,24927.3,25274.5,25093.6,25078.3,25126.4,25660.9
JAM,1191.2,1188.2,1183.3,1176.5,1182.1,1187.5,1193.1,1198.6,1203.7,1213.6,1230,1244.8,1258.3,1271.1,1243.4,1233.3,1243.6,1266.6
JPN,66369,66859.5,67420.9,67391.5,67163.5,67003.6,66916.8,66466.9,66352.7,66075.6,66201.2,66249.8,66506.3,66406.1,66236.6,66414.5,65338.3,65093.3
JOR,1082.4,1130.4,1161.7,1182.5,1196.3,1212.2,1228.2,1235.2,1240.4,1260.6,1322.4,1376.7,1501.8,1579.7,1706.8,1774.2,1845.4,1905.7
KAZ,7586.9,7524.7,7457.9,7401.5,7375.1,7392.6,7461.1,7575.5,7667.3,7739.5,7895.4,8042.8,8185.7,8323.3,8439.8,8548.5,8659.5,8759.2
KEN,10542.6,10829.7,11104.3,11371.1,11637.2,11907.8,12184.7,12466.4,12751.5,13038.4,13326.5,13761,14205.8,14663.7,15138.1,15631.3,16149.1,16685.9
KWT,770.2,791.7,826,869.2,914.9,958.4,998,1035.5,1074.5,1113.8,1160.6,1218.7,1283.8,1354.4,1436.8,1512.3,1588.1,1662.3
KGZ,1884.5,1918.5,1961,2007.6,2052,2089.7,2119.3,2142.3,2158.3,2174.7,2243.1,2308.4,2348.8,2390.7,2433.4,2476.1,2518.9,2562
LAO,2193.4,2241.9,2289.6,2337,2384.7,2433.2,2482.3,2532.3,2585.4,2644.4,2711.1,2786.2,2868.7,2956.4,3046.2,3135.9,3228.6,3321.2
LVA,1204.4,1160.6,1154.5,1150.7,1123.6,1093.2,1100.6,1133.4,1110.5,1107.4,1098,1116.3,1127.7,1138,1099,1058.4,1045.2,1059.1
LBN,903.6,922.7,944.7,959.4,986.4,1023.9,1073.4,1136.1,1205.2,1264.8,1325.7,1374.8,1412,1445.3,1487.6,1545.9,1625.3,1720.2
LSO,758.2,772.3,784.7,795.1,806.1,804.6,802.6,800.3,797.9,795.7,794.1,793.1,793,794,807.4,822,837.8,854.7
LBR,700.8,743.6,803.4,871.7,936.5,989.6,1027.5,1053.3,1072.6,1094.3,1124.7,1165.4,1214.1,1267.7,1321.7,1372.3,1420.6,1466.2
LBY,1458.6,1520.2,1585.6,1652.8,1719.4,1783.3,1845.2,1902.7,1954.8,2006.6,2056.1,2107,2157.5,2205.2,2245.5,2273.7,2295.2,2307.6
LTU,1790.1,1762.3,1733.6,1713.8,1715.9,1683.6,1640.9,1619.9,1673.3,1587.3,1549.6,1520.5,1518.4,1515.4,1530.3,1529.7,1547.3,1556
LUX,167.4,171.4,174.4,177.4,182.4,188.7,188.5,193.6,192.7,198.2,204.2,210.5,214.7,220.5,235.1,238.3,241.8,249.6
MKD,812.6,818,822.8,830.5,838.6,851.7,863.1,872.5,885.2,857.5,888.1,914.2,928.5,944.7,956.5,965.4,966.3,963.7
MDG,6403.8,6602.3,6803.1,7008.7,7221.9,7445.6,7680.9,7937.7,8194.3,8463.6,8743.4,9098.9,9464.6,9840.5,10226.8,10622.5,10968.6,11327
MWI,4263.1,4336.6,4429.4,4536.9,4696.5,4858.6,5023.2,5193.8,5372.2,5560.6,5759.9,5959.3,6099.7,6361.1,6556.9,6762.5,6979,7205.6
MYS,8228.3,8496,8778.1,9069.1,9352.1,9804.8,10049.7,10285.5,10514.1,10738.3,10960.2,11178.3,11391.9,11605.4,11825.9,12084.9,12395.2,12718.4
MDV,67.8,71.1,74.7,78.6,82.9,87.6,93.6,100,107,114.3,121.9,129.9,134.9,139.9,144.9,149.9,154.9,159.7
MLI,2449.7,2517.7,2586.2,2658.1,2734.4,2818.6,2903.4,2997.8,3095.3,3200,3455.3,3723.6,4004.3,4294.7,4591.6,4892.3,5035.6,5178.3
MLT,154.7,156.7,158.2,160.5,162.5,164.1,168.3,168.3,168.9,165.7,169,170.3,174.2,176.5,178.1,182.1,185.6,189.7
MRT,634.2,657.7,688.9,717.7,745.5,778.5,812.7,850.1,885.3,921.4,957.7,981.8,1029.5,1068,1111.9,1149.6,1185.5,1221.4
MUS,490.3,498.7,506.7,514.1,521.1,527.6,533.7,533.5,532.6,531.2,539.7,543.4,544.9,550.4,556.6,569.7,574.8,580.1
MEX,36303.8,37228.3,39024.5,39780.8,40123.2,40843.5,41175.8,42029.8,42363.3,44102,44814.9,46368.2,47382.8,48537.3,48644.7,50412.7,50741.6,52808.2
MNG,846.7,864.6,882.6,902.6,924.5,950,975.3,1000.6,1024.8,1053.3,1081.9,1110.3,1138.3,1130.3,1197.7,1213.8,1243.5,1271.9
MNE,250.5,248.3,247.3,246.3,248,247.8,248.4,249.3,250.2,250.8,251.2,254.3,257.8,260.4,257.5,253.5,245.1,251.7
MAR,8978.2,9203.6,9519.6,9791,10100.2,10156.7,9958.3,10046.2,10478.1,10818.2,10901.5,10958.3,11114.4,11247.8,11296.1,11373.7,11592.4,11812.3
MOZ,7494.5,7760.8,7993.1,8268.2,8522.6,8770.9,9015.4,9252.7,9484.7,9699.7,9917.6,10139.6,10367.3,10601,10841.4,11089.1,11347.2,11614.4
MMR,22596.8,23221.4,23871.1,24524.4,25152.7,25735.4,26264.9,26747.2,27193,27620.1,28041.8,28459.2,28869.9,29281.7,29697.3,30120.6,30554.2,30996.5
NAM,537.3,551.5,567.1,593.3,617.4,638.1,664.3,686.9,707.2,727.2,748.5,771.6,796.3,823,826.8,830.8,834.9,838.7
NPL,10353.5,10668.3,10987.3,11307.5,11625.1,11869.9,12102.2,12323.6,12536.5,12744.3,12949.7,13151.2,13350.1,13554.5,13815.5,14104,14416.5,14756
NLD,7358.2,7470.9,7673.3,7809.7,7950.9,8130.5,8261.5,8392,8443,8517.4,8577.2,8676.1,8840.7,8970.3,9044.3,8859.8,8855.9,8958.6
NZL,1818.7,1863,1874.8,1879.1,1901.5,1931.5,1980.5,2037,2066.7,2120.9,2182.2,2235.5,2276.8,2306.4,2327.5,2349.9,2389.7,2412
NIC,1528.9,1582.8,1637.8,1693.5,1749.5,1805.5,1861.5,1917.5,1973.9,2031.2,2089.8,2149.5,2206.5,2265.2,2325.9,2389.3,2453.6,2520.3
NER,2853.1,2988.1,3131.1,3279.9,3431.8,3584.9,3738.3,3888,4036.3,4186,4339.6,4487.3,4642.1,4805,4976.8,5158.1,5349,5550.5
NGA,34345.7,35252.8,36165.8,37076.4,37975,38853.6,39706,40529,41321.9,42086,43258.7,44471.9,45726.4,47023.3,48363.5,49748,51183.1,52667.8
NOR,2198,2259.1,2311.4,2349.9,2357.6,2375.9,2383.7,2402.2,2393.6,2407.8,2427.7,2457.6,2520.6,2599.1,2599.5,2608.5,2628.2,2659.9
OMN,772.7,784.8,780,769.2,762.2,760.8,770.4,795.2,830.8,867.4,905.1,939.2,972.8,1016.5,1096.9,1216.8,1385.8,1594.7
PAK,35314.1,36836.8,38511.8,39756.8,41326.7,42936.8,44116.2,45390.7,47150.8,48970.9,51345.2,53831.6,54939.5,56308.7,58414.8,60340.3,62060.4,63816.9
PAN,1141.1,1172.1,1203.1,1259.5,1280.7,1315,1349.4,1383.7,1422.8,1467.1,1507.1,1520.4,1566.8,1640.2,1681.4,1702.9,1740,1777.4
PNG,1974.6,2025.3,2101,2177.8,2243.4,2319.3,2389,2459.6,2527.9,2596.8,2666.2,2739,2806.6,2876.6,2952.1,3025.4,3108.2,3193.4
PRY,2106.5,2114.7,2119.2,2121.3,2205.9,2283,2360,2433.7,2508.1,2584.3,2662.9,2742.8,2823.6,2895.3,3012.1,2999.3,3076.4,3153.6
PER,10089.2,10644.9,11212.6,11632.9,12116.3,12027.2,12798.4,12671.8,12521.4,12707.7,12877.9,13375.6,14497,14887.3,15289.4,15561.3,15859.3,16172
PHL,27889.1,28584.6,29294,30304.2,30971.9,31143.9,33252.3,33505.4,34613.9,35103.6,35007.7,35322.9,35769.9,36885.8,37921.9,39137.9,40359.9,41299.4
POL,17351.6,17300.6,17272.9,17278.2,17095.7,17325.1,17403.8,17238.1,17252.8,17319.8,17459.6,17351.6,17374.4,17625.9,17897.7,18158.9,18246,18373.5
PRT,4820.6,4905.3,5016.7,5126.7,5172.3,5258.9,5345.4,5413.9,5443.1,5450.2,5505.9,5553.2,5586.1,5591.4,5547.8,5560.8,5523.2,5510.2
QAT,294.7,299.3,304.2,313.2,323.1,332.1,340.8,348.6,369.2,414.4,501,630.2,793.7,973.1,1148.9,1304.1,1434.1,1541.7
KOR,21222.3,21602.2,22026.3,21612.3,21807,22169.2,22391.9,22765.7,22745.2,23192,23415.2,23650.1,23942.2,24073.1,24119.6,24484.5,24854.1,25250.8
MDA,2046,2019.7,1989.1,1954.8,1917.4,1877.8,1798,1768,1580.5,1514.5,1485.5,1385.3,1342,1321.4,1257.7,1221,1229.2,1172.8
ROU,11478.6,11773.7,12096.8,11916.3,11904.3,11819.5,11600.8,10629.3,10589.7,10543.5,10280.5,10479.2,10472.2,10423.5,10381.7,10416.7,10322.9,10405.9
RUS,70756,69795,68446.4,67676.2,72483.4,72813.3,71627.6,72664.4,74054.1,74909.9,75551.1,75995.4,77130.5,77519.3,77363,76918.9,77144.8,76874.4
RWA,2805.6,2911.6,3116.1,3371.6,3624.9,3837,3998,4133,4243.2,4347.3,4460,4581.4,4707.5,4843.2,4994.5,5165.8,5353.9,5563.3
LCA,64.5,65.8,67.5,69.1,70.9,72.9,75.3,77.4,79.6,81.3,83,83.4,84.9,87.1,89.4,91.5,93.1,94.7
