ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AFG,,,,,,,,,,,,,,,,,45.4171,,
ALB,,,,,,,99.1876,,,,,,,97.3062,,,98.0082,,
DZA,,,,,,,,79.5691,,,,81.284,,,,,,,
AGO,,,,,,,82.9199,,,,,,,,,,,82.4748,
ATG,,,,,,,98.4,,,,,,,,,,,98.4,
ARG,,,,,,,97.1932,,,,,,,,,,,97.8795,
ARM,,,,,,,99.6722,,,,,,,,,,,99.7189,
AZE,,,,,99.4724,,,,,,,,99.824,,99.8427,99.8544,99.8567,99.8529,
BHR,,,,,,,88.5541,,,,,,,,,96.1402,,,
BGD,,,,,,,53.8961,,,,,,,,,,,62.4553,
BLR,,,,,99.7921,,,,,,,,,,99.7637,,,,
BEN,,,,,,,,47.866,,,,40.6162,,,,,,,
BTN,,,,,,,,,,,65.0478,,,,,,,,
BOL,,,,,,,93.0575,,,,,,96.0363,94.9554,95.8036,,96.6011,97.107,
BIH,,,,,,99.0337,,,,,,,,,,,,99.4788,
BWA,,,,,,,,,80.4301,,,,,,,,,86.3415,
BRA,,,,,,86.228,,,,88.4095,,89.3532,89.7721,89.8379,90.1748,90.0562,91.169,91.0166,
BRN,,,,,,,95.1504,,,,,,,,,,,97.0991,
BGR,,,,,,,98.7366,,,,,,,,,,98.7472,,
BFA,,18.5178,,,,,,,29.362,,31.4419,,36.6807,,,,,,
BDI,,,,,,67.3069,,,,,,,,88.7762,,,,,
KHM,,,,79.4822,,,,,,84.68,,,,85.0827,82.7524,,,,
CMR,,,,,,79.1945,,,,,,,78.95,,,78.3277,,,
CPV,,,,,,,,,,86.4148,,,,,,,,90.4745,
CAF,,,,,,66.7895,,,,,,,,,,50.7127,,,
TCD,,,,,,40.8271,,,,39.3683,,,,,,,,46.8624,
CHL,,,,,,,,95.7964,,,,,,98.6016,98.6072,,,,
CHN,,,,,,95.1352,,,,,,,,,,97.4795,,,
COL,,91.0891,,,,,,,,92.9041,92.7779,92.3928,92.4297,93.3169,93.0625,93.2502,93.4883,,
COM,,,,,,74.514,,,,,,,,,,,,80.7347,
COG,,,,,,,,,,,,,,,,,86.4343,,
CRI,,,,,,94.6502,,,,,,,,,,,97.3063,,
CIV,,,,43.9464,,60.8607,,,,,,,,,,,,51.5927,
HRV,,,,,,,99.3206,,,,,,,,,,99.6297,,
CUB,,,,,,,,99.8073,,,,,,,,,,99.8449,
CYP,,,,,,,98.631,,,,,,,,,,99.2861,,
PRK,,,,,,,,,,,,,,99.999,,,,,
COD,,,,,,,80.9232,,,,,,76.9157,,,,,,
DOM,,,,,,,,86.811,,,,,88.2102,,,89.377,89.9848,90.0848,90.4581
ECU,,,,,,,92.3271,,,,,,87.2594,,87.1187,93.3169,93.0525,,94.4257
EGY,,67.1518,,,,,,,,,83.0175,74.6218,,,,80.2686,,81.6792,
SLV,,,,,,,,,,83.9959,,86.6953,84.8641,87.0547,86.8252,87.0997,88.3916,,
GNQ,,,,,,94.8426,,,,,,,,,,,,97.2028,
ERI,,,,,,,,65.3901,,,,,,,,,,80.1058,
EST,,,,,,99.7759,,,,,,,,,,,99.8499,,
ETH,,,,,,,,,,50,41.9366,,49.1347,,,,,,
GAB,,,,,,,,,,88.3605,,,,,,,,84.8733,
GMB,,,,,,48.9812,,,,,,,,,,,,61.379,
GEO,,,,,,,,99.769,,,,,,,,,,99.7883,
GHA,,,,,,66.3513,,,,,,,,,,78.3489,,,
GRC,,,,,,,97.8112,,,,,,,,,,,98.3919,
GTM,,,,,,,,75.4156,,,,,,,,,,84.8487,
GIN,,32.8953,,,,,,,42.9032,,,,,,,36.7898,,,
GNB,,,,,,57.6138,,,,,,,,,,,,69.8277,
GUY,,,,,,,,,,,,,,,82.4366,,,,
HTI,,,,,,,,,63.09,,,53.355,,,,,,,
HND,,,,,,,79.7852,,,,,,83.746,,,84.789,85.3412,85.6962,
HUN,,,,,,,,,,99.2299,,,,,,,,99.3965,
IND,,,,,,,73.4119,,,,,75.1919,,,,,,,
IDN,,,,,,,,,,94.0351,,95.1585,,95.3832,95.647,,95.5911,,
IRN,,79.8716,,,,,,83.5,,,88.0103,87.2722,,89.2785,,,,89.3552,
IRQ,,,,,,84.0874,,,,,,,,,,,,85.8403,
ISR,,,,,,,,,,,,,,,,,98.7311,,
ITA,,,,,,,98.8237,,,,,,,,,,,99.2587,
JAM,,,,,74.0818,,,,,,,,,,,,,82.5862,
JOR,,,,,,,,,95.0845,,95.1765,,95.4946,,,95.7672,97.7484,98.4446,
KAZ,,,,,99.7633,,,,,,,,,,99.7862,,,,
KEN,,,,,,87.4947,,,,,,,78.0791,,,,,,
KWT,81.1209,,,,,,,,,,94.446,94.5252,94.7946,95.0202,,,,95.8397,
KGZ,,,,,99.3067,,,,,,,,,,99.5161,,,,
LAO,73.4863,,,,,81.3602,77.0061,,,,82.4518,,,,,,,,
LVA,,,,,,99.7933,,,,,,,,,,,99.8811,,
LBN,,,,,,,,,,,,,93.3789,,,,,,
LSO,,,,,,79.9958,,,,,,,,,65.522,,,,
LBR,,,,,,,,,,60.7839,,,60.7748,,,,,,
LBY,,,,,,,,,,93.3987,,,,,,,,96.0644,
LTU,,,,,,,99.6432,,,,,,,,,,99.7942,,
MKD,,,,,,,,98.2128,,,,,,,,,,98.7418,
MDG,,,,,,76.5383,,,,,,,,,67.4173,,,,
MWI,,,,74.9264,,,,,,,,,,,,72.0976,,,
MYS,,,,,,91.9692,,,,,,,,,,95.4337,,,
MDV,96.2123,,,,,96.2123,,,,,,98.3657,,,,,,,
MLI,,,,26.733,,,,,32.7,,,34.8579,,,,43.4006,43.2739,,
MLT,86.4303,,,,,,,,,,91.1866,,,,,,,,
MRT,,,,,,59.5403,,,,,,,57.4044,,,,,,
MUS,,,,,,88.2279,,,,,,,,,,,91.9517,,
MEX,,,,,,92.5594,,91.9978,,92.4496,93.1904,93.9012,94.4415,94.5922,94.9166,94.3839,94.7828,95.3916,
MNG,,,,,,98.0168,,,,,,,,,,98.1747,,,
MNE,,,,,,,,,,,,,,,,,99.4312,,
MAR,,,,,,,,,,65.7068,,,,68.3659,68.9176,,76.0736,,
MOZ,,,54.8189,,,,,,65.5771,,,,,,67.3547,,,,
MMR,,,,,,93.9243,,,,,,,,,,,,94.985,
NAM,,,,,,,86.7704,,,,,,74.3283,,,,,,
NPL,,,,,,,62.708,,,,,,,,,,71.1056,,
NIC,,,,,,,76.7605,,,,78.0964,,,,,,,,
NER,,,,,,,19.6401,,,,42.9274,,,,,,,23.2475,
