ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,,,,,99.3685,,,,,,,98.5371,,,98.7314,,
DZA,,,,,,,,94.0575,,,,94.3815,,,,,,,
AGO,,,,,,,83.7769,,,,,,,,,,,,
ARG,,,,,,,98.7079,,,,,,,,,,,,
ARM,,,,,,,99.7523,,,,,,,,,,,,
AZE,,,,,99.8703,,,,,,,,100,,99.9568,,,,
BHR,,,,,,,96.8271,,,,,,,,,98.6199,,,
BGD,,,,,,,67.1638,,,,,,,,,,,,
BLR,,,,,99.7569,,,,,,,,,,99.8003,,,,
BEN,,,,,,,,59.2051,,,,54.8669,,,,,,,
BTN,,,,,,,,,,,80.0419,,,,,,,,
BOL,,,,,,,98.5493,,,,,,99.7536,99.3902,99.6936,,,,
BIH,,,,,,99.7482,,,,,,,,,,,,,
BWA,,,,,,,,,92.0833,,,,,,,,,,
BRA,,,,,,92.654,,,,95.7839,,96.797,97.0569,97.1805,97.4457,96.7162,,,
BRN,,,,,,,98.8743,,,,,,,,,,,,
BGR,,,,,,,98.3097,,,,,,,,,,98.0669,,
BFA,,25.4783,,,,,,,38.3811,,40.3798,,46.7337,,,,,,
BDI,,,,,,76.78,,,,,,,,89.5928,,,,,
KHM,,,,81.8463,,,,,,87.9201,,,,89.3837,88.3561,,,,
CMR,,,,,,88.4224,,,,,,,89.4173,,,85.3975,,,
CAF,,,,,,72.5947,,,,,,,,,,,,,
TCD,,,,,,55.6862,,,,53.7082,,,,,,,,,
CHL,,,,,,,,98.8036,,,,,,99.1145,98.8594,,,,
CHN,,,,,,99.1985,,,,,,,,,,99.6896,,,
COL,,96.3851,,,,,,,,97.5525,97.517,97.5337,97.4829,97.5467,97.4411,97.6827,97.7605,,
COM,,,,,,83.9513,,,,,,,,,,,,,
CRI,,,,,,97.1975,,,,,,,,,,,,,
CIV,,,,54.4031,,70.8407,,,,,,,,,,,,,
HRV,,,,,,,99.6443,,,,,,,,,,,,
CUB,,,,,,,,99.9574,,,,,,,,,,,
CYP,,,,,,,99.7363,,,,,,,,,,99.8045,,
PRK,,,,,,,,,,,,,,99.9996,,,,,
COD,,,,,,,77.9811,,,,,,78.9364,,,,,,
DOM,,,,,,,,92.9986,,,,,94.6272,,,95.7753,96.0917,,
ECU,,,,,,,96.3794,,,,,,95.2183,,96.8189,98.4689,98.5865,,
EGY,,78.9909,,,,,,,,,90.0791,87.8568,,,,90.5576,,92.3558,
SLV,,,,,,,,,,,,94.3969,93.2192,95.405,94.7081,95.669,,,
GNQ,,,,,,97.6079,,,,,,,,,,,,,
ERI,,,,,,,,86.2532,,,,,,,,,,,
EST,,,,,,99.7291,,,,,,,,,,,,,
ETH,,,,,,,,,,,55.8847,,62.9709,,,,,,
GMB,,,,,,64.3405,,,,,,,,,,,,,
GEO,,,,,,,,99.7885,,,,,,,,,,,
GHA,,,,,,75.9459,,,,,,,,,,88.3108,,,
GRC,,,,,,,98.8945,,,,,,,,,,,,
GTM,,,,,,,,86.3788,,,,,,,,,,,
GIN,,44.12,,,,,,,59.4624,,,,,,,37.5672,,,
GNB,,,,,,74.8012,,,,,,,,,,,,,
GUY,,,,,,,,,,,,,,,92.4212,,,,
HTI,,,,,,,,,82.6574,,,74.3674,,,,,,,
HND,,,,,,,86.891,,,,,,92.6953,,,94.448,94.9314,,
IND,,,,,,,84.1922,,,,,88.4118,,,,,,,
IDN,,,,,,,,,,98.8671,,97.0275,,99.5375,99.55,,98.8038,,
IRN,,95.5168,,,,,,,,,98.11,97.1455,,98.7879,,,,,
IRQ,,,,,,88.9122,,,,,,,,,,,,,
ITA,,,,,,,99.8045,,,,,,,,,,,,
JAM,,,,,87.3114,,,,,,,,,,,,,,
JOR,,,,,,,,,99.3288,,98.931,,98.952,,,98.7587,99.0508,,
