ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AFG,,,,,,,,,,,,,,,,,31.7411,,
ALB,,,,,,,98.713,,,,,,,95.9386,,,96.8453,,
DZA,,,,,,,,69.8735,,,,72.6487,,,,,,,
AGO,,,,,,,67.4054,,,,,,,,,,,70.5804,
ATG,,,,,,,98.95,,,,,,,,,,,98.95,
ARG,,,,,,,97.1933,,,,,,,,,,,97.9161,
ARM,,,,,,,99.4002,,,,,,,,,,,99.6099,
AZE,,,,,98.7918,,,,,,,,99.6019,,99.7598,99.7711,99.7786,99.7758,
BHR,,,,,,,86.5487,,,,,,,,,94.5568,,,
BGD,,,,,,,47.4855,,,,,,,,,,,58.7877,
BLR,,,,,99.5907,,,,,,,,,,99.6171,,,,
BEN,,,,,,,,34.6578,,,,28.7021,,,,,,,
BTN,,,,,,,,,,,52.8147,,,,,,,,
BOL,,,,,,,86.7237,,,,,,90.7435,90.6981,91.1678,,92.2262,94.4606,
BIH,,,,,,96.6631,,,,,,,,,,,,98.1534,
BWA,,,,,,,,,81.1887,,,,,,,,,86.7288,
BRA,,,,,,86.3679,,,,88.6162,,89.6152,90.0094,90.0366,90.2982,90.3792,91.4112,91.3337,
BRN,,,,,,,92.6711,,,,,,,,,,,95.3949,
BGR,,,,,,,98.2036,,,,,,,,,,98.3524,,
BFA,,12.8482,,,,,,,21.8229,,23.5537,,28.7292,,,,,,
BDI,,,,,,59.3036,,,,,,,,86.9479,,,,,
KHM,,,,67.335,,,,,,73.6099,,,,77.5865,73.9,,,,
CMR,,,,,,68.4092,,,,,,,70.6799,,,71.2905,,,
CPV,,,,,,,,,,80.0197,,,,,,,,85.3278,
CAF,,,,,,50.6452,,,,,,,,,,36.7526,,,
TCD,,,,,,25.6542,,,,28.3814,,,,,,,,37.2671,
CHL,,,,,,,,95.7166,,,,,,98.649,98.5537,,,,
CHN,,,,,,90.9202,,,,,,,,,,95.1245,,,
COL,,91.2072,,,,,,,,92.8038,92.8487,92.2997,92.6518,93.3782,93.2447,93.3723,93.5805,,
COM,,,,,,68.4892,,,,,,,,,,,,75.9398,
COG,,,,,,,,,,,,,,,,,79.3112,,
CRI,,,,,,94.8682,,,,,,,,,,,97.4066,,
CIV,,,,36.3502,,48.7408,,,,,,,,,,,,40.9816,
HRV,,,,,,,98.1467,,,,,,,,,,99.1254,,
CUB,,,,,,,,99.7991,,,,,,,,,,99.8374,
CYP,,,,,,,96.8036,,,,,,,,,,98.6784,,
PRK,,,,,,,,,,,,,,99.9983,,,,,
COD,,,,,,,67.173,,,,,,61.2056,,,,,,
DOM,,,,,,,,86.9965,,,,,88.2445,,,89.5387,90.1063,90.1552,90.8581
ECU,,,,,,,90.984,,,,,,84.1927,,84.207,91.854,91.5869,,93.2946
EGY,,55.587,,,,,,,,,71.4089,66.3699,,,,72.0479,,73.8656,
SLV,,,,,,,,,,80.7784,,83.5595,82.0286,83.9513,84.1029,84.4927,85.494,,
GNQ,,,,,,88.3083,,,,,,,,,,,,94.5138,
ERI,,,,,,,,52.514,,,,,,,,,,70.4918,
EST,,,,,,99.7672,,,,,,,,,,,99.8628,,
ETH,,,,,,,,,,35.9,29.8203,,38.996,,,,,,
GAB,,,,,,,,,,83.8007,,,,,,,,82.2838,
GMB,,,,,,36.8177,,,,,,,,,,,,52.0044,
GEO,,,,,,,,99.6524,,,,,,,,,,99.7392,
GHA,,,,,,57.8975,,,,,,,,,,71.4971,,,
GRC,,,,,,,95.9944,,,,,,,,,,,97.3638,
GTM,,,,,,,,69.1017,,,,,,,,,,78.2649,
GIN,,20.5537,,,,,,,29.704,,,,,,,25.3078,,,
GNB,,,,,,41.3578,,,,,,,,,,,,56.7351,
GUY,,,,,,,,,,,,,,,84.994,,,,
HTI,,,,,,,,,58.7439,,,48.685,,,,,,,
HND,,,,,,,80.011,,,,,,83.589,,,84.7554,85.1233,85.3556,
HUN,,,,,,,,,,99.03,,,,,,,,99.3736,
IND,,,,,,,61.0146,,,,,62.7545,,,,,,,
IDN,,,,,,,,,,90.3848,,91.9823,,92.1923,92.5817,,92.8119,,
IRN,,73.0602,,,,,,77,,,82.4412,82.3313,,85.0188,,,,84.2795,
IRQ,,,,,,74.0522,,,,,,,,,,,,79.002,
ISR,,,,,,,,,,,,,,,,,97.7642,,
ITA,,,,,,,98.4166,,,,,,,,,,,99.0256,
JAM,,,,,79.9201,,,,,,,,,,,,,87.482,
JOR,,,,,,,,,89.8923,,91.1308,,92.1996,,,92.551,95.9044,97.8903,
KAZ,,,,,99.5127,,,,,,,,,,99.7324,,,,
KEN,,,,,,82.2291,,,,,,,72.157,,,,,,
KWT,78.3955,,,,,,,,,,93.2745,93.2821,93.6642,93.9062,,,,95.5132,
KGZ,,,,,98.7016,,,,,,,,,,99.2414,,,,
LAO,60.2513,,,,,69.5831,68.7344,,,,72.7023,,,,,,,,
LVA,,,,,,99.7466,,,,,,,,,,,99.8959,,
LBN,,,,,,,,,,,,,89.6124,,,,,,
LSO,,,,,,86.2544,,,,,,,,,75.8002,,,,
LBR,,,,,,,,,,43.1084,,,42.9411,,,,,,
LBY,,,,,,,,,,85.4168,,,,,,,,89.8794,
LTU,,,,,,,99.6458,,,,,,,,,,99.8156,,
MKD,,,,,,,,96.1289,,,,,,,,,,97.5371,
MDG,,,,,,70.6862,,,,,,,,,64.4809,,,,
MWI,,,,64.1342,,,,,,,,,,,,61.3097,,,
MYS,,,,,,88.6878,,,,,,,,,,93.1179,,,
MDV,96.3265,,,,,96.3265,,,,,,98.3979,,,,,,,
MLI,,,,19.045,,,,,24,,,26.1765,,,,31.0998,33.5609,,
MLT,87.8687,,,,,,,,,,92.3631,,,,,,,,
MRT,,,,,,51.2077,,,,,,,45.5038,,,,,,
MUS,,,,,,84.3031,,,,,,,,,,,89.2498,,
MEX,,,,,,90.5356,,90.2747,,90.9537,91.6303,91.7345,92.7952,92.9256,93.4419,93.0689,93.52,94.2284,
MNG,,,,,,97.7689,,,,,,,,,,98.257,,,
MNE,,,,,,,,,,,,,,,,,98.4422,,
MAR,,,,,,,,,,52.3063,,,,55.1479,56.0837,,67.0842,,
MOZ,,,38.7079,,,,,,48.1588,,,,,,50.5838,,,,
MMR,,,,,,89.9418,,,,,,,,,,,,92.6252,
NAM,,,,,,,85.0413,,,,,,76.4866,,,,,,
NPL,,,,,,,48.609,,,,,,,,,,57.3691,,
NIC,,,,,,,76.6771,,,,78.003,,,,,,,,
NER,,,,,,,14.376,,,,28.6724,,,,,,,15.4567,
NGA,,,,,,,,,54.7732,,,,,51.0777,,,,,
OMN,,,,,,,,,81.3633,,,,,86.6211,,86.939,,,
PAK,,,,42.6993,,,,,,,49.8736,54.1512,,55.5264,54.8926,55.3752,54.738,,
PLW,,,,,,,,,,,,,,,,,,,99.524
PAN,,,,,,91.8996,,,,,,,,,,94.0941,,,
PNG,,,,,,57.3433,,,,,,,,,,,,62.8818,
PRY,,,,,,,,,,,,,94.5582,93.2921,93.7542,93.8709,,,
PER,,,,,,,,,,87.6699,87.9087,88.6993,89.5908,,,,,93.8417,
PHL,,,,,,92.6001,,,92.5907,,,,,95.4201,,,,,
POL,,,,,,,,,,99.6179,,,,,,,,99.7476,
PRT,,,,,,,,,,,,,,,,,94.4771,,
QAT,,,83.2622,,,,,,,88.9624,,,93.0827,93.9897,94.7243,96.2837,96.4069,96.6786,
MDA,,,,,,96.6538,,,,,,,,,,,,99.0681,
ROU,,,,,,,,97.2976,,,,,,,,,98.6043,,
RUS,,,,,,,,99.441,,,,,,,,99.6843,,,
RWA,,,,,,64.8886,,,,,,,,,,65.8523,,,
WSM,,,,,,,,,,98.5405,,,,,,,,98.8649,
STP,,,,,,,84.9085,,,,,,,69.5364,,,,,
SAU,,,,,,79.3509,,,,82.8577,,,,,,,,,94.4263
SEN,,,,,,,,39.2752,,,,41.8912,,,49.6951,,52.052,,
SRB,,,,,,,,,,,,,,,,,,98.1567,
SYC,,,,,,,,91.8365,,,,,,,,,,91.8365,
SLE,,,,,,,,,,34.8268,,,,,,,,44.4647,
SGP,,,,,,92.5494,,,,,,,,,,95.8573,96.1761,96.366,
SVN,,,,,,,,,,99.6518,,,,,,,,99.7006,
SLB,,,,,76.6,,,,,,,,,,,,,,
ZAF,,82.4021,,,,,,,,,,,88.7172,,92.8949,92.8773,93.1021,93.7295,
ESP,,,,,,,,,,,97.7507,,97.9388,97.6306,97.6793,97.7489,97.7838,97.8945,
LKA,,,,,,,90.6827,,,,,90.8088,,90.558,,91.1814,,,
SDN,,,,,,61.3459,,,,,,,,,,,,73.4361,
SUR,,,,,,,,,,89.5981,,,,94.6209,,94.6758,,,
SWZ,,,,,,81.6607,,,,,,,,,,83.0983,,,
SYR,,,,,,,,82.8883,,80.8445,,,,,,,,85.0806,
TJK,,,,,,99.4512,,,,,,,,,,,,99.7374,
TZA,,,,,,,,69.4309,,,,,,,,67.8007,,,
THA,,,,,,92.6465,,,,,93.5065,,,,,96.4309,,,
TLS,,,,,,,37.6,,,,,,50.6,,,58.309,,,
TGO,,,,,,53.1776,,,,,,56.8884,,,57.0934,,60.4099,,
TON,,98.9054,,,,,,,,,,99.0185,,,,,99.3855,,
TTO,,,,,,,,,,98.2885,,,,,,,,98.8142,
TUN,,,,,,,,,,74.297,,,77.1904,77.5611,,79.1306,79.6539,,
TUR,,,,,,,,,,87.3655,88.2291,88.1194,88.6559,,90.8167,92.6606,94.1061,94.9197,
TKM,98.7783,,,,,,,,,,,,,,,,,99.6305,
UGA,,,,,,,,68.1425,,,,71.3731,,,,73.2119,,,
UKR,,,,,,,99.4304,,,,,,,,,,,99.7302,
ARE,,,,,,,,,,,90.0339,,,,,,,,
URY,,96.7818,,,,,,,,,,97.7896,97.8639,98.1636,98.2679,98.0727,98.3359,98.3959,
UZB,,,,,,98.6426,,,,,,,,,,,,99.4769,
VUT,,,,,74,,,,,78.081,,,,,,,,83.3598,
VEN,,,,,,,92.9798,,,,,,95.1546,,95.512,,,,
VNM,,,,,90.2783,90.1561,,,,,,,,,93.5204,,,,
YEM,,,,,,,,,,54.7455,,,,,,,,66.3738,
ZMB,,,,,68.0018,,,69.1492,,,,,61.4283,,,,,,
ZWE,,,,,,,,,,,,,,,,,83.5827,,
AAE,,,,,,86.2197,,,,,,,,,,89.5161,,,
AME,,,,,,,,,,89.8155,,84.6261,90.1185,92.8573,91.5949,91.6523,91.8791,93.0027,
ANE,,,,,,,,,,,,,,,,,,85.3959,
ASE,,,,,,,61.9479,,,,,76.5281,,,,,,,
EAM,,,,,,90.1561,,,,,,,,,,95.1245,,,
LCM,,,,,,,,,,89.5981,,89.6152,90.0094,93.2921,93.2447,93.0689,91.5869,94.2284,
MEM,,,,,,,,,,,,,,,,,,85.0806,
SAM,,,,,,,48.609,,,,,62.7545,,,,,,,
EAE,,,,,,70.7701,,,,,,,,,,62.776,,,
LCE,,,,,,,,,,60.3451,,61.9177,73.1376,62.5068,69.357,63.4736,64.5729,69.2118,
MEE,,,,,,,,,,,,,,,,,,51.7542,
SAE,,,,,,,52.3404,,,,,53.9224,,,,,,,
WLD,81.9227,81.9227,81.9227,81.9227,81.9227,81.9227,81.9227,81.9227,81.9227,81.9227,84.2718,84.2718,84.2718,84.2718,84.2718,84.2718,84.2718,84.2718,
LIC,57.93,57.93,57.93,57.93,57.93,57.93,57.93,57.93,57.93,57.93,60.8299,60.8299,60.8299,60.8299,60.8299,60.8299,60.8299,60.8299,
LMC,67.6032,67.6032,67.6032,67.6032,67.6032,67.6032,67.6032,67.6032,67.6032,67.6032,70.5041,70.5041,70.5041,70.5041,70.5041,70.5041,70.5041,70.5041,
UMC,89.9486,89.9486,89.9486,89.9486,89.9486,89.9486,89.9486,89.9486,89.9486,89.9486,93.869,93.869,93.869,93.869,93.869,93.869,93.869,93.869,
# Series: LITRTOIN,,,,,,,,,,,,,,,,,,,
"# Name: Literacy rate, total",,,,,,,,,,,,,,,,,,,
"# Definition: Adult literacy rate, population 15+ years, total (%)",,,,,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",,,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,,
