ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,,,,,99.4352,,,,,,,98.8312,,,98.7912,,
DZA,,,,,,,,90.1372,,,,91.7796,,,,,,,
AGO,,,,,,,72.1945,,,,,,,,,,,,
ARG,,,,,,,98.9167,,,,,,,,,,,,
ARM,,,,,,,99.8073,,,,,,,,,,,,
AZE,,,,,99.8861,,,,,,,,100,,99.9513,,,,
BHR,,,,,,,97.0247,,,,,,,,,98.1636,,,
BGD,,,,,,,63.6227,,,,,,,,,,,,
BLR,,,,,99.7918,,,,,,,,,,99.8232,,,,
BEN,,,,,,,,45.3096,,,,42.3627,,,,,,,
BTN,,,,,,,,,,,74.4052,,,,,,,,
BOL,,,,,,,97.3238,,,,,,99.4414,99.1225,99.384,,,,
BIH,,,,,,99.7939,,,,,,,,,,,,,
BWA,,,,,,,,,93.9574,,,,,,,,,,
BRA,,,,,,94.1841,,,,96.8439,,97.5823,97.8006,97.8436,98.0655,97.5141,,,
BRN,,,,,,,98.8938,,,,,,,,,,,,
BGR,,,,,,,98.2125,,,,,,,,,,97.8651,,
BFA,,19.4142,,,,,,,31.2293,,32.9666,,39.2578,,,,,,
BDI,,,,,,73.3301,,,,,,,,88.8864,,,,,
KHM,,,,76.3182,,,,,,83.3829,,,,87.4714,87.1325,,,,
CMR,,,,,,83.0983,,,,,,,83.1356,,,80.5744,,,
CAF,,,,,,60.807,,,,,,,,,,,,,
TCD,,,,,,37.5574,,,,41.6731,,,,,,,,,
CHL,,,,,,,,98.991,,,,,,99.1536,98.8724,,,,
CHN,,,,,,98.8587,,,,,,,,,,99.6423,,,
COL,,96.995,,,,,,,,97.9913,97.9584,97.8832,97.9686,97.9893,97.9374,98.0984,98.2394,,
COM,,,,,,80.1858,,,,,,,,,,,,,
CRI,,,,,,97.6147,,,,,,,,,,,,,
CIV,,,,47.0587,,60.7237,,,,,,,,,,,,,
HRV,,,,,,,99.6486,,,,,,,,,,,,
CUB,,,,,,,,99.9556,,,,,,,,,,,
CYP,,,,,,,99.7749,,,,,,,,,,99.821,,
PRK,,,,,,,,,,,,,,99.9997,,,,,
COD,,,,,,,70.4163,,,,,,65.7765,,,,,,
DOM,,,,,,,,94.2176,,,,,95.7869,,,96.8057,97.0419,,
ECU,,,,,,,96.4372,,,,,,95.428,,96.8311,98.6527,98.6948,,
EGY,,73.2187,,,,,,,,,84.9329,84.8783,,,,87.5096,,89.2819,
SLV,,,,,,,,,,,,94.951,93.5649,95.9575,95.0221,96.0345,,,
GNQ,,,,,,97.1314,,,,,,,,,,,,,
ERI,,,,,,,,77.9453,,,,,,,,,,,
EST,,,,,,99.7705,,,,,,,,,,,,,
ETH,,,,,,,,,,,44.606,,54.983,,,,,,
GMB,,,,,,52.555,,,,,,,,,,,,,
GEO,,,,,,,,99.8254,,,,,,,,,,,
GHA,,,,,,70.6631,,,,,,,,,,85.7161,,,
