ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,262.1,,231.3,478.7,313.093,,,,,,343,
ATG,,,,,,,1.181,,,,,,,,,,,
ARG,327.97,562.8,593.8,639.1,648.1,622.2,648.7,619.4,635.6,667.6,678.6,666.4,638.464,650.893,693.749,668.696,662.623,689.307
ARM,,,,,,,,,,,,,,161.7,119.7,148.6,165.1,
AUS,265.9,266.7,280.8,267.6,265.3,270.5,279.1,298.4,298.4,297.1,313.9,304.1,311.6,320.4,,,,
AUT,96.4,95.7,87.3,90.1,93.8,85.7,88.2,88.2,90.5,109.9,112.7,114.1,117.1,111.7,111.1,117.8,121.4,120
AZE,,,,,,,,,776.6,787.9,839.3,1223.9,1315.1,1247.1,,,,
BHS,6.77,6.98,6.55,7.24,7.33,,6.73,7.325,7.96,8.83,,,,7.745,,,7.38,
BHR,,,,,,,,0.232,0.248,0.286,0.295,0.319,0.336,0.374,0.421,0.43,,
BGD,,1593,,,,2130,,,3363,,2979,,,,,,,
BRB,4.8,4.8,4.3,4.7,5.2,4.7,5.5,5.5,5.2,6.2,,,,,,,,
BLR,,,,,,,,,,,,,,,37.154,,,
BEL,156.4,150.6,150.1,159.5,141.7,127.2,120.1,131.4,129,110.7,121.1,120.7,131.4,128.9,135.3,133.6,138,145.1
BLZ,3.41,3.165,5.39,5.33,6,,,,,,5.798,,,,,,,
BEN,,,,,,,,,1064.56,,,,,,,,,
BTN,,,,,,,,,,,,14.4,,,35.058,43.5,74.7,108.088
BOL,216.79,348.29,355.54,,624.6,585.8,566.8,561.8,721.875,721.875,641.299,621.417,680.3,700.998,710.967,,,
BIH,,,,,,,,,,,,45,52,54,53,52,46,56
BWA,,,,,,,,,,,,88.94,,,,,,
BRA,7019.23,6277.44,,,,4084.1,7062,7558,7744,8087,5958,6108,6251,6212.65,6352.14,,,
BGR,,,,,,123.6,103.2,106.2,104.3,102.5,90.8,87.6,82.2,94.6,94.6,94.1,81.6,75.9
BFA,,,,,,,,,420.223,,,576.995,,,,,,
BDI,,,,1280.24,,,,,,,,,,,,,,
KHM,,,,,,791.065,1061.68,,,,,,,888.403,,,,
CMR,,1509.3,,,,,1730,,,,,,,,,,,
CAN,674.7,733.4,781.7,812.5,829.8,811.4,751.9,795.4,808.6,820,850.3,858.6,894.3,894.6,,,,
CPV,,,,,,18.99,,,,,,,,,,,,
CHL,,323.4,348.5,393.7,364.1,343.2,386.4,399.1,418.9,466.7,423.6,491.5,501.2,529.4,,,,
COL,568.1,539.8,609.7,706.2,737.8,2267.37,2397.18,2444.69,2513.6,2658.99,2595.01,2666.81,2584.79,2799.92,3060.27,3265.75,3466.48,3704.72
COG,,,,,,,,,,,516.821,,,,,,,
CRI,56.6,47.4,68.2,67.1,70.1,71.5,109.1,,116.6,120.2,119.3,120.8,120.2,128.8,136.841,122.734,129.752,125.288
CIV,,,,,,,,1055.12,,,,,,,,,,
HRV,,85.7,78.3,71.4,76.3,74.4,68.8,69.5,91.3,106.1,123.2,103.9,96.8,99.1,100.9,102.8,90,77.7
CUB,59.3,51,57.2,64.9,77,74.9,80,76,90.9,92.2,92.7,82.9,78.4,83.8,79,77.5,176.3,
CYP,,,,,11,10,10.6,11.7,11.6,11.4,13.9,15,14.6,14.6,16,16.4,15.5,13.4
CZE,112,109,111.5,126.2,136.2,138.8,144.9,148.6,170.9,161.1,147.5,154,161.3,164.8,178.3,194.5,212.9,224.8
DNK,24.9,32.4,26,26,29.3,30.7,25.4,24.9,30.3,30,34.7,36.7,37.3,37.2,41.9,45,43.4,46.2
DJI,,10.822,,,,,,,,,,,,,,,,
DMA,,,2.15,,3.14,,1.82,,,,,,,,,,,
DOM,185.1,204,223.2,279.3,266.2,263.1,272.9,302.1,278.9,265.1,284,310.2,324.5,344.761,331.284,377.882,,
ECU,316.6,323,326.6,356.9,353.4,582.993,702.278,,674.7,801.998,743.168,752.288,775.334,750.818,779.931,771.226,891.041,800.81
EGY,338.2,,300.2,310.4,243.1,398.1,376.5,226.3,464.4,524.2,521.1,422.3,684.5,,583.1,727.6,,
SLV,280.9,286.2,300.1,289.8,306.3,343,328,357.9,343.1,346.5,351.6,339.7,335.325,373.967,109.179,388.379,385.265,397.017
EST,5.1,5.4,5.9,10.7,10.5,12.1,7.2,8.6,10.2,11.7,11,11.1,11.6,10.3,10,11.4,10.4,10.7
ETH,,,,,3149.6,,,,,,3615.2,,,,,,,
FJI,,,,,,,,13.815,,18.896,18.9,,3.043,16.4,,,,
FIN,71.5,79,66.7,65.8,72.2,67.4,69.9,74.2,68.5,65.5,70.3,68.3,67.6,75.6,80.6,75.8,74.5,79.6
FRA,456.8,430.8,422.2,409.2,397.4,404.6,413.6,409.9,450.7,417.9,439.8,494.9,485.7,466.5,500.8,565.8,572,581.5
GAB,,,,,,,,,,,84.931,,,,,,,
GEO,,,,124.3,140.2,223.8,213.7,232.2,225.1,233.9,214.2,,,199.2,213.6,206,,
DEU,493.2,540.1,576.1,568.6,579.7,608.8,603,608.8,647.8,674.6,797.5,825.1,852.8,846.4,863.2,884,937.2,938.1
GHA,,,,,,,,,,,,,,,,3771.78,,
GRC,224.4,233.4,226.6,250,262.1,272.2,263.6,286.3,297.8,278,282.3,291.8,284.3,302.2,304.6,317.4,309.2,296.1
GRD,,3.06,,2.427,,,,,,,,,,,,,,
GTM,,,,598.2,,602.008,,631.312,612.057,623.007,,,,,,,,
HND,208.12,258.6,279.4,287.5,322.2,,268.9,296.1,350.2,308.2,301.6,375.2,406.4,428.481,490.235,541.738,,
HUN,92,159.9,146.4,143.8,140.3,111.5,107.9,102.5,99.4,106.1,99.1,89.5,94.6,91.1,93.4,86.6,82.2,90.8
ISL,3.6,3.9,4.8,5.2,5.4,4.9,4.8,4.9,3.7,4.3,3.4,3.8,3.7,3.8,4,4.8,4.9,4.9
IND,,,,,,49759.6,,,,,53311.2,,,,,49205.1,,
IDN,,,,,,,10459,11205,9940,10585,9717,10980,12646,,13725,,,
IRN,,347,,,,,,,,,,,904,766,,,,
IRL,25.8,28.9,27.3,27.9,29.8,30.3,27.8,29.7,30.2,32.5,32.3,31.5,35.1,40,37.3,39.5,38.9,37.6
ISR,31,34.7,33.6,37,41.5,45.2,43.2,45.7,48.9,49.1,55.6,65.8,62.7,63.7,,,,
ITA,583.9,579,597.9,621.9,634.1,597.4,630.1,628.3,622.1,1257.6,1220.6,1240.5,1234.6,1209.9,1162.9,1165.5,1156.4,1177.4
JAM,117.5,118.9,113.6,115.5,114.8,114.7,114.2,117.8,123,133.3,132.2,140.1,134.3,147.5,,,134.967,136.8
JPN,1980,1870,1870,1870,1810,1720,1550,1440,1420,1400,1370,1310,1260,1210,,,,
KAZ,,,,,,,1394.4,1332.7,1348.1,1288.2,1275,1235,1230,1267,1243.62,1262.67,1244.88,1220.51
KEN,,,,,1240.19,,,,,,,,,,,,,
KWT,,,,,,,,,,,0.753,,,,,,4.687,
KGZ,,,,,,,,277.8,289.1,240.3,238.8,244.9,,,,,,
LAO,637.78,,,,,,,,,,367.97,,,,,,,
LVA,,26.1,43.6,37.9,30.9,28.8,25.7,25.4,25.8,27.5,26.4,30.4,25.8,24.6,27.5,25.7,24.9,25.9
LBN,,,,,,,,,,26.2,,,27.5,,,,,
LSO,,,,,171.742,,,,,,,,,,,,,
LBR,,,,,,,,,,,,,164,,,372.944,,
LTU,,,,74.5,84.6,87.2,76,84,87.9,73,69.2,66.9,56.8,43.8,45.1,42.6,39.4,40.6
LUX,1.8,1.4,2,1.9,2,1.6,1.8,1.2,4.5,3.3,3.9,3.9,3.5,4,4.1,4.1,5,5.8
MKD,,,,11.029,6.41,12.486,11.518,11.485,8.238,8.323,9.773,11.7,11.2,13,11,12.1,15,16.6
MDG,,,,,,,,,1335.4,,761.8,,,,,,,
MYS,341.4,389.7,375.6,351.4,356.8,383.1,390.3,409.8,416.5,441.7,415.4,414.2,474.6,444.4,482.5,485.1,491.3,598.5
MDV,6.554,,,,,10.146,,,,,,9.758,,,,,,
MLI,,,,,,,,,,770,,938.978,1148.08,,,,,
MLT,,,,,,1.6,1.9,1.6,2.7,1.6,1.9,2,2.7,2.6,2.8,2.6,2.5,3
MHL,,,,,0.9,,,,,,,,,,,,,
MUS,14.2,,,,,8.5,,,,14.9,16.1,16,16.8,18.5,17.1,18.15,17.25,21.625
MEX,2359.4,2315.9,2621.4,2674.7,2714.7,2716,2848.2,3031.9,3205.1,3420,3365.8,3437.8,3577.2,3734.4,,,,
MNG,,,,,,58.6,,,107.102,,,,97.927,75.581,86.416,91.937,89.062,
MNE,,,,,,,,,,,8.7,,13.1,11,8.8,8,8.999,8.9
MAR,,,,466.802,397.791,,,289.3,305.5,300.8,298.4,262.926,346.495,438.915,,,,
MOZ,,,,,,,,,1686.99,,,,,,,,,
NAM,,,43.51,,,65.788,22.891,,,34.63,,,,22.192,,115.57,75.121,100.805
NPL,,,,,,,3032.5,,,,,,,,,,,
NLD,192.8,179.1,188.3,181.7,191.5,204.5,231.6,231.8,212.4,242.1,248.2,257.5,274,294.1,308.6,325.4,328.2,344.7
NZL,61.5,64.8,64.5,62.6,69.7,71.7,67.4,67.6,70,75.6,77.8,77,79.6,83.1,,,,
NIC,87.86,91.63,95.84,106.83,120.13,240.912,,,280.3,269.489,274.352,285.905,276.864,297.063,,386.714,,
NER,,,,,,,,,,,795.827,,,,,,,
NOR,26.4,33.1,32.8,34,35.8,35.5,36,31.4,32.3,33,34.7,36.4,34.9,34.6,40,36.1,35,36.4
