ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,380,396,403,408,416,412,425,444,473,479,513,522,548,551,593,597,618,649
ALB,316,282,305,279,283,193,324,189,180,176,172,169,182,174,183,190,193,202
DZA,2184,2370,2137,2226,2267,2719,2557,2490,2337,2032,1584,1304,1497,1254,1156,1164,1182,1198
AGO,336,341,362,376,384,396,409,410,436,442,445,457,468,490,522,541,559,574
ARG,2694,2499,2196,1913,2138,2307,2865,2852,2608,2198,1876,1811,1536,1420,1578,1412,1339,1351
ARM,426,315,295,385,299,364,531,408,415,464,395,344,395,394,261,276,270,274
AUS,771,784,782,723,657,607,664,634,603,555,536,522,491,488,654,623,617,638
AUT,141,158,162,162,143,135,139,158,172,197,210,197,187,164,206,190,181,191
AZE,180,194,195,202,212,207,210,212,222,224,260,283,277,265,255,254,251,257
BHS,15,16,14,11,11,11,11,14,18,18,18,14,15,17,29,29,29,29
BHR,14,14,15,16,16,19,18,22,27,34,38,41,44,48,50,53,54,55
BGD,1502,1355,1626,1426,1801,1947,2035,2127,2735,2909,2858,2848,2955,3061,3583,3308,3361,3410
BRB,28,21,21,18,15,14,14,15,16,15,14,13,12,13,16,17,18,19
BLR,484,502,510,499,486,486,481,478,477,480,472,468,460,456,435,446,442,433
BEL,392,399,379,397,378,291,267,331,362,380,391,384,355,335,381,407,346,367
BLZ,9,10,10,12,11,10,8,9,10,11,12,10,10,10,11,11,11,11
BEN,21,18,21,24,23,22,21,21,29,41,42,38,40,41,44,41,42,43
BTN,6,3,3,3,3,4,5,5,5,7,9,10,12,13,14,12,12,8
BOL,163,165,167,165,152,173,200,205,199,172,222,223,225,129,155,156,155,158
BIH,315,325,363,348,349,347,377,342,356,392,352,434,415,339,341,390,398,409
BWA,147,153,155,158,173,199,194,189,209,205,202,164,173,210,179,177,179,180
BRA,4536,5115,5997,7096,7916,7954,7942,7985,8696,8175,8800,8033,7820,6977,8274,8014,6915,7255
BRN,6,6,5,5,7,6,6,6,7,6,6,6,6,6,7,7,7,7
BGR,589,496,492,430,486,545,691,621,461,409,336,308,242,201,239,349,376,410
BFA,108,112,109,116,115,155,124,162,158,161,162,142,210,217,223,230,237,244
BDI,221,222,218,217,225,232,239,249,260,270,281,291,302,312,323,332,341,349
KHM,74,83,94,109,125,142,101,113,119,123,120,126,126,132,147,130,128,130
CMR,175,431,423,415,407,359,464,349,365,303,307,273,299,349,371,310,318,327
CAN,1426,1456,1400,1294,1207,1105,1187,1295,1311,1258,1194,1131,1105,1143,1553,1520,1426,1399
CPV,11,11,12,12,12,13,14,14,15,15,15,16,16,16,17,17,17,18
CAF,111,117,116,119,122,125,128,131,136,135,138,140,143,147,151,154,157,161
TCD,201,206,211,217,229,237,239,250,256,256,280,295,305,314,326,327,347,356
CHL,400,360,357,377,594,559,560,556,543,581,543,537,512,583,735,656,594,544
CHN,31638,32254,32669,33983,34085,33250,33531,32989,32369,32699,31722,30556,29266,34080,34582,33071,34541,35914
COL,1608,1990,1907,2175,2475,2807,2646,2765,2371,2334,2249,2070,2388,2701,2598,2576,2456,2396
COM,11,11,11,12,12,12,13,13,14,14,14,15,15,15,16,16,16,17
COG,77,79,83,85,89,89,92,94,98,99,101,104,110,111,114,117,122,125
CRI,71,85,84,87,96,83,105,113,122,119,128,120,95,103,167,160,173,174
CIV,222,229,235,243,249,254,259,262,266,269,273,278,282,288,294,300,307,316
HRV,215,209,204,224,271,320,402,291,269,270,248,217,187,163,175,226,255,298
CUB,384,354,332,291,296,254,193,156,109,90,92,93,90,81,89,132,129,130
CYP,14,16,13,19,23,22,19,16,21,22,28,24,22,20,31,37,46,70
CZE,208,201,248,335,453,454,420,376,400,426,410,371,277,230,352,385,356,373
PRK,358,634,631,684,630,627,667,645,654,632,648,643,637,676,723,649,656,690
COD,1180,1216,1257,1271,1306,1348,1367,1386,1420,1460,1500,1555,1600,1650,1716,1751,1806,1862
DNK,197,194,154,143,148,128,119,132,155,160,140,114,112,102,178,219,222,219
DOM,508,549,523,493,482,507,575,605,644,727,728,679,666,614,656,555,587,600
ECU,250,281,337,253,318,394,505,512,567,431,428,425,335,404,445,352,303,333
EGY,2002,1613,1523,1503,1568,1773,1876,2062,2204,2373,2590,2453,2151,2155,2385,2337,3189,3221
SLV,162,163,171,162,156,156,156,138,159,155,168,158,154,148,187,183,184,188
GNQ,16,15,14,17,17,18,17,20,21,21,23,24,24,26,27,28,29,30
ERI,116,117,122,129,137,149,151,162,174,182,190,200,205,217,216,223,225,232
EST,68,69,71,64,77,86,81,61,71,66,52,40,32,38,94,114,85,68
ETH,2004,2063,2129,2202,2270,2268,2265,2161,2059,1961,1871,1932,1990,2054,2124,2193,2270,2366
FJI,16,17,20,25,24,23,19,18,27,15,15,21,28,30,29,29,29,29
FIN,384,363,316,289,261,254,238,237,235,230,221,205,185,173,223,227,210,207
FRA,3042,3217,3264,3156,3163,2712,2290,2342,2360,2549,2486,2484,2270,2110,2634,2701,2674,2894
GAB,73,76,80,82,83,84,86,87,88,90,91,94,96,104,113,117,120,124
GMB,35,35,37,38,39,41,42,44,44,46,48,49,50,51,53,54,57,58
GEO,364,311,305,306,338,255,273,296,275,294,321,315,308,382,393,378,351,349
DEU,3287,3605,4015,3795,3452,3175,3219,3517,3787,4262,4673,4353,3675,3196,3294,3010,2546,2338
GHA,222,691,458,513,804,856,838,834,589,511,310,325,335,344,355,364,371,383
GRC,411,449,449,518,572,542,493,505,481,527,495,450,419,388,484,643,896,1225
GTM,143,114,164,146,73,55,53,129,120,137,138,139,128,147,168,198,240,251
GIN,97,100,102,104,106,108,110,113,115,117,120,124,127,131,136,140,144,149
GNB,33,34,34,39,37,38,39,41,42,43,44,45,46,48,49,50,51,53
GUY,89,77,66,68,70,50,82,71,71,75,72,83,59,63,60,63,64,67
HTI,313,337,348,355,227,239,256,260,265,294,272,275,274,293,286,343,281,303
HND,61,90,70,88,92,92,97,92,125,148,107,81,79,87,96,144,148,153
HUN,425,409,356,319,290,268,237,242,248,257,309,322,316,334,428,482,475,482
ISL,7,6,6,4,3,4,4,5,6,5,5,5,4,6,13,14,13,12
IND,14719,14923,16973,14730,15370,17433,16357,18514,17878,17528,20429,20151,17950,19374,18339,16521,16366,16299
IDN,3371,3929,4202,4986,6046,5960,8039,9156,9742,10339,11907,11115,9960,9320,8920,8129,7683,7804
IRN,1680,1711,1833,1930,2027,2467,2449,2721,2739,2434,2995,2871,2624,2515,2933,3393,3414,3429
IRQ,865,940,969,998,978,1023,1068,1096,1846,1827,1184,1186,1178,1097,1127,1163,1202,1245
IRL,176,177,158,125,98,76,66,78,85,88,89,93,99,131,259,297,314,317
ISR,140,140,165,188,202,206,223,250,267,266,237,229,207,178,227,205,176,242
ITA,2664,2722,2752,2794,2714,2527,2255,2197,2149,1954,1906,1688,1518,1704,1955,2111,2112,2746
JAM,193,190,195,182,186,184,179,171,141,138,134,120,118,135,142,153,158,174
JPN,2091,2262,2275,2748,3141,3199,3369,3578,3464,3095,2917,2716,2583,2647,3332,3338,2954,2831
JOR,158,155,152,147,156,166,194,200,191,156,197,193,197,201,220,222,238,232
KAZ,835,978,970,970,996,946,776,705,675,650,640,627,598,549,557,496,468,464
KEN,1045,1070,1103,1116,1140,1163,1184,1209,1230,1251,1272,1308,1345,1384,1421,1458,1498,1539
KWT,5,6,6,6,6,8,8,11,14,19,23,19,21,21,24,25,25,25
KGZ,158,162,162,196,168,157,165,268,214,185,182,192,193,196,205,214,217,214
LAO,57,44,46,46,46,46,46,46,55,64,38,38,39,41,42,43,44,45
LVA,150,137,170,166,155,155,144,150,117,110,98,76,68,85,188,198,169,158
LBN,75,78,80,80,82,85,88,93,99,100,106,112,127,130,133,138,144,153
LSO,247,223,308,266,220,300,297,264,309,287,289,259,211,201,207,197,206,227
LBR,34,36,39,42,45,48,50,51,55,53,43,62,68,65,61,51,53,54
LBY,128,136,143,150,157,164,169,174,181,183,188,190,192,194,194,196,185,206
LTU,306,275,244,235,230,268,276,211,215,180,128,86,65,89,210,272,236,206
LUX,5,6,4,5,4,4,3,5,7,10,9,10,9,11,12,10,12,13
MKD,261,278,296,287,272,274,263,278,325,319,331,329,324,319,308,309,303,299
MDG,199,196,181,184,190,191,304,353,410,320,227,288,385,424,399,384,396,409
MWI,305,314,325,338,351,371,393,402,415,434,455,462,461,477,493,511,529,547
MYS,255,212,211,290,318,294,352,360,379,376,384,369,365,383,438,411,383,388
MDV,7,7,8,8,9,9,11,12,13,14,16,19,17,18,18,18,18,18
MLI,218,216,214,225,224,233,242,252,266,282,295,308,340,360,392,395,407,420
MLT,12,11,11,10,12,10,12,12,13,12,12,12,11,11,12,13,12,12
MRT,205,213,223,231,240,250,261,272,282,299,308,312,323,333,345,357,368,379
MUS,46,44,42,44,46,41,36,38,41,45,52,49,46,40,41,44,45,46
MEX,2501,1954,1583,1422,998,1047,1045,1204,1256,1615,1571,1467,1608,1704,2521,2625,2664,2562
MNG,68,63,66,66,67,66,70,75,69,78,80,72,82,63,70,79,59,66
MNE,72,73,50,51,52,75,51,51,52,73,76,63,50,44,49,50,48,49
MAR,1042,1048,1066,1076,1404,1381,1245,1165,1247,1168,1199,1063,1078,1080,1028,1035,1032,1065
MOZ,597,597,620,636,657,685,680,700,719,732,747,763,782,801,820,837,855,875
MMR,1031,1063,1117,1247,1082,1064,1113,1117,1102,1114,1121,1132,1151,1284,1262,1263,1267,1261
NAM,105,108,111,116,122,130,143,130,143,159,151,169,154,309,246,184,166,140
NPL,255,480,412,339,209,319,454,350,268,271,327,347,346,366,371,380,387,397
NLD,527,480,423,343,288,222,175,214,303,396,405,339,281,247,309,394,393,472
NZL,117,117,128,145,134,119,108,108,98,85,83,86,84,96,143,153,156,166
NIC,52,69,90,88,93,112,112,112,158,136,117,114,110,140,155,191,189,195
NER,146,152,159,166,172,179,186,194,202,209,218,226,234,243,251,262,271,283
NGA,2559,2641,2714,2790,2862,2942,3017,3103,3155,3220,3302,3392,3483,3576,3675,3777,3880,3971
NOR,108,109,90,75,75,82,82,94,106,105,112,84,64,68,82,94,86,86
OMN,55,57,60,62,64,66,68,69,72,74,77,80,82,86,92,101,114,129
PAK,1766,1934,2234,2266,2517,3091,3275,3540,3648,3624,3655,3284,2802,2815,2922,3051,3135,3227
PAN,160,170,161,176,151,178,189,187,185,172,148,132,100,92,111,111,78,80
PNG,59,52,66,57,61,67,67,66,65,70,68,72,68,69,71,71,69,73
PRY,72,93,112,112,146,174,179,260,198,191,154,184,158,162,196,171,172,198
PER,445,594,549,558,569,696,552,670,800,661,670,615,652,670,673,622,619,640
PHL,2343,2115,2314,2849,2911,3488,3658,3853,3877,4177,2696,2826,2647,2693,2844,2857,2825,2891
POL,2314,2137,1936,1847,2142,2789,3175,3436,3389,3286,3099,2402,1669,1254,1461,1750,1757,1854
PRT,329,335,318,253,227,207,214,271,341,363,419,425,446,425,525,600,704,862
QAT,3,3,3,2,1,1,2,3,4,6,6,5,4,4,3,6,9,9
KOR,438,442,574,1505,1383,980,896,747,810,852,875,813,774,764,880,911,846,812
MDA,135,132,160,111,213,160,131,120,125,123,108,103,68,53,80,90,82,66
ROU,918,789,667,671,742,823,761,862,736,814,738,762,672,603,712,758,764,732
RUS,6686,6747,8080,8975,9457,7713,6431,5722,6080,5815,5382,5361,4629,4810,6422,5650,5011,4196
RWA,17,17,19,20,21,23,24,24,25,26,26,27,28,28,29,30,31,32
SAU,276,342,350,363,246,277,290,349,408,460,412,541,508,468,508,531,442,581
SEN,352,367,376,384,394,410,420,439,445,460,474,493,506,522,538,553,570,586
SRB,593,589,618,614,614,565,574,618,680,827,927,924,805,600,708,799,797,817
SLE,49,50,50,49,50,51,52,54,58,63,66,68,70,72,74,76,77,80
SGP,38,40,37,66,74,74,76,101,113,99,97,89,77,85,117,87,84,84
SVK,325,285,299,320,419,488,510,492,468,486,432,355,294,260,326,391,369,384
SVN,69,65,64,73,71,66,55,61,64,63,66,61,50,46,61,76,84,91
SLB,6,7,8,8,8,10,9,9,8,8,8,9,9,9,11,9,9,10
SOM,146,148,152,157,161,166,170,175,180,184,188,193,197,203,208,214,221,229
ZAF,2468,3174,3575,4026,4216,4557,4445,4840,4774,4264,4301,4212,4161,4374,4473,4586,4641,4772
ESP,3834,3788,3595,3291,2824,2580,1934,2175,2250,2265,1955,1874,1860,2618,4173,4697,5101,5942
LKA,873,822,784,725,700,604,625,703,661,675,630,567,514,448,509,419,419,416
SDN,1051,1092,1170,1168,1199,1233,1255,1290,1331,1370,1405,1456,1499,1538,1583,1629,1675,1721
SUR,12,17,16,17,22,23,22,22,22,22,24,24,25,25,26,26,26,27
SWZ,62,65,68,71,73,75,77,78,80,81,83,85,87,90,92,94,96,98
SWE,415,458,458,378,324,269,233,243,270,307,370,341,304,311,413,430,394,408
CHE,129,144,161,143,122,106,100,119,169,178,184,169,157,148,184,205,185,195
SYR,308,421,433,336,367,470,580,593,530,504,479,439,468,631,471,505,512,513
TJK,236,246,254,260,264,275,285,294,306,318,326,338,351,363,370,383,393,402
TZA,679,757,716,754,755,849,874,635,617,547,483,851,407,515,538,664,798,819
THA,386,357,299,1136,1005,826,915,643,542,553,486,450,459,463,580,388,274,266
TLS,19,18,18,19,16,15,25,23,22,20,18,16,16,14,12,9,9,9
TGO,140,144,151,159,163,170,176,182,185,193,199,204,211,216,221,227,232,238
TTO,90,88,82,79,74,70,63,62,65,53,52,42,37,31,35,40,43,39
TUN,445,463,481,528,502,501,490,505,485,472,444,440,447,456,500,499,504,507
TUR,1594,1404,1447,1496,1704,1389,1824,2286,2309,2370,2375,2315,2368,2607,3468,3046,2606,2494
TKM,166,170,172,186,197,204,210,212,217,220,223,227,233,241,239,246,255,256
UGA,204,212,220,229,238,285,341,375,351,283,229,240,252,368,548,567,587,608
UKR,1387,1867,2164,2718,2758,2726,2531,2228,2103,1988,1681,1587,1494,1493,2050,1882,1832,1779
ARE,23,44,44,42,40,40,43,47,53,63,79,100,127,178,208,230,239,238
GBR,2502,2380,2079,1808,1782,1655,1424,1538,1483,1431,1447,1705,1672,1694,2452,2470,2505,2554
USA,7831,7713,7186,6654,6315,6056,7181,8832,9195,8546,7948,7330,7392,9353,14842,15423,14337,13044
URY,152,174,139,170,162,154,150,138,127,145,142,173,152,127,124,116,103,105
UZB,907,939,976,1001,1027,1052,1078,1101,1125,1162,1189,1222,1263,1294,1324,1356,1383,1408
VEN,889,1139,1021,1106,1510,1400,1436,1908,2004,1811,1391,1147,937,885,1020,1143,1127,1082
VNM,790,747,1166,946,969,990,1232,944,1056,983,984,1118,1142,1210,1198,1185,1063,1087
YEM,475,474,532,602,566,687,624,650,691,714,833,847,861,880,892,1129,1168,1210
ZMB,711,605,589,501,524,566,675,663,716,738,776,786,804,829,845,736,758,782
ZWE,263,295,347,332,305,341,360,330,300,270,271,270,269,275,266,268,274,284
EAZ,43932,45246,46728,51643,52789,51853,54963,55231,55181,55943,54809,52795,50010,54553,56062,53442,53703,55201
ECZ,39266,39592,40869,41266,41626,38641,36541,36788,37316,37876,36873,35245,31924,31733,39702,40212,39166,40542
GLS,155118,159680,165002,169040,173863,175502,178031,184609,186774,185062,184531,178200,168853,177154,196359,193630,191943,195050
HIS,42852,43242,43780,44438,44254,40929,39734,41846,43064,42394,40792,38436,35178,37199,50715,51930,49576,49784
LCS,16000,16714,16712,17620,19033,19703,20195,21211,21599,20624,20270,18782,18295,17761,20553,20199,18805,19064
LIS,12487,13211,13710,13919,14015,14672,15275,15287,15856,15858,15776,16519,16663,17550,18638,18722,19230,19763
LMS,37759,39195,42833,42247,45109,48801,50825,54226,54482,55029,57938,56412,52195,53504,53289,50930,51352,51963
MES,9890,10026,10003,10265,10661,12063,12004,12512,13408,12897,12683,12125,11824,11587,12163,12945,13841,14270
NAS,9257,9169,8586,7948,7522,7161,8368,10127,10506,9804,9142,8461,8497,10496,16395,16943,15763,14443
SAZ,19508,19920,22443,19905,21025,23819,23187,25695,25681,25507,28437,27748,25144,26646,26349,24306,24316,24424
SSS,17265,19013,19661,20393,21207,22262,22773,23045,23083,22411,22317,23044,23159,24378,25135,25583,26349,27106
UMS,62020,64032,64679,68436,70485,71100,72197,73250,73372,71781,70025,66833,64817,68901,73717,72048,71785,73540
# Series: LOUFTOIN,,,,,,,,,,,,,,,,,,
"# Name: Unemployed, Total",,,,,,,,,,,,,,,,,,
# Definition: Number of unemployed females and males. Unemployment refers to a person that does not have a job and is actively looking and available for work.,,,,,,,,,,,,,,,,,,
# Source: International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,
