ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,,,,,,,,,,,,,,,,29.3789,,
ALB,,,,,,68.8833,,,,,83.4321,,,92.6221,,,,
ARM,,,,,,99.5076,,,,,100,,,,,100,,
AZE,,,,,,96.4789,,,,,,96.1161,,,,,,
BGD,,56.7975,,,66.1183,,,,,69.0838,,77.0611,69.5354,,,,76.1667,
BLR,,,,,,,,,,,93.9406,,,,,,,
BLZ,,,,,,,,,,,,88.3697,,,,,73.4389,
BEN,,11.1909,,,,,20.0342,,,,,37.7121,,,,,,
BTN,,,,,,,,,,,,,,,,54.1988,,
BOL,,,,83.4509,,89.7064,,,85.3201,,,,,96.4794,,,,
BIH,,,,,,79.5527,,,,,,96.4972,,,,,98.2185,
BFA,,,,20.956,,,,,25.622,,,14.1461,,,,19.8951,,
BDI,,,,,,18.3857,,,,,16.1454,,,,,26.3071,,
KHM,,,,,,30.4837,,,,,44.8464,,,,,57.2373,,
CMR,,,,47.9372,,51.9595,,,,46.6707,,57.0227,,,,,62.2418,
CAF,,,,,,21.8143,,,,,,22.73,,,,,,
TCD,,10.5736,,,,21.2407,,,,18.0347,,,,,,,,
COL,65.7766,,,,,77.1969,,,,,89.6299,,,,,89.841,,
COM,,,,,,28.0321,,,,,,,,,,,,
COG,,,,,,,,,,,55.8236,,,,,,68.4258,
CIV,,,,34.4952,,33.9633,,,,,,31.2418,,,,,46.2162,
COD,,,,,,65.0788,,,,,,,74.0518,,,77.5115,,
DJI,,,,,,,,,,,,53.916,,,,,,
DOM,,80.0417,,,87.9402,,,91.376,,,,,96.3321,,,,,
EGY,78.5137,,,,,82.1594,,,,,94.3944,,,96.712,,,,
GNQ,,,,,,27.648,,,,,,,,,,,,
ETH,,,,,,30.817,,,,,31.2073,,,,,,43.0937,
GAB,,,,,,46.7337,,,,,,,,,,,,71.971
GMB,,,,,,42.307,,,,,61.1718,,,,,,,
GEO,,,,,,,,,,,99.5388,,,,,,,
GHA,,,,74.2138,,,,,82.3972,,,80.7141,,87.9983,,,86.9146,
GIN,,,,,20.0347,,,,,,20.2195,,,,,,,
GNB,,,,,,11.9463,,,,,,31.7727,,,,,,
GUY,,,,,,71.6671,,,,,,78.1784,,,83.2641,,,
HTI,,,,,,59.4689,,,,,66.6358,,,,,,,72.6009
HND,,,,,,,,,,,73.0385,,,,,,87.0172,
IND,,,,87.9584,,,,,,,89.5568,,,,,,,
IDN,,,78.0349,,,,,89.3902,,,,,89.0624,,,,,93.6032
IRQ,,,,,,45.1643,,,,,,49.414,,,,,62.0987,
JAM,,,,,,,,,,,95.6062,,,,,,,
JOR,,,91.6051,,,,,92.2124,,,,,92.2009,,,,,
KAZ,99.4847,,,,98.2739,,,,,,,99.7805,,,,99.2601,,
KEN,,,,76.7275,,76.4363,,,,,,,,89.668,,,,
KGZ,,,88.3995,,,,,,,,99.5246,,,,,,,
LAO,,,,,,13.3449,,,,,,58.7623,,,,,74.86,
LSO,,,,,,45.1883,,,,49.1906,,,,,59.3923,,,
LBR,,,,,,,,,,,,,42.9292,,,,,
MKD,,,,,,,,,,,98.0876,,,,,,99.0394,
MDG,,,38.9086,,,,,,47.9662,,,,,42.9072,,,,
MWI,,,,,,43.2247,,,,56.4829,,,,,,61.6448,,
MDV,,,,,,,,,,,,,,,68.6882,,,
MLI,7.04209,,,,,,25.5721,,,,,25.2373,,,,,,
MRT,,,,,,,,,,,,,44.7619,,,,,
MNG,,,,,,98.1777,,,,,98.6315,,,,,,,
MNE,,,,,,,,,,,98.4934,,,,,,,
MAR,,,,,,,,,61.7888,,,,,,,,,
MOZ,,,3.46521,,,,,,11.3439,,,,,18.5162,,,24.5059,
MMR,,,,,,63.5941,,,,,,,,,,,,
NAM,,,,,,72.625,,,,,,84.6363,,,,,,
NPL,,49.8945,,,,,61.5353,,,,,66.5684,,,,,86.6854,
NIC,,,,60.2359,,,23.703,,,,,,,,,,,
