ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,,,,,,,,,,,,,,,,0.49073,,
ALB,,,,,,26.8576,,,,,20.3475,,,27.1824,,,,
ARM,,,,,,98.3876,,,,,95.5144,,,,,100,,
AZE,,,,,,76.8025,,,,,,74.1007,,,,,,
BGD,,7.14555,,,12.5907,,,,,7.316,,13.9911,20.8986,,,,16.1513,
BLR,,,,,,,,,,,88.206,,,,,,,
BLZ,,,,,,,,,,,,16.0324,,,,,13.6882,
BEN,,0,,,,,0,,,,,0.45042,,,,,,
BTN,,,,,,,,,,,,,,,,2.87522,,
BOL,,,,16.4585,,30.1284,,,21.0877,,,,,41.2052,,,,
BIH,,,,,,58.885,,,,,,64.1677,,,,,84.0769,
BFA,,,,0,,,,,0.03523,,,0,,,,0.57245,,
BDI,,,,,,0.73529,,,,,0,,,,,0.61741,,
KHM,,,,,,0.75892,,,,,1.91546,,,,,8.82386,,
CMR,,,,2.72362,,1.59544,,,,2.0207,,1.20505,,,,,0.87752,
CAF,,,,,,1.0737,,,,,,0,,,,,,
TCD,,0,,,,0.20351,,,,0,,,,,,,,
COL,9.17956,,,,,22.8414,,,,,28.0075,,,,,44.3869,,
COM,,,,,,7.58405,,,,,,,,,,,,
COG,,,,,,,,,,,4.58737,,,,,,3.89355,
CIV,,,,0.64813,,1.34304,,,,,,2.47464,,,,,3.33496,
COD,,,,,,8.29068,,,,,,,14.1098,,,11.7159,,
DJI,,,,,,,,,,,,7.62719,,,,,,
DOM,,16.7029,,,36.8154,,,44.1995,,,,,47.4394,,,,,
EGY,24.1849,,,,,32.2013,,,,,32.9431,,,43.1612,,,,
GNQ,,,,,,5.75018,,,,,,,,,,,,
ETH,,,,,,0.57951,,,,,0,,,,,,1.54961,
GAB,,,,,,7.76798,,,,,,,,,,,,14.6008
GMB,,,,,,0.78377,,,,,8.43322,,,,,,,
GEO,,,,,,,,,,,96.7416,,,,,,,
GHA,,,,15.1226,,,,,14.9651,,,15.1917,,15.2049,,,17.065,
GIN,,,,,0,,,,,,0,,,,,,,
GNB,,,,,,0.29574,,,,,,0.12916,,,,,,
GUY,,,,,,21.5141,,,,,,13.9586,,,26.3388,,,
HTI,,,,,,0.99873,,,,,3.3214,,,,,,,9.78273
HND,,,,,,,,,,,4.98026,,,,,,20.2789,
IND,,,,14.8941,,,,,,,12.7518,,,,,,,
IDN,,,14.6385,,,,,30.6797,,,,,35.8165,,,,,47.416
IRQ,,,,,,3.20152,,,,,,5.10339,,,,,5.7,
JAM,,,,,,,,,,,89.9259,,,,,,,
JOR,,,62.8856,,,,,76.8711,,,,,76.2531,,,,,
KAZ,91.2755,,,,99.2491,,,,,,,98.8312,,,,96.181,,
KEN,,,,32.4076,,32.0976,,,,,,,,38.3396,,,,
KGZ,,,83.6548,,,,,,,,97.4931,,,,,,,
LAO,,,,,,0.95921,,,,,,0.76141,,,,,1.82937,
LSO,,,,,,8.94569,,,,7.28454,,,,,9.8263,,,
LBR,,,,,,,,,,,,,1.2032,,,,,
MKD,,,,,,,,,,,33.7315,,,,,,36.7189,
MDG,,,0,,,,,,0,,,,,0.11624,,,,
MWI,,,,,,4.73627,,,,7.19363,,,,,,6.62579,,
MDV,,,,,,,,,,,,,,,63.1569,,,
MLI,0,,,,,,0,,,,,0.75265,,,,,,
MRT,,,,,,,,,,,,,1.21884,,,,,
MNG,,,,,,77.2523,,,,,52.951,,,,,,,
MNE,,,,,,,,,,,65.2794,,,,,,,
MAR,,,,,,,,,1.02939,,,,,,,,,
MOZ,,,0,,,,,,0,,,,,0,,,0,
MMR,,,,,,13.0007,,,,,,,,,,,,
NAM,,,,,,12.7004,,,,,,12.3874,,,,,,
NPL,,9.07167,,,,,3.9205,,,,,17.5447,,,,,22.5094,
NIC,,,,2.79905,,,1.10485,,,,,,,,,,,
NER,,,,0,,0,,,,,,0,,,,,,
NGA,,,,,16.173,,,,11.2075,,,,,3.96644,,,15.2458,
PAK,,,,,,,,,,,,4.74418,,,,,,
PER,,16.5536,,,,20.0195,,,,,,,27.381,,,,,49.9624
PHL,,,,31.847,,,,,32.887,,,,,35.9244,,,,
MDA,,,,,,79.2044,,,,,88.3521,,,,,,,
RWA,,,,,,1.22106,,,,,1.49671,,,,,2.68704,,
STP,,,,,,17.9791,,,,,,,,7.47618,,,,
SEN,,,,,,,,,,,0.11656,,,,,0.99202,,
SRB,,,,,,,,,,,62.2746,,,,,63.2899,,
SLE,,,,,,2.23164,,,,,0.88411,,,1.2702,,16.4708,,
SOM,,,,,,,,,,,,0,,,,,,
SUR,,,,,,1.42697,,,,,,8.34857,,,,14.8267,,
SWZ,,,,,,21.908,,,,,,18.8652,,,,28.255,,
SYR,,,,,,,,,,,,14.123,,,,,,
TJK,,,,,,57.9505,,,,,68.6304,,,,,,,
TZA,,0.69234,,,0.11229,,,,,0,,,,,,1.09868,,
THA,,,,,,,,,,,47.0659,,,,,,,
TLS,,,,,,,,,,,,,,,23.0467,,,
TGO,,,,0,,0,,,,,,2.51997,,,,0,,
TTO,,,,,,72.8,,,,,,80.6768,,,,,,
TUR,,,,19.4753,,,,,13.4023,,,,,,,,,
UGA,2.12239,,,,,2.48362,,,,,,0.82946,,,,,1.85618,
UKR,,,,,,,,,,,94.1359,,96.2608,,,,,
UZB,,86.5512,,,,,,,,,,87.1834,,,,,,
VEN,,,,,,31.7651,,,,,,,,,,,,
VNM,,,13.1167,,,11.9301,,27.8867,,,,38.7729,,,,58.6571,,
YEM,,,,,,,,,,,,1.17568,,,,,,
ZMB,,5.04972,,,,7.14603,7.47023,,,,,,7.10482,,,,,
ZWE,,,,,27.7787,,,,,,29.3121,,,,39.4755,40.3518,,
# Series: LSCRFELQ,,,,,,,,,,,,,,,,,,
"# Name: Lower secondary completion rate, lowest income quintile, female",,,,,,,,,,,,,,,,,,
"# Definition: Percentage of (i) children and young people aged 3-7 years above lower secondary school graduation age and (ii) young people aged 15-24 years, who have completed lower secondary school.",,,,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Educational For All Monitoring Project (EFA) Global Monitoring Report",,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,
