ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,,,,,,,,,,,,,,,,32.0394,,
ALB,,,,,,77.7343,,,,,72.6668,,,80.826,,,,
ARM,,,,,,99.7175,,,,,99.8186,,,,,100,,
AZE,,,,,,91.6256,,,,,,91.63,,,,,,
BGD,,47.4842,,,46.3164,,,,,48.1521,,57.4922,53.3582,,,,58.8116,
BLR,,,,,,,,,,,91.7583,,,,,,,
BLZ,,,,,,,,,,,,72.1316,,,,,56.9695,
BEN,,8.0422,,,,,11.7368,,,,,24.0093,,,,,,
BTN,,,,,,,,,,,,,,,,37.694,,
BOL,,,,76.9834,,83.7575,,,78.0386,,,,,89.3062,,,,
BIH,,,,,,91.0859,,,,,,93.5692,,,,,96.255,
BFA,,,,19.9613,,,,,26.9027,,,20.3815,,,,17.6427,,
BDI,,,,,,28.2353,,,,,35.7175,,,,,34.8169,,
KHM,,,,,,29.2247,,,,,36.4209,,,,,50.1001,,
CMR,,,,35.9654,,36.7355,,,,32.3166,,41.024,,,,,46.6569,
CAF,,,,,,14.3968,,,,,,13.8591,,,,,,
TCD,,7.55223,,,,19.9114,,,,17.9943,,,,,,,,
COL,55.1441,,,,,69.6167,,,,,74.9219,,,,,76.2332,,
COM,,,,,,28.8666,,,,,,,,,,,,
COG,,,,,,,,,,,32.8259,,,,,,44.8814,
CIV,,,,27.8822,,21.0419,,,,,,21.7782,,,,,36.7751,
COD,,,,,,53.42,,,,,,,57.1572,,,65.9025,,
DJI,,,,,,,,,,,,29.7394,,,,,,
DOM,,72.9304,,,80.0056,,,83.8049,,,,,84.0449,,,,,
EGY,70.6793,,,,,77.8209,,,,,80.5879,,,86.0952,,,,
GNQ,,,,,,25.4826,,,,,,,,,,,,
ETH,,,,,,26.896,,,,,39.0708,,,,,,42.6774,
GAB,,,,,,32.4039,,,,,,,,,,,,46.4143
GMB,,,,,,34.2922,,,,,49.3855,,,,,,,
GEO,,,,,,,,,,,99.1588,,,,,,,
GHA,,,,59.5057,,,,,70.5201,,,69.5185,,73.9498,,,70.4359,
GIN,,,,,13.2036,,,,,,16.8271,,,,,,,
GNB,,,,,,9.03359,,,,,,23.5525,,,,,,
GUY,,,,,,58.453,,,,,,63.4248,,,73.8874,,,
HTI,,,,,,52.1446,,,,,52.2918,,,,,,,59.185
HND,,,,,,,,,,,53.8761,,,,,,72.6974,
IND,,,,73.9447,,,,,,,69.0706,,,,,,,
IDN,,,69.8577,,,,,75.8465,,,,,81.4873,,,,,86.399
