ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,,,,,,,,,9.9,8,7.8,9.4,,
DZA,,,,,,,,,,,,,,,,,6.3,
ARG,,,,,,,,,,,,,,,,1.5,1.3,1.4
ARM,,,,,,,30.7,,,,,,,10.9,,,,
AUS,3.1,2.7,2.9,2.9,2.5,2.1,1.8,1.7,1.5,1.2,1,1,0.7,0.6,0.9,1,1,1.1
AUT,1.1,1.2,1.4,1.6,1.3,1.3,0.9,0.8,1.2,1.3,1.3,1.3,1,0.9,1.1,1.3,1.1,1.1
BHS,2.7,2.7,2.8,1.6,1,,,,,,,,,,,,6.2,
BHR,,,,,,,,,,25.2,,,,,,,,
BRB,11.4,5.5,5.6,3.8,2.7,3.2,2.8,,,,,,,,,,,1.2
BEL,4.5,4.4,4.2,4.5,4.5,3,3,3.2,3.3,3.7,3.8,3.7,3.3,3,3.4,4,3.3,3.5
BLZ,3.3,4.2,3.5,4.4,3.8,,,,,,,,,,,,,
BIH,,,,,,,,,,,,8.6,23.2,18.5,19.1,20.4,23.3,23.8
BWA,,7.2,,,,,,,,,,9,,,,,,
BGR,7.5,6.5,8.3,8.1,8.3,9.7,13.1,12.2,9.4,6.9,6,4.8,3.7,2.7,2.8,5,7,7.7
CAN,1.8,1.7,1.6,1.2,1,0.8,0.8,0.8,0.9,0.7,0.7,0.6,0.5,0.5,0.7,1.1,1.1,0.9
CHL,4.3,,,,,,,,,,,,,,,,,
CRI,0.2,0.6,0.7,0.3,0.5,0.5,0.5,,,,,,,,,,,
HRV,,,,,,,,7.7,7.3,6.1,6.5,5.8,4.8,4.2,4.1,6.1,8.6,10.3
CYP,,,,,,0.7,0.4,0,0.6,0.5,0.8,0.7,0.8,0.5,0.5,1.3,1.7,3.9
CZE,0.9,0.9,1.1,1.5,2.3,3.4,3.4,3,2.9,3.5,3.4,3.1,2.2,1.7,1.7,2.8,2.4,2.4
DNK,1.8,1.6,1.2,0.9,0.9,0.8,1.3,1,1.5,1.4,1.4,0.9,0.7,0.6,0.8,2.4,2.7,2.8
DMA,,,7.7,,,,,,,,,,,,,,,
DOM,,0.3,0.2,,,0.2,,,,,,,,,,,,
EGY,,,,,,,,,6.5,5.1,5.7,5.5,5,4.7,4.5,4,,
SLV,,0.5,,,,,,,,,,,,,,,,
EST,4.1,6.5,4.6,5.2,6.7,7.1,6.7,6.3,4.8,5.6,4.2,3.1,2.8,2,4.5,9.4,7.8,6
FJI,,,,,,,,,,,2.1,,,,,,,
FIN,5.9,4.6,4.4,3.9,3,2.7,2.3,2.3,2.4,2.1,2.1,1.9,1.7,1.2,1.6,2.4,2.2,2
FRA,3.9,3.8,4.2,4.3,3.9,3.3,2.6,2.4,2.8,3.1,3.2,3.4,3,2.7,3.1,3.7,3.7,4
DEU,3.2,3.6,4.2,4.4,4.2,3.7,3.7,3.9,4.9,5.6,6,5.7,4.8,3.9,3.5,3.6,3,2.6
GRC,2.6,2.8,2.8,3.1,3.7,3.6,3.2,3.1,3,3,2.6,2.6,2.2,2.1,2.4,3.8,6.7,12.1
HND,,,,,2,,,,,,,,,,,,,
HUN,5.8,6,4.8,4.1,3.8,3.6,3,2.9,2.6,2.9,3.3,3.4,3.4,3.7,4.3,5.9,5.4,5.2
ISL,0.7,0.8,0.6,0.3,0.1,0.1,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.6,1.7,2,1.6
IND,,,,,,,,,,,1.6,,,,,1.2,,
IRL,7.7,7.4,6.3,4.8,3.2,,1.5,1.7,1.9,2,1.9,1.7,1.6,2.1,4.6,9.1,11.4,11.9
ISR,0.5,0.4,0.4,0.6,1,1.1,1.1,1.4,1.8,2.4,2.2,2.3,1.8,1.4,1.7,1.6,1.1,0.8
ITA,5.5,5.9,6.2,5.6,5.3,5,4.6,4.1,3.9,2.8,2.8,2.5,2.2,2.4,2.8,3.5,3.8,5
JAM,2.2,1.8,1.8,1.8,1.9,2,2.5,,,,,,,,,,,
JPN,0.7,0.8,0.9,1,1.3,1.5,1.5,1.9,2.1,1.9,1.8,1.7,1.5,1.6,1.8,2.4,2.2,2.1
LVA,10.8,10.4,9,8.5,7.5,8.5,8.9,6.7,4.9,4.2,4.4,3,1.9,1.9,5.5,10.4,11,8.6
LTU,,,,9.5,5.6,9.4,11.5,8,5.1,5.2,4.2,2.5,1.4,1,3.6,9,9.2,7.3
LUX,0.5,0.7,0.6,0.7,0.7,0.5,0.5,0.6,0.9,0.8,1.2,1.2,1.3,1.3,0.9,1.2,1.3,1.3
MKD,,,,,,,,,,,,29.5,29.2,28.8,26.1,26.6,26.5,26.1
MLT,,,,,,2.1,,,,1.4,3.5,2.9,2.9,2.6,3.3,3.5,3.3,3.3
MEX,0.1,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1
MNG,,,,,,,,,,,,,5.5,4.1,4.1,5.4,3.5,
MNE,,,,,,,,,,,,,12.1,12.4,14.6,14.9,15.1,15.3
NAM,,,10.5,,,,,,,13.5,,,,25.3,,,,
NLD,2.9,2.6,1.9,1.5,1.1,0,0,0.5,1,1.5,1.9,1.6,1.2,0.9,0.8,1.2,1.5,1.8
NZL,1.7,1.4,1.4,1.6,1.6,1.3,1,0.8,0.6,0.4,0.4,0.3,0.2,0.2,0.4,0.5,0.6,0.8
