ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,,,,,,,,,15,14.1,13.1,15.5,,
ARG,,,,,,,,,,,,,,,,2.9,2.7,3.4
ARM,,,,,,,,,,,,,,13.5,,,,
AUS,3.5,3.3,4,3.4,2.8,2.4,2.3,2,1.8,1.5,1.2,1.3,0.9,0.8,1.2,1.7,1.7,2
AUT,1,1.3,1.4,0.7,0.6,0.7,0.5,0.4,0.8,1.6,1.3,1.6,1.1,1.2,1.4,1.7,1,1.3
BEL,8.7,6.8,6.9,7.2,8.5,3.8,4.6,4.4,5.6,5.4,5.8,4.8,5.1,4.5,5.4,7.1,5.9,5.9
BGR,,,,,,15,16.8,16.4,13.9,8.1,11.3,8.2,5.2,5.6,5.7,10.2,13.5,15.2
CAN,1.3,1.2,1.1,0.9,0.7,0.6,0.6,0.4,0.5,0.5,0.5,0.3,0.3,0.2,0.5,0.7,0.9,0.8
HRV,,,,,,,,14.9,14.8,12.2,13.1,12.2,9.4,7.5,7.8,16.1,20.3,23.9
CYP,,,,,,,,,,,1.6,0.9,2.9,1.2,1.1,2.4,3.7,8.5
CZE,1.4,1,1.1,1.9,3.4,6,6.1,5,5.1,7.5,7.9,6.5,3.7,3.4,3.3,3.7,6.2,6.4
DNK,0.7,1.1,0.6,0.2,0.6,0,0.1,0.1,0.1,0,0.1,0.1,0,0,0.1,0.2,0.2,0.2
EST,3.9,7.4,4.7,5.9,8.5,6.6,5.3,4.3,4.4,7.1,3.9,2.1,4,4.1,8.6,13.8,8.2,6.9
FIN,6.6,3,2.9,2.2,1.1,1.6,1.2,1.3,1.4,1.3,1.3,1.1,0.8,0.6,1.2,2,1.4,1.2
FRA,4.8,4.9,5.9,5.6,4.7,3.8,2.8,3.1,3.9,4.3,4.6,5.3,5,4.8,6.5,7,6.1,7.1
DEU,1.9,2.4,2.7,2.6,2.4,2,1.9,2.4,3.5,3.7,5.3,4.8,4,3.1,3.3,2.9,2.4,2.2
GRC,7.4,9.2,9.1,8.5,9.8,9.4,8.6,8.1,7.9,8.3,7.9,7.5,5.2,5.4,5.1,9.1,14.9,22.9
HUN,8,8.2,6.8,5.9,5.6,5.6,4.4,4.6,4.2,5.9,7.4,7,6.8,6.5,9,11.8,10.2,10
ISL,0.8,0.4,0.4,0,0,0,0,0.8,0.1,0,0.1,0.1,0,0.1,0.8,1.8,2.2,1.3
IND,,,,,,,,,,,4.8,,,,,4.7,,
IRL,9.4,9.1,7.8,5.1,2.7,,1.4,2.2,2.4,2.5,2.5,2.3,2.2,3.1,7.5,15,17.9,19.1
ISR,0.7,0.1,0.3,0.6,1.2,1.3,1.2,1.3,2.1,2.9,1.8,2.9,2.2,1.8,2.6,2,1.1,0.8
ITA,16.9,18.1,17.3,15.4,15,14.9,13.6,12.1,12.5,8.2,9.1,8,7.3,7,9.1,11.6,12.4,16.5
JPN,0.9,0.9,1.6,0.9,1.5,2.5,1.9,2.8,3.2,3.3,2.5,2.2,1.9,2,2.8,3.2,3.1,2.7
LVA,,,,10,3.9,,8.2,,,,2.9,2.2,1.3,1.8,8.8,12.7,11.7,8.8
LTU,,,,12.9,5.5,14.6,12.2,,,,4.1,2.5,1.4,1.3,5.8,13.5,13.5,9
LUX,1.4,4.3,0.3,1.9,1.8,1.2,1,0.9,2.5,1.6,1.9,6.9,4.1,2.5,2.2,4.2,3.1,4.4
MKD,,,,,,,,,,,,42,39.5,39.8,35.5,37.7,36.8,38
MLT,,,,,,0.6,,,,,7.6,4.4,5.2,3.9,5.9,4.6,4.4,4.9
MEX,0,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MNG,,,,,,,,,,,,,7.5,6.5,6.2,10.8,5.6,
NLD,3.5,3.3,2.1,1.9,0.7,0,0,0.4,0.8,1.2,1.5,1.2,0.7,0.6,0.8,1,1,1.1
