ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,3282.8,,3715.5,3985.7,2476,,,2630,2569,2679,5273,
ATG,,,,,,,14.1,,,,,,,,,,,
ARG,1760,3155.9,3409.8,3535.9,3485.8,3439.6,3325,3118.5,3600.7,3857.5,3956.1,4197.2,4355.4,4387.6,4380.7,4517.8,4668.9,4686.3
ARM,,,,,,,,,,,,,,407,373,401.9,362,
AUS,3839.8,3901.9,3931.6,4019.6,4076.2,4168.5,4201.2,4278.9,4379.6,4484.7,4635.7,4760.6,4935.1,5047.9,5120.2,5293,5401,
AUT,1785.6,1747.6,1745.4,1744.5,1771.1,1766.5,1766.9,1716.2,1766.9,1701.3,1775.9,1818,1853.9,1874.1,1847.6,1848.5,1874,1892.8
AZE,,,,,,,,,671.7,662.3,681.4,999.2,1025.2,977.2,,,,857.4
BHS,55.3,55.2,57.5,60.5,60.9,,63.8,62.2,64.4,66.7,,,,75.3,,,66.3,
BHR,,,,,,,,221.4,243.8,228,308.7,339,377.6,419.2,464.4,456.4,,
BGD,,4978,,,,4917,,,4769,,5249,,,,,,,
BRB,48.4,52,52.5,54.8,54.7,56.2,56,54.9,54,54.3,,,,,,,,
BLR,,,,,,,,,,,,,,,2172.3,,,
BEL,1842,1827.7,1850.8,1838.3,1886.4,1956.8,1945.1,1937.6,1920.4,1946.7,1968.5,1969.8,2017.8,2042.1,1999.8,2032.4,2031.6,2033
BLZ,28.6,28.5,30.5,32.1,33.3,,,,,,43.4,,,,,,,
BEN,,,,,,,,,214.2,,,,,,,,,
BTN,,,,,,,,,,,,51.4,,,58.4,63.9,67.8,66.5
BOL,418,576.9,565.7,,739.8,733.6,801.6,781.2,1004.5,1004.5,975.2,982.6,1109.9,1145.2,1278.8,,,
BIH,,,,,,,,,,,,381,405,416,401,395,385,374
BWA,,,,,,,,,,,,175.3,,,,,,
BRA,23811.2,23936,,,,25484.5,27123,27943,28208,30012,30934,31811,32980,34134,34217.5,,,
BGR,,,,,,1226.8,1169.3,1199,1229.8,1274.5,1323,1390.8,1470.8,1529.9,1475.7,1367.8,1339.5,1324.4
BFA,,,,,,,,,209.3,,,277.6,,,,,,
BDI,,,,111.3,,,,,,,,,,,,,,
KHM,,,,,,472.7,574.8,,,,,,,702.5,,,,
CMR,,515.1,,,,,865,,,,,,,,,,,
CAN,5978.2,5990,5948.5,6062.3,6201.1,6425.2,6531,6649.4,6774.7,6867.1,6949.1,7105.7,7185.8,7301.6,7841.5,7999.6,8185,
CPV,,,,,,33.7,,,,,,,,,,,,
CHL,,2441.8,2487.9,2443.6,2403.4,2402.8,2427.7,2444.3,2463.6,2524.7,2603.1,2874.9,2967.1,3044.6,2932.6,3162.5,3246.6,
COL,1997.4,1996.2,1984.2,1972.2,1816.3,4916.1,4541.8,4547.5,5077.6,4869.8,5118.6,5388.2,5786.7,5017.8,5200,5151.9,5380.6,5627.7
COG,,,,,,,,,,,206.2,,,,,,,
COK,,,,,,,,,,,,3.1,,,,,3.6,
CRI,568.2,553.7,577.1,609.7,608.6,614.3,683.9,,733.4,741.6,813.2,809,871.4,877.5,877.6,883.3,916.5,925
CIV,,,,,,,,860.1,,,,,,,,,,
HRV,,593.5,632.9,616.7,592.4,633.2,598.2,625,637.8,659.9,647.1,656.2,693.7,700.4,671,637.3,622.5,609.5
CUB,2143.8,2184.5,2169.2,2154.9,2141.9,2121.7,2148.1,2159.4,2157.8,2158.9,2212.7,2271.4,2314.3,2370.2,2433.8,2391.1,2203.7,
CYP,,,,,118.1,120.5,124.2,126.1,127,132.6,140.7,146.9,154.8,157.8,153.9,159.6,160.2,159.1
CZE,2314,2319,2324.4,2261.6,2162.1,2125.2,2122.8,2128.8,2071,2069,2156.5,2188.7,2232.6,2283.9,2236.9,2186.1,2182.5,2161.8
DNK,1263.8,1270.4,1279.6,1266.8,1283.5,1274.5,1275.1,1281.2,1277.1,1292.1,1294.1,1317.8,1309,1331.3,1266.6,1240.5,1244.6,1238.3
DJI,,21.1,,,,,,,,,,,,,,,,
DMA,,,9,,9.2,,9.5,,,,,,,,,,,
DOM,882.2,894.1,921.9,948,957.1,1007.2,975.4,967.5,953,1026.4,994.9,1033,1086.4,1050.9,1021.3,1037,,
ECU,1056,1037.7,1126.6,1144.2,1203.6,1884.9,2003.5,,1986.6,2025.6,2076.8,2197.8,2189.7,2222.7,2190.5,2228.6,2207.9,1492.5
EGY,7066.4,,7816.6,7853.5,8217.1,8455.4,8728.7,8502,8526.8,8709,9698.9,10550,10496.7,,11619.4,12389.6,,
SLV,721.3,761.1,774.9,811.9,831.7,776,808.7,753.1,817,856,803,854.9,820,872.4,275,879.2,908.4,937.7
EST,298.5,287,274.8,276,260.5,257.1,266.7,266.7,268.4,257.2,266.9,286.6,288.9,296.2,255.4,243.8,265.9,272
ETH,,,,,1346.1,,,,,,1568.6,,,,,,,
FJI,,,,,,,,107.5,,132.6,132.6,,134.3,125.6,,,,
FIN,828.1,844.4,883.5,919.4,1008.2,1023.8,1046.1,1039.7,1035.7,1035.9,1037.4,1051,1075.1,1094.8,1029,1037.9,1052.4,1047
FRA,10232.9,10284.7,10276.6,10424.7,10567.7,10947.6,11305.1,11323.4,11326.9,11397.3,11487,11429,11600.3,11821.3,11536.2,11466.2,11488.5,11491
GAB,,,,,,,,,,,107.5,,,,,,,
GEO,,,,385.1,378.4,354.8,336,333,323.6,304.4,314.1,,,313.1,317.4,318.3,334.1,359.6
DEU,18116.3,17823.6,17536.8,17569.6,17698.2,17718.4,17685.7,17426.9,17028.2,16632.6,17012.8,17379.8,17782.3,18090,17848.2,17914.2,18321,18510.4
GHA,,,,,,,,,,,,,,,,1292.1,,
GRC,1287.7,1311,1296.1,1411.3,1435.2,1450.7,1493.9,1536.7,1571.5,1624.8,1644.2,1656.6,1692.4,1714.4,1660.8,1600.5,1470.8,1333.1
GRD,,14.5,,14.2,,,,,,,,,,,,,,
GTM,,,,1344.6,,1410.4,,1274.2,1505.6,1549.1,,,,,,,,
HND,580.2,600.5,636.2,675.5,708.1,,739.5,733.2,750,771.9,845.3,850.5,894,938.8,976.3,966.9,,
HUN,1678.5,1550.4,1570.2,1613.3,1678.9,1692.3,1726.2,1754.6,1773.7,1738.6,1756.9,1800.9,1820.2,1788.6,1730.1,1714,1747.1,1786.6
ISL,54.6,56.4,58,58.6,61.3,63.8,64.9,63.1,67.6,67.5,67.2,71.8,77.6,79.6,72.8,71.7,71.9,72.5
IND,,,,,,8662.8,,,,,46847.9,,,,,53827,,
IDN,,,,,,,20344,20035,19565,20471,21349,21659,22679,,22377.5,,,
IRN,,6580,,,,,,,,,,,9203,9315,,,,
IRL,555,581.9,603.6,654.4,700.6,734.8,760.3,766,782.4,796.2,850.2,905.3,913.8,884.6,786.2,758.2,749.4,742.7
ISR,912.6,917.5,927.8,930.1,948.6,990.3,1018.1,1020.2,1030.4,1076.7,1107.4,1147.3,1203.5,1240.2,1246.4,1288.3,1339.7,
ITA,8836.8,8812.3,8849.3,8870.6,8971,9015.8,9121.1,9313.5,9399.5,9323.4,9525.8,9717,9833.9,9908.4,9747.9,9581.4,9595.7,9481.6
JAM,302.9,305.8,304.6,300.8,302.5,303.4,308.3,338.1,346.1,354.5,368.1,374.6,396.9,364,,,336.5,327.8
JPN,32150,32380,32640,32430,32150,32160,32010,31700,31580,31520,31640,31940,32260,32120,31490,31330,30070,
KAZ,,,,,,,2116.9,2216.5,2287.9,2383.7,2481,2501,2590,2711,2725.8,2825.3,2885.5,2985.9
KEN,,,,,2540.4,,,,,,,,,,,,,
KWT,,,,,,,,,,,812.1,,,,,,1116.1,
KGZ,,,,,,,,438.6,508.9,551.7,574.4,609.3,,,,,,
LAO,149.3,,,,,,,,,,211.2,,,,,,,
LVA,,411.7,402.6,410.7,412.7,405.7,398.1,421.3,432.5,454,462.7,483.1,498.4,499.2,408.9,392.9,359.1,374.5
LBN,,,,,,,,,,472.2,,,469.3,,,,,
LSO,,,,,77.9,,,,,,,,,,,,,
LBR,,,,,,,,,,,,,130,,,148.1,,
LTU,,,,594.4,573,538.4,507.3,552.1,564.5,574.8,606.7,622.7,651.1,659.8,579.2,556.8,529.7,537
LUX,92.1,93.6,95.3,95,97.2,97.8,102.1,102,101.8,100.9,102.8,101.2,104.4,107.9,111.5,113.4,115.1,119.3
MKD,,,,259.4,245,249.4,250.9,240.3,235,231.5,230,241,248.6,261.1,269.1,271.2,269.1,279
MDG,,,,,,,,,738.2,,775.1,,,,,,,
MYS,3665.4,4000.2,4230.2,4149,4347.5,4363.6,4519.9,4692.6,4776.2,4690.6,4778.1,4775.9,4893.4,4947,5067.3,5124.1,5901.3,5961.5
MDV,16.6,,,,,12.2,,,,,,42.6,,,,,,
MLI,,,,,,,,,,211,,363.7,250.8,,,,,
MLT,,,,,,84.8,88.1,83.6,86.7,84.7,85,87,88.1,88.9,88.8,88.5,91.2,90.9
MHL,,,,,5.1,,,,,,,,,,,,,
MUS,235.8,,,,,245.8,,,,254.8,258.7,261.6,258.6,266,267.4,269.7,269.8,269.4
MEX,12838.2,13503.9,14051.5,14926.2,15274,15876.8,15781.1,15977.6,16255.8,16622.8,16589.6,17412.4,17638.2,18179.4,17918.1,18804.8,19268.2,
MNG,,,,,,165.1,,,166.5,,,,159.3,182.9,183.8,209.3,222.6,
MNE,,,,,,,,,,,81.4,,92.4,95.6,94.5,93.4,87.1,88.8
MAR,,,,2816.4,2849,,,2807.9,2805.4,2812.4,2859.5,3387.6,3577.5,3538.6,,,,
MOZ,,,,,,,,,567.7,,,,,,,,,
NAM,,,160.4,,,153.6,152.8,,,164.6,,,,152.9,,222.4,212.3,228.8
NPL,,,,,,,1890.6,,,,,,,,,,,
NLD,3473.7,3528.4,3633,3753.5,3814.3,3921,3978.8,4002.1,3924.6,3883.1,3829.6,3865.6,3902.2,3939.1,3899.7,3709,3688.1,3689.2
