ISO,1995,1996,1997,1998,1999,2001,2002,2004,2005,2006,2007,2008,2009,2010,2011
ALB,23.1,,,,,,,,,,,,,21.6,
DZA,,,,,,,,,,,,20.8,,,
ARM,24.6,,,,,,,,,,,,,,
AUS,27.9,,,,,,,,,,,,,,
AUT,,,,29.3,,,,,,,,,,21.9,
AZE,23.1,,,,,,,,,,,,,,
BGD,,,16,,,,,,,,,,,,
BLR,24.4,,,,,,,,,,,,,,
BEL,28.8,,,,,,,,,,,,,22.3,
BEN,,18.7,,,,,,,,,,,,,
BIH,,,,,,,,,,,,22,,,
BWA,,,,,,,,,,,,,,24.9,
BRA,,27.1,,,,,,,,,21.1,,,,
BGR,26.9,,,,,,,,,,,,,,
BDI,,,,,,,,,,,,,,19.5,
CMR,,,,19,,,,,,,,,,17.7,
CAN,28.4,,,,,,,,,,,,,,23.4
TCD,,,16,,,,,,,,,,,,
COL,21.4,,,,,,,,,,,,,,
CRI,28.2,,,,,,,,,,,,19.1,,
CIV,,,,,19.5,,,,,,,,,17.4,
HRV,27.3,,,,,,,,21.4,,,,,,
CUB,,,,,,,,,,,,,,18.4,
CYP,29.2,,,,,,,,,,,,,,
CZE,28.2,,,,,,,,,,,,21.7,,
DNK,32.1,,,,,,,,,,22.9,,,,
DOM,,18.5,,,,,,,,,,,,,
ECU,,,,,,,,,,,19.2,,,,
EGY,21.2,,,,,,,18,,,,,,,
SLV,,,,,,,,,,,,18.7,,,
ERI,18.4,,,,,,,,,,,,,,
EST,27.9,,,,,,22.6,,,,,,,,
FJI,,,,,,,,,,,,,,,19.1
FIN,30.3,,,,,,,,,,,,,,
FRA,30,,,,,,,,,,,,,23,
GEO,25.8,,,,,,,,,,,,,,
DEU,30.3,,,,,,,,,,,,,22.5,
GHA,,,,21,,,,,,,,,,18.5,
GRC,28.9,,,,,,,,,,,22.3,,,
GTM,18.9,,,,,,,,,,,,,,
GIN,,,,,16.5,,,,,,,,,,
HTI,20.2,,,,,,,,,,,,18.8,,
HUN,28.7,,,,,,,,,21.8,,,,,
ISL,32.1,,,,,,,,,,,,,23.2,
IDN,,,,,,,,,,15.9,,,,,
IRL,31.2,,,,,,,,,,,,,,
ISR,28.4,,,,,,,,,,,,,22.4,
ITA,30.1,,,,,,,,,,,,,24.1,
JAM,,,,,,,,,,,,,17.4,,
JPN,28.8,,,,,,,,,,,,,,
JOR,,,,,,,,,,,,,,18.1,
KAZ,24.3,,,,,,,,,,,,,,
KEN,,,,20.2,,,,,,,,,,17.8,
KGZ,23.5,,,,,,,,,,,,,,
LVA,27.4,,,,,,,,,,,,,,
LBR,,,,,,,,,,,,,17.9,,
LTU,26.4,,,,,,,,,,,,,,
LUX,29.9,,,,,,,,,,,,,22.8,
MKD,25.2,,,,,,,,,,,,,,
MDG,,,18.4,,,,,,,,,,,,
MYS,,,,,,,,,,,,,,18.8,
MLI,,16.7,,,,,,,,,,,15.9,,
MLT,27.5,,,,,,,,,24.7,,,,,
MAR,,,,,,,,,,,,,,17.6,
MOZ,,,17.5,,,,,,,,,,,,
NPL,,17.9,,,,,,,,,14.9,,,,
NLD,30.4,,,,,,,,,,,,,,23.1
NZL,28.2,,,,,,,,,,,,,,
NIC,,,,18.1,,,,,,,,,,,
NGA,,,,,,,,,,16.2,,,,,
NOR,31,,,,,,,,,,,24.9,,,
PAN,,,,,,,,,,,18.6,,,,
PER,,22,,,,,,,,,,18.4,,,
PHL,,,,,,,,,,,,19.6,,,
POL,25.6,,,,,,,,,,,22.8,,,
PRT,29.2,,,,,,,,,,,,,23.3,
KOR,,,,,28.3,,,,,,,,,,
MDA,23,,,,,,,,,,25.6,,,,
ROU,26,,,,,,,,,,,,,,
RUS,,,,,,,,,,,,,,23.1,
SRB,27.1,,,,,,,,,,,,,,23
SGP,,,,27.6,,,,,,,,,,,
SVK,26.9,,,,,,,,,,,,,22,
SVN,28.7,,,,,,,,,,,,,22.4,
ESP,31,,,,,,,,,,,,,,
LKA,,,,,,,,,,,,,,18.9,
SDN,,,,,,,,,,,,,,15.5,
SWE,32.9,,,,,,,,,,26.4,,,,
CHE,29.4,,,,,,,,,,,,,25,
SYR,,,,,,,,,,,,,,18.2,
TJK,22.5,,,,,,,,,,,,,,
TZA,,18.9,,,,,,,,,,,,,
THA,,,,,,,,,,,,,,20.5,
TGO,,,,,,,,,,,,,,18.4,
TUR,,,,,,18.4,,,,,,,,,
TKM,23.3,,,,,,,,,,,,,,
UGA,18.2,,,,,,,,,17.5,,,,,
UKR,24.5,,,,,,,,,,,,,,22.7
GBR,29.9,,,,,,,,,,,,,,
USA,,,,,,,,,,,,,,20.8,
URY,26.2,,,,,,,,,,,,,,
UZB,22.4,,,,,,,,,,,,,,
VNM,,,21.1,,,,,,,,,,,,
ZMB,,18.7,,,,,,,,,,,,,
ZWE,,,,,,,,,,,18.8,,,,
ACE,27.5233,,,,,,,,,,,,,,
ASA,,,,,,,,,,,,,,20.8,
ECM,27.9,,,,,,,,,,,,,,
NAN,,,,,,,,,,,,,,20.8,
ECE,20.7985,,,,,,,,,,,,,,
NAE,,,,,,,,,,,,,,18.7332,
# Series: MAFMFWFR,,,,,,,,,,,,,,,
"# Name: Mean age at first marriage, female",,,,,,,,,,,,,,,
# Definition: The mean age at first marriage is the mean age of men or women at first marriage if subject throughout their lives to the age-specific marriage rates of first marriages only in a given year.,,,,,,,,,,,,,,,
"# Source: United Nations, World Fertility Report, 2012",,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,
