ISO,2010,2012,2014
ALB,365,365,365
DZA,98,98,98
AGO,90,90,90
ARG,90,90,90
ARM,140,140,140
AUS,0,,
AUT,112,112,112
AZE,126,126,126
BGD,112,112,112
BLR,126,126,126
BEL,105,105,105
BEN,98,98,98
BOL,84,84,84
BIH,365,365,365
BWA,84,84,84
BRA,120,120,120
BGR,135,410,410
BFA,98,98,98
BDI,84,84,84
KHM,90,90,90
CMR,98,98,98
CAN,105,105,105
TCD,98,98,98
CHL,126,126,126
CHN,90,90,98
COL,84,84,98
COG,105,105,105
CRI,120,120,120
CIV,98,98,98
HRV,208,208,208
CZE,196,196,196
DNK,126,126,126
DOM,84,84,84
ECU,84,84,84
EGY,90,90,90
SLV,84,84,84
EST,140,140,140
ETH,90,90,90
FJI,84,84,84
FIN,147,147,147
FRA,112,112,112
GAB,98,98,98
GEO,126,126,126
DEU,98,98,98
GHA,84,84,84
GRC,119,119,119
GTM,84,84,84
GIN,98,98,98
HTI,,,42
HND,84,84,84
HUN,168,168,168
ISL,90,90,90
IND,84,84,84
IDN,90,90,90
IRN,90,90,90
IRL,182,182,182
ISR,98,98,98
ITA,150,150,150
JAM,56,56,56
JPN,98,98,98
JOR,70,70,70
KAZ,126,126,126
KEN,90,90,90
KSV,270,270,270
KWT,70,70,70
KGZ,126,126,126
LAO,90,90,90
LVA,112,112,112
LBN,49,49,49
LSO,84,84,84
LBR,90,90,90
LTU,126,126,126
MKD,270,270,270
MDG,98,98,98
MWI,56,56,56
MYS,60,60,60
MLI,98,98,98
MRT,98,98,98
MUS,84,84,84
MEX,84,84,84
MNG,120,120,120
MNE,365,365,45
MAR,98,98,98
MOZ,60,60,60
NAM,84,84,84
NPL,52,52,52
NLD,112,112,112
NZL,98,98,98
NIC,84,84,84
NER,98,98,98
NGA,84,84,84
OMN,42,42,42
PAK,84,84,84
PAN,98,98,98
PNG,0,0,0
PRY,63,63,63
PER,90,90,90
PHL,60,60,60
POL,112,140,182
KOR,90,90,90
MDA,126,126,126
RUS,140,140,140
RWA,84,84,84
SAU,70,70,70
SEN,98,98,98
SRB,135,135,135
SLE,,84,84
SGP,112,112,112
SVK,238,238,238
SVN,105,105,105
ZAF,120,120,120
ESP,112,112,112
LKA,84,84,84
SDN,56,56,56
SWE,0,0,0
CHE,98,98,98
SYR,60,120,120
TJK,140,140,140
TZA,84,84,84
THA,45,45,45
TGO,98,98,98
TUN,30,30,30
TUR,112,112,112
UGA,60,60,60
UKR,126,126,126
ARE,45,45,45
GBR,273,273,273
URY,84,84,84
UZB,126,126,126
VEN,126,126,182
VNM,120,120,180
YEM,70,70,70
ZMB,84,84,84
ZWE,98,98,98
AAE,77.9375,83.1333,87.6667
ACE,155.488,162.535,156.07
GEA,107.515,110.902,109.331
HIA,114.892,118.861,120.028
AME,91,91,92.05
LIA,91.3043,91,89.04
LMA,95.3143,97.0286,98.7429
ANE,70,74.2857,74.2857
ASE,83.2,83.2,83.2
AEE,89.0882,88.9429,88.9429
UMA,121.757,129.189,122.649
EAM,90,90,90
ECM,126,126,126
GEM,98,98,98
HIM,112,112,112
LCM,84,84,84
LIM,98,90,90
LMM,84,90,90
MEM,70,70,70
SAM,84,84,84
SSM,90,90,90
UMM,90,90,98
EAE,83.9361,83.8697,91.0937
ECE,131.337,134.848,136.381
GLE,86.1495,86.7233,89.4242
HWW,89.38,89.9395,90.8748
LCE,96.3987,96.3946,101.005
LIW,66.8243,67.4109,68.0154
LMW,86.1271,86.692,88.719
MEE,73.4445,76.5272,76.0299
SAE,84.567,84.5247,84.5378
SSE,76.8008,77.4146,77.307
UMW,91.1878,91.9814,97.3109
# Series: MMLMLWBL,,,
# Name: What is the mandatory minimum length of paid maternity leave (in calendar days)?,,,
# Definition: What is the mandatory minimum length of paid maternity leave (in calendar days)?,,,
"# Source: World Bank, Women Business and the Law",,,
# Data from the No Ceilings project: http://noceilings.org,,,
"# For more about the data, please visit http://noceilings.org/data",,,
