ISO,2010,2012,2014
ALB,0,,
DZA,3,3,3
AGO,1,1,1
ARG,2,2,2
ARM,0,,
AUS,0,,
AUT,0,,
AZE,0,0,0
BGD,0,,
BLR,0,,
BEL,10,10,10
BEN,3,3,3
BOL,0,,3
BIH,7,7,7
BWA,0,,
BRA,5,5,5
BGR,15,15,15
BFA,3,3,3
BDI,4,4,4
KHM,0,,
CMR,3,3,3
CAN,0,,
TCD,0,0,0
CHL,5,5,5
CHN,3,3,3
COL,10,10,10
COG,0,,
CRI,0,,
CIV,2,2,2
HRV,0,,
CZE,0,,
DNK,14,14,14
DOM,2,2,2
ECU,12,12,12
EGY,0,,
SLV,0,,
EST,10,10,10
ETH,0,,
FJI,0,,
FIN,24,24,24
FRA,11,11,11
GAB,0,,
GEO,0,,
DEU,0,,
GHA,0,,
GRC,2,2,2
GTM,2,2,2
GIN,0,,
HND,0,,
HUN,5,5,5
ISL,90,90,90
IND,0,,
IDN,2,2,2
IRN,0,,
IRL,0,,
ISR,0,,
ITA,0,,1
JAM,0,,
JPN,0,,
JOR,0,,
KAZ,0,,
KEN,14,14,14
KSV,2,2,2
KWT,0,,
KGZ,0,0,0
LAO,0,,
LVA,10,10,10
LBN,0,,
LSO,0,,
LBR,0,,
LTU,30,30,30
MKD,0,,
MDG,0,,
MWI,0,,
MYS,0,,
MLI,3,3,3
MRT,0,,
MUS,5,5,5
MEX,0,,5
MNG,0,,
MNE,0,,
MAR,3,3,3
MOZ,1,1,1
NAM,0,,
NPL,0,,
NLD,2,2,2
NZL,0,0,0
NIC,0,,
NER,1,1,1
NGA,0,,
NOR,0,,
OMN,0,,
PAK,0,,
PAN,0,,
PNG,0,,
PRY,2,2,2
PER,0,4,4
PHL,7,7,7
POL,7,14,14
PRT,0,,
KOR,0,0,0
MDA,0,,
RUS,0,,
RWA,0,4,4
SAU,1,1,1
SEN,0,,
SRB,0,,
SGP,0,,
SVK,0,,
SVN,15,15,15
ZAF,3,3,3
ESP,13,13,13
LKA,0,,
SDN,0,,
SWE,10,10,10
CHE,0,,
SYR,0,,
TJK,0,,
TZA,3,3,3
THA,0,,
TGO,2,2,2
TUN,1,1,1
TUR,0,,
UGA,4,4,4
UKR,0,,
ARE,0,,
GBR,14,14,14
USA,0,,
URY,3,3,3
UZB,0,,
VEN,14,14,14
VNM,0,,
YEM,0,,
ZMB,0,,
ZWE,0,,
AAE,0.75,2.4,2.4
ACE,6.46667,,
GEA,3.11111,,
HIA,6.775,,
AME,3,5.54545,5.30769
LIA,1.65217,,
LMA,0.657143,,
ANE,0.571429,,
ASA,0,,
ASE,0,,
AEE,1.52941,,
UMA,2.37838,5.41176,5.38889
EAM,0,2,2
ECM,0,,
GEM,0,,
HIM,0,,
LCM,2,4,4
LIM,0,,
LMM,0,,
MEM,0,,
NAN,0,,
SAM,0,,
SSM,0,,
UMM,0,4,4
EAE,2.36052,2.36181,2.3637
ECE,3.68241,,
GLE,1.79505,,
HWW,2.57084,,
LCE,3.85552,4.06329,5.0765
LIW,1.28912,,
LMW,0.571815,,
MEE,0.641542,,
NAE,0,,
SAE,0,,
SSE,1.53733,,
UMW,2.81639,2.86554,3.10674
# Series: MMLPLWBL,,,
# Name: What is the mandatory minimum length of paid paternity leave (in calendar days)?,,,
# Definition: What is the mandatory minimum length of paid paternity leave (in calendar days)?,,,
"# Source: World Bank, Women Business and the Law",,,
# Data from the No Ceilings project: http://noceilings.org,,,
"# For more about the data, please visit http://noceilings.org/data",,,
