ISO,2003,2005,2006,2007,2008,2009,2010,2011
AUT,,,81.95,84.59,88.16,,,
AZE,,,,,,,75.48,
BHR,,,,,99,,,99
BEL,,,84.77,86.53,87.52,,,
BOL,,,,,,57.38,,
BRA,,,,,,75.44,79.54,
BGR,,,56.19,66.09,74.56,,,
CHL,31.68,,50.19,,,60.79,,
CRI,,27.75,,,44.99,,,
HRV,,,,72.61,76.8,,,
CYP,,,82.3,87.24,85.88,,,
CZE,,,85.64,88.27,91.32,,,
DNK,,,88.45,84.01,92.06,,,
ECU,,,,,35.02,37.62,,
EGY,,,,,,66.53,,66.56
SLV,,,,,,,55.3,
EST,,,87.44,92.13,92.3,,,
FIN,,,93.71,95.72,96.84,,,
FRA,,,71.73,75.78,84.08,,,
DEU,,,80.66,83.55,84.47,,,
GRC,,,70.07,74.51,76.49,,,
HND,,,,,29.22,,,
HUN,,,74.81,83.91,92.79,,,
ISL,,,96.74,97.02,98.28,,,
IRL,,,90.8,94.31,95.73,,,
ISR,,,,,,,36.29,
ITA,,,84.36,87.08,88.75,,,
JAM,,,,,,,87.85,
JPN,,,,70.23,73.54,72.6,71.95,
LVA,,,81.6,82.62,88.57,,,
LTU,,,81.06,85.28,87.75,,93.81,
LUX,,,91.04,94.35,94.36,,,
MKD,,,56.57,,73.13,,,
MLT,,,80.2,84.83,84.33,,,
MUS,,,,,,,69,
MEX,,,,,,42.74,48.81,53.95
MAR,,,,,,,92.5,88.28
NLD,,,86.43,88.95,91.78,,,
NZL,,,79.83,,,85.57,,
NIC,,,35.61,,,,,
NOR,,,95.41,97.11,97.6,,,
POL,,,65.92,72.14,75.93,,,
PRT,,,74.24,80.27,82.29,,,
QAT,,,,,99.7,98.49,97.15,98.78
KOR,,,,,78.39,81.13,,85.43
ROU,,,52.55,63.95,72.77,,,
SEN,,,,,,66.62,,
SRB,,,,74.84,,,,
SGP,,,,,,84.86,,
SVK,,,84.95,89.81,93.42,,,
SVN,,,82.25,86.35,87.38,,,
ESP,,,81.66,85.45,87.86,,,
SWE,,,92.69,93.79,94.83,,,
THA,,,,,50.93,55.4,61.69,65.77
TUR,,,,53.46,,,,
GBR,,,89.41,90.02,92.99,,,
URY,,,,,,67.62,,
# Series: MOBUSRPF,,,,,,,,
"# Name: % mobile users, female",,,,,,,,
# Definition: The share of total mobile users who are female.,,,,,,,,
"# Source: Telecommunication Development Sector (ITU-D), United Nations",,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,
