ISO,1990,1995,2000,2005,2010
AFG,116.45,116.8,118.14,118.23,117.72
ALB,140.04,143.44,149.34,155.11,156
DZA,129.19,129.33,130.22,129.45,130.1
AND,207.18,220.6,232.2,242.3,253.31
AGO,120.42,119.69,120.46,122.19,128.34
ATG,185.29,189.91,181.98,182.9,191.99
ARG,185.12,184.7,186.8,187.33,200.75
ARM,135.55,133.96,133.62,132.64,138.48
AUS,227.82,245.42,253.41,268.99,285.16
AUT,167.32,168.71,175.19,189.45,195.93
AZE,122.93,122.34,120.86,120.69,124.46
BHS,162.48,160.33,158.89,161.88,165.83
BHR,143.4,141.72,135.15,131.18,134.03
BGD,98.88,99.55,101.12,104.85,109.27
BRB,191.41,190.67,194.98,203.08,216.91
BLR,161.11,157.72,154.73,152.31,159.87
BEL,278.55,303.73,312.58,313,315.68
BLZ,151.9,157.52,167.92,172.35,188.68
BEN,115.14,117.39,118.99,119.36,120.27
BTN,104.29,105.61,108.43,112.16,116.32
BOL,118.15,120.37,122.35,123.82,128.42
BIH,139.04,142.79,145.51,148.82,150.88
BWA,135.97,133.19,137.3,132.75,127.45
BRA,121.87,127.51,137.32,154.95,167.19
BRN,141.16,145.02,149.58,155.79,156.12
BGR,135.2,137.35,140.36,139.62,142.52
BFA,111.11,113.17,115.03,116.07,117.61
BDI,115.82,117.95,120.03,121.42,121.46
KHM,90.4,91.61,94.17,96.01,97.93
CMR,117.76,119.52,122.14,125.83,129.39
CAN,236.48,255.6,287.89,317.64,331.96
CPV,115.7,117.67,119.62,122.44,127.52
CAF,120.34,123.26,125.28,129.94,133.63
TCD,109.79,111.83,114.59,115.81,118.5
CHL,193.59,200.88,226.93,269.38,282.59
CHN,124.73,126.05,123.27,122.9,123.65
COL,123.06,123.11,123.68,125.93,128.56
COM,125.68,126.34,126.02,126.82,130.66
COG,117.99,122.6,122.73,124.71,126.74
CRI,135.2,138.74,148.49,163.48,177.36
CIV,116.29,118.07,119.81,121.67,124.07
HRV,140.85,149.54,160.65,170.47,179.45
CUB,217.22,226.42,245.21,277.32,292.49
CYP,179.92,184.61,202.73,236.19,270.54
CZE,159.26,163.55,173.1,173.73,166.04
PRK,99.14,100.79,107.22,112.35,114.36
COD,111.42,111.25,111.18,113.02,116.11
DNK,228.65,241.64,273.92,298.74,297.34
DJI,125,127.13,129.84,132.68,135.45
