ISO,1990,1995,2000,2005,2010
AFG,6735.27,7233.03,7712.97,7397.5,6530.01
ALB,2055.61,2060.63,2132.97,2081.56,1845.83
DZA,2431.57,2163.21,1978.63,1821.06,1634.86
AND,809.18,740.34,643.42,569.77,532.31
AGO,2242.47,2226.13,2285.06,1983.31,1825.36
ATG,1828.2,1547.33,1129.33,949.53,860.45
ARG,1462.05,1199.26,980.03,824.99,746.24
ARM,1533.16,1634.59,1507.33,1329.7,1170.9
AUS,708.76,587.07,480.91,395.48,361.68
AUT,965.52,806.76,664.48,488.61,416.82
AZE,1942.4,1871.76,1698.71,1787.29,1577.16
BHS,1499.73,941.16,443.61,394.41,495.85
BHR,1489.94,1299.34,1042.08,782.89,601.79
BGD,1231.14,1626.07,1468.97,838.74,800.9
BRB,1282,1114.12,904.62,826.2,758.77
BLR,1981.47,2329.17,2275.61,2058.56,1740.31
BEL,884.86,715.09,629.85,534.37,492.46
BLZ,1383.39,1378.49,1339.54,1042.63,1004.88
BEN,1901.65,1604.45,1623.15,1566.06,1591.54
BTN,1270.18,1382.11,1265.26,1160.92,1036.11
BOL,1989.81,1850.64,1574.48,1364.51,1229.94
BIH,2882.24,2968.08,2371.91,2085.5,1839.85
BWA,1841.68,1811.75,1992.03,1528.09,979.29
BRA,1951,1772.69,1464.9,1263.4,1152.55
BRN,1522.2,1395,1114.77,1046.84,998.02
BGR,2846.96,2655.55,2437.9,2222.5,2062.41
BFA,1203.45,1119.96,1211.45,1441.88,1713.86
BDI,3721.47,3401.25,3044.41,3042.26,2961.53
KHM,2679.9,2595.05,2572.67,2377.87,2165.45
CMR,2056.93,1762.01,1748.86,1636.34,1632.85
CAN,619.2,577.29,513.31,459.54,429.17
CPV,1907.67,1697.65,1517.31,1368.76,1252.14
CAF,2819.47,2535.39,2193.95,2021.41,2045.06
TCD,1924.43,1636.13,1716.79,1647.73,1616.94
CHL,1269.31,998.78,835.46,719.48,614.28
CHN,2581.58,2436.25,2208.01,1919.89,1587.59
COL,1345.12,1235.31,1019.95,863.95,776.2
COM,3435.9,3014.01,2550.81,2491.23,2536.26
COG,2681.91,2816.37,2579.87,2384.72,2372.08
CRI,767.41,706.57,592.07,484.43,435.27
CIV,2010.7,1735.5,1781.68,1761.45,1813.81
HRV,2098.49,1853.18,1535.06,1292.95,1134.41
CUB,1278.92,1316.68,1176.2,1027.3,896.21
CYP,1047.14,988.9,881.67,670.4,581.02
CZE,1999.87,1654.23,1411.99,1098.08,876.76
PRK,2361.49,2268.61,2443.1,2400.81,2275.31
