ISO,1990,1995,2000,2005,2010
AFG,31.17,49.25,45.31,48.75,59.46
ALB,40.82,59.91,44.63,57.21,42.75
DZA,1.44,8.93,25.44,67.15,87.43
AND,,0,0,,
AGO,639.46,1418.99,2585.78,3955.6,3973.36
ATG,243.72,383.09,338.16,325.85,274.31
ARG,75.72,151.31,173.9,147.02,142.36
ARM,34.77,46.46,67.37,86.34,97.39
AUS,28.5,29.34,14.49,12.35,13.08
AUT,26.14,41.44,23.18,19.65,22.23
AZE,0.99,3.55,9.25,20.28,26.37
BHS,2810.65,5699.05,5533.35,4347.26,3769.77
BHR,50.9,78.65,129.4,164.14,194.31
BGD,,0.01,0.32,1.84,4.22
BRB,496.92,1008.17,688.65,398.62,408.19
BLR,41.61,83.25,116.4,127.72,74.26
BEL,49.81,63.67,31.29,28.58,28.93
BLZ,676.26,1351.71,2402.89,2788.5,2585.12
BEN,1984.83,2718.07,3708.7,3508.05,1803.22
BTN,0.45,1,4.97,41.67,141.4
BOL,33.28,70.16,111.59,145.22,141.97
BIH,26.74,40.7,28.63,32.87,35.96
BWA,6281.33,18339.2,36136.6,32131.3,12075.2
BRA,450.48,608.63,391.44,354.84,374.47
BRN,17.46,19.04,16.76,18.7,19.04
BGR,2.27,7.45,23.81,54.56,84.68
BFA,5319.58,6456.07,6209.64,4607.53,2479.63
BDI,5338.72,10824.6,13435.7,11871.2,8122.91
KHM,71.85,702.35,1881.81,2155.48,520.21
CMR,2015.62,5247.2,9027.59,11000.1,8773.89
CAN,46.62,62.11,33.99,29.78,32.55
CPV,1108.68,1390.83,1450.51,1381.49,1049.3
CAF,2688.31,6655.7,11237.3,15007.6,14839.2
TCD,1116.84,2819.57,5169.81,6518.11,4436.03
CHL,31.24,40.96,41.41,42.31,56.68
CHN,0.62,5.34,29.51,54.29,67.49
COL,76.1,318.64,623.98,604.44,524.66
COM,1.61,1.81,1.86,1.5,1.42
COG,5762.57,9845.18,10409,9867.51,6512.52
CRI,54.95,72.42,76.08,68.42,82.8
CIV,5396.68,10248.6,12939.4,12221,7078.67
HRV,2.02,7.68,10.93,14.71,14.62
CUB,44.41,54.36,48.2,26.86,79.78
CYP,45.24,81.85,44.45,38.97,33.05
CZE,1.5,4.99,6.04,5.13,4.39
PRK,0.08,4.29,13.14,20.97,24.81
COD,2698.35,3653.83,4267.55,4732.6,4702.01
DNK,33.22,46.13,17.09,16.38,16.79
DJI,392.76,2245.98,5816.79,7872.38,6813.45
DMA,692.89,738.68,512.62,350.01,259.66
DOM,256.57,1188.76,2056.91,2221.03,1075.48
ECU,18.1,45.29,104.07,174.58,170.04
EGY,1.29,3.1,6.32,9.91,13.13
SLV,159.7,303.55,442.02,440.53,397.29
GNQ,176.78,719.03,2345.01,5889.51,9325.43
ERI,234.37,895.63,2429.86,3301.1,2013.26
EST,7.61,37.4,165.05,540.37,544.44
ETH,730.68,2308.12,4466.2,5353.98,1931.76
FJI,4.34,9.82,21.65,49.7,74.14
FIN,13.49,23.26,12.67,11.75,12.65
FRA,96.22,149.36,59.67,44.34,37.85
GAB,1203.54,3640.56,7291.02,9822.79,8477.79
GMB,150.76,539.05,1369.38,2653.62,3455.69
GEO,3.15,13.7,31.22,63.31,89.55
DEU,23.46,39.93,19.84,15.74,14.89
GHA,2547.47,5067.69,5875.1,5826.76,4253.04
GRC,132.03,184.99,127.79,145.76,114.65
GRD,462.91,556.56,469.24,486.71,386.67
GTM,30.79,97.12,270.38,298.38,498.9
GIN,894.25,2029.2,3197.47,3533.49,2201
GNB,243.49,684.34,1543.86,2789.49,2320.12
GUY,283.96,2191.37,5274.5,5792.56,2724.45
HTI,1989.52,4244.26,5021.74,4514.23,1217.19
HND,296.54,685.8,968.91,661.96,541.42
HUN,140.47,124.83,68.85,49.97,48.18
ISL,19.03,60.06,66.15,71.25,51.01
IND,19.26,79.92,260.14,471.83,464.75
IDN,,0,0.02,27.52,145.14
IRN,4.32,8.89,18.32,32.6,30.03
IRQ,0.27,0.43,0.78,1.16,1.59
IRL,30.55,54.59,37.98,26.88,22
ISR,20.54,60.88,39.96,27.43,24.61
ITA,99.42,195.73,62.76,45.73,43.65
JAM,180.89,1009.69,2770.08,2980.49,1682.29
JPN,8.48,5.82,3.44,3.34,3.19
JOR,4.09,6.29,11.89,16.28,20.89
KAZ,0.09,7.2,47.28,117.69,166.32
KEN,1729.37,9137.49,15931.7,15717.7,8317.34
KIR,8.29,74.31,238.16,367.52,204.11
KWT,15.64,28.35,43.8,54.41,77.98
KGZ,7.99,45.97,142.77,363.11,692.39
LAO,0.31,9.87,54.68,179.44,223.2
LVA,12.1,41.23,129.77,344.8,457.76
LBN,44.88,69.47,111.63,140.65,181.38
LSO,680.15,6915.37,26757.3,48472.7,36250.7
LBR,595.84,1994.53,3431.43,4368.94,3458.05
LBY,17.84,28.55,43.54,55.22,76.17
LTU,5.33,14.19,32.29,58.05,61
LUX,43.6,43.76,25.14,27.42,25.99
MKD,70.61,101.35,68.6,78.86,57.96
MDG,383.72,757.96,1105.47,1234.72,1159.89
MWI,8312.53,17891.3,27981.7,32545,19531.5
MYS,119.3,269.2,346.28,316.84,294.57
MDV,24.18,35.17,36.82,28.62,20.39
MLI,972.97,2653.36,4209.39,4148.01,2639.5
MLT,35.54,34.38,24.99,21.67,18.23
MHL,,0,0,,
MRT,324.6,826.43,1406.72,1703.19,1678.94
MUS,177.98,360.75,544.33,688.07,689.78
MEX,98.25,150.11,177.58,189.64,83.97
FSM,,0,0,,
MNG,0.09,0.26,2.16,8.94,20.89
MNE,1.11,4.28,6.46,8.64,8.73
MAR,94.45,165.31,216.8,216.63,206.94
MOZ,93.69,2593.13,10516.2,19613,18719.4
MMR,1.93,106.65,505.13,1111.79,1148.51
NAM,1298.25,6671.08,20912.2,34044.8,12070.9
NPL,0.56,8.22,102.13,391.5,415.05
NLD,31.14,42.33,24.78,17.52,14.58
NZL,40.8,38.34,13.7,9.75,10
NIC,47.73,71.66,96.97,125.15,72.06
NER,653.89,1164.96,1597.53,1764.56,1390.54
NGA,335.1,2105.43,5314.1,7158.65,6466.57
NOR,26.94,31.81,15.6,14.8,14.06
OMN,22.21,36.23,18.02,14.49,18.19
PAK,4.54,11.66,20.48,36.33,62.45
PAN,244.65,1146.27,2026.31,1850.59,1019.86
PNG,54.16,496.42,1556.33,2376.42,1324.42
