ISO,1990,1995,2000,2005,2010
AFG,9620.12,9401.25,9683.24,8293.22,5384.56
ALB,3825.98,2604.38,1715.18,1211.23,937.04
DZA,1224,952.48,1022.58,821.62,584.2
AND,184.59,168.06,145.29,135.27,130.26
AGO,6222.55,5644.59,4369.64,2999.39,2406.62
ATG,829.84,721.01,469.1,412.4,352.24
ARG,723.97,637.65,576.45,585.33,600.38
ARM,2161.62,1807.76,1054.97,673.4,475.93
AUS,154.24,136.96,126.48,112.95,104.41
AUT,177.9,133.76,112.02,92.87,82.03
AZE,5579.04,6000.9,4402.12,3106.97,2014.68
BHS,1487.35,839.11,571.82,519.85,385.22
BHR,554.4,385.74,333.59,362.94,318.8
BGD,4680.35,3740.04,2477.61,2041.55,1539.07
BRB,883.78,510.92,558.49,748.31,632.37
BLR,554.66,474.67,359.51,263.34,207.7
BEL,223.19,202.76,212.13,191.39,183.45
BLZ,1483.43,1237.9,1212.63,933.78,864.22
BEN,7045.69,6005.78,5581.42,4052.31,3395.72
BTN,5184.61,3964.27,2977.87,2264.07,1712.08
BOL,4583.4,4624.1,3536.9,2914.54,2617.04
BIH,471.42,460.81,289.84,217.1,193.94
BWA,1719.87,1955.95,2222.77,1317.48,545.13
BRA,1688.81,1336.44,945.44,764.68,675.17
BRN,453.76,404.03,357.51,373.57,344.58
BGR,1066.15,902.46,817.44,611.21,563.11
BFA,7725.38,8509.61,7055.15,6644.14,6727.92
BDI,7445.78,6768.84,6424.12,5445.77,4434.3
KHM,5391.27,5408.66,5202.98,3295.86,2351.78
CMR,4697.91,5362.64,5207.86,4289.57,3704.06
CAN,213.14,198.89,157.48,133.69,137.3
CPV,1443.48,1293.52,943.65,766.97,651.48
CAF,5626.82,5864.9,5954.5,5669.57,5243.17
TCD,7237.73,7369.26,7612.4,6723.43,6225.34
CHL,1160.67,865.18,514.52,333.88,309.02
CHN,1895.51,1585.47,1062.11,603.67,397.62
COL,1146.55,1166.77,898.47,797.78,717.28
COM,5467.5,4510.14,3889.71,3569.64,3363.56
COG,3087.21,3636.01,3673.74,3044.21,2340.76
CRI,609.84,500.93,376.92,308.69,320.2
CIV,4657.56,4992.87,4007.2,4323.2,4251.25
HRV,278,266.92,222.42,179.68,131.9
CUB,667.87,692.08,644.92,551.63,454.04
CYP,415.39,422.78,288.35,178.43,143.41
CZE,339.77,281.35,240.57,222.05,205.82
PRK,2373.02,1878.99,1612.83,1404.63,1234.04
COD,5423.52,4825.51,4231.03,3559.1,3799.65
DNK,224.53,218.43,184.02,170.99,157.66
DJI,5264.58,5013.5,4283.53,3578.25,3010.68
DMA,1155.78,889.57,721.64,677.36,602.06
DOM,1198.13,1050.59,823.67,920.38,812.09
ECU,1904.72,1900.54,1959.01,1445.04,1163.33
EGY,4238.88,3220.56,2102.47,1566.41,1240.99
SLV,1371.35,1431.7,1386.16,956.14,852.72
GNQ,5713.85,5226.12,4347.8,2989.95,2536.32
ERI,6963.67,4949.9,4268.41,4109.31,3786.83
EST,328.15,379.39,316.64,188.66,105.22
ETH,11585.3,9502.83,8279.27,6803.75,5528.33
FJI,2165.71,2132.85,1797.1,1487.15,1368.94
FIN,313.47,285.5,229.43,140.82,100.3
FRA,178.85,168.96,149.85,119.2,115.13
GAB,2287.94,2202.17,2253.76,2359.41,1965.03
GMB,7514.28,6907.02,5510.6,4602.44,3878.61
GEO,2541.48,2374.03,1544.67,822.09,576.61
DEU,214.42,164.73,158.67,142.31,136.09
GHA,3970.14,3970.21,3854.82,2868.36,2210.51
GRC,206.24,183.07,214.05,234.76,230.81
GRD,2063.97,1272.62,1019.16,1000.31,789.27
GTM,5874.27,5032.18,4453.66,3536.71,2715.73
GIN,9989.91,8429.88,8044.16,5480.36,5459.06
GNB,7357.05,6450.13,6156.37,5258.95,4237.69
GUY,1719.33,1632.45,1426.36,1362.99,1058.68
HTI,4894.58,4775.82,3631.69,2967.14,2554.14
HND,1360.89,1470.1,1187.8,933.13,832.4
HUN,333.87,246.51,185.91,143.31,117.36
ISL,393.64,285.65,173.08,128.85,106.59
IND,4162.16,3891.23,3219.03,2491.95,2074.38
IDN,4507.47,3302.17,1967.76,1284.35,1011.78
IRN,971.15,699.9,524.31,480.96,426.39
IRQ,1730.28,1528.51,1400.67,1536.06,1620.77
IRL,447.97,420.89,425.31,306.09,232.25
ISR,298.27,187.43,164.38,145.32,133.86
ITA,161.42,123.24,105.54,80.43,78.88
JAM,868.51,687.45,645.97,507.3,423.93
JPN,370.15,352.71,304.05,260.67,235.83
JOR,1074.07,956.79,913.27,595.69,463.28
KAZ,2767.06,3377.44,2546.15,1561.41,1167.13
KEN,5511.45,4834.25,4861.99,3961.65,3176.4
KIR,3942.42,3114.8,2765.77,2419.15,1927.01
KWT,487.58,547.72,413.99,368.76,435.65
KGZ,5207.64,4353.77,3097.09,2637.19,2247.95
LAO,6936.6,5730.81,4765.85,4160.89,3194.15
LVA,310.78,386.46,308.82,272.37,183.43
LBN,1067.88,836.54,596.79,447.67,374.1
LSO,3875.43,3687.01,4076.08,5002.99,5173.68
LBR,7235.64,7321.29,6517.31,4784.16,5504.18
LBY,1159.56,544.46,656.35,584.29,587.88
LTU,264.02,284.25,278.09,266.99,203.21
LUX,159.64,137.11,148.8,140.66,127.93
MKD,959.49,533.59,273.78,229.04,179.45
MDG,5266.3,5199.61,3749.8,3179.32,2615.34
MWI,5986.47,6146.88,7434.21,5676.16,4815.56
MYS,1070.14,1038.18,996.07,965.38,980.11
MDV,2838.11,1497.4,1055.69,490.63,370.91
MLI,5254.05,4768.46,4545.95,2903.96,2549.97
MLT,230.84,245.19,276.48,243.27,198.73
MHL,2544.2,2133.42,2100.51,1832.09,1455.31
MRT,4559.45,4871,4896.09,4142.74,3320.56
MUS,837.1,750.12,569.35,423.35,354.9
MEX,1668.99,1280.08,833.18,638.5,556.18
FSM,3337.59,2204.25,1639.99,1385.39,1257.17
MNG,9078.54,6198.02,4532.64,3058.61,2468.37
MNE,261.62,248.62,258.83,210.84,165.09
MAR,2341.48,1960.94,1546.7,1204.26,1000.67
MOZ,7501.61,6351.49,4949.78,4064.8,3220.54
MMR,4779.85,3966.31,3659.46,3131.38,2354.41
NAM,2824.52,2447.13,2820.37,3011.55,1684.46
NPL,6963.39,5978.52,4101.39,3054.25,2529.56
NLD,186.73,210.32,229.86,200.27,171.48
NZL,297.92,212.39,139.04,118.8,111.38
NIC,2064.89,1564.6,1210.25,1054.28,887.12
NER,11195,10233.2,8851.16,6331.37,5858.84
NGA,6281.58,5879.79,5143.96,4263.52,3933.56
NOR,338.86,261.71,204.72,161.78,144.64
OMN,2131.56,1495.8,1188.96,935.54,706.68
PAK,3551.64,3302.69,2783.81,2621.45,2299.86
PAN,864.14,697.11,597.91,573.29,562
PNG,12322.7,11121.6,10045.8,9215.29,7515.51
PRY,1295.99,1137.03,1093.33,882.11,758.1
PER,4577.77,3616.79,2378.59,1926.75,1690.83
PHL,3874.1,2975.66,2590.15,2290.23,1989.6
POL,409.17,328.8,275.97,237.71,204.76
PRT,408.26,337.89,314.54,255.92,236.42
QAT,289.67,269.54,269.06,214.12,161.67
KOR,355.89,212.7,200.65,157.73,156.86
MDA,1283,1360.02,1223.79,818.43,605.59
ROU,2330.3,1803.92,1613.61,1263.41,833.32
RUS,760.8,734.85,664.62,584.38,425.39
RWA,7104.42,9917.72,7082.44,3625.16,2458.81
LCA,1215.41,723.28,593.48,629.89,544.06
VCT,1251.36,1216.89,931.39,790.89,666.27
WSM,1763.94,1475.87,1330.66,1185.85,985.15
STP,3707.22,3665.46,2745.4,1926.62,1525.26
SAU,833.84,733.35,616.17,529.37,465.86
SEN,5471.74,5287.17,4921.67,3632.79,3290.92
SRB,422.51,413.42,182.14,146.73,125.32
