ISO,1990,1995,2000,2005,2010
AFG,1589.55,1624.93,1102.79,625.65,359.84
ALB,0.6,0.38,0.25,0.16,0.17
DZA,0.04,0.04,0.04,0.04,0.03
AND,0.44,0.5,0.57,0.65,0.09
AGO,4052.61,5223.83,6534.21,8423.45,4444.88
ATG,0.16,0.16,0.15,0.14,0.09
ARG,2.03,0.95,0.45,0.21,0.11
ARM,2.96,1.55,0.6,0.28,0.04
AUS,0.66,1.27,2.43,4.69,0.16
AUT,0.22,0.33,0.49,0.75,0.04
AZE,3.87,1.97,0.72,0.33,0.16
BHS,0.28,0.26,0.25,0.23,0.17
BHR,0.07,0.07,0.07,0.06,0.06
BGD,699.11,536.7,384.89,298.83,209.67
BRB,0.24,0.24,0.24,0.24,0.13
BLR,0.96,1.31,1.79,2.46,0.04
BEL,0.49,0.43,0.39,0.34,0.04
BLZ,166.62,127.68,95.57,60.99,37.36
BEN,7924.75,8142.19,9465.2,10999.8,9032
BTN,897.81,718.26,444.7,264.98,137.97
BOL,119.73,79.91,41.36,27.39,16.71
BIH,0.47,0.29,0.18,0.12,0.18
BWA,360.44,554.44,1166.97,1397.16,601.72
BRA,43.75,21.16,11.33,8.52,6.01
BRN,0.16,0.1,0.06,0.04,0.03
BGR,0.54,0.34,0.22,0.14,0.15
BFA,9092.04,13102.6,15360.2,19320.5,15250.3
BDI,12100,14061.9,17973.1,14946.1,10119.6
KHM,3866.64,3822.96,2753.15,1466.55,896.68
CMR,5896.12,8163.93,11179.5,12048,7115.97
CAN,1.3,0.56,0.24,0.11,0.02
CPV,489.36,543.4,603.62,670.73,742.26
CAF,9152.49,11177.1,14360.3,17012.8,10679.4
TCD,4064.55,4563.96,5877.98,7386.65,5656.52
CHL,0.02,0.02,0.02,0.02,0.03
CHN,1.64,1.66,1.71,1.55,1.19
COL,37.49,33.31,23.63,17.54,9.82
COM,5216.52,6396.06,7748.93,6651.72,4035.84
COG,8016.33,10236.9,12769.6,11648.4,6393.61
CRI,1.4,0.71,0.33,0.16,0.08
CIV,7307.13,8658.71,9777.67,13800.5,10556.1
HRV,0.43,0.27,0.17,0.1,0.15
CUB,0.16,0.15,0.13,0.12,0.1
CYP,0.25,0.28,0.31,0.35,0.07
CZE,0.51,0.31,0.19,0.12,0.17
PRK,3.07,1.41,0.69,0.33,0.16
COD,8723.61,9628.87,11642.8,13427.2,8910.21
DNK,0.3,0.32,0.35,0.38,0.04
DJI,1087.76,1633.57,2463.19,2320.93,1766.52
DMA,0.16,0.15,0.13,0.12,0.12
DOM,16.63,14.17,10.64,11.13,8.2
ECU,56.37,49.78,35,16.87,10.22
EGY,1.89,1.65,0.05,0.04,0.03
SLV,3.82,1.68,0.7,0.34,0.16
GNQ,10874.7,13488.7,13284.6,7714.58,6959.5
ERI,2655.43,3458.46,4725.73,4352.91,3466.04
EST,1.14,1.32,1.54,1.79,0.05
ETH,4381.16,5175.21,4843.93,3003.53,2528.77
FJI,3.89,3.88,3.88,3.88,3.88
FIN,0.33,0.34,0.35,0.37,0.05
FRA,0.3,0.3,0.3,0.29,0.05
GAB,7106.2,7716.49,8679.82,9538.9,6037.24
GMB,5397.66,6279.64,6218.73,7838.16,7278
GEO,3,1.39,0.61,0.3,0.16
DEU,0.27,0.28,0.29,0.3,0.04
GHA,5617.88,5874.6,6320.74,8654.85,5850.76
GRC,0.29,0.3,0.32,0.33,0.05
GRD,0.16,0.14,0.13,0.11,0.11
GTM,152.15,88.77,42.77,27.43,16.79
GIN,9805.51,9925.43,12129.4,12973.6,9745.72
GNB,10991.8,10609.2,11207,13138,12192.2
GUY,318.99,349.53,307.05,234.56,137.88
HTI,1345.88,1068.86,963.9,773.17,515.79
HND,28.07,24.35,16.74,14.22,10.04
HUN,0.47,0.28,0.17,0.1,0.15
ISL,0.26,0.27,0.28,0.3,0.03
IND,757.4,650.39,519.9,484.85,244.11
IDN,1345.64,1121.47,902.26,783.46,461.09
IRN,2.78,2.43,1.72,1.07,0.53
IRQ,2.39,1.1,0.5,0.25,0.15
IRL,0.27,0.3,0.33,0.37,0.04
ISR,0.27,0.27,0.28,0.29,0.05
ITA,0.23,0.25,0.28,0.31,0.04
JAM,0.2,0.18,0.16,0.14,0.1
JPN,0.03,0.02,0.02,0.02,0.02
JOR,0.05,0.05,0.05,0.05,0.03
KAZ,0.03,0.03,0.03,0.02,0.03
KEN,5223.15,6489.19,6141.44,4064.34,3384.18
KIR,4.41,4.11,3.82,3.56,3.7
KWT,0.12,0.13,0.14,0.15,0.11
KGZ,3.96,2.12,0.91,0.48,0.22
LAO,2246.44,1954.45,1510.57,1115.35,755.74
LVA,0.89,1.13,1.44,1.85,0.04
LBN,0.06,0.05,0.05,0.05,0.03
LSO,0.67,0.62,0.57,0.53,0.48
LBR,7645.24,9074.71,10783.1,11396.1,9833.15
LBY,3.51,2.29,2.47,2.33,0.03
LTU,0.99,1.21,1.48,1.82,0.04
LUX,0.32,0.56,0.98,1.73,0.32
MKD,0.46,0.27,0.16,0.1,0.14
MDG,3534.65,3276.11,3611.1,5086.79,4772.25
MWI,10246,11090.4,7794.11,7661.02,5779.01
MYS,62.61,58.47,61.32,74.7,72.77
MDV,1.13,1.1,1.08,1.05,1.08
MLI,11233.5,12414,14506.8,15829.7,12313
MLT,0.29,0.29,0.3,0.3,0.05
MHL,4.52,4.6,4.68,4.77,3.86
MRT,1492.28,1873.75,2843.2,3974.49,2680.7
MUS,39.59,24.87,1.4,1.24,0.98
MEX,2.56,1.08,0.46,0.22,0.13
FSM,3.43,3.76,4.12,4.52,5.5
MNG,0.02,0.02,0.02,0.02,0.03
MNE,0.56,0.32,0.19,0.11,0.14
MAR,356.24,275.44,198.11,154.16,0.04
MOZ,15675,16302.9,18452.3,16035.5,12050.3
MMR,6957.74,6318.15,5527.81,4995.53,3459.38
NAM,810.1,908.07,1429.4,2261.3,1336.44
NPL,537.07,443.99,293.6,224.43,146.36
NLD,0.3,0.32,0.33,0.35,0.06
NZL,0.75,1.3,2.26,3.94,0.17
NIC,74.37,58.16,30.47,20.44,15.4
NER,4678.06,4893.38,5914.02,7649.5,7375.47
NGA,8955.65,11065.2,11455.4,12443.1,10492.9
NOR,0.31,0.35,0.38,0.42,0.05
OMN,3.18,2,1.57,0.1,0.09
PAK,352.62,331.78,269.61,205.51,150.94
PAN,20.15,18.97,16.3,15.59,13.01
PNG,5289.48,5224.21,4093.07,3554.56,2294.77
PRY,1.79,0.86,0.44,0.23,0.13
PER,15.44,16.73,8.62,5.43,4.19
PHL,134.24,112.66,84.78,77.31,70.89
POL,0.57,0.32,0.18,0.1,0.14
PRT,0.33,0.35,0.37,0.39,0.05
QAT,0.93,1.06,1.22,1.39,12.7
KOR,2.33,0.97,0.38,0.15,0.08
MDA,1.13,1.26,1.42,1.6,0.05
ROU,0.42,0.25,0.16,0.1,0.14
RUS,1.08,1.31,1.59,1.94,0.04
RWA,7697.33,11252.6,11468,8963.04,5219.89
LCA,0.16,0.15,0.14,0.14,0.11
VCT,0.17,0.14,0.12,0.11,0.1
WSM,3.95,3.94,3.92,3.91,4.8
STP,5340.43,5105.67,5389.33,5151.32,4446.69
SAU,5.4,4.74,3.99,3.61,3
SEN,6080.73,8195.3,9350.37,10613.9,5550.57
SRB,0.54,0.32,0.19,0.11,0.21
SYC,1.39,1.35,1.31,1.28,1.52
SLE,11527.3,12973.8,15852.9,16934.9,9160.58
SGP,0.04,0.03,0.03,0.03,0.03
SVK,0.53,0.31,0.18,0.11,0.14
SVN,0.63,0.35,0.2,0.11,0.15
SLB,3504.68,3036.98,2225.19,1762.14,1509.03
SOM,7122.26,8596.09,9390.71,9649.57,6546.43
ZAF,59.79,87.83,162.96,141.65,56.44
ESP,0.25,0.28,0.32,0.36,0.04
LKA,18.35,32.28,27.2,17.31,13.05
SDN,2869.08,3381.53,4161.78,3560.78,2030.22
SUR,140.98,246.28,177.52,63.89,28.16
SWZ,2544.49,3336.87,4085.65,2761.89,2005.32
SWE,0.26,0.28,0.3,0.33,0.05
CHE,0.3,0.32,0.35,0.38,0.05
SYR,12.21,8.04,5.57,4.18,0.03
TJK,31.13,37.32,24.3,13.84,11.02
TZA,11449.1,10962.4,11261.5,6703.73,5105
THA,327,256.58,127.41,74.24,52.98
TLS,3580.79,3094.34,2850.53,1978.6,1521.05
TGO,7019.27,6928.79,7001,8484.4,8203.38
TON,4.05,3.98,3.91,3.84,4.69
TTO,0.16,0.15,0.14,0.14,0.16
TUN,0.05,0.05,0.04,0.04,0.03
TUR,3.54,1.54,0.62,0.27,0.13
TKM,5.01,2.37,0.99,0.4,0.03
UGA,6462.62,8491.18,11074.8,11228.4,5805.82
UKR,1.04,1.46,2.05,2.89,0.04
ARE,1.78,1.5,0.29,0.24,0.17
GBR,0.23,0.26,0.3,0.34,0.04
USA,1.26,0.5,0.2,0.08,0.02
URY,0.02,0.02,0.02,0.03,0.03
UZB,3.53,1.82,0.83,0.38,0.19
VUT,612.39,511.89,410.38,395.19,257.49
VEN,13.95,12.45,8.03,7.18,4.21
VNM,1242.35,1091.66,618.76,120.27,103.44
YEM,1022.62,1210.32,1687.59,2177.72,1130.83
ZMB,10787.1,12389.4,16098.1,11947.9,7358.92
ZWE,1168.59,1618.5,2997.17,3964.36,2609.05
HIA,209.747,259.952,256.028,148.992,134.212
LIA,6149.19,6878.32,7681.55,7802.89,5790.04
LMA,1925.71,2183.87,2452.26,2457.28,1648.98
UMA,257.302,296.289,357.294,425.879,245.083
HIM,0.3,0.31,0.3,0.3,0.05
LIM,6462.62,6489.19,7001,7649.5,5656.52
LMM,356.24,349.53,307.05,205.51,137.88
UMM,2.39,1.35,0.99,0.4,0.17
HWW,,5.78771,6.37767,4.4125,4.00703
LIW,,5376.65,5815.17,5567.6,4130.13
LMW,,1535.58,1557.71,1654.06,1226.54
UMW,,49.8938,59.8454,79.1783,48.0289
WLD,,1314.18,1484.05,1568.78,1230.86
EAS,,371.02,305.31,248.63,165.63
ECS,,2.01,1.61,1.44,0.33
LCN,,35.42,26.36,20.19,13.43
MEA,,108.72,134.96,161.12,86.82
SAS,,620.82,490.84,437.72,232.89
SSF,,7932.66,8842.96,9027.75,6730.89
# Series: MTRMLRMA,,,,,
"# Name: DALYs per 100,000, Malaria, male",,,,,
"# Definition: The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death",,,,,
# Source: Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,
