ISO,1990,1995,2000,2005,2010
AFG,47473.5,49439.5,51125.2,49251.9,45272
ALB,18685.3,18495.8,18904.3,18938.3,18368
DZA,22672.8,21785.9,21352.7,20674.1,19871.8
AND,16634.2,16339.6,15794,15389.6,15339.2
AGO,25347,24617.9,23807.1,21894,21493.2
ATG,21344.6,21361.1,19874.2,19334.9,19418.5
ARG,19340.2,18397.7,17790.3,17115.6,17108.6
ARM,20667.9,21498.7,20905.7,19516.8,18411.2
AUS,17161,16346.3,15529.9,14821.4,14665.5
AUT,17909.2,17167.5,16383.2,15585.3,15369.2
AZE,22631.7,23094.5,21691.3,21243.4,19564
BHS,23282.2,19279.4,16262,15425.5,15768.8
BHR,26840.8,25599.7,23609.1,22097.4,20056.3
BGD,26946.8,25071.2,23294.5,22287.6,22157.2
BRB,22291.2,20768,19902.2,19876.5,19206.4
BLR,21483.5,22791.9,22663.1,21857.8,20419.6
BEL,17713,16966.8,16361.7,15662.9,15466.3
BLZ,20658.7,20955.9,21803.9,20258.4,20805.2
BEN,21631.9,20943.6,20950.8,20048.4,19702.1
BTN,25144.9,23534.9,22049.5,21086.7,20295.4
BOL,25188.4,24979,23641.3,22434.2,21129.8
BIH,21752.4,21926.4,19561.1,18190.7,17280.3
BWA,19823.1,19718.7,21307.7,19131.3,16700.3
BRA,20953.9,20716.3,19936.8,19130.2,18538
BRN,20518.2,19720.3,18595.3,18203.2,17535.2
BGR,20940.2,20915.4,20689.9,19656.6,19160.8
BFA,22115.8,22001.6,21731,21518.4,22215.2
BDI,27463,26727.4,26156.1,26346.3,25929.2
KHM,26544.8,26400.2,25806.3,23649.2,22371.4
CMR,23256.9,22650.9,22498.5,21618.6,21980.4
CAN,17138.4,16803,16257.2,15858.6,15867.5
CPV,18538.7,18068.8,17476.2,17128.5,16263.4
CAF,27603.2,26599.9,24714.3,23665,24170
TCD,22755.1,21963.4,22434.3,21699.2,21610.3
CHL,19150.9,17742,16805.2,16217.2,15560.4
CHN,20480.1,19108.1,17676.1,16167.8,14739.9
COL,20324.7,19921.4,18910.9,18258.7,17665.4
COM,26243,24958.8,23550.6,23490.6,24010.5
COG,24974.5,26353.1,25106.4,23902.6,23942.6
CRI,18425.8,18240.1,17488.1,16511.4,15998.8
CIV,21882.2,21363.6,21460.2,21182.2,21552.1
HRV,21191.7,20091.6,18754.8,17665.2,17143.1
CUB,19406.2,19329.9,18485.1,17779.9,17128.2
CYP,17851,17701.5,17226.5,16853.7,16174.2
CZE,20655.2,18982.5,17639.9,16559.7,15725.5
PRK,21726.1,21276.9,21287.8,20780.5,20074.3
COD,24127.9,23548,22910.8,22800.3,23703.1
DNK,19150.8,18995.2,18238.7,17239.4,16966.8
DJI,23551.7,23237.3,22923,23027.6,22745.8
DMA,23728.7,22352,20841.9,20043.8,19308
DOM,20758.5,19386.6,17874.2,17770.9,17931.7
ECU,18893.6,18382.7,18106.6,17196.1,16165.3
EGY,27875.4,25694.6,24540.5,24193.6,23662.8
SLV,19939.7,19293.5,18812.5,18392,18102
GNQ,25900.6,25255.6,23982.4,22600.5,22859
ERI,27187.7,25306.4,24102.7,23875.3,24372.3
EST,21118,21613,20353,18529.9,16029.9
ETH,24583,23211.5,21392.6,21076.8,20446.2
FJI,27300.2,28620.2,28839.5,28149.9,28067.7
FIN,17633.7,16709.2,16206.3,15687.9,15363.6
FRA,16553.9,15945.9,15733.9,15237.8,14997.8
GAB,22859.4,22867.7,22349.2,22502.5,22467.1
GMB,25218.1,24181.6,23766,22722.6,21404.7
GEO,19995,19291.4,18205.5,18538.3,18187.5
DEU,18645.7,17608.5,16753.4,15791.8,15443.8
GHA,22905.7,22847.4,22849.3,21899.3,20990.2
GRC,17527.4,16792.9,16416,15708.1,15147.1
GRD,25017.1,23401.5,22715.2,24062.8,23437.2
GTM,19837,19879.3,19643.9,19457.9,19165
GIN,25192.3,23869.8,23481.1,22350.1,22715.9
GNB,25125.3,24107.2,24227.1,24540.1,23788.9
GUY,27655.1,26737.3,24110.1,25142.8,25695.4
HTI,33256.1,32358.7,31014.2,30164.8,29699.8
HND,23201.5,23430,23222.7,22660.5,22254.1
HUN,22972.3,22173.6,20884.8,19851.7,18820.4
ISL,17064.1,16442.4,15914.6,15330.4,14639.8
IND,25935.2,25284.1,24046.7,22354.2,21604.9
IDN,21950.6,21241.3,21281.3,21001,20330.7
IRN,24549.6,23928.4,22844.4,20973.1,19802.2
IRQ,23572.3,24109.4,23504.7,23529.9,23359.2
IRL,19040.8,18209.5,17723.3,16380.6,15923.8
ISR,18331.9,17389.4,16463.4,15541.9,14852.2
ITA,17069.4,16468.1,15739.9,15041.2,14740.4
JAM,21774.9,20563.7,19703.4,18242.5,18252.7
JPN,13809.2,13299.8,12647.5,12133.6,11830
JOR,24287.1,23855.7,23973.9,23934.3,22886.7
KAZ,23334.9,26943,26559.2,25737,23198.3
KEN,18393.3,17991.1,17657.6,17252.1,16681.1
KIR,34438.4,33738.1,33210.1,32654.4,32625.7
KWT,18420.3,19287.5,18487.6,17821.3,18640.7
KGZ,23705.1,25928.8,24316.7,24367.4,22757.1
LAO,28598.4,27658.3,26595.6,25518.8,24087.9
LVA,21817.9,23376.4,20819.6,20434.9,18257.9
LBN,20394,20016.7,18786.7,17852.8,17062.8
LSO,23795.9,23636.5,25943.7,28143.9,25634.9
LBR,25049.3,25666.1,25233.4,23612.4,24155.8
LBY,23534.7,22252.4,22622.4,22240.3,21997.9
LTU,20461.9,21358.6,19335.2,19268.7,17275.7
LUX,18487.7,17785.4,17245.1,16721.4,16523
MKD,22959.3,22271.2,21137.3,20387.2,19759.9
MDG,26372.7,26167.4,24778.6,23842.9,23355
MWI,28019.2,29110.1,29899.1,27531.1,25262.9
MYS,20771.6,19691.6,18837.9,17690.5,17709.3
MDV,28533.6,23283.7,20353.7,16554.6,15567.2
MLI,28086.5,27700.9,27336.8,25545.8,25505.2
MLT,18306.3,17411.2,17081,16665.6,15998.9
MHL,27402.7,30221.3,32682.8,33811.7,33306.1
MRT,23911.3,23051.3,22916.7,22443.5,22352.6
MUS,22226.2,21501.6,20919.2,19878,18872
MEX,18382.2,18094.8,17656.4,17309.8,17174
FSM,29738.5,30100,29911.2,29490,28927.5
