ISO,1990,1995,2000,2005,2010
AFG,1135.61,1168.1,1298.71,1347.21,1260.26
ALB,336.65,306.82,285.88,262.17,254.22
DZA,1577.42,1404.12,1501.09,1379.65,1187.34
AND,277.55,227.35,178.48,169.98,125.5
AGO,1054.19,1046.39,1001.72,940.67,958.99
ATG,1402.11,1471.84,1134.42,1017.69,662.76
ARG,1080.1,926.33,784.9,659.28,601.77
ARM,744.42,753.12,604.47,493.88,379.85
AUS,383.18,295.07,251.69,231.99,212.86
AUT,444.27,354.92,298.85,278.77,261.27
AZE,994.23,1056.06,1071.74,1062.29,956.33
BHS,1994.69,1305.21,942.55,1295.93,946.8
BHR,979.51,791.7,497.05,476.33,394.28
BGD,3139.8,2820.84,2402.97,2029.48,1653.79
BRB,1376.37,960.81,843.54,1060.74,789.71
BLR,453.72,431.15,376.87,315.04,250.87
BEL,361.65,272.9,229.33,193.22,183.67
BLZ,828.11,736.86,696.45,607.02,541.21
BEN,1314.82,1256.53,1228.61,1106.97,1061.15
BTN,1981.87,1789.08,1619.88,1461.83,1287.84
BOL,1212.55,1172.16,1095.15,1006.78,952.51
BIH,739.76,733.6,451.41,367.03,367.69
BWA,869.61,972.7,1013.86,791.88,512.84
BRA,1506.06,1299.03,1080.47,889.43,735.99
BRN,273.52,258.01,245.61,238.61,209.17
BGR,340.32,315.33,338.3,301.43,288.67
BFA,1078.68,1051.2,1002.44,991.18,992.73
BDI,1096.87,1042.4,1006.05,980.68,900.05
KHM,1262.42,1335.51,1370.7,1208.75,1093.47
CMR,1100.93,1148.69,1159.58,1095.28,1080.65
CAN,336.69,298.74,258.48,253.9,245.69
CPV,747.55,700.39,597.07,544.66,476.88
CAF,1344.88,1332.2,1297.96,1284.08,1264.46
TCD,1170.48,1201.59,1205.94,1180.26,1169.71
CHL,562.72,395.32,347.29,308.72,320.53
CHN,599.48,580.37,513.43,400.77,271.05
COL,715.45,705.53,631.9,595.6,541.6
COM,1405.23,1285.09,1187.09,1135.38,1092.58
COG,1228.16,1258.85,1302.74,1270.65,1192.73
CRI,638.05,524.63,429.21,344.65,344.16
CIV,1339.11,1432.36,1285.14,1340.93,1369.94
HRV,447.24,409.7,353.85,288.41,235.86
CUB,312.31,241.68,199.69,180.46,179.1
CYP,283.9,247.26,209.18,188.99,178.29
CZE,484.15,373.21,240.98,198.11,173.38
PRK,724.13,681.74,633.98,583.3,550.49
COD,1325.97,1235.31,1154.43,1144.14,1221.92
DNK,208.06,225.68,222,210.06,166.43
DJI,1219.02,1166.76,1062.7,982.52,956.87
DMA,1854.49,1568.96,1398.8,1249.87,1254.1
DOM,1655.09,1493.02,1291.33,1317.56,1177.41
ECU,738.8,733.27,718.34,618.34,517.04
EGY,948.91,832.33,715.03,626.19,561.55
SLV,1279.59,1115.91,878.15,615.61,445.25
GNQ,1194.51,1182.26,1403.94,1365.59,1349.6
ERI,856.21,816.55,874.03,849.22,816.19
EST,308.93,279.84,264.35,199.35,153.06
ETH,1465.44,1421.83,1408.17,1243.58,1189.2
FJI,1169.42,1177.92,1147.02,1135.04,1126.79
FIN,184.02,180.73,156.4,149.92,125.32
FRA,285.56,205.82,181.51,148.36,144.7
GAB,1382.65,1328.65,1285.71,1313.2,1232.03
GMB,996.42,1023.7,1015.64,1009.41,957.86
GEO,589.44,664.32,577.56,481.13,440.98
DEU,390.34,307.81,272.01,244.79,217.48
GHA,1130.08,1136.11,1086.48,982.79,872.04
GRC,570.75,482.3,379.72,281.35,231.62
GRD,1071.87,781.01,771.29,698.96,487.21
GTM,1204.32,1084.27,983.13,863.37,704.98
GIN,1231.15,1209.1,1240.38,1079.06,1096.41
GNB,1423.21,1429.28,1382.04,1369.46,1270.59
GUY,1652.66,1454.6,1320.97,1382.36,1177.03
HTI,1128.41,1104.15,1011.24,953.48,896.14
HND,1062.05,1003.13,935.89,786.99,712.72
HUN,1073.53,804.9,679.34,518.43,391.21
ISL,264.39,227.34,162.47,134.5,130.49
IND,2496.17,2388.12,2115.56,1875.27,1757.67
IDN,723.45,794.82,849.51,807.53,718.79
IRN,806.67,738.56,738.83,778.14,710.38
IRQ,1170.81,1086.04,1097.63,1188.4,1246.15
IRL,369.42,300.98,281.61,210.1,194.72
ISR,545.16,437.1,370.96,304.13,264.08
ITA,473.92,379.22,291.47,227.11,219.43
JAM,777.15,692.57,649,586.45,494.71
JPN,155.41,144.89,122.87,106.55,95.99
JOR,988.72,968.53,915.44,732.61,546.2
KAZ,850.47,942.67,855.54,783.57,770.09
KEN,904.94,967.58,963.87,839.32,785.38
KIR,1054,1023.26,682.61,599.43,559.49
KWT,522.25,502.16,481.07,476.41,516.66
KGZ,1096.23,1082.76,1088.26,1141.28,1134.08
LAO,1239.57,1238.47,1193.43,1163.94,1108.36
LVA,415.34,474.11,344.63,258.7,192.79
LBN,905.77,847.6,739.18,572.67,463.17
LSO,1122.39,1167.04,1228.56,1310.17,1433.97
LBR,1634.71,1525.44,1416.81,1202.26,1325.13
LBY,874.13,605.68,721.1,652.75,739.19
LTU,318.07,320.35,253.08,218.6,165.9
LUX,159.16,132.22,154.15,127.42,118.2
MKD,1302.48,1076.83,721.56,632.53,497.96
MDG,1315.73,1188.31,1084.35,1043.39,985.87
MWI,1114.16,1027.48,974.84,870.21,847.83
MYS,353.75,285.65,210.94,180.76,203.17
MDV,1032.03,781.31,758.24,628.81,495.43
MLI,1569.55,1596.63,1603.7,1414.69,1355.95
MLT,457.32,402.2,307.66,287.86,285.17
MHL,923.33,894.6,883.27,864.2,815.96
MRT,1174.69,1213.17,1238.29,1187.27,1101.3
MUS,1074.44,1061.46,877.72,736.77,639.96
MEX,828.61,741.81,636.48,517.53,432.28
FSM,977.94,787.48,535.01,390.44,413.6
MNG,1158.06,1042.59,909.08,828.57,751.26
MNE,638.9,561.38,561.45,437.12,361.97
MAR,1512.93,1427.69,1354.83,1326.8,1195.59
MOZ,1423.96,1346.99,1247.71,1172.47,1098.93
MMR,1019.6,1009.04,1028,1014.71,873.56
NAM,962.93,908.9,952.6,990.27,842.13
NPL,1156.45,1036.69,912.31,806.74,748.2
NLD,293.34,240,224.2,196.77,169.49
NZL,394.91,306.86,282.85,247.52,231.23
NIC,1115.12,944.19,821.55,718.66,622.87
NER,1086.3,1063.94,973.9,819.27,845.66
NGA,1206.3,1342.56,1243.85,1147.81,1128.75
NOR,209.04,140.37,125.41,112.11,99.55
OMN,695.33,662.27,590.04,464.05,360.23
PAK,1729.34,1756.02,1652.19,1633.34,1583.49
PAN,676.29,629.89,586.44,522.49,443.82
PNG,928.78,896.93,817.02,767.97,720.85
PRY,785.68,716.02,763.3,720.75,620.47
PER,1102.23,962.69,748.67,631.03,547.55
PHL,873.19,934.48,928.99,867.7,794.72
POL,743.86,608.95,408,348.23,292.36
PRT,464.25,301.57,248.08,172.5,134.28
QAT,655.14,568.15,499.7,418.12,333.45
KOR,139.93,137.35,205.9,187.9,151.79
MDA,383.04,359.8,280.98,206.73,195.6
ROU,503.27,464.94,422.49,356.83,214.02
