ISO,2010,2012,2014
ALB,yes,yes,yes
DZA,yes,yes,yes
AGO,yes,yes,yes
ARG,yes,yes,yes
ARM,yes,yes,yes
AUS,yes,yes,yes
AUT,yes,yes,yes
AZE,yes,yes,yes
BGD,yes,yes,yes
BLR,yes,yes,yes
BEL,yes,yes,yes
BEN,yes,yes,yes
BOL,yes,yes,yes
BIH,yes,yes,yes
BWA,yes,yes,yes
BRA,yes,yes,yes
BGR,yes,yes,yes
BFA,yes,yes,yes
BDI,yes,yes,yes
KHM,yes,yes,yes
CMR,yes,yes,yes
CAN,yes,yes,yes
TCD,yes,yes,yes
CHL,yes,yes,yes
CHN,yes,yes,yes
COL,yes,yes,yes
COG,yes,yes,yes
CRI,yes,yes,yes
CIV,yes,yes,yes
HRV,yes,yes,yes
CZE,yes,yes,yes
DNK,yes,yes,yes
DOM,yes,yes,yes
ECU,yes,yes,yes
EGY,yes,yes,yes
SLV,yes,yes,yes
EST,yes,yes,yes
ETH,yes,yes,yes
FJI,yes,yes,yes
FIN,yes,yes,yes
FRA,yes,yes,yes
GAB,yes,yes,yes
GEO,yes,yes,yes
DEU,yes,yes,yes
GHA,yes,yes,yes
GRC,yes,yes,yes
GTM,yes,yes,yes
GIN,yes,yes,yes
HTI,,,yes
HND,yes,yes,yes
HUN,yes,yes,yes
ISL,yes,yes,yes
IND,yes,yes,yes
IDN,yes,yes,yes
IRN,yes,yes,yes
IRL,yes,yes,yes
ISR,yes,yes,yes
ITA,yes,yes,yes
JAM,yes,yes,yes
JPN,yes,yes,yes
JOR,yes,yes,yes
KAZ,yes,yes,yes
KEN,yes,yes,yes
KSV,yes,yes,yes
KWT,yes,yes,yes
KGZ,yes,yes,yes
LAO,yes,yes,yes
LVA,yes,yes,yes
LBN,yes,yes,yes
LSO,yes,yes,yes
LBR,yes,yes,yes
LTU,yes,yes,yes
MKD,yes,yes,yes
MDG,yes,yes,yes
MWI,yes,yes,yes
MYS,yes,yes,yes
MLI,yes,yes,yes
MRT,yes,yes,yes
MUS,yes,yes,yes
MEX,yes,yes,yes
MNG,yes,yes,yes
MNE,yes,yes,yes
MAR,yes,yes,yes
MOZ,yes,yes,yes
NAM,yes,yes,yes
NPL,yes,yes,yes
NLD,yes,yes,yes
NZL,yes,yes,yes
NIC,yes,yes,yes
NER,yes,yes,
NGA,yes,yes,yes
NOR,yes,yes,yes
OMN,yes,yes,yes
PAK,yes,yes,yes
PAN,yes,yes,yes
PNG,yes,yes,yes
PRY,yes,yes,yes
PER,yes,yes,yes
PHL,yes,yes,yes
POL,yes,yes,yes
PRT,yes,yes,yes
KOR,yes,yes,yes
MDA,yes,yes,yes
RUS,yes,yes,yes
RWA,yes,yes,yes
SAU,yes,yes,yes
SEN,yes,yes,yes
SRB,yes,yes,yes
SLE,,yes,yes
SGP,yes,yes,yes
SVK,yes,yes,yes
SVN,yes,yes,yes
ZAF,yes,yes,yes
ESP,yes,yes,yes
LKA,yes,yes,yes
SDN,yes,yes,yes
SWE,yes,yes,yes
CHE,yes,yes,yes
SYR,yes,yes,yes
TJK,yes,yes,yes
TZA,yes,yes,yes
THA,yes,yes,yes
TGO,yes,yes,yes
TUN,yes,yes,yes
TUR,yes,yes,yes
UGA,yes,yes,yes
UKR,yes,yes,yes
ARE,yes,yes,yes
GBR,yes,yes,yes
USA,yes,yes,yes
URY,yes,yes,yes
UZB,yes,yes,yes
VEN,yes,yes,yes
VNM,yes,yes,yes
YEM,yes,yes,yes
ZMB,yes,yes,yes
ZWE,yes,yes,yes
# Series: MUEORWBL,,,
# Name: Do unmarried men and unmarried women have equal ownership rights to property? (Female),,,
"# Definition: This question is designed to determine whether there are gender-based differences over property for unmarried men and unmarried women. Ownership rights as used here include the ability to manage, control, administer, access, encumber, receive, dispose of and transfer property;The answer is “Yes” when no specific legal restriction is applied to single women or men, based on gender, with regard to property;The answer is “No” when legal restrictions are applied to single women or men, based on gender, with regard to property.",,,
"# Source: World Bank, Women Business and the Law",,,
# Data from the No Ceilings project: http://noceilings.org,,,
"# For more about the data, please visit http://noceilings.org/data",,,
