ISO,2013
AFG,yes
ALB,yes
DZA,yes
AGO,yes
ARG,yes
ARM,yes
AUS,no
AUT,no
BGD,no
BEL,yes
BOL,yes
BIH,yes
BWA,no
BRA,yes
BFA,yes
BDI,yes
CMR,no
CAN,no
CPV,yes
CHL,no
CHN,yes
COL,yes
COG,yes
CRI,yes
CIV,no
HRV,no
CYP,no
CZE,no
COD,yes
DNK,no
DJI,yes
DOM,yes
ECU,yes
EGY,yes
SLV,yes
ERI,yes
FRA,yes
GEO,no
DEU,no
GHA,no
GRC,yes
GTM,no
GIN,yes
GUY,yes
HTI,no
HND,yes
HUN,no
ISL,no
IND,no
IDN,yes
IRQ,yes
IRL,yes
ISR,no
ITA,no
JOR,yes
KAZ,no
KEN,no
KGZ,yes
LBN,no
LSO,yes
LBR,no
LBY,yes
LTU,no
LUX,no
MKD,yes
MWI,no
MLI,no
MLT,no
MRT,yes
MEX,yes
MNG,yes
MNE,yes
MAR,yes
MOZ,no
NAM,no
NPL,yes
NLD,no
NIC,yes
NER,yes
NOR,no
PAK,no
PAN,yes
PRY,yes
PER,yes
PHL,no
POL,yes
PRT,yes
KOR,yes
MDA,no
ROU,no
RWA,yes
SEN,yes
SRB,yes
SLE,no
SVK,no
SVN,yes
SOM,no
ZAF,no
SSD,yes
ESP,yes
LKA,no
SDN,yes
SWE,no
CHE,no
TZA,yes
THA,no
TLS,yes
TGO,yes
TTO,no
TUN,yes
TUR,no
UGA,yes
GBR,no
URY,yes
UZB,yes
VEN,no
ZWE,no
# Series: NATNQUOT,
"# Name: National (Single or lower house of parliament) legislated quotas for women in public office, quota level",
# Definition: National (single or lower house of parliament) legislated quotas for women in public office.,
# Source: The Quota Project,
# Data from the No Ceilings project: http://noceilings.org,
"# For more about the data, please visit http://noceilings.org/data",
