ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,39.883,,41.3657,,42.7771,41.055,43.8685,45.0948,46.572,51.155,55.4292,57.4471,59.8829,63.6605,
DZA,,2.42272,2.74048,3.41639,,3.97113,4.71721,6.12819,24.7894,,33.7161,73.8905,77.8546,71.3728,,
AGO,,,,,,,,,,,79.7513,71.293,62.2874,52.3529,,
ATG,,,,,,,,,,69.7495,72.8646,,,64.5975,75.2055,
ARG,55.2515,55.5656,59.2393,59.861,60.743,61.327,63.2613,65.2024,66.1783,68.1681,70.9547,72.7987,73.8442,73.3689,,
AUS,,,,50.895,49.0478,61.9002,62.951,59.8212,60.8326,49.8636,51.1407,50.6466,51.4366,,,
AZE,,14.313,14.8179,16.2466,17.6285,19.091,19.9314,21.1349,21.6074,20.9551,20.0878,19.9254,21.8773,22.9494,21.0835,
BHS,,11.069,,,24.3587,,,,,,,,,,,
BHR,,34.1155,32.9864,33.2304,34.3878,35.479,38.4043,36.1841,34.9953,,42.1639,46.8931,48.2827,48.3963,48.7944,
BGD,,,,,,10.5636,9.99518,,,,,11.0308,13.0533,23.7796,,
BRB,,65.3913,59.6319,57.7548,68.5087,70.4309,73.6604,79.3959,77.7596,77.8085,76.354,70.6626,72.1348,71.3485,,
BLR,,78.7605,81.2638,,83.0146,84.1991,86.9879,91.3731,93.0884,92.3598,90.9475,90.3042,91.1263,94.1978,97.0872,
BEL,,95.4413,95.1154,96.8285,98.4682,99.6515,99.6173,99.5562,99.6529,99.4688,99.0762,98.6813,99.2038,99.3313,99.3643,
BLZ,,26.193,27.5651,25.7913,,25.2477,25.8222,28.9005,30.805,31.8758,37.1095,38.701,41.0256,43.3787,45.106,
BEN,,2.81445,4.246,,,3.10595,2.84824,3.4541,,,,,,9.30345,9.75868,
BTN,0.99618,0.85604,1.003,,,,,,,,,,,,,
BOL,31.2603,31.7066,34.5741,35.222,36.5149,37.9381,39.6529,,40.0922,38.5073,32.4455,39.3405,41.1114,46.793,,
BIH,,,,,,,,,,,,,10.2586,10.7678,11.6966,
BWA,,,,,,,,10.9406,11.8355,12.4192,15.0565,14.5395,,,,
BRN,,,,,,,,70.7172,66.0035,62.09,60.8143,64.1214,63.8719,65.0558,63.4623,
BGR,,65.7374,67.0791,66.8761,68.376,71.5948,73.2379,76.0577,78.6573,79.1452,78.8998,79.5205,80.9757,82.3021,83.0241,
BFA,,,,,,,,,,,,2.06937,,2.85701,,
BDI,,,,,,,,,,,,6.1377,5.53248,4.1686,4.44363,
KHM,,,5.19102,6.68023,7.68529,8.32552,10.0738,9.96405,11.1002,12.6251,12.5527,,12.4414,11.8434,13.8072,
CMR,,,,,,,,,,12.8555,15.5653,16.4784,17.8527,18.4496,21.0078,
CAN,65.0407,63.7173,63.5024,,,,,,,,69.5652,71.0013,70.6243,70.6695,,
CPV,,,,50.0379,53.2068,54.6373,54.0628,57.8198,57.1921,59.3909,63.6636,65.3761,66.1248,70.5882,70.0735,
CAF,,,,,,1.71307,,,,,3.88211,4.0685,,5.6329,,
TCD,,,,,,,,,,,,,1.62847,1.7151,1.35677,
CHL,,,,,,,,,,65.579,63.8672,64.8918,81.3583,82.3675,84.9836,
COL,32.3013,34.2952,35.5624,35.4675,35.9677,,35.9903,37.6113,35.0667,33.3503,43.0528,46.0908,44.0517,44.2629,,
COM,,2.51103,,,,,,,,,,,,,,
COG,,1.74691,2.33898,3.30792,5.01251,5.84694,6.69068,7.14711,7.94888,9.01494,10.8767,10.3869,11.4002,11.1438,13.1605,
CRI,,,,,,,,,,,,,,70.3516,71.6749,
CIV,,,2.74834,2.8657,2.96042,3.19758,,,,,,3.68187,,,,
HRV,,40.8249,43.2891,43.0237,44.3171,44.6403,,46.6258,47.5339,51.0661,55.5331,60.2555,62.5225,64.7894,63.8718,
CUB,,91.3361,91.6744,94.2948,95.469,99.4862,99.6184,99.9005,99.9247,99.1448,97.3879,94.3203,91.0201,90.138,94.2258,
CYP,,52.8789,52.8819,55.61,55.1797,55.3694,56.174,60.9061,71.5727,70.478,73.36,71.8984,69.5097,70.6948,69.2606,
COD,,,,0.83943,1.33607,,,,,,,,,3.86916,,
DNK,,87.6165,88.0184,88.8405,89.4754,,92.7277,89.6323,89.83,90.791,90.2395,91.2923,96.0875,96.6411,99.1835,
DJI,,0.25756,0.44197,0.346,0.56295,,1.63462,,1.5897,2.5912,2.71802,2.46624,,3.86209,3.18532,
DMA,,74.5731,,79.21,,,,,,,,,71.5217,,,
DOM,,27.3075,28.6672,,27.9622,27.6411,26.3356,29.0976,29.4886,28.9562,30.6611,35.2383,35.5871,34.9297,36.2,
ECU,,50.9771,53.44,55.973,57.4965,59.525,60.1601,61.3268,70.6495,78.1957,,,72.4279,75.5906,80.467,
EGY,,10.0627,11.0059,12.6896,12.791,13.7334,,16.7932,18.1341,17.9431,,22.9078,,24.2046,23.1515,
