ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,0.98,0.984,0.991,,0.963,,,,,,,,,
DZA,0.915,0.925,0.933,,0.956,0.962,0.964,0.969,0.973,0.975,0.976,0.977,0.982,0.986,0.982,,,
AGO,,,,0.857,,,,,,,,,,0.887,0.878,0.84,0.769,
ATG,,,,,,,,,,,,,0.991,0.998,0.969,0.926,0.957,0.968
ARG,,,,,0.993,,,,0.992,,,,,,,,,
ARM,,,,,,,,1.03,1.042,1.058,1.087,1.094,1.099,,,,,
AUS,1.006,1.005,1.004,1.005,1.006,1.006,1.007,1.006,1.006,1.007,1.007,1.007,1.006,1.009,1.008,1.009,1.008,1.006
AZE,1.154,1.095,0.989,0.988,1.001,0.995,0.985,0.977,0.943,0.964,0.945,0.934,0.992,0.992,0.982,0.986,0.972,0.975
BHS,,,,,0.984,,,,,1.014,1.021,1.026,,1.021,1.058,,,
BHR,,,,,0.987,,,,,,,,,,,,,
BGD,,,,,,,,,,,1.062,1.074,,1.031,1.093,1.047,,
BRB,,,,,1.054,1.068,1.071,1.074,1.071,1.064,1.077,1.07,1.085,1.057,1.049,1.023,0.994,
BLR,0.957,,,,,,,,,,,,,,0.994,0.998,0.999,1.001
BEL,0.998,0.999,,,1,1.002,1.001,1.002,1.001,1.004,1.004,1.003,1.005,1.004,1.003,1.003,1.003,1.001
BLZ,,,,,0.997,0.993,0.998,,1.016,1.015,1.036,1.011,1.019,1.004,1.006,1.014,0.998,1.014
BEN,0.555,0.576,0.6,,,,,,,,,0.805,,0.848,0.867,,0.883,
BTN,,,,0.867,0.883,0.905,0.914,,,,1.003,1.013,,1.03,1.033,1.039,1.037,1.033
BOL,,,,0.994,0.998,1.002,1.006,1.005,1.008,,,1.009,1.007,1.005,1.003,1.003,1.003,
BWA,1.048,1.045,,1.047,1.042,1.043,1.041,1.035,1.037,1.001,1.035,1.021,1.021,1.022,1.015,,,
BRN,,,,,,,,,,,,,,0.993,0.999,1.008,1.007,0.989
BGR,,0.975,0.984,0.972,0.984,0.984,0.984,0.991,0.994,0.996,0.998,0.998,1.001,1.008,1.013,1.007,1.005,1.002
BFA,0.658,,,0.682,0.694,0.707,0.72,0.736,0.75,0.775,0.796,0.816,0.835,0.863,0.885,0.92,0.937,0.95
BDI,,,,,,0.826,0.82,0.806,0.827,0.881,0.895,0.95,0.959,0.97,0.994,0.999,,
KHM,,,0.849,0.858,0.882,0.89,,,0.959,,,0.985,,0.968,,0.993,,0.973
