ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AFG,,,,,,,,,,,,,14.483,,,,,,
ALB,,,,,,61.199,63.853,,,,,,,,,,,,
DZA,48.073,48.457,49.353,,,,,,,,,,,,,,,,
AGO,,,,,,,,,,,,,,10.287,10.848,12.07,,,
ATG,,,,,,66.556,,,,,,,,,85.091,85.125,,84.98,
ARG,,,,77.28,,,,,,,,,,,86.636,87.609,88.873,,
ARM,,,,,,,,,,,,,96.654,90.028,96.416,95.744,91.178,90.697,
AUS,87.842,88.845,,,,,,88.259,86.451,86.295,85.649,85.034,84.877,85.057,85.709,85.809,86.089,85.779,
AZE,,,,,,,,,,,,84.51,84.264,85.922,86.957,85.01,84.913,85.925,
BHS,,,,,70.431,,,,,80.202,83.325,85.746,89.601,88.078,86.144,85.886,,,
BHR,94.319,,90.123,89.902,90.249,93.779,95.239,92.171,91.155,91.065,90.851,88.77,,84.945,86.346,88.788,91.957,87.356,
BGD,,,,39.039,43.131,45.308,47.699,49.225,49.09,44.161,43.631,44.096,44.832,,46.547,48.775,49.294,51.282,
BRB,,,,,99.304,95.533,89.36,90.783,92.03,97.357,93.631,93.133,95.192,90.625,87.276,88.498,96.317,,
BLR,,,,,,,,,,,,,,,,93.965,94.468,95.831,
BEL,98.78,97.531,,,,,,,,83.901,84.138,,,,,,,,
BLZ,,,,,57.278,60.143,61.82,,70.266,,68.471,69.865,70.189,70.42,71.142,71.329,72.821,74.521,
BEN,,,,,,10.872,12.019,,,,,,,,,,,,
BTN,,,,17.325,19.143,21.524,23.87,,,,35.006,38.35,,45.84,49.357,54.622,57.077,60.809,
BOL,,,,,,,,,,,,67.965,67.551,66.973,68.158,68.745,69.001,,
BWA,44.174,,,61.538,56.819,57.22,56.124,57.16,58.676,59.201,59.248,62.806,62.815,65.253,,,,,
BRN,,,,,,,,,,,86.885,89.81,89.243,89.315,91.021,,92.639,95.002,
BGR,,,,83.994,84.687,85.382,86.246,86.751,84.105,85.379,85.986,85.504,85.469,84.207,83.048,83.039,84.312,84.469,
BFA,,,,,6.445,,6.326,,7.675,8.563,9.416,10.153,10.819,12.508,13.448,14.385,16.377,17.88,
BDI,,,,,,,,,,,,,,,11.529,13.338,15.056,16.993,
KHM,,,,11.543,10.238,11.021,12.275,16.519,20.553,23.202,,29.633,33.373,36.445,,,,,
CPV,,,,,,,,58.58,60.658,60.826,65.281,66.735,68.803,,,,,74.038,
CAF,,,,,,,,,,,,,,,7.964,,10.197,9.565,
TCD,,,,2.896,3.214,3.485,4.261,5.082,5.266,,,,,,,,,,
CHL,,,,,,,,,,,,,85.998,85.444,83.891,85.584,86.367,85.931,
COL,,,,,,,,,,60.65,66.432,70.999,73.683,74.14,76.368,76.922,78.41,76.563,
CRI,,,,,,,,,,,,,,,,,75.974,75.337,
HRV,,,,,82.391,83.522,84.624,85.994,87.84,,90.968,,,93.661,96.852,96.444,94.531,95.076,
CUB,,,,,79.249,81.672,84.062,82.652,84.586,85.307,85.814,86.435,85.357,84.08,82.6,85.26,86.52,87.316,
CYP,90.552,90.866,90.455,,89.561,89.439,89.373,93.132,94.347,94.569,95.288,95.13,96.3,96.701,96.459,89.651,90.623,92.967,
DNK,88.16,88.515,,89.246,,89.628,90.654,92.575,95.803,92.796,93.083,91.016,90.837,90.985,91.291,91.393,92.549,92.291,
DJI,,,9.101,,,,11.022,11.265,,15.256,16.227,,,21.042,,,,,
DMA,,,,,88.163,89.549,86.985,96.351,100,99.027,97.37,,91.793,88.303,89.536,86.919,87.9,,
DOM,,,,,43.293,44.115,,55.427,,53.157,57.087,,66.275,64.448,65.814,65.861,65.662,66.496,
ECU,,,,48.28,48.902,49.372,50.122,50.854,51.08,51.453,54.214,55.874,57.493,,,72.136,72.986,74.992,
EGY,,,,,,,,,,,,,,,,,79.907,82.424,
SLV,,,,,,44.376,45.779,48.975,,,53.471,53.02,53.445,54.386,55.969,58.311,60.469,62.454,
GNQ,,,,,12.443,,,,,,19.098,,,,,,,,
ERI,10.432,,11.947,,14.324,15.973,15.673,15.274,15.519,15.237,16.817,17.726,18.642,19.229,20.574,22.493,23.018,23.169,
EST,,,,85.787,85.763,86.243,86.01,89.043,91.287,93.464,96.224,97.669,98.091,97.467,96.256,94.933,93.342,90.937,
ETH,,,,,9.147,10.313,10.573,11.22,,,,,,,,,,,
FJI,,,,,80.412,76.205,77.637,79.951,79.974,87.092,,89.224,86.317,,84.591,,88.062,87.51,
FIN,93.19,93.722,93.885,98.882,95.004,95.386,95.093,95.293,95.548,95.506,96.235,96.519,96.283,95.472,94.579,93.965,93.246,92.681,
FRA,99.011,97.286,95.229,,92.451,91.573,91.57,92.352,92.913,92.973,96.534,96.335,96.415,96.546,96.567,96.506,96.666,97.529,
GEO,,75.137,75.596,,76.218,76.904,,,,,75.424,77.745,,80.342,,,,,
GHA,,,,,31.555,32.189,31.092,32.77,33.88,35.817,37.391,38.354,44.646,44.748,43.612,,,,50.178
GRC,,85.334,85.217,85.163,84.578,84.33,85.378,87.323,86.911,88.859,92.615,93.026,90.641,,,99.07,,,
GRD,,,,,,,,91.235,76.031,83.509,77.122,,,,,,,,
GTM,,,,,21.675,25.554,29.188,29.468,,,,,,38.581,40.504,44.353,44.542,,
GIN,,,,,6.189,,9.064,10.622,12.171,13.196,16.057,18.592,,,,,23.472,,
GNB,,,,,,6.097,,,,,,,,,,,,,
GUY,,,,,72.72,,,,,,,,,,88.2,,100,,
HUN,,,82.622,82.308,84.044,85.429,87.661,89.009,90.464,88.979,89.764,89.816,89.879,89.823,90.451,91.552,91.7,91.901,
ISL,,,,86.848,86.342,85.069,84.128,86.416,88.352,89.584,90.16,90.338,90.888,90.683,89.524,90.435,88.838,,
IDN,39.338,,,,,,49.899,51.321,54.191,55.991,54.55,59.47,66.795,65.481,66.019,68.377,75.172,77.462,
IRN,,,,,,,,,,,,,,,76.639,75.124,77.402,79.369,
