ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AFG,,,,,,,,,,,,,0.371,,,,,,
ALB,,,,,,0.958,0.962,,,,,,,,,,,,
DZA,0.879,0.889,0.941,,,,,,,,,,,,,,,,
AGO,,,,,,,,,,,,,,0.882,0.89,0.812,,,
ATG,,,,,,0.924,,,,,,,,,0.967,0.99,,1.181,
ARG,,,,1.075,,,,,,,,,,,1.111,1.1,1.091,,
ARM,,,,,,,,,,,,,1.143,1.139,1.16,1.172,1.176,1.186,
AUS,1.019,1.013,,,,,,1.019,1.013,1.014,1.026,1.027,1.026,1.026,1.017,1.014,1.011,1.012,
AZE,,,,,,,,,,,,0.966,0.968,0.98,1.004,0.978,0.975,0.981,
BHS,,,,,0.989,,,,,1.013,1.007,1.014,1.048,1.039,1.045,1.074,,,
BHR,1.05,,1.097,1.072,1.083,1.076,1.103,1.171,1.171,1.134,1.091,1.032,,1,0.995,0.986,0.973,1.036,
BGD,,,,0.94,0.992,1.031,1.083,1.101,1.107,1.033,1.072,1.062,1.057,,1.087,1.124,1.16,1.156,
BRB,,,,,1.064,1.056,1.043,1.068,1.073,1.13,1.078,1.083,1.123,1.102,1.1,1.085,1.15,,
BLR,,,,,,,,,,,,,,,,1.003,1.005,1.005,
BEL,1,1.006,,,,,,,,0.957,0.966,,,,,,,,
BLZ,,,,,1.072,1.058,1.065,,1.045,,1.047,1.076,1.081,1.097,1.096,1.1,1.089,1.061,
BEN,,,,,,0.458,0.474,,,,,,,,,,,,
BTN,,,,0.901,0.913,0.928,0.969,,,,1.015,1.03,,1.015,1.078,1.097,1.141,1.15,
BOL,,,,,,,,,,,,0.973,0.99,1.002,1.01,1.014,1.019,,
BWA,1.214,,,1.138,1.165,1.152,1.147,1.151,1.149,1.147,1.127,1.151,1.153,1.158,,,,,
BRN,,,,,,,,,,,1.032,1.032,1.03,1.025,1.022,,1.001,1.005,
BGR,,,,0.986,0.989,0.981,0.983,0.981,0.978,0.977,0.976,0.974,0.981,0.975,0.974,0.975,0.979,0.982,
BFA,,,,,0.598,,0.66,,0.683,0.686,0.707,0.715,0.723,0.737,0.742,0.778,0.801,0.83,
BDI,,,,,,,,,,,,,,,0.793,0.789,0.81,0.866,
KHM,,,,0.55,0.542,0.562,0.588,0.603,0.645,0.743,,0.865,0.882,0.916,,,,,
CPV,,,,,,,,1.066,1.113,1.125,1.137,1.147,1.154,,,,,1.151,
CAF,,,,,,,,,,,,,,,0.584,,0.555,0.521,
TCD,,,,0.311,0.299,0.318,0.341,0.361,0.334,,,,,,,,,,
CHL,,,,,,,,,,,,,1.033,1.034,1.038,1.039,1.04,1.044,
COL,,,,,,,,,,1.11,1.107,1.113,1.108,1.094,1.084,1.078,1.075,1.082,
CRI,,,,,,,,,,,,,,,,,1.072,1.067,
HRV,,,,,1.017,1.02,1.019,1.017,1.018,,1.022,,,1.025,1.036,1.061,1.029,1.03,
CUB,,,,,1.108,1.039,1.048,1.007,0.999,1.029,1.027,1.028,1.02,1.012,1.012,0.998,1.002,1.015,
CYP,1.022,1.028,1.032,,1.04,1.031,1.024,1.031,1.033,1.033,1.025,1.022,1.025,1.018,1.019,1.018,1.021,1.024,
DNK,1.032,1.027,,1.029,,1.022,1.025,1.032,1.039,1.033,1.031,1.035,1.034,1.036,1.032,1.027,1.028,1.025,
DJI,,,0.695,,,,0.643,0.633,,0.684,0.652,,,0.723,,,,,
DMA,,,,,1.331,1.145,1.134,1.122,1.152,1.132,1.122,,1.107,1.055,1.238,1.101,1.11,,
DOM,,,,,1.249,1.242,,1.253,,1.193,1.219,,1.223,1.216,1.13,1.15,1.153,1.151,
ECU,,,,1.049,1.031,1.03,1.037,1.018,1.031,1.014,1.023,1.024,1.017,,,1.023,1.022,1.026,
EGY,,,,,,,,,,,,,,,,,0.99,0.998,
SLV,,,,,,1.008,1.02,1.015,,,1.041,1.053,1.051,1.045,1.041,1.036,1.027,1.028,
GNQ,,,,,0.333,,,,,,0.766,,,,,,,,
ERI,0.895,,0.859,,0.814,0.816,0.811,0.75,0.745,0.639,0.678,0.682,0.731,0.729,0.746,0.784,0.816,0.817,
EST,,,,1.046,1.046,1.041,1.036,1.033,1.045,1.032,1.029,1.029,1.037,1.032,1.02,1.015,1.006,1.006,
ETH,,,,,0.711,0.702,0.664,0.611,,,,,,,,,,,
FJI,,,,,1.13,1.108,1.072,1.105,1.088,1.09,,1.091,1.131,,1.11,,1.09,1.111,
FIN,1.018,1.024,1.012,1.032,1.008,1.016,1.016,1.016,1.009,1.005,1.006,1.003,1.006,1.009,1.01,1.008,1.006,1.006,
FRA,1.01,1.014,1.01,,1.018,1.02,1.021,1.017,1.016,1.015,1.016,1.017,1.016,1.016,1.017,1.018,1.019,1.018,
GEO,,0.967,0.968,,0.997,0.994,,,,,0.978,1.01,,0.952,,,,,
GHA,,,,,0.847,0.868,0.892,0.896,0.903,0.866,0.881,0.874,0.901,0.909,0.915,,,,0.952
GRC,,1.061,1.058,1.064,1.067,1.076,1.067,1.045,1.043,1.038,1.02,1.01,0.992,,,0.997,,,
GRD,,,,,,,,1.198,1.01,1.081,1.007,,,,,,,,
GTM,,,,,0.853,0.903,0.918,0.905,,,,,,0.938,0.938,0.923,0.922,,
GIN,,,,,0.371,,0.408,0.43,0.473,0.482,0.524,0.56,,,,,0.631,,
GNB,,,,,,0.562,,,,,,,,,,,,,
GUY,,,,,0.997,,,,,,,,,,1.085,,1.162,,
HUN,,,1.025,1.017,1.012,1.008,1.004,0.999,0.998,0.984,0.996,0.998,0.999,0.992,0.994,0.996,0.993,0.994,
ISL,,,,1.016,1.05,1.055,1.04,1.034,1.041,1.034,1.03,1.022,1.033,1.027,1.026,1.017,1.01,,
IDN,0.864,,,,,,0.987,0.987,0.986,0.992,0.991,1.01,1.008,0.995,0.988,1,1.01,1.036,
IRN,,,,,,,,,,,,,,,0.963,0.957,0.952,0.946,
IRQ,,,,,0.664,0.661,,,0.767,0.718,,,0.807,,,,,,
IRL,1.048,1.051,1.048,1.046,1.048,1.06,1.067,1.068,1.066,1.061,1.065,1.06,1.043,1.03,1.017,1.012,,1.008,
ISR,,,,,1.007,1.014,1.009,1.008,0.993,1.002,1.004,1.005,1.012,1.026,1.029,1.033,1.031,,
ITA,,,,,1.013,0.975,1.027,1.009,1.016,1.022,1.021,1.015,1.016,1.009,1.01,1.007,1.011,,
JAM,,,,,1.008,1.029,1.028,1.028,1.037,1.034,1.051,,,,,,1.051,,
JPN,,,,,,,,,,,,1.005,1.005,1.004,1.005,1.005,1.006,1.008,
JOR,,,,,1.091,1.054,,1.042,1.042,1.026,1.046,1.03,1.027,1.04,,,1.033,,
KAZ,,,,,,1.027,0.991,0.979,1.001,0.986,0.984,0.986,0.99,0.989,0.988,0.989,0.989,0.986,
KEN,,,,,,0.985,,0.991,0.97,1.008,1.013,0.965,0.902,0.957,0.939,,,,
KIR,,,,,,,,,1.147,1.148,1.105,,,,,,,,
KWT,,1.015,1.023,,1.002,0.987,0.982,1.001,,,,1.038,1.027,,,,,,
KGZ,,,,,,,,,,1.005,1.001,1.004,1.005,1,1.002,0.99,0.99,,
LAO,,,0.765,0.794,0.787,0.784,0.803,0.808,0.824,0.838,0.847,0.857,0.865,0.884,0.891,0.906,0.907,0.924,
LVA,,,,,,,,,,,,,,1.04,1.038,1.022,1.016,1.018,
LBN,,,,,,,,,,,,0.994,1.017,1.007,1.006,1.013,1.003,1.002,
LSO,,1.935,,2.304,1.761,1.688,1.616,1.582,1.575,1.587,1.605,1.592,1.621,1.623,1.663,1.664,1.606,1.565,
LIE,,,,,,,,,0.877,1.116,,,,0.918,0.876,0.89,0.867,,
LTU,1.039,,,1.015,1.01,1.009,1.007,1,1,1.003,1,1.007,1.011,1.013,1.013,1.003,0.999,0.992,
LUX,,1.082,1.084,,1.056,1.06,1.083,1.068,1.063,1.061,1.065,1.05,1.039,1.033,,1.04,1.042,,
MKD,,,,,,,,,,,0.973,,,,,,,,
MDG,,,,,,,,,,,,,1.005,1.045,,,0.999,1.01,
MWI,,,,,0.789,0.749,0.822,0.824,,0.866,0.885,0.928,0.912,0.927,0.952,0.976,0.971,0.946,
MYS,,,,1.099,1.087,1.093,1.08,1.077,1.097,1.081,1.044,1.018,0.999,0.992,0.983,0.976,0.978,,
MDV,,,,,1.138,1.163,,1.144,,,,,,,,,,,
MLI,,,,,,,,,,,,,,0.655,0.662,0.694,0.706,,
MLT,0.982,1.067,1.014,1.006,0.979,0.999,1.003,1.011,1.021,1.062,1.035,1.029,,1.023,,0.987,,1.051,
MHL,,,,,,,,1.057,,,,,1.055,,,,,,
