ISO,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AUT,15040,15836,,,,,,4132,,,,,,,
CAN,4700,7400,6100,4900,6500,4300,7200,6000,6300,6900,4900,7500,5500,,
HRV,,2147,,2219,,,,1961,1882,1917,1859,1785,1728,1632,1575
CYP,399,448,,,,,,683,,706,,,,,
CZE,2155,2418,2198,,,,,,,,,,,,
DNK,,,,,,,,,,,,,7203,7898,8281
FIN,4309,4771,,,,4789,,5599,4988,,4572,,,,
GEO,3123,3350,3380,,,,,,,,,,,,
DEU,56000,73000,70000,,,,,,,,,,,,
HUN,2787,3344,4967,3982,4024,3871,3678,3577,3319,3119,2867,2746,2551,2260,2025
ISL,313,348,341,367,371,375,441,452,432,409,387,386,377,370,
IRL,,,,,,,,,,,,,1953,,1837
LVA,,,,450,,,,652,,,,346,,,
LTU,1000,,878,,,,,,,,,,554,,
LUX,,,,,,,,240,,,,,,,
NLD,10000,11000,8000,7000,9000,11000,8000,8000,7000,8000,7000,8000,8000,9000,13000
NOR,,,,,,,,,7766,7773,6908,6723,6000,7000,7000
PRT,,3760,3760,4194,4194,4299,4299,4204,4204,3391,3391,,,,
SVN,,817,828,943,853,849,933,942,964,989,969,937,953,900,902
SWE,,,,,,,10369,10858,11384,11470,11200,10848,10960,,
CHE,,7052,,,,,,,,,,8012,8246,7894,
TUR,,,,,,,17626,,,,,,,,
GBR,,,45000,,,,,58224,33372,36516,30413,41814,26931,,
# Series: NMJUNECE,,,,,,,,,,,,,,,
"# Name: Number of journalists, male",,,,,,,,,,,,,,,
"# Definition: Number of journalists, male",,,,,,,,,,,,,,,
# Source: United Nations Economic Commission for Europe (UNECE),,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,
