ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,383000,429000,429000,400000,400000,400000,,120000,130000,27000,27000,51000,51000,94000,255745,306800,340350,338150
ALB,86500,67500,67500,67500,67500,67500,40500,27000,22000,21500,22500,11500,14500,14500,14745,14745,14750,14750
DZA,162900,164900,270200,268200,303200,305200,305200,317900,308700,318000,319000,334000,334000,334000,334200,317200,317200,317200
AGO,122000,106400,125500,129000,127500,117500,145500,110000,130000,118000,118000,110000,117000,117000,117000,117000,117000,117000
ATG,200,200,150,150,200,200,200,200,200,170,170,170,170,,170,170,180,180
ARG,98500,103700,104240,104240,101740,102300,101300,101100,102600,102000,102000,107000,107000,107000,104340,104340,104350,104350
ARM,61000,58400,61000,54400,54400,42300,43000,45600,45600,49000,49000,47000,42000,42000,55570,55528,55544,49100
AUS,57100,58800,58400,58400,56200,51600,51700,50900,53600,52000,53000,51000,55000,55000,56552,56552,57050,56200
AUT,55800,55800,45500,45500,40500,40500,34600,34600,34600,39000,40000,40000,35000,35000,25900,25758,23250,22800
AZE,126700,110700,106700,87150,84900,87100,87100,87100,81500,81000,82000,82000,82000,82000,81940,81940,81950,81950
BHS,2100,3200,3160,3160,3200,3200,3200,900,900,860,860,860,860,1000,860,860,850,850
BHR,20000,20300,20850,20850,21150,21200,21200,20900,21400,21000,21000,19000,19000,19000,19460,19460,19460,19460
BGD,170500,167200,170700,170700,192200,137000,200200,200200,188700,251000,252000,214000,221000,221000,220953,220953,220950,220950
BRB,600,600,600,610,610,600,600,600,600,610,610,610,610,1000,610,610,610,610
BLR,106400,93500,89800,91000,103900,91100,192900,189800,182900,182000,183000,183000,183000,183000,182940,182940,158000,158000
BEL,47200,46300,44450,43700,41750,39300,39400,39200,40800,36000,37000,40000,39000,39000,39482,35736,34050,30700
BLZ,1100,1100,1050,1050,1050,1100,1100,1100,1100,1000,1000,1000,1000,1000,1050,1050,1050,1050
BEN,7300,7300,7300,7300,7300,7300,7300,7100,7100,6000,8000,,8000,8000,7250,7250,9450,9450
BTN,4000,5000,6000,7000,7000,6000,,,,,,,,,,,,
BOL,64100,64100,70600,70600,69600,69600,68600,68600,68600,68000,70000,83000,83000,83000,83200,83200,83200,83200
BIH,92000,227000,86000,86000,86000,76000,24000,19800,18800,24000,12000,9000,9000,9000,10577,10577,10550,10500
BWA,8500,8500,8500,9500,10000,10000,10000,10500,10500,10000,11000,11000,11000,11000,10500,10500,10500,10500
BRA,680600,680600,700300,698850,676600,673200,673200,673200,673200,687000,673000,754000,721000,721000,713480,713480,713480,713480
BRN,9000,9100,9050,9050,8750,8800,9700,10700,10700,10000,11000,9000,9000,9000,9250,9250,9250,9250
BGR,135900,137500,135500,135500,114760,113800,111300,102400,85000,85000,85000,75000,75000,75000,65315,65315,47300,47300
BFA,10300,10300,10000,10250,10300,11300,14200,14400,15000,10250,11250,,11250,11250,11450,11450,11450,11450
BDI,14600,22000,22000,43500,45500,45500,51000,51000,56000,81000,82000,,51000,51000,51050,51050,51050,51000
KHM,308500,307700,360500,359000,359000,360000,207000,192000,192000,192000,191000,191000,191000,191000,191300,191300,191300,191300
CMR,23600,22100,22100,22100,22100,22100,31100,32100,32100,23000,23000,,23000,23000,23100,23200,23100,23200
CAN,75700,79800,72700,69950,69950,68500,66100,61600,61600,71000,71000,64000,64000,64000,65722,65700,65700,66000
CPV,1150,1150,1150,1150,1200,1200,1300,1300,1300,1000,1000,,1000,1000,1200,1200,1200,1200
CAF,5000,5000,5000,4950,5000,5400,4200,3550,3600,2000,3000,,3000,3000,3150,3150,3150,8150
TCD,34850,34850,34850,34850,34850,34600,34900,34900,34800,34000,35000,,35000,35000,35030,34850,34850,34850
CHL,130000,120900,125500,124000,122500,116500,122200,117300,114100,116000,116000,103000,103000,103000,103771,103771,103750,106100
CHN,4130000,4135000,3640000,3820000,3820000,3910000,3810000,3770000,3750000,3755000,3755000,3605000,2885000,2885000,2945000,2945000,2945000,2993000
