ISO,2014
ALB,yes
DZA,yes
AGO,yes
ARG,no
ARM,yes
AUS,yes
AUT,yes
AZE,no
BGD,yes
BLR,no
BEL,yes
BEN,no
BOL,no
BIH,no
BWA,yes
BRA,yes
BGR,yes
BFA,yes
BDI,yes
KHM,yes
CMR,no
CAN,yes
TCD,yes
CHL,yes
CHN,no
COL,no
COG,yes
CRI,no
CIV,no
HRV,yes
CZE,yes
DNK,yes
DOM,yes
ECU,yes
EGY,no
SLV,yes
EST,yes
ETH,no
FJI,yes
FIN,yes
FRA,yes
GAB,yes
GEO,yes
DEU,yes
GHA,yes
GRC,yes
GTM,yes
GIN,yes
HTI,yes
HND,yes
HUN,yes
ISL,yes
IND,yes
IDN,yes
IRN,no
IRL,yes
ISR,yes
ITA,yes
JAM,yes
JPN,yes
JOR,yes
KAZ,no
KEN,yes
KSV,yes
KWT,no
KGZ,no
LAO,yes
LVA,yes
LBN,yes
LSO,yes
LBR,yes
LTU,yes
MKD,yes
MDG,yes
MWI,yes
MYS,yes
MLI,no
MRT,no
MUS,yes
MEX,yes
MNG,yes
MNE,no
MAR,no
MOZ,yes
NAM,yes
NPL,yes
NLD,yes
NZL,yes
NIC,yes
NER,yes
NGA,yes
NOR,yes
OMN,no
PAK,yes
PAN,yes
PNG,no
PRY,yes
PER,yes
PHL,yes
POL,no
PRT,yes
KOR,yes
MDA,no
RUS,no
RWA,yes
SAU,yes
SEN,no
SRB,yes
SLE,yes
SGP,yes
SVK,yes
SVN,yes
ZAF,yes
ESP,yes
LKA,yes
SDN,no
SWE,yes
CHE,yes
SYR,no
TJK,no
TZA,yes
THA,yes
TGO,yes
TUN,yes
TUR,yes
UGA,yes
UKR,no
ARE,no
GBR,yes
USA,yes
URY,yes
UZB,yes
VEN,yes
VNM,no
YEM,no
ZMB,yes
ZWE,yes
# Series: NPNDAWBL,
# Name: Can non-pregnant and non-nursing women work in jobs deemed arduous in the same way as men?,
# Definition: Can non-pregnant and non-nursing women work in jobs deemed arduous in the same way as men?,
"# Source: World Bank, Women Business and the Law",
# Data from the No Ceilings project: http://noceilings.org,
"# For more about the data, please visit http://noceilings.org/data",
