ISO,2014
ALB,yes
DZA,yes
AGO,yes
ARG,yes
ARM,yes
AUS,yes
AUT,yes
AZE,yes
BGD,yes
BLR,yes
BEL,yes
BEN,yes
BOL,no
BIH,yes
BWA,yes
BRA,yes
BGR,yes
BFA,yes
BDI,yes
KHM,yes
CMR,no
CAN,yes
TCD,no
CHL,yes
CHN,yes
COL,yes
COG,yes
CRI,no
CIV,yes
HRV,yes
CZE,yes
DNK,yes
DOM,yes
ECU,yes
EGY,no
SLV,yes
EST,yes
ETH,yes
FJI,yes
FIN,yes
FRA,yes
GAB,yes
GEO,yes
DEU,yes
GHA,yes
GRC,yes
GTM,yes
GIN,yes
HTI,yes
HND,yes
HUN,yes
ISL,yes
IND,yes
IDN,yes
IRN,yes
IRL,yes
ISR,yes
ITA,yes
JAM,yes
JPN,yes
JOR,yes
KAZ,yes
KEN,yes
KSV,yes
KWT,no
KGZ,yes
LAO,yes
LVA,yes
LBN,yes
LSO,yes
LBR,yes
LTU,yes
MKD,yes
MDG,yes
MWI,yes
MYS,yes
MLI,no
MRT,no
MUS,yes
MEX,yes
MNG,yes
MNE,yes
MAR,yes
MOZ,yes
NAM,yes
NPL,yes
NLD,yes
NZL,yes
NIC,yes
NER,yes
NGA,yes
NOR,yes
OMN,yes
PAK,yes
PAN,yes
PNG,yes
PRY,yes
PER,yes
PHL,yes
POL,yes
PRT,yes
KOR,yes
MDA,yes
RUS,yes
RWA,yes
SAU,yes
SEN,no
SRB,yes
SLE,yes
SGP,yes
SVK,yes
SVN,yes
ZAF,yes
ESP,yes
LKA,yes
SDN,yes
SWE,yes
CHE,yes
SYR,no
TJK,yes
TZA,yes
THA,yes
TGO,yes
TUN,yes
TUR,yes
UGA,yes
UKR,yes
ARE,no
GBR,yes
USA,yes
URY,yes
UZB,yes
VEN,yes
VNM,yes
YEM,no
ZMB,yes
ZWE,yes
# Series: NPNDMWBL,
# Name: Can non-pregnant and non-nursing women do jobs deemed morally or socially inappropriate in the same way as men,
# Definition: Can non-pregnant and non-nursing women do jobs deemed morally or socially inappropriate in the same way as men?,
"# Source: World Bank, Women Business and the Law",
# Data from the No Ceilings project: http://noceilings.org,
"# For more about the data, please visit http://noceilings.org/data",
