ISO,2014
ALB,yes
DZA,yes
AGO,yes
ARG,no
ARM,yes
AUS,yes
AUT,yes
AZE,no
BGD,yes
BLR,no
BEL,yes
BEN,no
BOL,yes
BIH,yes
BWA,yes
BRA,yes
BGR,yes
BFA,yes
BDI,yes
KHM,yes
CMR,no
CAN,yes
TCD,no
CHL,yes
CHN,yes
COL,yes
COG,yes
CRI,yes
CIV,yes
HRV,yes
CZE,yes
DNK,yes
DOM,yes
ECU,yes
EGY,no
SLV,yes
EST,yes
ETH,yes
FJI,yes
FIN,yes
FRA,yes
GAB,no
GEO,yes
DEU,yes
GHA,yes
GRC,yes
GTM,yes
GIN,yes
HTI,yes
HND,yes
HUN,yes
ISL,yes
IND,no
IDN,yes
IRN,yes
IRL,yes
ISR,yes
ITA,yes
JAM,yes
JPN,yes
JOR,no
KAZ,no
KEN,yes
KSV,yes
KWT,no
KGZ,no
LAO,yes
LVA,yes
LBN,no
LSO,yes
LBR,yes
LTU,yes
MKD,no
MDG,no
MWI,yes
MYS,yes
MLI,no
MRT,yes
MUS,yes
MEX,yes
MNG,no
MNE,no
MAR,yes
MOZ,yes
NAM,yes
NPL,yes
NLD,yes
NZL,yes
NIC,yes
NER,yes
NGA,yes
NOR,yes
OMN,yes
PAK,yes
PAN,yes
PNG,yes
PRY,yes
PER,yes
PHL,yes
POL,yes
PRT,yes
KOR,yes
MDA,no
RUS,no
RWA,yes
SAU,no
SEN,no
SRB,yes
SLE,yes
SGP,yes
SVK,yes
SVN,yes
ZAF,yes
ESP,yes
LKA,yes
SDN,yes
SWE,yes
CHE,yes
SYR,no
TJK,no
TZA,yes
THA,yes
TGO,yes
TUN,no
TUR,yes
UGA,yes
UKR,no
ARE,no
GBR,yes
USA,yes
URY,yes
UZB,no
VEN,yes
VNM,no
YEM,yes
ZMB,yes
ZWE,no
# Series: NPNMWWBL,
# Name: Can non-pregnant and non-nursing women work in metalworking in the same way as men?,
# Definition: Can non-pregnant and non-nursing women work in metalworking in the same way as men?,
"# Source: World Bank, Women Business and the Law",
# Data from the No Ceilings project: http://noceilings.org,
"# For more about the data, please visit http://noceilings.org/data",
