ISO,2014
ALB,yes
DZA,yes
AGO,no
ARG,no
ARM,yes
AUS,yes
AUT,yes
AZE,no
BGD,no
BLR,no
BEL,yes
BEN,no
BOL,no
BIH,no
BWA,yes
BRA,yes
BGR,yes
BFA,no
BDI,yes
KHM,yes
CMR,no
CAN,yes
TCD,no
CHL,yes
CHN,yes
COL,no
COG,yes
CRI,no
CIV,yes
HRV,yes
CZE,yes
DNK,yes
DOM,yes
ECU,yes
EGY,no
SLV,yes
EST,yes
ETH,no
FJI,yes
FIN,yes
FRA,yes
GAB,yes
GEO,yes
DEU,yes
GHA,yes
GRC,yes
GTM,yes
GIN,no
HTI,yes
HND,no
HUN,yes
ISL,yes
IND,no
IDN,yes
IRN,no
IRL,yes
ISR,no
ITA,yes
JAM,yes
JPN,yes
JOR,yes
KAZ,no
KEN,yes
KSV,yes
KWT,no
KGZ,no
LAO,yes
LVA,yes
LBN,yes
LSO,yes
LBR,yes
LTU,yes
MKD,yes
MDG,no
MWI,yes
MYS,yes
MLI,no
MRT,no
MUS,yes
MEX,yes
MNG,yes
MNE,no
MAR,no
MOZ,no
NAM,yes
NPL,yes
NLD,yes
NZL,yes
NIC,yes
NER,no
NGA,yes
NOR,yes
OMN,no
PAK,no
PAN,no
PNG,yes
PRY,yes
PER,yes
PHL,yes
POL,no
PRT,yes
KOR,no
MDA,no
RUS,no
RWA,yes
SAU,no
SEN,no
SRB,yes
SLE,yes
SGP,yes
SVK,yes
SVN,yes
ZAF,yes
ESP,yes
LKA,yes
SDN,no
SWE,yes
CHE,yes
SYR,no
TJK,no
TZA,yes
THA,no
TGO,yes
TUN,yes
TUR,yes
UGA,yes
UKR,no
ARE,no
GBR,yes
USA,yes
URY,yes
UZB,no
VEN,yes
VNM,no
YEM,no
ZMB,yes
ZWE,yes
# Series: NPNWHWBL,
# Name: Can non-pregnant and non-nursing women work in jobs deemed hazardous in the same way as men?,
# Definition: Can non-pregnant and non-nursing women work in jobs deemed hazardous in the same way as men?,
"# Source: World Bank, Women Business and the Law",
# Data from the No Ceilings project: http://noceilings.org,
"# For more about the data, please visit http://noceilings.org/data",
