ISO,2014
ALB,yes
DZA,yes
AGO,yes
ARG,no
ARM,yes
AUS,yes
AUT,yes
AZE,no
BGD,no
BLR,no
BEL,yes
BEN,no
BOL,yes
BIH,no
BWA,yes
BRA,yes
BGR,yes
BFA,yes
BDI,yes
KHM,yes
CMR,no
CAN,yes
TCD,no
CHL,yes
CHN,no
COL,no
COG,no
CRI,yes
CIV,yes
HRV,yes
CZE,no
DNK,yes
DOM,yes
ECU,no
EGY,no
SLV,yes
EST,yes
ETH,yes
FJI,no
FIN,yes
FRA,yes
GAB,no
GEO,yes
DEU,yes
GHA,yes
GRC,yes
GTM,yes
GIN,no
HTI,yes
HND,yes
HUN,yes
ISL,yes
IND,no
IDN,yes
IRN,yes
IRL,yes
ISR,yes
ITA,yes
JAM,yes
JPN,no
JOR,no
KAZ,no
KEN,yes
KSV,yes
KWT,no
KGZ,no
LAO,yes
LVA,yes
LBN,no
LSO,no
LBR,yes
LTU,yes
MKD,no
MDG,no
MWI,yes
MYS,no
MLI,no
MRT,no
MUS,yes
MEX,yes
MNG,no
MNE,no
MAR,no
MOZ,yes
NAM,yes
NPL,yes
NLD,yes
NZL,yes
NIC,yes
NER,yes
NGA,no
NOR,yes
OMN,yes
PAK,no
PAN,yes
PNG,no
PRY,yes
PER,yes
PHL,yes
POL,no
PRT,yes
KOR,no
MDA,no
RUS,no
RWA,yes
SAU,no
SEN,no
SRB,yes
SLE,no
SGP,yes
SVK,yes
SVN,no
ZAF,yes
ESP,yes
LKA,no
SDN,no
SWE,yes
CHE,yes
SYR,no
TJK,no
TZA,yes
THA,no
TGO,yes
TUN,no
TUR,no
UGA,yes
UKR,no
ARE,no
GBR,yes
USA,yes
URY,yes
UZB,no
VEN,yes
VNM,no
YEM,yes
ZMB,yes
ZWE,no
# Series: NPNWMWBL,
# Name: Can non-pregnant and non-nursing women work in mining in the same way as men?,
# Definition: Can non-pregnant and non-nursing women work in mining in the same way as men?,
"# Source: World Bank, Women Business and the Law",
# Data from the No Ceilings project: http://noceilings.org,
"# For more about the data, please visit http://noceilings.org/data",
