ISO,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,384.456,385.362,328.522,330.233,306.359,303.744,292.874,306.97,308.287,307.645
DZA,,,,316.682,339.718,364.312,401.701,409.273,410.905,403.231
ARG,,,,,195.912,,,,,
AUS,221.444,221.965,220.27,,238.927,242.226,245.917,258.961,263.059,261.878
AUT,,330.898,329.073,321.635,320.317,319.139,318.012,327.758,327.456,328.062
AZE,,,136.908,134.98,,,,,,
BHS,,,624.453,656.691,690.252,701.039,711.159,733.43,725.573,
BHR,1765.93,1619.12,,,,,,,,
BGD,,,82.0749,85.0405,,,,,,
BRB,,,,,512.167,509.304,520.419,514.986,509.574,502.435
BLR,357.171,330.247,,,,,,,,
BEL,349.717,354.45,370.296,368.001,362.594,358.141,367.551,364.893,343.847,339.265
BLZ,,,363.342,389.985,,,386.026,386.915,392.374,
BOL,,,271.446,278.469,346.439,352.162,355.895,354.892,347.796,
BIH,,,,,,,,432.665,438.307,436.447
BWA,,,,,,,442.944,,442.442,
BRA,,,,191.222,158.254,180.388,171.919,141.166,262.102,245.276
BRN,,,1145.68,1094.48,,,,,,
BGR,,,,,,450.414,412.385,398.407,400.348,387.025
BDI,,,,243.902,,,,,,
CAN,188.062,187.378,189.21,191.534,194.429,195.634,199.223,202.39,201.302,199.607
CPV,,,,,,,,348.646,343.284,350.525
CHL,,190.837,186.623,191.487,190.924,198.21,205.918,212.871,236.601,268.523
CHN,458.226,445.674,441.951,445.789,449.404,447.382,450.34,450.712,451.823,448.85
COL,,288.725,297.309,317.933,304.829,323.059,332.602,342.495,347.577,346.509
CRI,,,256.937,218.213,212.582,226.575,244.207,249.696,262.787,269.39
CIV,,,,,,86.3634,,,,
HRV,456.162,440.12,428.061,429.909,468.584,454.643,464.467,480.541,488.78,495.401
CYP,478.189,483.747,496.327,491.17,490.925,497.638,490.852,482.746,475.677,466.167
CZE,456.847,461.772,445.298,445.357,426.513,410.562,416.204,390.612,367.891,359.876
DNK,192.314,194.182,195.914,201.455,198.078,195.411,196.31,199.677,194.933,192.184
DOM,,,299.218,309.697,,,,,,329.32
ECU,,251.739,239.346,275.459,,,,,,
SLV,,,273.872,274.526,281.367,286.6,314.564,331.141,341.323,343.666
EST,265.258,264.279,257.488,245.509,247.346,246.057,244.289,350.549,346.389,342.739
FIN,158.981,157.736,157.004,157.788,154.112,154.016,155.466,152.039,151.788,148.6
FRA,,,,316.902,314.572,310.361,303.995,297.046,290.296,290.103
GEO,,,163.944,124.358,186.802,194.13,210.652,213.732,,
DEU,292.898,294.287,296.04,298.881,299.541,296.978,295.436,293.463,293.392,294.664
GRC,,,373.54,377.606,362.975,357.672,507.58,481.521,496.629,491.315
GRD,,,750.843,809.607,800.301,956.395,897.446,891.313,935.531,919.58
GTM,,172.868,164.083,165.29,139.008,142.684,161.949,,,
GIN,,,,47.0458,45.148,54.4564,,,,
GUY,,,,,,,,412.784,407.14,412.764
HND,,,,,,,,,169.7,153.745
HUN,108.388,87.4393,86.5197,86.7022,83.7708,89.2788,91.326,87.1125,86.6427,86.1852
ISL,276.968,269.468,269.255,273.036,271.186,264.711,265.771,229.215,222.324,232.917
IND,,120.399,119.138,122.98,122.956,125.448,130.867,131.078,,
IDN,,,,,,,,161.769,,
IRL,299.627,298.816,294.949,306.523,320.589,331.161,329.832,321.809,307.196,293.364
ISR,347.153,335.387,,411.703,411.627,384.166,383.527,373.539,359.677,
ITA,559,558.861,560.766,548.999,379.118,375.919,487.528,456.554,458.528,
JAM,,,,,,,,449.902,393.877,
JPN,,,197.75,200.258,201.338,201.148,201.88,202.587,204.211,204.716
JOR,,,119.269,122.695,,,,,,
KAZ,385.835,420.32,450.754,445.151,449.784,446.606,494.755,458.278,453.622,526.753
KEN,,,103.217,98.4996,108.595,116.206,103.584,99.5082,94.5063,98.6286
LVA,395.711,414.591,616.415,627.526,427.011,418.986,458.923,465.195,,417.146
LBN,,,477.267,580.687,,,,,,
LSO,,,,,176.604,191.867,176.544,,,
LTU,352.533,345.788,341.246,348.923,350.241,350.522,353.227,349.948,326.086,314.769
LUX,,,,318.312,318.921,319.099,,,,
MKD,,,469.416,467.189,,,,,,541.942
MDV,264.609,298.456,,,68.7778,109.928,,,,
MLT,448.044,429.605,431.347,421.284,461.733,447.723,436.775,451.573,451.031,444.638
MUS,879.451,863.771,930.94,850.707,886.329,964.167,906.882,896.918,867.189,
MEX,,,,,,,363.601,356.867,361.286,354.995
MNG,256.907,279.62,,,,,,,,
MNE,,,,897.457,,797.221,,696.042,664.471,677.85
MAR,147.683,147.954,136.722,144.28,149.346,156.336,166.569,,,172.119
NPL,,,221.666,218.709,,,,,,
NLD,231.481,224.513,216.436,215.708,215.066,214.873,220.382,224.408,229.878,237.734
NZL,,,182.457,189.82,196.398,200.295,204.352,200.772,202.36,196.957
NIC,,,158.325,166.808,,,,167.445,,
NGA,,,,,,206.486,222.05,,,218.818
NOR,176.798,178.034,161.816,160.806,158.099,157.076,158.139,157.097,157.35,159.015
PAN,,,,326.177,355.969,315.24,372.057,329.76,335.777,513.113
PRY,,,312.355,179.192,214.031,215.49,254.057,263.758,328.141,333.719
PER,333.058,256.968,253.646,254.76,267.788,298.963,318.252,,,
PHL,,140.209,132.329,133.238,130.316,131.554,135.768,143.752,150.586,152.202
POL,261.223,263.62,263.448,259.419,257.5,263.526,259.088,250.94,251.271,251.826
PRT,459.142,462.507,461.623,459.802,455.821,456.789,473.335,447.761,452.309,442.577
QAT,521.479,481.827,,,,,,,,
KOR,198.232,197.48,200.049,202.341,202.783,203.292,207.724,207.958,209.911,209.105
MDA,317.311,320.693,288.367,280.982,256.137,242.293,,244.891,,452.398
ROU,205.796,206.56,211.977,227.8,229.166,229.179,233.082,238.529,227.622,244.232
RUS,,,,611.75,622.817,626.425,622.506,543,520.779,
RWA,,,,,2.9411,2.9346,2.9915,3.6727,3.9213,4.3551
VCT,,,,,818.928,900.529,897.033,812.324,801.961,
SRB,,,453.72,434.017,324.255,328.83,335.48,347.016,354.085,359.621
SLE,,,,,173.559,175.466,,,,
SGP,,,,171.163,165.53,160.167,173.881,172.378,164.767,162.617
SVK,393.545,393.628,376.334,377.83,374.122,371.457,402.319,396.784,389.063,398.402
SVN,377.931,383.139,393.981,391.083,394.573,382.736,383.613,378.536,370.086,356.48
ESP,,325.413,330.229,340.784,348.9,364.721,377.519,386.538,389.366,383.315
LKA,304.728,324.173,,,,,,,,
SWZ,246.891,268.279,,,,,,,,
SWE,182.201,188.069,189.066,191.679,195.062,198.396,205.622,216.28,215.876,209.119
CHE,207.914,210.672,221.958,222.516,214.139,213.326,220.309,219.755,218.099,220.447
SYR,11.4923,10.6981,,,,,,,,
THA,,,327.048,324.065,,,304.984,309.501,,
TTO,,449.635,464.943,477.492,473.65,481.067,499.426,459.681,470.339,462.451
TUR,482.556,489.742,487.592,474.655,474.172,485.72,,,,
UGA,,,,,,119.577,106.045,110.48,,
UKR,265.067,269.361,347.873,356.107,,369.337,386.601,383.722,,
USA,226.642,228.685,225.762,227.085,230.375,231.062,228.402,225.786,221.796,211.158
URY,510.764,507.458,,,,,,,692.54,775.259
ZWE,169.059,183.849,201.084,219.297,221.214,225.062,,,,
AAE,283.703,256.989,355.942,345.145,226.385,226.581,240.605,234.266,235.245,233.761
ACE,,,327.776,347.911,321.691,338.081,336.336,342.487,339.96,
GEA,,,321.059,326.435,306.844,316.385,332.533,339.263,,
HIA,,363.176,346.146,352.417,327.971,326.642,338.381,335.425,338.411,321.245
AME,,,,322.53,372.65,,412.149,411.746,438,415.383
LMA,,,,,,207.75,228.683,263.134,,
ASA,207.352,208.031,207.486,209.309,212.402,213.348,213.813,214.088,211.549,205.383
ASE,,247.676,140.96,142.243,95.8671,117.688,130.867,131.078,,
UMA,385.955,360.417,369.126,384.661,373.683,432.523,417.495,428.184,438.048,410.998
EAM,221.444,221.965,200.049,200.258,201.338,201.148,204.352,202.587,204.211,204.716
ECM,,,329.073,330.233,320.317,328.83,329.832,349.948,343.847,
GEM,,,273.872,280.982,271.186,286.6,314.564,331.141,,
HIM,,325.413,296.04,318.312,318.921,319.099,318.012,327.758,326.086,293.364
LCM,,,,275.459,281.367,,355.895,354.892,361.286,346.509
LMM,,,,,,194.13,210.652,244.891,,
NAN,188.062,187.378,189.21,191.534,194.429,195.634,199.223,202.39,201.302,199.607
SAM,,298.456,119.138,122.98,68.7778,109.928,130.867,131.078,,
UMM,357.171,298.456,327.048,324.065,306.359,328.83,363.601,386.915,393.877,359.621
EAE,292.071,289.23,308.508,308.565,302.19,300.032,311.081,329.658,302.768,300.499
ECE,,,219.439,341.724,308.447,333.447,302.923,289.24,261.347,
GLE,,,173.61,198.526,187.345,195.224,200.637,195.648,,
HWW,,176.388,196.95,284.93,281.573,281.273,287.557,275.636,272.678,186.747
