ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,,,,,,,,93.99,94.01,94,93.99,93.99,94.01,93.98,93.96,93.96,93.96,93.96
ALB,99.81,99.85,99.83,99.86,99.86,99.87,99.82,99.83,94.34,92.74,93.82,92.45,92.85,95.88,99.72,99.7,99.7,99.7
DZA,97.04,96.49,96.72,97.12,97,96.72,96.01,95.72,95.34,94.58,94.62,94.62,94.71,94.71,94.71,94.71,94.71,94.71
AND,75,74.96,74.49,66.76,74.24,75.53,70,70.59,71.05,70.73,71.91,72.56,73.96,73.96,73.96,73.96,73.94,74.57
AGO,65.77,70.36,79.19,84.47,75.04,71.38,83.14,80.13,82.07,81.16,76.18,67.91,77.95,67.06,75.37,71.04,70.08,70.53
ATG,87.16,87.14,87.04,87.15,86.96,86.79,86.96,86.47,86.97,86.85,87.3,89.25,90.23,89.42,85.04,85.44,84.96,90.23
ARG,69.52,70.38,63.21,63.42,63.65,62.98,64.01,64.22,64.41,64.06,64.3,64.14,61.51,59.24,59.24,59.97,62.81,65.28
ARM,96.13,96.34,94.97,94.89,93.94,94.55,95.31,91.92,95.04,95.81,96.73,95.47,96.44,95.98,95.16,96.57,98.45,93.84
AUS,47.01,48.77,50.96,59.16,58.87,59.67,57.1,56.88,53.9,54.82,56.23,55.84,55.51,56.48,59,59.94,57.85,55.95
AUT,56.99,57.89,62,62.19,61.73,62.08,63.81,63.66,63.94,62.52,63.18,64.85,63.36,61.27,59.73,60.19,62.15,62.15
AZE,87.35,86,80.26,80.65,79.37,77.68,77.94,79.33,88.55,90.78,92.75,91.21,89.85,88.42,88.83,88.58,89.04,89.33
BHS,40.13,40.2,40.21,40.22,40.23,40.25,40.26,43.77,46.71,49.74,52.98,51.7,53.98,53.98,53.98,53.98,53.98,53.98
BHR,70.23,70.46,70.48,71.48,70.78,67.98,68.13,67.15,67.23,69.8,68.5,67.34,66.35,64.54,63.63,61.42,59.9,58.62
BGD,95.95,95.95,96.01,95.89,96.21,95.13,95.7,96,95.72,95.92,96.22,96.31,96.52,96.52,96.61,96.61,96.61,96.61
BRB,75.79,75.84,75.85,76.43,77.14,77.27,76.92,77.19,79.07,80,80.54,81.25,80.7,80.56,80.56,80.56,100,100
BLR,64.51,59.84,49.78,58.33,56.22,57.13,64.26,69.42,69.64,68.32,73.38,74.51,76.44,78.61,74.76,88.94,90.4,85.32
BEL,84.42,86.45,85.83,84.09,82.04,80.89,80.16,81.45,79.93,79.26,78.83,79.94,80.15,82.77,81.92,82.95,81.69,81.69
BLZ,79.97,78.81,79.37,78.77,78.66,82.32,81.63,81.63,79.44,79.44,79.4,75.21,75.21,73.45,73.45,69.55,69.77,69.76
BEN,99.89,99.89,99.89,99.89,99.89,99.89,99.88,99.88,99.88,99.52,94.87,94.83,93.75,91.14,91.18,91.18,91.18,91.18
BTN,100,100,100,100,100,100,100,100,100,100,97.79,97.62,96.94,96.69,96.66,94.74,94.74,94.74
BOL,76.79,77.93,83.87,80.18,83.83,81.57,77.91,78.85,79.14,78.28,77.86,70.38,72.85,76.82,79.03,77.74,88.34,82.24
BIH,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.3,97.17,96.85,96.28
BWA,37.34,34.47,34.65,36.64,36.23,36.7,37.83,36.62,31.04,26.63,22.93,20.01,17.55,12.73,13.48,11.94,12.66,12.66
BRA,67.98,68.64,66.89,66.89,67.09,63.58,62.59,62.52,62.61,62.64,62.77,61.82,58.46,56.04,57.19,57.76,57.76,57.76
BRN,98.88,98.88,98.88,98.88,99.24,98.78,99.12,99.07,98.92,98.92,98.8,98.65,98.45,98.2,97.83,97.83,97.83,97.83
BGR,100,100,100,100,100,100,99.94,98.46,97.61,97.38,96.95,97.09,97.13,97.35,97.14,96.77,96.77,96.77
BFA,94.17,94.23,94.18,94.24,94.35,94.35,94.35,94.24,92.21,95.12,94.25,91.28,93.73,92.95,73.97,73.77,76.07,79.64
BDI,75.55,68.55,69.24,68.94,68.81,73.01,74.46,76.25,75.24,68.05,70.12,68.88,60.49,65.36,67.53,69.75,69.73,69.73
KHM,83.01,67.57,72.19,81.57,86.91,89.58,87.93,89.54,86.7,84.03,77.65,72.88,70.37,75.89,75.95,79.52,80.28,81.95
CMR,93.76,95.34,94.54,94.51,94.47,94.36,94.39,94.39,94.46,94.34,94.65,94.58,94.52,94.95,94.64,94.55,94.34,94.22
CAN,55.61,55.63,56.54,55.31,54.54,53.67,50.73,49.87,48.71,49.27,49.11,49.49,49.53,49.51,48.96,48.55,48.54,50.07
CPV,94.01,92.9,93,95.23,95.19,95.16,95.05,95.06,95.04,95.05,95.01,94.98,94.51,94.69,93.74,93.73,93.73,93.61
CAF,93.33,92.83,92.88,92.77,93.01,92.91,92.47,92.62,92.67,92.49,92.35,91.84,91.36,85.08,83.3,90.53,90.51,90.51
TCD,96.48,96.18,96.18,96.21,96.22,96.2,96.2,96.34,96.2,96.61,96.57,96.62,96.7,96.7,96.7,96.7,96.7,96.7
CHL,62.31,63.56,64.27,63.08,62.98,63.8,63.9,64.25,64.71,65.45,66.14,67.33,65.53,65.46,63.44,63.59,64.03,62.53
CHN,93.74,94.82,94.77,94.26,94.48,95.56,93.07,89.96,87.61,86.48,85.26,83.09,83.01,80.76,78.86,77.24,78.83,77.97
COL,84.71,85.38,85.9,80.34,72.36,59.04,59.1,55.86,47.17,60.5,65.94,71.63,72.47,73.69,70.22,67.37,64.03,60.94
COM,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
COG,98.41,98.19,98.55,98.76,98.83,98.92,98.73,98.94,99.2,98.76,98.78,98.75,98.48,97.96,96.87,94.22,96.02,96.02
COK,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CRI,87.68,87.5,87.12,87.58,88.23,88.17,89.88,90.9,89.69,90.5,84.52,86.68,87.73,88.95,89.65,90.46,90.98,90.98
CIV,81.82,82.5,83.7,84.45,81.87,79.12,75.7,73.66,74.98,76.95,77.84,79.96,80.55,79.69,78.09,76.85,76.98,76.99
HRV,100,100,100,100,100,100,86.05,93.38,95.92,95.92,95.92,95.92,95.92,95.92,95.92,95.92,78.56,78.56
CUB,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CYP,98.61,98.42,98.2,98.16,95.16,95.74,95.73,95.91,79.14,82.78,80.83,80.99,83.24,84.75,87.43,87.04,87.04,87.04
CZE,100,100,100,100,100,100,100,100,97.67,95.42,84.29,85.11,89.03,90.15,89.96,91.5,93.2,93.2
COD,71.49,73.39,72.81,75.63,73.98,76.76,73.47,72.68,74.22,75.79,73.96,75.1,75.71,74.05,64.82,61.31,70.03,66.77
DNK,93.26,92.31,92.13,91.26,90.97,90.91,91.09,90.95,90.47,90.4,90.49,90.06,89.38,88.35,88.05,88.72,87.23,87.23
DJI,98.66,98.69,98.87,98.77,98.82,98.53,98.59,98.63,98.7,98.81,98.85,98.84,98.84,98.77,98.82,99.22,99.22,99.22
DMA,94.34,91.15,89.74,89.26,89.15,88.89,86.01,85.62,83.77,81.37,82.61,81.08,83.18,84.21,84.21,85.31,84.48,84.81
DOM,72.11,77.6,71.63,71.26,70.53,71.93,72.69,70.6,70.15,84.36,83.3,81.45,78.37,78.32,77.3,78.66,78.88,78.88
ECU,72.92,72.58,74.29,78.93,84.2,85.29,87.04,87.94,89.65,91.78,95.89,90.22,90.28,96.78,86.18,86.21,86.53,93.16
EGY,89.64,92.88,95.2,96.04,96.84,97.42,97.97,98.39,98.44,98.43,98.37,98.23,98.03,97.7,97.72,97.72,97.72,97.72
SLV,98.77,97.46,97.32,96.67,94.6,94.62,93.11,93.38,93.3,92.55,91.68,88.93,89,88.77,87.94,88.58,88.04,87.08
