ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,,,,,,,,,,4.42241,,,,
ARM,,,,,,3.24743,,,,,0,,,,,0,,
AZE,,,,,,,,,,,,2.13096,,,,,,
BGD,,17.9353,,,17.9834,,,,,10.7639,,,1.67384,,,,5.88362,
BEN,,38.3447,,,,,30.2366,,,,,18.7172,,,,,,
BOL,,,,0.57744,,,,,,,,,,0.44248,,,,
BFA,,,,35.5695,,,,,28.6677,,,,,,,18.298,,
BDI,,,,,,,,,,,,,,,,12.3485,,
KHM,,,,,,7.19688,,,,,5.32471,,,,,2.62398,,
CMR,,,,5.52183,,,,,,2.14851,,,,,,,1.10597,
TCD,,44.6802,,,,,,,,41.2054,,,,,,,,
COL,2.31021,,,,,5.46465,,,,,1.45344,,,,,0.87043,,
COG,,,,,,,,,,,1.02513,,,,,,0.33253,
CIV,,,,29.0371,,,,,,,,,,,,,17.33,
COD,,,,,,,,,,,,,9.10671,,,,,
DOM,,2.96316,,,2.62357,,,2.27576,,,,,3.82437,,,,,
EGY,3.85012,,,,,2.59383,,,,,0.84596,,,1.50962,,,,
ETH,,,,,,14.9338,,,,,22.6477,,,,,,14.1767,
GAB,,,,,,3.54711,,,,,,,,,,,,0.99102
GHA,,,,10.5604,,,,,12.4707,,,,,7.94034,,,,
GIN,,,,,46.9155,,,,,,21.2423,,,,,,,
GUY,,,,,,,,,,,,,,,1.37971,,,
HTI,,,,,,42.26,,,,,7.35976,,,,,,,0.83847
HND,,,,,,,,,,,25.9387,,,,,,0.99878,
IND,,,,2.5519,,,,,,,9.57736,,,,,,,
IDN,,,1.60027,,,,,1.67179,,,,,0.96119,,,,,1.0821
JOR,,,7.90358,,,,,7.95192,,,,,4.32136,,,,,
KAZ,15.7067,,,,,,,,,,,,,,,,,
KEN,,,,7.70527,,,,,,,,,,0.92872,,,,
KGZ,,,5.51372,,,,,,,,,,,,,,,
LSO,,,,,,,,,,3.08975,,,,,2.11003,,,
LBR,,,,,,,,,,,,,32.0818,,,,,
MDG,,,4.42285,,,,,,5.43651,,,,,4.02806,,,,
MWI,,,,,,6.42589,,,,3.50385,,,,,,1.81913,,
MDV,,,,,,,,,,,,,,,0.50471,,,
MLI,36.1349,,,,,,36.4406,,,,,24.5428,,,,,,
MAR,,,,,,,,,2.2227,,,,,,,,,
MOZ,,,18.8436,,,,,,8.41139,,,,,,,,5.18037,
NAM,,,,,,3.78943,,,,,,2.88029,,,,,,
NPL,,13.813,,,,,6.30964,,,,,2.64644,,,,,1.14376,
NIC,,,,5.28314,,,3.69986,,,,,,,,,,,
NER,,,,32.804,,,,,,,,36.5658,,,,,,
NGA,,,,,11.8947,,,,4.61885,,,,,2.72396,,,,
PAK,,,,,,,,,,,,6.95277,,,,,,
PER,,2.23552,,,,1.29531,,,,,,,0.9166,,,,,2.37038
PHL,,,,1.77973,,,,,1.68704,,,,,,,,,
MDA,,,,,,,,,,,0,,,,,,,
RWA,,,,,,30.4525,,,,,7.75447,,,,,3.25028,,
STP,,,,,,,,,,,,,,5.35298,,,,
SEN,,,,,,,,,,,19.3067,,,,,19.6956,,
SLE,,,,,,,,,,,,,,11.7257,,,,
SWZ,,,,,,,,,,,,4.58488,,,,,,
TZA,,22.4143,,,13.5292,,,,,4.86471,,,,,,5.89631,,
TLS,,,,,,,,,,,,,,,14.8982,,,
TGO,,,,16.4643,,,,,,,,,,,,,,
TUR,,,,19.455,,,,,1.58288,,,,,,,,,
UGA,13.5387,,,,,4.03511,,,,,,3.63084,,,,,3.40738,
UKR,,,,,,,,,,,,,4.41131,,,,,
UZB,,0.31854,,,,,,,,,,,,,,,,
VNM,,,1.20964,,,,,2.68826,,,,,,,,,,
ZMB,,8.88947,,,,,12.711,,,,,,4.74657,,,,,
ZWE,,,,,2.55556,,,,,,2.06724,,,,,2.5386,,
# Series: OSCPFEHQ,,,,,,,,,,,,,,,,,,
"# Name: Out of school children, highest income quintile, female",,,,,,,,,,,,,,,,,,
# Definition: Percentage of children of primary school age who are not in school.,,,,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Educational For All Monitoring Project (EFA) Global Monitoring Report",,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,
