ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,,,,,,,,,,4.07309,,,,
ARM,,,,,,2.57386,,,,,1.74065,,,,,0.57824,,
AZE,,,,,,,,,,,,5.52148,,,,,,
BGD,,23.8051,,,19.3761,,,,,13.1154,,,1.92006,,,,7.61214,
BEN,,64.2605,,,,,52.4616,,,,,41.9794,,,,,,
BOL,,,,4.68468,,,,,,,,,,1.35782,,,,
BFA,,,,79.0039,,,,,71.1092,,,,,,,49.9222,,
BDI,,,,,,,,,,,,,,,,25.4811,,
KHM,,,,,,24.1041,,,,,13.0088,,,,,8.82452,,
CMR,,,,22.6794,,,,,,17.4296,,,,,,,17.4974,
TCD,,72.8171,,,,,,,,68.5687,,,,,,,,
COL,7.87732,,,,,7.06244,,,,,3.82352,,,,,1.84825,,
COG,,,,,,,,,,,6.74585,,,,,,4.05863,
CIV,,,,53.8736,,,,,,,,,,,,,32.2506,
COD,,,,,,,,,,,,,31.269,,,,,
DOM,,5.77929,,,5.86525,,,3.54824,,,,,4.90648,,,,,
EGY,20.781,,,,,11.3432,,,,,5.99873,,,5.21494,,,,
ETH,,,,,,68.9912,,,,,50.4543,,,,,,30.0564,
GAB,,,,,,6.02872,,,,,,,,,,,,1.52937
GHA,,,,24.1012,,,,,28.4849,,,,,12.0321,,,,
GIN,,,,,75.9345,,,,,,49.6952,,,,,,,
GUY,,,,,,,,,,,,,,,1.94678,,,
HTI,,,,,,42.6983,,,,,15.271,,,,,,,5.53747
HND,,,,,,,,,,,36.3954,,,,,,4.92547,
IND,,,,21.5382,,,,,,,25.0776,,,,,,,
IDN,,,6.07537,,,,,4.27272,,,,,3.91368,,,,,2.30942
JOR,,,10.3673,,,,,10.2588,,,,,7.8164,,,,,
KAZ,9.53041,,,,,,,,,,,,,,,,,
KEN,,,,14.0882,,,,,,,,,,8.05787,,,,
KGZ,,,4.09744,,,,,,,,,,,,,,,
LSO,,,,,,,,,,5.67836,,,,,3.61587,,,
LBR,,,,,,,,,,,,,59.3322,,,,,
MDG,,,39.8203,,,,,,22.5806,,,,,19.9813,,,,
MWI,,,,,,15.76,,,,12.408,,,,,,7.92782,,
MDV,,,,,,,,,,,,,,,1.42842,,,
MLI,74.7046,,,,,,65.8934,,,,,57.6708,,,,,,
MAR,,,,,,,,,13.411,,,,,,,,,
MOZ,,,48.4527,,,,,,35.2248,,,,,,,,23.1779,
NAM,,,,,,9.73042,,,,,,6.51483,,,,,,
NPL,,42.869,,,,,33.467,,,,,13.2227,,,,,9.65184,
NIC,,,,19.7984,,,15.6236,,,,,,,,,,,
NER,,,,78.3519,,,,,,,,69.202,,,,,,
NGA,,,,,38.6166,,,,34.3916,,,,,31.7815,,,,
PAK,,,,,,,,,,,,33.0719,,,,,,
PER,,5.58839,,,,3.44504,,,,,,,2.04164,,,,,2.78531
PHL,,,,7.36349,,,,,7.14207,,,,,,,,,
MDA,,,,,,,,,,,2.34814,,,,,,,
RWA,,,,,,36.019,,,,,12.5421,,,,,9.00785,,
STP,,,,,,,,,,,,,,14.27,,,,
SEN,,,,,,,,,,,40.6352,,,,,35.7529,,
SLE,,,,,,,,,,,,,,30.6815,,,,
SWZ,,,,,,,,,,,,7.96052,,,,,,
TZA,,37.6925,,,44.8367,,,,,20.7609,,,,,,15.1288,,
TLS,,,,,,,,,,,,,,,26.3808,,,
TGO,,,,32.8003,,,,,,,,,,,,,,
TUR,,,,29.5208,,,,,6.48329,,,,,,,,,
UGA,33.3871,,,,,10.0452,,,,,,9.28441,,,,,7.79237,
UKR,,,,,,,,,,,,,3.74306,,,,,
UZB,,1.02324,,,,,,,,,,,,,,,,
VNM,,,6.46106,,,,,3.95943,,,,,,,,,,
ZMB,,28.5354,,,,,32.0334,,,,,,17.7061,,,,,
ZWE,,,,,7.73289,,,,,,6.6933,,,,,4.50441,,
# Series: OSCPFEIN,,,,,,,,,,,,,,,,,,
"# Name: Out of school children, female",,,,,,,,,,,,,,,,,,
# Definition: Percentage of children of primary school age who are not in school.,,,,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Educational For All Monitoring Project (EFA) Global Monitoring Report",,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,
