ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,,,,,,,,,,3.6383,,,,
ARM,,,,,,1.72686,,,,,1.12423,,,,,0.33854,,
AZE,,,,,,,,,,,,3.37685,,,,,,
BGD,,22.3378,,,20.8515,,,,,15.8011,,,2.63188,,,,9.13412,
BEN,,49.3787,,,,,39.6742,,,,,29.6513,,,,,,
BOL,,,,2.03242,,,,,,,,,,0.60931,,,,
BFA,,,,30.7204,,,,,25.2694,,,,,,,19.7964,,
BDI,,,,,,,,,,,,,,,,11.1047,,
KHM,,,,,,15.8331,,,,,12.6687,,,,,4.55292,,
CMR,,,,12.1789,,,,,,7.17719,,,,,,,6.41376,
TCD,,49.8861,,,,,,,,47.1281,,,,,,,,
COL,4.67272,,,,,6.03315,,,,,2.91084,,,,,1.64644,,
COG,,,,,,,,,,,3.92454,,,,,,2.68784,
CIV,,,,40.9095,,,,,,,,,,,,,25.2609,
COD,,,,,,,,,,,,,18.6519,,,,,
DOM,,3.72571,,,5.94313,,,3.20397,,,,,4.84942,,,,,
EGY,7.4276,,,,,5.10804,,,,,3.37178,,,3.24649,,,,
ETH,,,,,,22.0634,,,,,14.349,,,,,,13.8064,
GAB,,,,,,5.07995,,,,,,,,,,,,1.33713
GHA,,,,13.9562,,,,,20.9594,,,,,8.8379,,,,
GIN,,,,,53.0305,,,,,,25.0648,,,,,,,
GUY,,,,,,,,,,,,,,,1.34368,,,
HTI,,,,,,43.1047,,,,,9.45291,,,,,,,3.28936
HND,,,,,,,,,,,32.3362,,,,,,3.30244,
IND,,,,10.8307,,,,,,,17.8661,,,,,,,
IDN,,,3.12861,,,,,3.0227,,,,,2.67724,,,,,1.99259
JOR,,,9.86457,,,,,10.4453,,,,,7.61278,,,,,
KAZ,13.4439,,,,,,,,,,,,,,,,,
KEN,,,,12.0262,,,,,,,,,,2.07435,,,,
KGZ,,,3.75057,,,,,,,,,,,,,,,
LSO,,,,,,,,,,4.92061,,,,,2.30545,,,
LBR,,,,,,,,,,,,,42.4013,,,,,
MDG,,,21.3842,,,,,,11.7695,,,,,7.28856,,,,
MWI,,,,,,7.55929,,,,5.51727,,,,,,4.78107,,
MDV,,,,,,,,,,,,,,,0.52932,,,
MLI,46.1866,,,,,,40.6686,,,,,35.103,,,,,,
MAR,,,,,,,,,3.8614,,,,,,,,,
MOZ,,,25.0742,,,,,,18.5061,,,,,,,,12.4358,
NAM,,,,,,5.47039,,,,,,4.62141,,,,,,
NPL,,12.938,,,,,12.5368,,,,,8.50973,,,,,2.96606,
NIC,,,,12.2105,,,7.15343,,,,,,,,,,,
NER,,,,41.6605,,,,,,,,34.1466,,,,,,
NGA,,,,,22.689,,,,21.4975,,,,,12.9721,,,,
PAK,,,,,,,,,,,,18.4832,,,,,,
PER,,3.41632,,,,1.89392,,,,,,,1.18767,,,,,2.78225
PHL,,,,4.32088,,,,,4.94141,,,,,,,,,
MDA,,,,,,,,,,,1.92467,,,,,,,
RWA,,,,,,27.0812,,,,,8.73202,,,,,3.86318,,
STP,,,,,,,,,,,,,,13.0626,,,,
SEN,,,,,,,,,,,23.0617,,,,,18.6799,,
SLE,,,,,,,,,,,,,,14.9532,,,,
SWZ,,,,,,,,,,,,8.11118,,,,,,
TZA,,23.7669,,,29.1316,,,,,8.47701,,,,,,8.6084,,
TLS,,,,,,,,,,,,,,,17.7492,,,
TGO,,,,18.2817,,,,,,,,,,,,,,
TUR,,,,26.0271,,,,,4.97203,,,,,,,,,
UGA,21.4143,,,,,8.06275,,,,,,6.89167,,,,,4.74396,
UKR,,,,,,,,,,,,,4.603,,,,,
UZB,,0.4699,,,,,,,,,,,,,,,,
VNM,,,3.30308,,,,,3.34796,,,,,,,,,,
ZMB,,15.408,,,,,19.1233,,,,,,8.47914,,,,,
ZWE,,,,,3.12949,,,,,,3.56452,,,,,2.99918,,
# Series: OSCPFEUR,,,,,,,,,,,,,,,,,,
"# Name: Out of school children, urban, female",,,,,,,,,,,,,,,,,,
# Definition: Percentage of children of primary school age who are not in school.,,,,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Educational For All Monitoring Project (EFA) Global Monitoring Report",,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,
