ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,,,,,,,,,,4.51228,,,,
ARM,,,,,,2.59344,,,,,1.49353,,,,,2.3891,,
AZE,,,,,,,,,,,,8.48332,,,,,,
BGD,,37.2746,,,34.399,,,,,28.912,,,4.63687,,,,18.8967,
BEN,,69.2668,,,,,59.8791,,,,,55.0379,,,,,,
BOL,,,,8.79755,,,,,,,,,,2.93074,,,,
BFA,,,,81.1996,,,,,82.5217,,,,,,,66.7906,,
BDI,,,,,,,,,,,,,,,,37.6995,,
KHM,,,,,,30.343,,,,,28.1286,,,,,20.4016,,
CMR,,,,38.493,,,,,,30.3803,,,,,,,32.5039,
TCD,,69.1923,,,,,,,,89.0016,,,,,,,,
COL,19.5698,,,,,15.1239,,,,,9.38257,,,,,4.38211,,
COG,,,,,,,,,,,14.8647,,,,,,8.24939,
CIV,,,,55.5725,,,,,,,,,,,,,36.6642,
COD,,,,,,,,,,,,,44.7634,,,,,
DOM,,19.5507,,,11.9183,,,14.2248,,,,,12.4544,,,,,
EGY,23.0921,,,,,12.1036,,,,,7.26568,,,8.14777,,,,
ETH,,,,,,69.0032,,,,,69.1236,,,,,,44.8164,
GAB,,,,,,10.1799,,,,,,,,,,,,4.21634
GHA,,,,49.4424,,,,,48.711,,,,,27.7107,,,,
GIN,,,,,78.9092,,,,,,55.073,,,,,,,
GUY,,,,,,,,,,,,,,,4.08491,,,
HTI,,,,,,60.0046,,,,,32.8629,,,,,,,13.147
HND,,,,,,,,,,,44.291,,,,,,14.5649,
IND,,,,25.4643,,,,,,,34.3752,,,,,,,
IDN,,,13.7649,,,,,10.754,,,,,8.8363,,,,,5.05075
JOR,,,12.785,,,,,13.6272,,,,,12.6694,,,,,
KAZ,11.825,,,,,,,,,,,,,,,,,
KEN,,,,22.5636,,,,,,,,,,19.9996,,,,
KGZ,,,3.05936,,,,,,,,,,,,,,,
LSO,,,,,,,,,,27.5638,,,,,15.8501,,,
LBR,,,,,,,,,,,,,72.9106,,,,,
MDG,,,62.8686,,,,,,41.1589,,,,,42.9739,,,,
MWI,,,,,,29.1984,,,,22.5662,,,,,,16.8623,,
MDV,,,,,,,,,,,,,,,2.94604,,,
MLI,83.8503,,,,,,70.4579,,,,,62.8896,,,,,,
MAR,,,,,,,,,18.6583,,,,,,,,,
MOZ,,,55.7211,,,,,,39.18,,,,,,,,33.7766,
NAM,,,,,,21.0011,,,,,,11.3643,,,,,,
NPL,,32.8621,,,,,34.1176,,,,,12.8891,,,,,9.21832,
NIC,,,,49.1166,,,48.193,,,,,,,,,,,
NER,,,,80.8324,,,,,,,,68.5794,,,,,,
NGA,,,,,52.2235,,,,44.2837,,,,,60.313,,,,
PAK,,,,,,,,,,,,45.7961,,,,,,
PER,,8.87079,,,,6.07297,,,,,,,5.2399,,,,,4.35859
PHL,,,,23.6595,,,,,19.0573,,,,,,,,,
MDA,,,,,,,,,,,5.85626,,,,,,,
RWA,,,,,,35.7158,,,,,17.3577,,,,,17.383,,
STP,,,,,,,,,,,,,,25.9447,,,,
SEN,,,,,,,,,,,54.136,,,,,52.5768,,
SLE,,,,,,,,,,,,,,51.45,,,,
SWZ,,,,,,,,,,,,17.7361,,,,,,
TZA,,47.6161,,,64.513,,,,,39.1208,,,,,,29.3076,,
TLS,,,,,,,,,,,,,,,42.5167,,,
TGO,,,,36.2471,,,,,,,,,,,,,,
TUR,,,,37.284,,,,,7.18875,,,,,,,,,
UGA,42.5104,,,,,14.4964,,,,,,17.8775,,,,,14.8891,
UKR,,,,,,,,,,,,,2.79348,,,,,
UZB,,3.51832,,,,,,,,,,,,,,,,
VNM,,,18.5301,,,,,7.13308,,,,,,,,,,
ZMB,,45.573,,,,,51.306,,,,,,27.4838,,,,,
ZWE,,,,,13.1489,,,,,,12.1352,,,,,9.21382,,
# Series: OSCPMALQ,,,,,,,,,,,,,,,,,,
"# Name: Out of school children, lowest income quintile, male",,,,,,,,,,,,,,,,,,
# Definition: Percentage of children of primary school age who are not in school.,,,,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Educational For All Monitoring Project (EFA) Global Monitoring Report",,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,
